Id,ProgramName,ProgramCode,Status,CreatedDate,UpdatedDate,Level,Term,TermCode,LiveDate,DeadlineDate,Resume,StatementOfPurpose,GreOrGmat,EnglishScore,Requirements,WritingSample,CollegeId,IsAnalyticalNotRequired,IsAnalyticalOptional,IsDuoLingoRequired,IsELSRequired,IsGMATOrGreRequired,IsGMATRequired,IsGreRequired,IsIELTSRequired,IsLSATRequired,IsMATRequired,IsMCATRequired,IsPTERequired,IsTOEFLIBRequired,IsTOEFLPBTRequired,IsEnglishNotRequired,IsEnglishOptional,AcademicYear,AlternateProgram,ApplicationType,Department,Fees,Fees.1,IsAvailable,ProgramType,AdmissionDepartmentId,CreatedBy,UpdatedBy,Concentration,Description,OtherConcentrations,ProgramWebsiteURL,Accredidation,AverageScholarshipAmount,CostPerCredit,IsRecommendationSystemOpted,IsStemProgram,MaxFails,MaxGPA,MinGPA,PreviousYearAcceptanceRates,QsWorldRanking,TotalAccepetedApplications,TotalCredits,TotalDeniedApplications,TotalI20sIssued,TotalScholarshipsAwarded,TotalSubmittedApplications,TotalVisasSecured,UsNewsRanking,CollegeApplicationFee,IsCollegePaying,MEContractNegotiatedFee,MyGradAppFee,ProgramCategory,IsCollegeApplicationFree,IsCouponAllowed,IsACTRequired,IsSATRequired,SftpDestinationId,MinimumACTScore,MinimumDuoLingoScore,MinimumELSScore,MinimumGMATScore,MinimumGreScore,MinimumIELTSScore,MinimumMATScore,MinimumMCATScore,MinimumPTEScore,MinimumSATScore,MinimumTOEFLScore,MLModelName,MinimumAnalyticalScore,MinimumEnglishScore,MinimumExperience,MinimumSopRating,WeightAnalytical,WeightEnglish,WeightExperience,WeightGPA,WeightSop,ScholarshipAmount,ScholarshipPercentage,ScholarshipType,IsNewlyLaunched,BatchId,IsImported,IsImportVerified,Is_Recommendation_Sponser,AnalyticalScore,MinimumLSATScore,IsGRERequired
,"Master of Social Work, M.S.W.",,,,,Graduate,,,,,Not Required,Not Required,Not Required,REQUIRED,"The required packet of application materials includes the following: Application for Graduate admissions, Application for Admission to the Master of Social Work Program, Signed Social Work Professional and Technical Standards, Official transcripts sent directly from other colleges/universities attended (Applicants must have completed a baccalaureate degree with a minimum of 15 hours of liberal arts education and an undergraduate GPA of 3.0 on a 4-point scale. If the student does not have the required 3.0 undergraduate GPA they may still apply but must submit a written explanation), and Three letters of recommendation. [6]",Not Required,,True,False,True,False,False,False,,True,False,False,False,True,True,False,False,False,,,,Carver School of Social Work,,,,,,,,"['Clinical', 'Substance Use Disorder', 'Faith-Based', 'Forensic social work']","Grounded in Christian servant leadership, academic excellence, and personal growth, the Carver School Master of Social Work (MSW) Program at Campbellsville University is inspired by a person-in-environment framework, a trauma-informed focus, and evidence-based research and practice. The program aims to develop advanced generalist social workers who are dedicated to intersectionality, inclusivity, the core values and ethics of the profession, lifelong learning, and a strengths-based approach in their work with individuals, families, groups, organizations, and communities. The curriculum is designed to build critical social work skills, including critical thinking, decision-making, social justice advocacy, leadership, and service. [10] The program is accredited by the Council on Social Work Education (CSWE) and emphasizes integrity, human rights, and the pursuit of comprehensive justice. [10] It prepares graduates for leadership roles in various social work settings by blending advanced theory, field training, and faith-based ethics. [10]",,https://catalog.campbellsville.edu/content.php?catoid=18&navoid=807,"The Master of Social Work (MSW) program at Campbellsville University is accredited by the Council on Social Work Education (CSWE). [10, 9] The MSW program, which is fully online, was reaffirmed in 2024 and will seek reaffirmation in 2032. [9]",,,,False,,4.0,2.5,,,,,,,,,,,,,,,,,,False,False,,,105.0,,,,6.0,,,58.0,,79,,,,,,,,,,,,,,,,,,,,,
,Master of Social Work (Advanced Standing Track),,,,,Graduate,January and August,,,,Not Required,Optional,Not Required,NOT REQUIRED,"Applicants pursuing the advanced standing track must have:

*   A completed application. [2]
*   A completed Carver School MSW graduate program application form. [2]
*   A baccalaureate social work degree from a CSWE-accredited program with an overall GPA of 3.0. [2]
*   Conferred degree transcripts from an accredited institution. [2]
*   Three recommendations using the standardized social work program recommendation form. [2]",Not Required,,True,False,False,False,False,False,,False,False,False,False,False,False,False,True,False,,,,Carver School of Social Work,,,,,,,,Master of Social Work (Advanced Standing Track),"Campbellsville University's CSWE-accredited advanced standing curriculum prepares you for graduate-level social work licensure, allowing you to provide direct client services under the supervision of an appropriately licensed social worker. Our accelerated program equips you with advanced social work skills and knowledge to work at the individual, family, group, community and global levels of practice. The curriculum covers practice with families and groups, psychopathology, leadership skills and ethics across all levels of social work. [16] Inspired by Jesus, the mission of the Carver School of Social Work is to Prepare Compassionate Leaders for Community and Global Service. [13] The purpose of the MSW Program is to develop advanced generalist social workers who are committed to intersectionality, inclusivity, the profession's core values and ethics, life-long learning, and a strengths-based perspective in their practice with individuals, families, groups, organizations, and communities. [14]",,https://catalog.campbellsville.edu/content.php?catoid=18&navoid=807,"The Carver School Master of Social Work (MSW) Program is accredited by the Council on Social Work Education (CSWE). [14] The MSW program, now fully online, was reaffirmed in 2024 and will seek reaffirmation in 2032. [13]",,,,False,0.0,4.0,3.0,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,"$500 to $1,000",,"Faith-based, Merit-based",,,,,,,,
,M.S.W. with Clinical Social Work Area of Focus,,,,,Graduate,"Fall, Spring, Summer",,,,Not Required,Not Required,,,"To be admitted into the Master of Social Work (MSW) program at Campbellsville University, applicants must meet the following requirements:

- Application for Graduate Admissions. Submit the online application for graduate admissions to the university.
- Application for Admission to the MSW Program. Complete the Master of Social Work program application form.
- Signed Social Work Professional and Technical Standards. Sign and submit the Social Work Professional and Technical Standards form.
- Official Transcripts. Send official transcripts directly from all colleges and universities attended. Applicants must have completed a baccalaureate degree with a minimum of 15 hours of liberal arts education and an undergraduate GPA of 3.0 on a 4-point scale. Applicants who do not meet the 3.0 GPA requirement for the MSW program may be considered for admission by submitting a personal statement that addresses the following:
  - What prevented them from achieving a 3.0 GPA.
  - The steps they will take to ensure success in the MSW program.
- Three Letters of Recommendation. Provide three letters of recommendation:
  - One from someone who knows your academic background and suitability for graduate study.
  - One from a professional who knows your work ethic.
  - One from someone who knows your values and moral character. [5]",,,True,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,,,,Carver School of Social Work,,,,,,,,,,,https://catalog.campbellsville.edu/content.php?catoid=18&navoid=807,,,,True,False,,4.0,3,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,M.S.W. with Substance Use Disorder Area of Focus,,,,,Graduate,"Fall, Spring, Summer",,,Fall Term: Complete your application by June 15.,Not Required,Not Required,Not Required,REQUIRED,"For graduate admission, all candidates must submit a graduate application and official transcripts from the institution that granted the bachelor's degree, as well as transcripts from any other institutions attended for post-baccalaureate, graduate, or doctoral work. Additional documentation, such as exam scores, reference letters, a resume, or a statement of purpose, may be required for specific programs as determined by each school or college.",Not Required,,True,True,False,False,False,False,,False,False,False,False,False,False,False,False,False,,,,Carver School of Social Work,,,,,,,,Substance Use Disorder Area of Focus,"The Substance Use Disorder area of focus prepares you for a graduate-level license to practice clinical substance abuse social work and clinical drug and alcohol counseling under the supervision of a licensed social worker. The curriculum is designed by practitioners who are experts in substance abuse treatment. Courses include topics like psychopharmacology, change theory and addictions. [2]",,https://catalog.campbellsville.edu/content.php?catoid=18&navoid=807,The Carver School Master of Social Work (MSW) Program is accredited by the Council on Social Work Education (CSWE). [5] Campbellsville University is accredited by the Southern Association of Colleges and Schools Commission on Colleges (SACSCOC). [7],,$624 per credit hour,,False,0.0,4.0,3.0,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,"$500 to $1,000",,MSW Faith in Action SWK Scholarship,,,,,,,,
,M.S.W. with Faith-Based Area of Focus,,,,,Graduate,"Fall, Spring, Summer",,,,Not Required,,Not Required,REQUIRED,"The application requirements for the Master of Social Work program include: a completed application for Graduate admissions, a completed Application for Admission to the Master of Social Work Program, a signed Social Work Professional and Technical Standards form, and official transcripts from all previously attended colleges and universities. [2] Applicants must have a baccalaureate degree with an undergraduate GPA of 3.0; students with a lower GPA may still apply but must submit a written explanation. [2] Additionally, three letters of recommendation are required. [2]",Not Required,,True,False,True,True,False,False,,True,False,False,False,False,True,True,False,False,,,,Carver School of Social Work,,,,,,,,Faith Based Area of Focus,"The Carver School Master of Social Work (MSW) Program is grounded in Christian servant leadership, academic excellence, and personal growth inspired by a person-in-environment framework, a trauma-informed focus, evidence-based research and practice, and global community engagement. [6] The purpose of the MSW Program is to develop advanced generalist social workers who are committed to intersectionality, inclusivity, the profession's core values and ethics, life-long learning, and a strengths-based perspective in their practice with individuals, families, groups, organizations, and communities. [6] The Faith-Based Area of Focus is taught from a justice perspective that honors the dignity and worth of all persons, and you'll learn how to ethically integrate faith in all components of social work practice. [4] Selecting this focus area means your placement will be in a nonprofit program, organization or project that identifies as faith-based in the name or mission statement. [4] Required courses for this focus include Integrating Spirituality and Practice, Experiential Learning, and Managing Non-Profit Organizations. [3]",,https://catalog.campbellsville.edu/content.php?catoid=18&navoid=807,The online MSW is accredited by the Council on Social Work Education (CSWE). [2] Campbellsville University is accredited regionally by the Southern Association of Colleges and Schools Commission on Colleges. [2],,,True,False,,4.0,2.5,,,,,,,,,,,,,,,,,,False,False,,,105.0,112.0,,,6.0,,,,,550 (PBT) or 79-80 (iBT),,,,,,,,,,,,,,,,,,,,,
,M.S.W. with Forensic Social Work Area of Focus,,,,,Graduate,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,Forensic Social Work Area of Focus,"The Carver School of Social Work’s Master of Social Work (M.S.W.) program is designed to equip students for direct-service positions in the social work field, as well as for administrative, research and policy-analysis roles. The focus of the M.S.W. program is on preparing graduates to serve in faith-based, rural, and other under-served settings. The M.S.W. Program offers a Forensic Social Work Area of Focus. Forensic social work is the application of social work to questions and issues relating to law and legal systems. This specialty area of social work practice requires the application of social work theory, knowledge and skills to assist individuals, families, groups, organizations, and communities who are involved in the legal system, or who are impacted by legal issues. Forensic social workers can be found in a variety of settings such as corrections, court systems, victim services, domestic violence services, and child welfare.",,https://catalog.campbellsville.edu/content.php?catoid=18&navoid=807,The Master of Social Work program at Campbellsville University is accredited by the Council on Social Work Education (CSWE).,,,,False,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Master of Science in Criminal Justice, M.S.C.J.",,,,,Graduate,,,,,Not Required,Required,,NOT REQUIRED,"Admission to the Master of Science in Criminal Justice Program requires the following:

1. Complete the online application for graduate studies at Campbellsville University.
2. Submit an official transcript from an accredited college or university showing the completion of a bachelor's degree.
3. Have a minimum cumulative GPA of 2.5 (on a 4.0 scale) or a 3.0 in the major subject area on an earned bachelor’s degree from a fully accredited institution OR have a graduate degree from a fully accredited institution OR have a score of 381 on the Miller Analogies Test (MAT) OR a combined verbal and quantitative score of 290 on the Graduate Record Examination (GRE) (or 900 on the old GRE). [8]
4. Provide two letters of recommendation.",Not Required,,True,True,False,False,False,False,,False,False,False,False,False,False,False,True,False,,,,,,,,,,,,,"The online Master of Science in Criminal Justice Program is a 36 credit-hour program that requires 18 credit hours in core criminal justice courses, 12 credit hours in electives and an option to complete 6 credit hours thesis requirement or 6 credit hours in practicum with a comprehensive exam. [5]",,https://catalog.campbellsville.edu/content.php?catoid=18&navoid=807,"Campbellsville University is accredited by the Southern Association of Colleges and Schools Commission on Colleges (SACSCOC) to award diplomas, certificates, associate, bachelor's, master's, specialist, and doctorate degrees. [3]",,,False,False,,4.0,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Master of Arts in English, M.A.",,,,,Graduate,,,,,Not Required,Required,GRE,REQUIRED,"Admission to the Master of Arts in English program requires:

1. Completed application for graduate studies (available online at https://www.campbellsville.edu/apply).
2. An official transcript from a regionally accredited college or university showing a cumulative grade point average of at least 3.0 on a 4.0 scale. Under special circumstances, a student with a cumulative grade point average between 2.75 and 2.99 may be admitted on a probationary basis, providing that the student has also attained a score of at least 153 on the Verbal portion of the Graduate Record Examination (GRE).
3. Satisfactory scores on the Graduate Record Examination (GRE): Verbal 150, Quantitative 140, and Analytical 3.5.
4. Three letters of recommendation.
5. A scholarly writing sample of at least five pages.
6. A one-page statement of purpose.",Required,,False,False,True,False,True,False,,True,False,False,False,True,True,True,False,False,,,,College of Arts and Sciences,,,,,,,,,"The Master of Arts in English program is designed to enhance the knowledge and skills of students in the areas of language, literature, and writing. The program prepares students for a variety of professions in which these skills are valued, including teaching, research, writing, and editing. Students will explore a broad range of literary genres, periods, and critical approaches, and they will develop their own abilities as critical thinkers and effective communicators.",,https://catalog.campbellsville.edu/content.php?catoid=18&navoid=807,,,$460 per credit hour,,False,0.0,4.0,3.0,,,,,,,,,,,,,,,,,,False,False,,,100.0,,,,6.0,,,53.0,,79 (iBT) or 500 (PBT),,,,,,,,,,,,,,,,,,,,,
,"Master of Arts in Sport Management, M.A.S.M.",,,,,Graduate,,,,,Required,Required,Not Required,REQUIRED,"To apply for the Master of Arts in Sport Management program at Campbellsville University, applicants must complete an online application and submit an official college transcript. A cumulative GPA of 2.75 or higher is required. [2] Applicants must also provide three letters of recommendation from current or past supervisors, professors, or other professionals. [2, 3] A cover letter is required, which includes a 1,000-word Statement of Career Goals detailing the reason for applying and future plans with the degree. [2, 3] Additionally, a current bio that includes research experience and a description of work, school, or life experiences related to Sport Management must be submitted. [2, 3] For students with a cumulative GPA of 3.0, the Graduate Record Exam (GRE) or Graduate Management Admissions Test (GMAT) is not required. [3]",Required,,True,True,True,True,False,False,,True,False,False,False,True,True,True,False,False,,,,School of Human Performance,,,,,,,,"['Administration', 'Marketing']",The Master of Arts in Sport Management (MASM) is a 30 hour graduate level program intended primarily for students seeking advanced study in the sport management field. The program requires twenty-one (21) hours of Core Curriculum with five (5) Sport Management courses along with BA 614 Human Resource Management and BA 620 Managerial Finance. The student must choose nine (9) hours of coursework Emphasis in either Administration or Marketing. The student needs to complete the Internship (Capstone project).,,https://catalog.campbellsville.edu/content.php?catoid=18&navoid=807,Campbellsville University is accredited by the Southern Association of Colleges and Schools Commission on Colleges (SACSCOC). Our online master's in sport management is also accredited by the International Accreditation Council for Business Education (IACBE). [2],,$535 per credit hour,,False,,4.0,2.5,,,,,,,,,,,,,,,,,,False,False,,,95.0,,,,6.0,,,52.0,,61,,,,,,,,,,,,,,,,,,,,,
,"Master of Arts in Teaching English to Speakers of Other Languages, M.A. TESOL",,,,,Graduate,,,,,Not Required,Not Required,Not Required,REQUIRED,"Students must submit official transcripts of all college work from accredited institutions (both undergraduate and graduate) confirming a minimum overall grade point average of 2.9 on a 4.0 scale. [10] Students must have three professional and/or academic letters of recommendation. [10] Students must have an undergraduate major in an English discipline. [10] Students who do not have an undergraduate major in English must make a written request for admission. [10] This request must be approved by the Graduate Committee. [10] International students must have their credentials evaluated from a third party source such as World Education Services (www.WES.org) or equivalent. [10] International students, whose first language is not English, must meet the University's English proficiency requirements. [10] Minimum TOEFL exam scores of at least 550 paper-based or 79-80 internet-based are acceptable. [10] Minimum IELTS exam score of 6.0 band is acceptable. [10]",Required,,True,False,True,False,False,False,,True,False,False,False,False,True,False,False,False,,,,School of Education,,,,,,,,,"The mission of the Master of Arts in Teaching English to Speakers of Other Languages (TESOL) is to prepare students to teach English as a Second Language (ESL) in the United States, and also to teach English as a Foreign Language (EFL) in an international setting. [5] This preparation is infused with Christian values and prepares students for teaching English as a missionary or as a Christian teacher in the public school system. [5] The program has goals to provide an understanding of the science of language, offer quality graduate preparation in TESOL, and to conduct research to contribute to the field. [5]",,https://catalog.campbellsville.edu/content.php?catoid=18&navoid=807,Campbellsville University is accredited by the Southern Association of Colleges and Schools Commission on Colleges (SACSCOC). [15],,499,,False,,4.0,3,,,,,,,,,,,,,,,,,,False,False,,,125.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
