Id,ProgramName,ProgramCode,Status,CreatedDate,UpdatedDate,Level,Term,TermCode,LiveDate,DeadlineDate,Resume,StatementOfPurpose,GreOrGmat,EnglishScore,Requirements,WritingSample,CollegeId,IsAnalyticalNotRequired,IsAnalyticalOptional,IsDuoLingoRequired,IsELSRequired,IsGMATOrGreRequired,IsGMATRequired,IsGreRequired,IsIELTSRequired,IsLSATRequired,IsMATRequired,IsMCATRequired,IsPTERequired,IsTOEFLIBRequired,IsTOEFLPBTRequired,IsEnglishNotRequired,IsEnglishOptional,AcademicYear,AlternateProgram,ApplicationType,Department,Fees,Fees.1,IsAvailable,ProgramType,AdmissionDepartmentId,CreatedBy,UpdatedBy,Concentration,Description,OtherConcentrations,ProgramWebsiteURL,Accredidation,AverageScholarshipAmount,CostPerCredit,IsRecommendationSystemOpted,IsStemProgram,MaxFails,MaxGPA,MinGPA,PreviousYearAcceptanceRates,QsWorldRanking,TotalAccepetedApplications,TotalCredits,TotalDeniedApplications,TotalI20sIssued,TotalScholarshipsAwarded,TotalSubmittedApplications,TotalVisasSecured,UsNewsRanking,CollegeApplicationFee,IsCollegePaying,MEContractNegotiatedFee,MyGradAppFee,ProgramCategory,IsCollegeApplicationFree,IsCouponAllowed,IsACTRequired,IsSATRequired,SftpDestinationId,MinimumACTScore,MinimumDuoLingoScore,MinimumELSScore,MinimumGMATScore,MinimumGreScore,MinimumIELTSScore,MinimumMATScore,MinimumMCATScore,MinimumPTEScore,MinimumSATScore,MinimumTOEFLScore,MLModelName,MinimumAnalyticalScore,MinimumEnglishScore,MinimumExperience,MinimumSopRating,WeightAnalytical,WeightEnglish,WeightExperience,WeightGPA,WeightSop,ScholarshipAmount,ScholarshipPercentage,ScholarshipType,IsNewlyLaunched,BatchId,IsImported,IsImportVerified,Is_Recommendation_Sponser,AnalyticalScore,MinimumLSATScore,IsGRERequired
,Master of Science in Applied Data Science,,,,,Graduate,Fall 2026,,,,,,Optional,REQUIRED,,,,True,True,True,True,False,False,,True,False,False,False,True,True,False,False,False,,,,Wallace H. Coulter School of Engineering,"$51,120/Year","$51,120/Year",,,,,,,"The Master of Science in Applied Data Science program at Clarkson is an interdisciplinary program for students with a background in science, mathematics, business or engineering who are seeking to become data scientists. The program provides a strong foundation in data analytics, with courses on topics like machine learning, artificial intelligence, big data and data visualization. Students learn how to apply these techniques to real-world problems in their chosen field. The M.S. in Applied Data Science program at Clarkson University is available in-person or online, allowing students the flexibility to continue working or pursuing other opportunities while they study. The program can be completed on either a full- or part-time basis. This program is STEM designated.",,https://www.clarkson.edu/academics/graduate/programs,,,1704,FALSE,False,,4.0,3.0,,,,,,,,,,,,,,,,,,False,False,,,115.0,112.0,,,6.5,,,56.0,,80.0,,,,,,,,,,,,,Merit-based,FALSE,,,FALSE,FALSE,,,
,Master of Business Administration in Master of Business Administration,,,,,Graduate,Fall 2026,,,,,,Optional,REQUIRED,,,,True,True,True,False,False,False,,True,False,False,False,True,True,False,False,False,,,,David D. Reh School of Business,,54056,,,,,,"['Business Analytics', 'Environmental Management', 'Healthcare Management', 'Marketing', 'Supply Chain Management', 'Innovation & New Venture Management', 'Finance', 'Global Supply Chain Management', 'General MBA']","A Clarkson MBA develops graduates to become leaders and innovators in a fast-paced, technologically driven global marketplace. Students are challenged by a rigorous curriculum that emphasizes strategic thinking, ethical decision-making, and teamwork. In a Clarkson MBA classroom, students solve real-world problems for real companies, participate in national and international business competitions, and travel abroad on global business trips. The Clarkson MBA is offered on-campus at our Capital Region Campus in Schenectady, NY, and online. Students can choose to study on-campus or online, full-time or part-time. Our on-campus and online programs have the same curriculum and instructors. Our curriculum consists of nine core classes (27 credit hours) and three elective courses (9 credit hours). The core curriculum provides comprehensive coverage of key business functions. This includes the foundations of teamwork and leadership, as well as the analytical skills necessary for business problem-solving and innovation. It also instills the importance of social, ethical and environmental responsibility in today’s business world. Electives can be used to earn a concentration or to customize the program to best meet your needs.",,https://www.clarkson.edu/academics/graduate/programs,Accredited by the Association to Advance Collegiate Schools of Business (AACSB International).,,1422.53,FALSE,False,,4.0,3.0,,,,,,,,,,,,,,,,,,False,False,,,115.0,,,,6.5,,,56.0,,80.0,,,,,,,,,,,,25% to over 70%,Merit-based,FALSE,,,FALSE,FALSE,,,
,Master of Business Administration in Healthcare Management,,,,,Graduate,Fall 2026,,,,Required,Required,Not Required,REQUIRED,"A completed application includes: Online Application Form, Statement of Purpose (One-to-two pages explaining your career goals and how a Clarkson MBA will help you achieve them), Resume (Detailing your work experience), Transcripts (From all institutions of higher learning attended), Letters of Recommendation (Two are required. Three are preferred), Test Scores (GRE/GMAT scores are not required), Online Interview, Application Fee.",,,True,False,True,True,False,False,,True,False,False,False,True,True,False,False,False,,,,Reh School of Business,,"$1,475 per credit hour",,,,,,Healthcare Management,"As the healthcare industry continues its rapid expansion, so does the demand for well-trained leaders who can improve the business of delivering patient care. Our AACSB-accredited Master of Business Administration in Healthcare Management program provides the crucial business management knowledge and healthcare industry expertise to effectively and efficiently lead a wide variety of healthcare-related organizations. You can select an online or on-campus MBA. The program culminates with a required capstone experience project for a healthcare organization. This hybrid program requires two weekend residencies per year at our Capital Region Campus in Schenectady, New York. You can also meet all requirements for the Lean Six Sigma Green Belt Certification.",,https://www.clarkson.edu/academics/graduate/programs,AACSB accredited,,"$1,475 per credit hour",FALSE,True,,,,,,,,,,,,,,,,,,,,,False,False,,,115.0,112.0,,,6.5,,,56.0,,80.0,,,,,,,,,,,,,"Merit-based, Graduate Assistantships, Alumni Scholarships",FALSE,,,FALSE,FALSE,,,
,Master of Science in Healthcare Data Analytics,,,,,Graduate,Fall 2026,,,,Required,Required,Not Required,REQUIRED,"All applicants should possess a bachelor’s degree from an accredited institution. To be considered for admission, a complete application will include the following: Online Application Form; Statement of Purpose; Resume or C.V.; Letters of Recommendation; Official Transcripts; Official test scores for the GRE or GMAT are not required but may be submitted to strengthen your application; For international applicants, an English proficiency test is required (see below for more information).",Not Required,,True,True,True,True,False,False,,True,False,False,False,True,True,True,False,False,,,,Reh School of Business,"$1,466 per credit hour","$1,466 per credit hour",,,,,,,"The Master of Science in Healthcare Data Analytics program is a 36-credit-hour, fully online program for working professionals. The program’s curriculum provides a powerful combination of data analytics skills set in the context of the business of healthcare. Students will learn how to access, manage, analyze and transform data into actionable information that leads to improved patient care, enhanced efficiency and better outcomes. The program will equip students to use data to inform healthcare policy, management and clinical decision-making. Students will use the latest healthcare IT tools, programming languages and analytical software to understand and create data-driven insights. They will have access to a rich selection of industry datasets, case studies and projects.",,https://www.clarkson.edu/academics/graduate/programs,,,1466,FALSE,True,,4.0,3.0,,,,,,,,,,,,,,,,,,False,False,,,115.0,112.0,,,6.5,,,56.0,,80.0,,,,,,,,,,,,20 to 50 percent of tuition,Merit-based,FALSE,,,FALSE,FALSE,,,
,Master of Science in Clinical Leadership in Healthcare Management,,,,,Graduate,Fall 2026,,,,,,Not Required,REQUIRED,,,,True,True,True,False,False,False,,True,False,False,False,True,True,False,False,False,,,,Reh School of Business,,,,,,,,,"The Master of Science in Clinical Leadership in Healthcare Management is a 36-credit hour graduate degree that provides students with the business and leadership acumen for a management or leadership role in a clinical healthcare setting. The program is designed to transform the clinical expert into the clinical leader. The curriculum provides a foundation in leadership and the core functional business areas of healthcare management: finance, marketing, data analytics, human resources, quality, etc. The coursework is applied to the clinical setting, and the unique combination of leadership and management gives the clinical expert the skills and knowledge to effectively and efficiently lead the clinical team. The program is offered 100% online in 8-week terms, five times per year. You can begin at any one of five entry points. It can be completed on a part-time basis over two years or in one year on a full-time basis, depending on the number of courses taken per term.",,https://www.clarkson.edu/academics/graduate/programs,,,1563,FALSE,False,,4.0,3.0,,,,,,,,,,,,,,,,,,False,False,,,115.0,,,,6.5,,,56.0,,80.0,,,,,,,,,,,,,Merit-based,FALSE,,,FALSE,FALSE,,,
,Advanced Certificate in Business,,,,,Graduate-Certificate,Fall 2026,,,,,,Not Required,REQUIRED,,,,True,True,True,True,False,False,,True,False,False,False,True,True,True,False,False,,,,Reh School of Business,25770,25770,,,,,,,"The Advanced Certificate in Business is a 15-credit program designed for working professionals who wish to pursue graduate business study but may not be ready to commit to a full master's program. The certificate provides foundational knowledge in key areas of business, including accounting, finance, marketing and management. The certificate also serves as a gateway to the Clarkson MBA. All 15 credits from the Advanced Certificate in Business may be applied to the Clarkson MBA or MBA in Healthcare Management degree programs upon acceptance. The Advanced Certificate in Business is offered online and can be completed in as little as nine months. Students can start in either the fall or spring semesters.",,https://www.clarkson.edu/academics/graduate/programs,"Clarkson's Reh School of Business is accredited by the Association to Advance Collegiate Schools of Business (AACSB), an honor that is shared by only 5% of business schools worldwide.",,1718,FALSE,False,,4.0,3.0,,,,,,,,,,,,,,,,,,False,False,,,115.0,112.0,,,6.5,,,56.0,,80.0,,,,,,,,,,,,,Merit-based,FALSE,,,FALSE,FALSE,,,
,Advanced Certificate in Business Fundamentals,,,,,Graduate-Certificate,Fall 2026,,,,Required,Required,Not Required,REQUIRED,"To apply, you will need: A completed online application. A current resume. Transcripts from all postsecondary institutions attended. One letter of recommendation. A personal statement. NO GRE OR GMAT REQUIRED.",,,True,False,True,True,False,False,,True,False,False,False,True,True,False,False,False,,,,David D. Reh School of Business,19095,19095,,,,,,"Management, Data Analytics","The Advanced Certificate in Business Fundamentals offers a solid foundation in the functional areas of business, including accounting, finance, marketing and operations. The certificate allows for a focus area in either management or data analytics. Students who complete the Advanced Certificate in Business Fundamentals can seamlessly apply their credits to the online MBA program.",,https://www.clarkson.edu/academics/graduate/programs,All of our graduate business programs are accredited by the AACSB (Association to Advance Collegiate Schools of Business).,,1273,FALSE,False,,4.0,3.0,,,,,,,,,,,,,,,,,,False,False,,,115.0,112.0,,,6.5,,,56.0,,80.0,,,,,,,,,,,,10% to 60%,Merit-based,FALSE,,,FALSE,FALSE,,,
,Advanced Certificate in Healthcare Management,,,,,Graduate-Certificate,Fall 2026,,,,Required,Required,Not Required,REQUIRED,"An application for the advanced certificate consists of:

A completed online application.
A current resume.
Official transcripts from all institutions attended.
A statement of purpose.
The application fee.
International applicants must also submit proof of English proficiency.",,,True,False,True,False,False,False,,True,False,False,False,True,True,False,False,False,,,,David D. Reh School of Business,22125,22125,,,,,,,"Our 15-credit-hour Advanced Certificate in Healthcare Management is a non-degree program that gives you a solid foundation in business principles through a healthcare lens. You'll gain a high-level overview of critical areas in healthcare management, including leadership, finance, data analytics and supply chain management. If you're looking for a shorter commitment than a master's degree or want to test the waters before diving into a longer program, this is the perfect option. Should you decide to pursue the Clarkson MBA in Healthcare Management, all 15 credits from your certificate program can be directly applied to your degree. Most students earn their certificate in just one year, making it a quick and effective way to fast-track your career.",,https://www.clarkson.edu/academics/graduate/programs,"As the business school of a nationally-ranked research university, we are proud to have our school and programs accredited by the Association to Advance Collegiate Schools of Business (AACSB International).",,1475,FALSE,False,0.0,4.0,3.0,,,,,,,,,,,,,,,,,,False,False,,,115.0,,,,6.5,,,56.0,,80.0,,,,,,,,,,,,,Merit-based,FALSE,,,FALSE,FALSE,,,
,Advanced Certificate in Human Resource Management,,,,,Graduate-Certificate,Fall 2026,,,,Required,Required,Not Required,REQUIRED,"To apply, you will need to submit the following: Online application form, Resume, Statement of purpose, Official transcripts from all institutions attended, One letter of recommendation.",,,True,False,True,False,False,False,,True,False,False,False,True,True,False,False,False,,,,David D. Reh School of Business,24645,24645,,,,,,,"The Advanced Certificate in Human Resource Management (HRM) from Clarkson University will provide you with the fundamental principles of strategic HRM. Courses cover recruitment, training, compensation, employee relations, labor relations, legal issues, and more. The curriculum is aligned with the Society for Human Resource Management (SHRM) HR Curriculum Guidebook and Templates. Students in the program can take the SHRM Certified Professional exam as the capstone of their studies.",,https://www.clarkson.edu/academics/graduate/programs,The Reh School of Business at Clarkson University is accredited by the Association to Advance Collegiate Schools of Business (AACSB International).,,1643,FALSE,False,,4.0,3.0,,,,,,,,,,,,,,,,,,False,False,,,115.0,,,,6.5,,,56.0,,80.0,,,,,,,,,,,,,Merit-based,FALSE,,,FALSE,FALSE,,,
,Advanced Certificate in Innovation & New Venture Management,,,,,Graduate-Certificate,Fall 2026,,,,Required,Required,Not Required,REQUIRED,"To apply to a graduate program at Clarkson, you will need the following:

Online application form.
Statement of purpose.
Resume or curriculum vitae (CV).
Letters of recommendation.
Transcripts from all post-secondary institutions attended.
Standardized test scores (if required by your program).
Proof of English proficiency (for international applicants).
Application fee.",,,True,False,True,False,False,False,,True,False,False,False,True,True,False,False,False,,,,David D. Reh School of Business,,18048,,,,,,,"The Advanced Certificate in Innovation & New Venture Management provides the foundational knowledge and practical business skills necessary to build a new enterprise. Today’s global economy rewards those who can identify market needs and quickly bring products and services to market. The program’s flexible curriculum is designed for those looking to start their own businesses or who want to become valuable assets at an established company. You will learn the best practices and techniques in product innovation, opportunity recognition, lean startups, strategic marketing and financing new ventures. The Reh School of Business is among the top 5 percent of business schools in the world to earn the prestigious AACSB International accreditation. The program is available to be taken completely online, in-person or a combination of both.",,https://www.clarkson.edu/academics/graduate/programs,The Reh School of Business is among the top 5 percent of business schools in the world to earn the prestigious AACSB International accreditation.,,1504,FALSE,False,,4.0,,,,,,,,,,,,,,,,,,,False,False,,,115.0,,,,6.5,,,56.0,,80.0,,,,,,,,,,,,,Merit-based,FALSE,,,FALSE,FALSE,,,
