Id,ProgramName,ProgramCode,Status,CreatedDate,UpdatedDate,Level,Term,TermCode,LiveDate,DeadlineDate,Resume,StatementOfPurpose,GreOrGmat,EnglishScore,Requirements,WritingSample,CollegeId,IsAnalyticalNotRequired,IsAnalyticalOptional,IsDuoLingoRequired,IsELSRequired,IsGMATOrGreRequired,IsGMATRequired,IsGreRequired,IsIELTSRequired,IsLSATRequired,IsMATRequired,IsMCATRequired,IsPTERequired,IsTOEFLIBRequired,IsTOEFLPBTRequired,IsEnglishNotRequired,IsEnglishOptional,AcademicYear,AlternateProgram,ApplicationType,Department,Fees,Fees.1,IsAvailable,ProgramType,AdmissionDepartmentId,CreatedBy,UpdatedBy,Concentration,Description,OtherConcentrations,ProgramWebsiteURL,Accredidation,AverageScholarshipAmount,CostPerCredit,IsRecommendationSystemOpted,IsStemProgram,MaxFails,MaxGPA,MinGPA,PreviousYearAcceptanceRates,QsWorldRanking,TotalAccepetedApplications,TotalCredits,TotalDeniedApplications,TotalI20sIssued,TotalScholarshipsAwarded,TotalSubmittedApplications,TotalVisasSecured,UsNewsRanking,CollegeApplicationFee,IsCollegePaying,MEContractNegotiatedFee,MyGradAppFee,ProgramCategory,IsCollegeApplicationFree,IsCouponAllowed,IsACTRequired,IsSATRequired,SftpDestinationId,MinimumACTScore,MinimumDuoLingoScore,MinimumELSScore,MinimumGMATScore,MinimumGreScore,MinimumIELTSScore,MinimumMATScore,MinimumMCATScore,MinimumPTEScore,MinimumSATScore,MinimumTOEFLScore,MLModelName,MinimumAnalyticalScore,MinimumEnglishScore,MinimumExperience,MinimumSopRating,WeightAnalytical,WeightEnglish,WeightExperience,WeightGPA,WeightSop,ScholarshipAmount,ScholarshipPercentage,ScholarshipType,IsNewlyLaunched,BatchId,IsImported,IsImportVerified,Is_Recommendation_Sponser,AnalyticalScore,MinimumLSATScore,IsGRERequired
,Master of Science in Accountancy,,,,,Graduate,Fall 2026,,,,,,,,,,,True,True,False,False,False,False,,False,False,False,False,False,False,False,False,False,,,,Kellstadt Graduate School of Business,,,,,,,,,"The nationally ranked Master of Science (MS) in Accountancy is for students who do not have an undergraduate accounting degree and want to pursue a career in accountancy. [48] Through the program’s challenging and integrated sequence of courses, students become proficient in topics relevant to the work of a professional accountant and gain a solid understanding of other business disciplines and their relationship to accounting issues. [48] The curriculum is designed to prepare students for the complexities of the field and to equip them with the skills necessary to succeed as accounting professionals. [49] It blends theoretical foundations with practical applications and prepares students to sit for the CPA exam. [46, 48] Students will learn to exhibit sophisticated knowledge of accounting, auditing, and tax standards and regulations; understand and critically analyze regulatory and ethical standards within an accounting context; and demonstrate an understanding of global business issues. [45, 48]",,https://www.depaul.edu/academics/programs,"DePaul University's Kellstadt Graduate School of Business has maintained its business and accounting accreditations by The Association to Advance Collegiate Schools of Business (AACSB). [50] AACSB Accreditation is the highest form of accreditation for a school's business program, with less than five percent of the world's business programs having been recognized with this level of accreditation. [50]",,,FALSE,False,,4.0,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,"Merit-based, need-based",FALSE,,,FALSE,FALSE,,,
,Bachelor of Science in Business in Accountancy and Master of Science in Audit and Advisory Services (Combined Degree),,,,,Graduate,Fall 2026,,,,,,Optional,REQUIRED,,,,True,True,False,False,False,False,,True,,,,True,True,,False,False,,,,,,,,,,,,,,,https://www.depaul.edu/academics/programs,,,,FALSE,False,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,
,Bachelor of Science in Business in Accountancy and Master of Science in Taxation and Analytics Online (Combined Degree),,,,,Graduate,Fall 2026,,,,,,Optional,REQUIRED,,,,True,True,True,False,False,False,,True,,,,True,True,False,False,False,,,,,,,,,,,,,,,https://www.depaul.edu/academics/programs,,,,FALSE,False,,,,,,,,,,,,,,,,,,,,,False,False,,,115.0,,,,6.5,,,53.0,,80.0,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,
,Master of Science in AccountancyOnline,,,,,Graduate,Fall 2026,,,,,,Optional,REQUIRED,,,,True,True,True,False,False,False,,True,False,False,False,True,True,False,False,False,,,,Kellstadt Graduate School of Business,,"$58,944",,,,,,,,,https://www.depaul.edu/academics/programs,,,"$1,228 per credit hour",FALSE,False,,4.0,3.2,,,,,,,,,,,,,,,,,,False,False,,,115.0,,,,6.5,,,53.0,,80.0,,,,,,,,,,,,,"Merit-based, need-based, and scholarships for international students.",FALSE,,,FALSE,FALSE,,,
,Master of Fine Arts in Acting,,,,,Graduate,Fall 2026,,,,,,Not Required,REQUIRED,,,,True,True,True,False,False,False,,True,False,False,False,True,True,False,False,False,,,,The Theatre School,,"$40,326/Year",,,,,,,,,https://www.depaul.edu/academics/programs,,19500.0,,FALSE,False,,4.0,3.0,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,"$18,000 to $21,000 annually",100%,Merit-based,FALSE,,,FALSE,FALSE,,,
,Master of Science in Actuarial Science,,,,,Graduate,Fall 2026,,,,,,Not Required,REQUIRED,,,,True,True,True,False,False,False,,True,False,False,False,False,True,False,False,False,,,,,,,,,,,,,,,https://www.depaul.edu/academics/programs,,,,FALSE,False,,,,,,,,,,,,,,,,,,,,,False,False,,,115.0,,,,6.5,,,,,80.0,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,
,Master of Arts in Administration (Non-Profit Management),,,,,Graduate,Fall 2026,,,,Required,Required,Optional,REQUIRED,"To be eligible for the Nonprofit Management (MNM) program, students must hold a bachelor's degree from a regionally accredited college or university. [10] To apply, please submit the following: A completed online application; Official transcripts from all colleges and/or universities attended; Two-page personal statement describing your educational and career goals, relevant work or volunteer experience, and any special circumstances affecting past or prospective academic performance; Current resume or curriculum vitae. [10]",Not Required,,True,False,True,False,False,False,,True,True,False,,True,True,True,False,False,,,,,,,,,,,,,"The Master of Nonprofit Management (MNM) at DePaul University prepares students interested in nonprofit management to serve the common good and advance a just society, in the spirit of St. Vincent de Paul. The MNM builds competencies in leadership, management, ethics and advocacy, reflecting the areas of study important to today's nonprofit professional. [7] The program is designed to prepare students for leadership positions in the nonprofit world. [6] You'll take coursework in Management; Financial administration; Human resource management; Ethical leadership; Advocacy and lobbying; Development and fundraising. [5] Integrating best practices in nonprofit management with DePaul's rich, globally focused curriculum, the MNM degree was designed specifically to correspond with the curriculum goals of the Nonprofit Academic Centers Council (NACC). [7] Courses are offered in the evening on the Loop Campus or online. [5]",,https://www.depaul.edu/academics/programs,DePaul University is accredited by The Higher Learning Commission. [4] The master's degrees in public service are accredited by the National Association of Schools of Public Service and Administration. [4],,,FALSE,False,,,,,,,,,,,,,,,,,,,,,False,False,,,110.0,,,,6.5,,,53.0,,80.0,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,
,Master of Arts in Administration & Supervision,,,,,Graduate,Fall 2026,,,,,,Not Required,REQUIRED,,,,True,True,True,False,False,False,,True,False,False,False,True,True,False,False,False,,,,,,,,,,,,,,,https://www.depaul.edu/academics/programs,,,,FALSE,False,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,
,Doctor of Nursing Practice in Adult-Gerontology Nurse Practitioner,,,,,Graduate,Fall 2026,,,,,,,,,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.depaul.edu/academics/programs,,,,FALSE,False,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,
,Certificate in Adult-Gerontology Nurse Practitioner for Nurse Anesthetists,,,,,Graduate-Certificate,Fall 2026,,,,,,Optional,REQUIRED,,,,True,True,True,False,False,False,,True,True,False,False,True,True,True,False,False,,,,,,,,,,,,,,,https://www.depaul.edu/academics/programs,,,,FALSE,False,,,,,,,,,,,,,,,,,,,,,False,False,,,115.0,,,,6.5,,,53.0,,80.0,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,
