Id,ProgramName,ProgramCode,Status,CreatedDate,UpdatedDate,Level,Term,TermCode,LiveDate,DeadlineDate,Resume,StatementOfPurpose,GreOrGmat,EnglishScore,Requirements,WritingSample,CollegeId,IsAnalyticalNotRequired,IsAnalyticalOptional,IsDuoLingoRequired,IsELSRequired,IsGMATOrGreRequired,IsGMATRequired,IsGreRequired,IsIELTSRequired,IsLSATRequired,IsMATRequired,IsMCATRequired,IsPTERequired,IsTOEFLIBRequired,IsTOEFLPBTRequired,IsEnglishNotRequired,IsEnglishOptional,AcademicYear,AlternateProgram,ApplicationType,Department,Fees,Fees.1,IsAvailable,ProgramType,AdmissionDepartmentId,CreatedBy,UpdatedBy,Concentration,Description,OtherConcentrations,ProgramWebsiteURL,Accredidation,AverageScholarshipAmount,CostPerCredit,IsRecommendationSystemOpted,IsStemProgram,MaxFails,MaxGPA,MinGPA,PreviousYearAcceptanceRates,QsWorldRanking,TotalAccepetedApplications,TotalCredits,TotalDeniedApplications,TotalI20sIssued,TotalScholarshipsAwarded,TotalSubmittedApplications,TotalVisasSecured,UsNewsRanking,CollegeApplicationFee,IsCollegePaying,MEContractNegotiatedFee,MyGradAppFee,ProgramCategory,IsCollegeApplicationFree,IsCouponAllowed,IsACTRequired,IsSATRequired,SftpDestinationId,MinimumACTScore,MinimumDuoLingoScore,MinimumELSScore,MinimumGMATScore,MinimumGreScore,MinimumIELTSScore,MinimumMATScore,MinimumMCATScore,MinimumPTEScore,MinimumSATScore,MinimumTOEFLScore,MLModelName,MinimumAnalyticalScore,MinimumEnglishScore,MinimumExperience,MinimumSopRating,WeightAnalytical,WeightEnglish,WeightExperience,WeightGPA,WeightSop,ScholarshipAmount,ScholarshipPercentage,ScholarshipType,IsNewlyLaunched,BatchId,IsImported,IsImportVerified,Is_Recommendation_Sponser,AnalyticalScore,MinimumLSATScore,IsGRERequired
,Academic Advising (Graduate Certificate),,,,,Graduate-Certificate,Fall 2026,,,,Required,Required,Not Required,REQUIRED,"To be accepted to this program, you must have a bachelor's degree from a regionally accredited institution and a 3.0 minimum undergraduate GPA. [3] To apply, you need to complete an online application that includes official transcripts from each undergraduate institution, a personal statement, two letters of recommendation, and a resume. [3]",Not Required,,True,False,True,True,False,False,,True,False,False,False,True,True,False,False,False,,,,School of Education,"The total estimated tuition for the 15-credit-hour program for the 2026-2027 academic year is $5,400 for Indiana residents and $7,350 for non-residents. This is calculated based on the per-credit-hour rate. [1]","For the 2026-2027 academic year, the tuition is $320 per credit hour for Indiana residents and $450 per credit hour for non-residents. An additional 'DE Fee' of $40.00 per credit hour applies to all students. [1]",,,,,,,"As a student in this 15-credit hour program, you will study the foundational theories related to student and adult development. Guide students on their academic journey while creating equitable and inclusive environments for all. You will be taught how to distinguish between the characteristics, needs, and experiences of various student populations, and how to develop your own personal approach to advising. [1]",,https://graduate.indiana.edu/degrees-programs/degrees.html,,,"For the 2026-2027 academic year, the cost per credit hour is $360.00 for Indiana residents and $490.00 for non-residents. This includes a $40.00 'DE Fee' per credit hour. [1]",FALSE,False,,4.0,3.0,,,,,,,,,,,,,,,,,,False,False,,,110.0,112,,,6.5,,,54.0,,79,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,
,Accounting (Master of Business Administration),,,,,Graduate,Fall 2026,,,,Required,Required,,REQUIRED,"To be eligible to pursue an MBA at Indiana University's Kelley School of Business, you must hold a bachelor's degree from a US institution or its recognized equivalent. [2] Most applicants have at least two years of career experience. [3] Your resume should detail your responsibilities, skills, accomplishments, and leadership aptitude. [3] One letter of recommendation is requested. [3] An MBA essay is also required. [3]",Not Required,,False,True,False,False,False,False,,,False,False,False,,,,False,False,,,,Kelley School of Business,"$55,695/year (2025-2026)","$55,695 (2025-2026 academic year). [21]",,,,,,Strategic Analysis of Accounting Information,"The Strategic Analysis of Accounting Information major builds on the business fundamentals and global perspectives developed in the Kelley Integrated Core to provide knowledge and skills directly applicable to this field. This major is STEM-designated, reflecting a curriculum focused on analytics, technology, and data-driven decision making. Students pursuing this major will take 12 credit hours of required coursework.",,https://graduate.indiana.edu/degrees-programs/degrees.html,"The Kelley School of Business, which offers the MBA program, is accredited by the Association to Advance Collegiate Schools of Business (AACSB International). [1, 3]",,,FALSE,True,,4.0,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,Merit-based,FALSE,,,FALSE,FALSE,,,
,Accounting - Financial Analysis (Master of Business Administration),,,,,Graduate,Fall 2026,,,,Required,Required,Optional,REQUIRED,"A complete application includes an online application form, application fee, official transcripts from all post-secondary institutions, and two letters of recommendation. For international applicants, a demonstration of English proficiency is also required.",Not Required,,False,True,True,False,False,False,,True,False,False,False,False,True,False,False,False,,,,,,,,,,,,Strategic Analysis of Accounting Information,"With this major, you'll analyze financial reports and develop an understanding of where the numbers come from and how those numbers can improve operating, investing, and financing decisions. [6] This major is STEM-designated by the US government, reflecting the curriculum's focus on analytics, technology, and data-driven decision making. [6]",,https://graduate.indiana.edu/degrees-programs/degrees.html,The Kelley School of Business is accredited by the Association to Advance Collegiate Schools of Business (AACSB). [7],,,FALSE,True,,,,,,,,,,,,,,,,,,,,,False,False,,,130.0,,,,7.0,,,,,100,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,
,Accounting with Data and Analytics (Master of Science),,,,,Graduate,Fall 2026,,,,Required,Required,Optional,REQUIRED,"Applicants must have completed a four-year undergraduate degree. A grade point average of 3.2 and above is expected. [2] A business degree is not required; however, applicants must complete all prerequisite courses before beginning the MSADA program. [5] Prerequisite courses include: Intro to Financial Accounting, Intro to Managerial Accounting, Intermediate Financial Accounting I and II, Cost Accounting, Tax, and Auditing. [3]",Not Required,,True,False,False,False,False,False,,False,False,False,False,False,True,True,False,False,,,,Kelley School of Business,"In-state tuition: $25,020; Non-Indiana resident/International: $45,436 per year.","$25,020 for in-state residents and $45,436 for non-Indiana residents/international students per year.",,,,,,,,,https://graduate.indiana.edu/degrees-programs/degrees.html,,,,FALSE,True,,4.0,3.2,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,105,,,,,,,,,,,"A 5-hour Graduate Assistantship is valued at $7,827 for nonresident students. [12]",A competitive student admitted to the MSADA program saw her tuition reduced by 20% through a 5-hour GA. [12],"Merit-based financial awards, Graduate Assistantships (GA), including teaching assistantships (TA), and GAP fellowships are available. [11, 12]",FALSE,,,FALSE,FALSE,,,
,Addiction Neuroscience (PhD),,,,,Doctoral,Fall 2026,,,,Not Required,Required,Optional,REQUIRED,"All application materials must be submitted by December 1. Admitted Students enter the program beginning in the Fall semester. The Addiction Neuroscience (AN) program is designed for full-time students only. Application materials required include an online application, a minimum undergraduate GPA of 3.20, a personal statement expressing interest in addiction neuroscience and detailing any relevant research experience, three letters of recommendation, and two official transcripts of all undergraduate and graduate coursework. [2] International students must submit TOEFL scores unless they hold a bachelor's degree from a predominantly English-speaking country. [2] Majors in the life sciences such as psychology, biology, or chemistry are particularly encouraged, though other degrees with appropriate coursework will be considered. [2] High priority is given to academic preparation and performance in the life sciences. [2]",Not Required,,False,True,True,True,False,False,,True,False,False,False,True,True,False,False,False,,,,School of Science,,,,,,,,,"The Ph.D. in Addiction Neuroscience is offered in the Department of Psychology. The program is intended for students interested interested_in the a research-based careers in behavioral neuroscience and psychopharmacology. The graduate training is designed to promote a comprehensive understanding of the neural bases of behavior, with an emphasis on the behavioral neurobiology of drugs of abuse. You will gain expertise in integrative neuroscience and learn to apply current methods of cellular and systems neuroscience to key problems of drug abuse and addiction. You'll be prepared for a career in academia, medical neuroscience research, the pharmaceutical industry, or government research. You'll work closely with a faculty mentor, often in collaboration with other faculty on campus. Your studies will focus on the actions and effects of alcohol and drugs of abuse on brain function and brain development, as well as on brain mechanisms of addictive behavior. Our faculty are experts in: behavior; psychopharmacology and neurochemistry of alcohol and drugs of abuse; genetic determinants of alcohol abuse; mechanisms of alcohol-related behavior; behavioral and neurobiological consequences of developmental exposure to drugs of abuse. [1]",,https://graduate.indiana.edu/degrees-programs/degrees.html,,,,FALSE,True,,4.0,3.2,,,,,,,,,,,,,,,,,,False,False,,,110.0,112,,,6.5,,,54.0,,79,,,,,,,,,,,,,Financial support is typically provided to all students in good standing.,FALSE,,,FALSE,FALSE,,,
,Addictions Counseling (M.S.Ed.),,,,,Graduate,Fall 2026,,,,Required,Required,Not Required,REQUIRED,Bachelor's degree from an accredited institution (minimum accumulative GPA 2.75 out of 4.00); Completed online application that includes: Personal statement; Resume; Three letters of recommendation; Minimum 79 TOEFL score or minimum 6.5 IELTS score or minimum 115 Duolingo score (international students only). [1],Not Required,,True,False,True,False,False,False,,True,False,False,False,False,True,False,False,False,,,,School of Education,"Indiana resident: $488.15/credit hour, Non-resident: $1607.92/credit hour (2025-2026). For 2026-2027: Indiana resident: $488.15, Non-resident: $1640.07","The total estimated tuition for the 60-credit hour program for the 2026-2027 academic year is approximately $29,289 for Indiana residents and $98,404.20 for non-residents, excluding other fees.",,,,,,Addictions Track,"This 60-credit hour degree prepares you for a career as an addictions-focused counselor in a variety of community settings. The evidence-based curriculum and practical training spans prevalence, prevention, and treatment of substance use disorders. Through a combination of coursework, laboratory experiences, practica, and internships you'll develop effective counseling skills and gain the qualifications and confidence needed to help others.",,https://graduate.indiana.edu/degrees-programs/degrees.html,"The M.S. Ed in Mental Health Counseling and Counselor Education is accredited by the Masters in Psychology and Counseling Accreditation Council (MPCAC) for the period of August, 2018 through August, 2028. [1]",,"For the 2026-2027 academic year, the cost per credit hour is $488.15 for Indiana residents and $1,640.07 for non-residents.",FALSE,False,,4.0,2.75,,,,,,,,,,,,,,,,,,False,False,,,115.0,,,,6.5,,,,,79,,,,,,,,,,,,,fellowships and assistantships,FALSE,,,FALSE,FALSE,,,
,"Adult Gerontology Acute Care Nurse Practitioner (Certificate, MSN)",,,,,Graduate-Certificate,Fall 2026,,,,,,Not Required,,,,,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,https://graduate.indiana.edu/degrees-programs/degrees.html,,,,FALSE,False,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,
,"Adult Gerontology Primary Care Nurse Practitioner (Certificate, MSN)",,,,,Graduate-Certificate,Fall 2026,,,,,,Not Required,REQUIRED,,,,False,False,True,True,False,False,,True,False,False,False,True,True,False,False,False,,,,,,,,,,,,Adult Gerontology Primary Care Nurse Practitioner,,,https://graduate.indiana.edu/degrees-programs/degrees.html,,,,FALSE,False,,,,,,,,,,,,,,,,,,,,,False,False,,,110.0,112,,,6.5,,,54.0,,79,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,
,Advanced Materials and Manufacturing (Doctorate in Philosophy),,,,,Doctoral,Fall 2026,,,,,,,,,,,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,https://graduate.indiana.edu/degrees-programs/degrees.html,,,,FALSE,False,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,
,Aerospace Engineering (PhD),,,,,Doctoral,Fall 2026,,,,,,,,,,,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,,,,"Luddy School of Informatics, Computing, and Engineering",Varies,Varies,,,,,,,,,https://graduate.indiana.edu/degrees-programs/degrees.html,,,,FALSE,False,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,Financial support,FALSE,,,FALSE,FALSE,,,
