Id,ProgramName,ProgramCode,Status,CreatedDate,UpdatedDate,Level,Term,TermCode,LiveDate,DeadlineDate,Resume,StatementOfPurpose,GreOrGmat,EnglishScore,Requirements,WritingSample,CollegeId,IsAnalyticalNotRequired,IsAnalyticalOptional,IsDuoLingoRequired,IsELSRequired,IsGMATOrGreRequired,IsGMATRequired,IsGreRequired,IsIELTSRequired,IsLSATRequired,IsMATRequired,IsMCATRequired,IsPTERequired,IsTOEFLIBRequired,IsTOEFLPBTRequired,IsEnglishNotRequired,IsEnglishOptional,AcademicYear,AlternateProgram,ApplicationType,Department,Fees,Fees.1,IsAvailable,ProgramType,AdmissionDepartmentId,CreatedBy,UpdatedBy,Concentration,Description,OtherConcentrations,ProgramWebsiteURL,Accredidation,AverageScholarshipAmount,CostPerCredit,IsRecommendationSystemOpted,IsStemProgram,MaxFails,MaxGPA,MinGPA,PreviousYearAcceptanceRates,QsWorldRanking,TotalAccepetedApplications,TotalCredits,TotalDeniedApplications,TotalI20sIssued,TotalScholarshipsAwarded,TotalSubmittedApplications,TotalVisasSecured,UsNewsRanking,CollegeApplicationFee,IsCollegePaying,MEContractNegotiatedFee,MyGradAppFee,ProgramCategory,IsCollegeApplicationFree,IsCouponAllowed,IsACTRequired,IsSATRequired,SftpDestinationId,MinimumACTScore,MinimumDuoLingoScore,MinimumELSScore,MinimumGMATScore,MinimumGreScore,MinimumIELTSScore,MinimumMATScore,MinimumMCATScore,MinimumPTEScore,MinimumSATScore,MinimumTOEFLScore,MLModelName,MinimumAnalyticalScore,MinimumEnglishScore,MinimumExperience,MinimumSopRating,WeightAnalytical,WeightEnglish,WeightExperience,WeightGPA,WeightSop,ScholarshipAmount,ScholarshipPercentage,ScholarshipType,IsNewlyLaunched,BatchId,IsImported,IsImportVerified,Is_Recommendation_Sponser,AnalyticalScore,MinimumLSATScore,IsGRERequired
,Master of Arts in Advertising,,,,,Graduate,Fall 2026,,,,Required,Required,,,"To be admitted to the Master of Arts degree in Advertising and Public Relations, the applicant must submit: a Graduate School application, an official copy of all transcripts, three letters of recommendation, a statement of purpose outlining academic and professional goals, a personal background statement, a resume, and Test of English as a Foreign Language (TOEFL) scores, if applicable. [1, 6] Students with grade-point averages below 3.25 in the last two years of their undergraduate work must present evidence of special merit. [1] A background in advertising and/or public relations, either from experience or from undergraduate study, is necessary. [6]",Not Required,,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,,,,College of Communication Arts and Sciences,,,,,,,,"['Digital strategy', 'Health, science, and the environment', 'Social impact', 'Research and analytics', 'Specialization in Nonprofit Fundraising', 'Specialization in Information and Media Studies']","A Master's Degree in Advertising and Public Relations from Michigan State University is designed to help students stand apart from the competition. [5] The program teaches strategic and theoretical principles of advertising and public relations, strategy, content creation, research training, and leadership skills. [5, 7] Students will learn from top faculty on topics such as advertising and public relations strategies, digital analytics and media innovations, multimedia content creation, research methods and consumer insights, using theory to drive strategy, and the ethical practices and role of AD+PR in society. [5] The program allows students to create a custom program to meet their career goals or focus on one of four rapidly growing areas. [5] Please note, a notice on the program page states: ""This program is entering moratorium and is not currently accepting applications for Spring 2026 or future semesters."" [5]",,https://www.grad.miami.edu/graduate-education/a-z-listing-graduate-programs/index.html,,,,FALSE,False,,4.0,3.0,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,
,Master of Arts in Arts Presenting,,,,,Graduate,Fall 2026,,,,Required,Required,Not Required,REQUIRED,"To be admitted to the M.A. program on regular status, an applicant must have: A baccalaureate degree, with a cumulative grade–point average of at least 3.00 in the junior and senior years of the baccalaureate degree program. [5] Required application materials include the MSU Graduate application, a Personal Essay, an Academic Essay, a writing sample, a portfolio, and three letters of recommendation. [5]",Required,,True,False,True,False,False,False,,True,False,False,False,True,True,True,False,False,,,,Frost School of Music,,,,,,,,"The Master of Arts in Arts, Cultural Management & Museum Studies program at Michigan State University offers two tracks: arts and cultural management & museum studies. [9] Students can also customize their electives for deeper exposure to museum, artistic, and cultural management based on their interests. [3, 4]","The Master of Arts degree in Arts, Cultural Management and Museum Studies is a multi- and meta-disciplinary degree administered by the College of Arts and Letters that prepares students for leadership positions related to the management and advocacy of arts and cultural organizations or industry dimensions of an artistic and humanistic entrepreneurial career. [3, 4] The program uniquely combines museum studies and arts management curricula, drawing a diverse cohort of students. [4, 6] It is committed to fostering the perspective that management provides an opportunity to engage with people and make a difference in community well-being. [4, 6] Students will customize their program electives for deeper exposure to museum, artistic, and cultural management depending on their area of interest. [3, 4] The degree is available under both Plan A (with a thesis, 30 credits) and Plan B (without a thesis, 31 credits). [3]",,https://www.grad.miami.edu/graduate-education/a-z-listing-graduate-programs/index.html,,,,FALSE,False,,,,,,,,,,,,,,,,,,,,,False,False,,,105.0,,,,6.5,,,53,,79,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,
,Master of Arts in Communication for Global Social Change,,,,,Graduate,Fall 2026,,,,Required,Required,Optional,REQUIRED,"A baccalaureate degree from an accredited institution. An $85.00 non-refundable application fee. Three letters of recommendation. 500-work typed statement of academic and professional goals. Official transcripts of all college work, both undergraduate and graduate. [2, 3]",Not Required,,True,False,True,False,False,False,,True,False,False,False,False,True,False,False,False,,,,School of Communication,,,,,,,,,,,https://www.grad.miami.edu/graduate-education/a-z-listing-graduate-programs/index.html,,,,FALSE,False,More than one failing grade in the same graduate course can result in academic dismissal. [23],4.0,3.0,,,,,,,,,,,,,,,,,,False,False,,,125.0,,,,7.0,,,,,90,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,
,Master of Arts in Communication Studies,,,,,Graduate,Fall 2026,,,,,,Not Required,REQUIRED,,,,False,False,False,False,False,False,,True,False,False,False,True,True,False,False,False,,,,,,,,,,,,,,,https://www.grad.miami.edu/graduate-education/a-z-listing-graduate-programs/index.html,,,,FALSE,False,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,7.0,,,53,,93,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,
,Master of Arts in Communication Studies - Health Communication,,,,,Graduate,Fall 2026,,,,Required,Required,,,Admission to the program requires the following: A minimum overall undergraduate GPA of 3.0 based on all courses taken at MSU. A statement of goals for the M.A. degree. 3 letters of recommendation from faculty in the College of Communication Arts and Sciences. An approved program of study for the M.A. degree at the time of admission. [6],Not Required,,True,True,False,False,False,False,,False,False,False,False,False,False,False,False,False,,,,College of Arts and Sciences,"$47,592 (2025-2026 9-Month)","$47,592 (2025-2026 9-Month)",,,,,,The program offers a thesis track or an examination track. [1],"The Master of Arts (M.A.) in Health and Risk Communication (HRC) is an interdisciplinary program offered in cooperation with the College of Human Medicine, designed to educate students in both the theory and practice of health communication. [1] The program prepares students to use communication to promote positive public health outcomes by teaching them to create effective health messages, prepare professional health communication and marketing materials, and design, implement, and evaluate public communication campaigns. [1] Students gain a broad understanding of health and risk communication strategies and their role in public health, whether their interest is in research or practice. [1] The curriculum, which includes core courses like Mass Communication and Public Health, Health Communication for Diverse Populations, Research Methods, and Introductory Epidemiology, empowers graduates to inform, influence, and persuade people to live healthier lives. [2] The program is designed to include a supervised practicum experience for students to apply their theoretical training in a real-world setting. [2] Please note, a notice on the program's website states: ""This program is under review and is not currently accepting applications for Spring 2026."" [2]",,https://www.grad.miami.edu/graduate-education/a-z-listing-graduate-programs/index.html,,,"$2,644/credit (online)",FALSE,False,,,3.0,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,"Merit-based, Need-based, Assistantships",FALSE,,,FALSE,FALSE,,,
,Master of Arts in Communication Studies - Intercultural Communication,,,,,Graduate,Fall 2026,,,,Required,Required,,,"To be considered for admission, an applicant must have earned a bachelor's degree from a recognized, accredited educational institution and submit the application with all required materials. These materials include an academic statement, a personal statement, three letters of recommendation, a CV/Résumé, and official transcripts from all colleges and universities attended. [3, 4] International students may also need to submit proof of English language proficiency. [3]",Not Required,,True,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,,,,School of Communication,,,,,,,,intercultural communication,"The Master's Degree Program in Communication from Michigan State University has two major directions, the thesis option (pre-Ph.D. track) and the final examination option (career-oriented track). For either option, you can select a focus area in communication as an emphasis, such as interpersonal communication, organizational communication, mediated communication, persuasion and social influence, political communication or intercultural communication. [7] The program is designed to assist students in improving their ability to: Identify key communication variables affecting a person's performance; develop communication strategies for coping with specific communication problems; identify communication variables which influence the relationship between an organization and the larger community; demonstrate an ability to apply information from coursework to the development of communication strategies; and synthesize results from research on any question. [7] All students take two required courses: Communication Theory and Introduction to Quantitative Research Methods. [7] The minimal required courses allow for maximum flexibility to design a curriculum in consultation with a faculty advisor, choosing from courses inside and outside of communication to obtain the necessary 30 credit hours. [7]",,https://www.grad.miami.edu/graduate-education/a-z-listing-graduate-programs/index.html,,,,FALSE,False,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,"Graduate Assistantships, Partial Tuition Waivers",FALSE,,,FALSE,FALSE,,,
,Master of Arts in Communication Studies - Organizational Communication,,,,,Graduate,Fall 2026,,,,Required,Required,Not Required,REQUIRED,"To apply for the Master of Arts in Communication, candidates must complete the online MSU Graduate School Application and pay the associated fee. [1] Applicants are required to upload several documents to the application portal, including a resume or vita, an academic statement detailing plans for graduate study and career goals, and a personal statement describing their background and motivations for pursuing a graduate degree. [1] Additionally, applicants must list three recommenders who can assess their aptitude for graduate studies; these recommenders will submit their letters through an online system. [1] Official transcripts from all previously attended colleges and universities are also required. [1]",Not Required,,True,False,True,False,False,False,,True,False,False,False,True,True,True,False,False,,,,School of Communication,,,,,,,,Organizational Communication,"The Master's Degree Program in Communication from Michigan State University has two major directions, the thesis option (pre-Ph.D. track) and the final examination option (career-oriented track). [9] For either option, you can select a focus area in communication as an emphasis, such as interpersonal communication, organizational communication, mediated communication, persuasion and social influence, political communication or intercultural communication. [9] Both tracks in the M.A. Communication program are designed to assist you in improving your ability to: Identify key communication variables affecting a person's performance, either in an organization where you have worked or one in which you expect to work after completing this program. Develop communication strategies for coping with specific communication problems, which may exist in your current or future job. [9]",,https://www.grad.miami.edu/graduate-education/a-z-listing-graduate-programs/index.html,,,,FALSE,False,,4.0,3.0,,,,,,,,,,,,,,,,,,False,False,,,110.0,,,,7.0,,,53,,93,,,,,,,,,,,,Partial to full tuition waivers may be available.,"Graduate assistantships, tuition waivers.",FALSE,,,FALSE,FALSE,,,
,Master of Arts in International Administration,,,,,Graduate,Fall 2026,,,,,,,,,,,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,https://isp.msu.edu/academics-learning/learning-msu/majors-and-minors/,,,,FALSE,False,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,
,Master of Arts in International Studies,,,,,Graduate,Fall 2026,,,,,,Not Required,REQUIRED,,,,True,False,False,False,False,False,,True,False,False,False,False,True,False,False,False,,,,College of Arts and Sciences,,,,,,,,,,,https://www.grad.miami.edu/graduate-education/a-z-listing-graduate-programs/index.html,,,,FALSE,False,,4.0,3.0,,,,,,,,,,,,,,,,,,False,False,,,,,,,6.5,,,,,80,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,
,Master of Arts in Journalism,,,,,Graduate,Fall 2026,,,,,,Not Required,REQUIRED,,,,True,True,False,False,False,False,,False,False,False,False,False,True,False,False,False,,,,College of Communication Arts and Sciences,,,,,,,,"['Science and Environmental Journalism', 'International Journalism']","Notice: This program is under review and is not currently accepting applications. (For current graduate students and working professionals we recommend looking into the following programs: Documentary Filmmaking Graduate Certificate and Master of Arts in Strategic Communication). The Master of Arts (M.A.) in Journalism program is designed to prepare students for high-impact careers in our rapidly changing news media world. [4] The program combines professional skills training and research for students interested in pursuing a career in media or academia. [4] There are two tracks that students can choose from – research thesis (Plan A) or professional project (Plan B). [4] If students want to specialize further, they can select one of our optional concentrations: Science and Environmental Journalism, and International Journalism. [4] We train our master's students to engage today's diverse audiences. [4] Students master the reporting, writing, visual, digital and critical thinking skills they need to be nimble and versatile in a dynamic news ecosystem. [4] The program can be tailored to meet students' diverse interests and skillsets. [4] Our students are journalism professionals climbing to the next level, experts in other areas who want journalism and communication careers or who wish to use those skills, accomplished journalism undergraduate degree holders who want to specialize, and scholars who want careers in academia with an aim toward a Ph. D. [4]",,https://www.grad.miami.edu/graduate-education/a-z-listing-graduate-programs/index.html,"The School of Journalism at Michigan State University proudly holds accreditation from the Accrediting Council on Education in Journalism and Mass Communications (ACEJMC). [3, 6] The School of Journalism was one of the first journalism programs to be nationally accredited (1949), and one of the very few to be continuously accredited every six years since then. [6] Michigan State University as a whole is accredited by the Higher Learning Commission. [12]",,,FALSE,False,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,several hundred dollars to a full year of tuition,,Scholarships and Assistantships,FALSE,,,FALSE,FALSE,,,
