Id,ProgramName,ProgramCode,Status,CreatedDate,UpdatedDate,Level,Term,TermCode,LiveDate,DeadlineDate,Resume,StatementOfPurpose,GreOrGmat,EnglishScore,Requirements,WritingSample,CollegeId,IsAnalyticalNotRequired,IsAnalyticalOptional,IsDuoLingoRequired,IsELSRequired,IsGMATOrGreRequired,IsGMATRequired,IsGreRequired,IsIELTSRequired,IsLSATRequired,IsMATRequired,IsMCATRequired,IsPTERequired,IsTOEFLIBRequired,IsTOEFLPBTRequired,IsEnglishNotRequired,IsEnglishOptional,AcademicYear,AlternateProgram,ApplicationType,Department,Fees,Fees.1,IsAvailable,ProgramType,AdmissionDepartmentId,CreatedBy,UpdatedBy,Concentration,Description,OtherConcentrations,ProgramWebsiteURL,Accredidation,AverageScholarshipAmount,CostPerCredit,IsRecommendationSystemOpted,IsStemProgram,MaxFails,MaxGPA,MinGPA,PreviousYearAcceptanceRates,QsWorldRanking,TotalAccepetedApplications,TotalCredits,TotalDeniedApplications,TotalI20sIssued,TotalScholarshipsAwarded,TotalSubmittedApplications,TotalVisasSecured,UsNewsRanking,CollegeApplicationFee,IsCollegePaying,MEContractNegotiatedFee,MyGradAppFee,ProgramCategory,IsCollegeApplicationFree,IsCouponAllowed,IsACTRequired,IsSATRequired,SftpDestinationId,MinimumACTScore,MinimumDuoLingoScore,MinimumELSScore,MinimumGMATScore,MinimumGreScore,MinimumIELTSScore,MinimumMATScore,MinimumMCATScore,MinimumPTEScore,MinimumSATScore,MinimumTOEFLScore,MLModelName,MinimumAnalyticalScore,MinimumEnglishScore,MinimumExperience,MinimumSopRating,WeightAnalytical,WeightEnglish,WeightExperience,WeightGPA,WeightSop,ScholarshipAmount,ScholarshipPercentage,ScholarshipType,IsNewlyLaunched,BatchId,IsImported,IsImportVerified,Is_Recommendation_Sponser,AnalyticalScore,MinimumLSATScore,IsGRERequired
,Master of Architecture (M.Arch.),,,,,Graduate,Fall 2026,,,,Not Required,Required,Not Required,REQUIRED,"Applicants must have a bachelor's degree. While no formal architecture training is required, the program assumes familiarity with architectural history and culture, basic graphics skills, and an understanding of fundamental math and physics concepts. Applicants must have completed at least one college-level course in each of the following: Newtonian physics, mathematics (covering algebra plus geometry or trigonometry), a university survey of the history of architecture, and drawing or basic design. The Admissions Committee does consider applications from those who do not have these prerequisites at the time of application, but admission may be offered on the condition that the prerequisites are completed before starting the program. [1] In addition to the university's minimum requirements, all applicants must submit a statement of purpose, a creative portfolio, and a departmental supplement. [1] The portfolio is mandatory for M.Arch. applicants and should be a multi-page PDF file of work created by the applicant. [40]",Not Required,,False,False,False,False,False,False,,True,False,False,False,False,True,True,False,False,,,,Hillier College of Architecture and Design,,,,,,,,"['Urban Design', 'Sustainable Design', 'Advanced Computational Design']","The Hillier College's Master of Architecture (M.Arch.) at NJIT is a post-baccalaureate professional program, fully accredited by the National Architectural Accrediting Board (NAAB). The newly trimmed 90-cr_editsit_s_ program is intended for applicants who have earned a Bachelor of Science, Bachelor of Arts, or a graduate degree in a field other than architecture who wish to earn a degree leading toward professional licensure as an architect. Candidates entering the Professional M.Arch. program complete a required core sequence covering architectural history, integrated building systems, digital design and representation applications as a series of progressive and cumulative co-requisites for the first four design studios. After completion of this mandatory core sequence, students are given a selection of design studios, along with additional elective courses to focus their professional education in a number of specializations including, urban, sustainable, and advanced computational design.",,https://catalog.njit.edu/programs/,"The Master of Architecture (M.Arch.) at NJIT's Hillier College is a professional STEM-designated program, fully accredited by the National Architectural Accrediting Board (NAAB). [2]",,,FALSE,True,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,7.0,,,,,"92 (iBT), 580 (paper and pencil test)",,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,
,Master of Science in Applied Mathematics,,,,,Graduate,Fall 2026,,,,,,,REQUIRED,,,,False,False,True,False,False,False,,True,False,False,False,True,True,,False,False,,,,College of Science and Liberal Arts,,,,,,,,,,,https://catalog.njit.edu/programs/,,,,FALSE,False,,4.0,3.0,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,
,Master of Science in Applied Physics,,,,,Graduate,Fall 2026,,,,,,GRE,REQUIRED,,,,True,True,False,False,True,False,,False,False,False,False,False,False,True,False,False,,,,,,,,,,,,,,,https://catalog.njit.edu/programs/,,,,FALSE,False,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,550,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,
,Master of Science in Applied Science,,,,,Graduate,Fall 2026,,,,,,,,,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://catalog.njit.edu/programs/,,,,FALSE,False,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,
,Master of Science in Applied Statistics,,,,,Graduate,Fall 2026,,,,,,,,,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,"The objective of the Master of Science in Applied Statistics is to prepare students for a wide range of professional activities as practicing statisticians in both academia and industry. [12] The program will serve the needs of students with a baccalaureate degree who are planning to work in industry, commerce, or education, as well as practicing engineers and others already employed in industry and commerce. [12] The program also enhances the analytical and quantitative skills of graduate students interested in pursuing a doctoral degree in Applied Probability and Statistics, as it provides them with foundational training in the basics of statistics, preparing them for further advanced studies and research. [12]",,https://catalog.njit.edu/programs/,NJIT is accredited by the Middle States Commission on Higher Education. [8],,,FALSE,False,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,
,Master of Science in Bioinformatics,,,,,Graduate,Fall 2026,,,,,,,,,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://catalog.njit.edu/programs/,,,,FALSE,False,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,
,Master of Science in Biology,,,,,Graduate,Fall 2026,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://catalog.njit.edu/programs/,,,,FALSE,False,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,
,Master of Science in Biomedical Engineering,,,,,Graduate,Fall 2026,,,,,,,,,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://catalog.njit.edu/programs/,,,,FALSE,False,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,
,Master of Science in Biopharmaceutical Engineering,,,,,Graduate,Fall 2026,,,,,,,,,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://catalog.njit.edu/programs/,,,,FALSE,False,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,
,Master of Science in Biostatistics,,,,,Graduate,Fall 2026,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://catalog.njit.edu/programs/,,,,FALSE,False,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,
,Master of Science in Business,,,,,Graduate,Fall 2026,,,,,,,,,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://management.njit.edu/academics/graduate,,,,FALSE,False,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,
