Id,ProgramName,ProgramCode,Status,CreatedDate,UpdatedDate,Level,Term,TermCode,LiveDate,DeadlineDate,Resume,StatementOfPurpose,GreOrGmat,EnglishScore,Requirements,WritingSample,CollegeId,IsAnalyticalNotRequired,IsAnalyticalOptional,IsDuoLingoRequired,IsELSRequired,IsGMATOrGreRequired,IsGMATRequired,IsGreRequired,IsIELTSRequired,IsLSATRequired,IsMATRequired,IsMCATRequired,IsPTERequired,IsTOEFLIBRequired,IsTOEFLPBTRequired,IsEnglishNotRequired,IsEnglishOptional,AcademicYear,AlternateProgram,ApplicationType,Department,Fees,Fees.1,IsAvailable,ProgramType,AdmissionDepartmentId,CreatedBy,UpdatedBy,Concentration,Description,OtherConcentrations,ProgramWebsiteURL,Accredidation,AverageScholarshipAmount,CostPerCredit,IsRecommendationSystemOpted,IsStemProgram,MaxFails,MaxGPA,MinGPA,PreviousYearAcceptanceRates,QsWorldRanking,TotalAccepetedApplications,TotalCredits,TotalDeniedApplications,TotalI20sIssued,TotalScholarshipsAwarded,TotalSubmittedApplications,TotalVisasSecured,UsNewsRanking,CollegeApplicationFee,IsCollegePaying,MEContractNegotiatedFee,MyGradAppFee,ProgramCategory,IsCollegeApplicationFree,IsCouponAllowed,IsACTRequired,IsSATRequired,SftpDestinationId,MinimumACTScore,MinimumDuoLingoScore,MinimumELSScore,MinimumGMATScore,MinimumGreScore,MinimumIELTSScore,MinimumMATScore,MinimumMCATScore,MinimumPTEScore,MinimumSATScore,MinimumTOEFLScore,MLModelName,MinimumAnalyticalScore,MinimumEnglishScore,MinimumExperience,MinimumSopRating,WeightAnalytical,WeightEnglish,WeightExperience,WeightGPA,WeightSop,ScholarshipAmount,ScholarshipPercentage,ScholarshipType,IsNewlyLaunched,BatchId,IsImported,IsImportVerified,Is_Recommendation_Sponser,AnalyticalScore,MinimumLSATScore,IsGRERequired,Description.1
,Master of Accounting,,,,,Graduate,Fall 2026,,,,Required,Required,GMAT,REQUIRED,"Application requirements consist of the following: Graduate School Application, Application Fee ($85 for U.S. citizens and Permanent Residents or $95 for non-resident aliens and international applicants), Personal Statement, Three Letters of Recommendation, Resume, Transcripts (1 copy from all universities attended), and a minimum 530 GMAT score required. [2] The Admission Committee evaluates candidates on their undergraduate academic record, GMAT score, and engagement & leadership (including internship/work experience, student athletics, campus organizations, volunteer work, study abroad, leadership experience, and integrity). [1] A personal interview is also required as part of the application process, though it may be waived in certain circumstances. [2]",Not Required,,False,False,True,False,False,False,,True,False,False,False,False,True,True,False,False,,,,,,,,,,,,"['Enterprise Risk Management', 'Information Technology', 'Tax Strategy']","The Jenkins Master of Accounting (MAC) program provides exceptional education and real-world experience that equip students to take their careers to the next level. Whether pursued on campus and in-person or taken entirely online, the program's curriculum is designed to provide students with a broad understanding of accounting and business practices, as well as a rigorous technical accounting education. Students have the choice of two tracks (public accounting or business and industry) to meets the needs of their career goals in the accounting profession. They can choose to complement these core courses with specializations an Enterprise Risk Management, Information Technology, or Tax Strategy. The curriculum is focused on both preparing you for the CPA exam and developing real-world skills, and learning doesn't stop in the classroom. MAC students can study abroad, lead financial literacy courses on campus or in the community, work with real companies in practicum exercises and take advantage of innovative learning opportunities.",,https://catalog.ncsu.edu/graduate/,"The Poole College of Management is accredited by the AACSB. The Department of Accounting has also received supplemental accounting accreditation from the AACSB. [8, 15]",,,FALSE,True,,,,,,,,,,,,,,,,,,,,,False,False,,,110.0,,530.0,,6.5,,,,,80,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,,
,Doctor of Philosophy in Adult and Community College Education,,,,,Doctoral,Fall 2026,,,,Required,Required,,,"To qualify for admission, applicants must have a bachelor's degree from an accredited institution of higher education in any field. [3] International applicants must also have a TOEFL score of 100 or higher. [3] Admission decisions are based on several criteria, including undergraduate GPA, work history and interest in the field. [3]",,,False,True,False,False,False,False,,False,False,False,False,False,False,False,False,False,,,,College of Education,,,,,,,,,,,https://catalog.ncsu.edu/graduate/,,,,FALSE,False,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,Graduate assistantships,FALSE,,,FALSE,FALSE,,,,
,Master of Education in Adult and Community College Education,,,,,Graduate,Fall 2026,,,,Required,Required,Not Required,REQUIRED,"Completed online application, department application form, resume and non-refundable application fee; Unofficial transcripts are to be uploaded into the application portal. [3] If admitted, official transcripts must be sent to the Graduate School before admission is confirmed. [3] Statement of interest including summary of your proposed program goals and desired future outcomes upon program completion; North Carolina residency form if claiming for tuition purposes; TOEFL or IELTS scores for international students; Three Letters of Recommendation. [3]",Not Required,,True,False,False,False,False,False,,True,False,False,False,False,True,,False,False,,,,College of Education,,,,,,,,"['Adult and Continuing Professional Education', 'Community College Teaching', 'Health Professions Education']","The Master of Education (M.Ed.) in Adult and Community College Education is designed for entering and experienced educators who seek to advance their careers. Our degree program integrates the best of established adult and lifelong education topics with emerging professional fields. [3] Our program prepares graduates in key subject areas such as understanding adult learner characteristics, motivations, barriers and opportunities; the study of how adults learn, change and grow and how they can be supported by others to do so; the role of technology and distance education in adult learning; and, how professionals can build capacities to design, assess, lead and change organizations that serve adult learners. [3, 4] Adults learn in many contexts – postsecondary and college settings, training & professional development, workplace and workforce development, and in helping profession contexts such as community education, adult basic education, non-profit, religious, or health professions. [3, 6] Note: Degrees earned will be distributed as: ""Master of Education in Adult and Community College Education"" without focus area track specifications. [3, 8]",,https://catalog.ncsu.edu/graduate/,,,,FALSE,False,,4.0,3.0,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,100,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,,
,Master of Science in Adult and Community College Education,,,,,Graduate,Fall 2026,,,,Required,Required,Not Required,REQUIRED,"To qualify for admission, applicants must have a bachelor's degree from an accredited institution of higher education in any field. Admission decisions are based on several criteria, including undergraduate GPA, work history, and interest in the field. A completed online application, department application form, resume, statement of interest, three letters of recommendation, and a non-refundable application fee are required. Unofficial transcripts are to be uploaded into the application portal. International applicants must have a TOEFL score of 100 or higher. [2, 10]",Not Required,,True,False,False,False,False,False,,True,False,False,False,False,True,False,False,False,,,,,,,,,,,,"['Adult and Continuing Professional Education Track', 'Community College Teaching Track', 'Health Professions Education Track']",The Master of Science in Adult and Community College Education is designed for those who want to teach students in community colleges and those who want to work with adult learners. [6] The program is available on the NCSU campus and online. [6],,https://catalog.ncsu.edu/graduate/,"The College of Education is accredited by the Council for the Accreditation of Counseling and Related Programs (CACREP) and the Council for the Accreditation of Educator Preparation (CAEP). [3] All of the bachelor's level and graduate level licensure programs are approved by the North Carolina State Board of Education. [3] North Carolina State University is accredited by the Southern Association of Colleges and Schools Commission on Colleges (SACSCOC) to award associate, baccalaureate, masters, and doctorate degrees. [8]",,,FALSE,False,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,100,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,,
,Master of Advanced Architectural Studies,,,,,Graduate,Fall 2026,,,,Required,Required,Not Required,REQUIRED,"The application requires a portfolio of work, uploaded unofficial transcripts for each institution attended, three uploaded letters of recommendation, a resume, and a Research Interest Statement of 750 words or less. [3]",Not Required,,True,False,True,False,False,False,,True,False,False,False,False,True,True,False,False,,,,College of Design,,"No change to the approved tuition, tuition differential, or fees from the existing Master of Architecture program is requested. [32]",,,,,,,"The Master of Advanced Architectural Studies is a three-semester, research-based innovative program for committed, self-directed a professional degree in architecture, or a degree in a related discipline. It provides opportunities for specialized study in leading-edge areas of the built environment, and a platform to explore solutions to the crucial issues of the 21st century. Students in the MAAS program work closely with a faculty advisor with expertise in students' areas of study during the duration of their program.",,https://catalog.ncsu.edu/graduate/,This degree is not accredited by the National Architecture Accrediting Board (NAAB). [7],,,FALSE,True,,4.0,3.0,,,,,,,,,,,,,,,,,,False,False,,,110.0,,,,6.5,,,,,80,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,,
,Doctor of Philosophy in Aerospace Engineering,,,,,Doctoral,Fall 2026,,,,Required,Required,Optional,REQUIRED,"To be considered for admission, an applicant must have a four-year bachelor's degree or equivalent from an accredited institution with at least a 'B' (3.000/4.000) average in their undergraduate major or latest graduate degree. [7] For the PhD program specifically, a GPA of at least 3.3 on a 4.0 scale in a master's program is required, or 3.5 for Direct to PhD applicants without a prior MS. [8] Applicants need to provide three satisfactory letters of recommendation. [8] For international applicants, TOEFL/IELTS/Duolingo scores are necessary unless a waiver is granted. [8]",Not Required,,False,True,True,False,False,False,,True,False,False,False,False,True,,False,False,,,,College of Engineering,,,,,,,,,"The Doctor of Philosophy degree is pursued by outstanding students with an intense interest in independent study and research. It consists of advanced coursework beyond the master's degree, a written and oral comprehensive preliminary examination, extended and in-depth research, a written dissertation, and a final oral defense of the research.",,https://catalog.ncsu.edu/graduate/,,,,FALSE,True,,,,,,,,,,,,,,,,,,,,,False,False,,,110.0,,,"verbal – 146, quantitative – 155, analytical writing 3.5",6.5,,,,,80,,,,,,,,,,,,,Graduate Student Support Plan (GSSP) which includes tuition support and health insurance for students with teaching or research assistantships.,FALSE,,,FALSE,FALSE,,,,
,Master of Science in Aerospace Engineering,,,,,Graduate,Fall 2026,,,,,,Not Required,REQUIRED,Overall grade point average (GPA) of >3.0 on a 4.0 scale from an accredited institution; Undergraduate major in a technical area which satisfies the prerequisites for graduate coursework in MAE; Three satisfactory letters of recommendation.,,,True,False,True,False,False,False,,True,False,False,False,True,True,False,False,False,,,,,,,,,,,,,"The Master of Science in Aerospace Engineering (MSAE) distance education program is designed for professionals with degrees in aerospace engineering, mechanical engineering or a closely related fields who wish to study aerospace structures, materials and control, aerodynamics, fluid mechanics, and propulsion. [6]",,https://catalog.ncsu.edu/graduate/,,,,FALSE,True,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,,
,Certificate in Agricultural and Extension Education,,,,,Graduate-Certificate,Fall 2026,,,,Not Required,Not Required,Not Required,REQUIRED,"Applicants must meet one of these requirements for admission to the graduate certificate program: Be a graduate of an accredited four-year college or university with a cumulative GPA of at least 3.0 at the time of graduation, or. Be a degree student in good standing in a NC State University graduate program. [1, 2]",Not Required,,True,False,True,False,False,False,,True,False,False,False,False,True,True,False,False,,,,College of Agriculture and Life Sciences,,,,,,,,,"The Department of Agricultural and Extension Education offers a Graduate Certificate in Agricultural and Extension Education. [1] The program focuses on developing knowledge and skills needed to be effective teachers of agriculture in the public schools and community colleges or to work as an educator with the Cooperative Extension Service or in other non-formal educational settings such as public gardens, nature centers and in international development. [1, 3] The AEE certificate program is appropriate for individuals who: have a master's degree in another discipline but would like to gain expertise in agricultural and extension education; are earning a teacher certification in agriculture and desire additional credentials; or work as an extension agent or in another community setting, and need to take courses for required professional development credits. [1] The certificate program involves the completion of 15 credit hours. [1, 3]",,https://catalog.ncsu.edu/graduate/,,,,FALSE,False,,4.0,3.0,,,,,,,,,,,,,,,,,,False,False,,,110.0,,,,6.5,,,,,80,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,,
,Doctor of Philosophy in Agricultural and Extension Education,,,,,Doctoral,Fall 2026,,,,Not Required,Required,,REQUIRED,"Minimum 3.5 a graduate GPA for doctoral students; Three letters of recommendation (At least one academic reference); For doctoral applicants: 1-year required experience, 3 years recommended. Relevant experience in extension, teaching, industry, leadership, or other closely related fields. [3]",Not Required,,True,False,True,False,False,False,,True,False,False,False,False,True,True,False,False,,,,College of Agriculture and Life Sciences,,,,,,,,"In the Ph.D. in Agricultural Education and Human Sciences program, students can specialize in several areas of focus, including: Agricultural Education, Extension Education, Agricultural Leadership Development, and Family and Community Sciences. [2]","The Department of Agricultural and Human Sciences at NC State offers a Doctor of Philosophy (Ph.D.) degree in Agricultural Education and Human Sciences (AEHS). [2] It is a rigorous, research-based program designed for students who want to pursue careers in higher education or administrative positions in educational settings or government. [2] The program is designed to be customized to meet each student's career goals. [2] The curriculum encompasses all aspects of the Department of Agricultural and Human Sciences (AHS): leadership, agricultural extension, agricultural education, and family and community sciences. [6] A minimum of 72 hours past the Bachelor's degree is required, which includes at least six hours of statistics, six hours of additional research breadth coursework, and twelve hours for the dissertation. [8] Doctoral students are expected to achieve mastery of knowledge in their field, produce superior quality work, and demonstrate the ability to conduct original research. [2]",,https://catalog.ncsu.edu/graduate/,,,,FALSE,True,,4.0,3.5,,,,,,,,,,,,,,,,,,False,False,,,110.0,,,,6.5,,,,,80,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,,
,Master of Agricultural and Extension Education,,,,,Graduate,Fall 2026,,,,,Required,,,"Minimum 3.0 undergraduate GPA for master's students; Three letters of recommendation (At least one academic reference); Personal statement; Relevant experience in extension, teaching, industry, leadership, or other closely related fields; Transcripts of all previous collegiate work; Application fee. [1]",Not Required,,True,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,,,,College of Agriculture and Life Sciences,,,,,,,,,"Prepare for a career teaching agricultural education to middle or high school students, or become an Extension agent helping farmers and families succeed in their communities. Or pursue other rewarding positions such as agricultural museum curators, environmental educators, agricultural missionaries, agricultural public relations representatives, or congressional officers.In the M.S. program, students gain practical experience in conducting research. [10] Upon completion, students with a teaching emphasis may qualify for a master's level (M) teaching license. [10]",,https://catalog.ncsu.edu/graduate/,"North Carolina State University is accredited by the Southern Association of Colleges and Schools Commission on Colleges (SACSCOC) to award the associate, baccalaureate, masters and doctorate degrees. [6]",,,FALSE,False,,4.0,3.0,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,Research and/or teaching assistantships,FALSE,,,FALSE,FALSE,,,,
