Id,ProgramName,ProgramCode,Status,CreatedDate,UpdatedDate,Level,Term,TermCode,LiveDate,DeadlineDate,Resume,StatementOfPurpose,GreOrGmat,EnglishScore,Requirements,WritingSample,CollegeId,IsAnalyticalNotRequired,IsAnalyticalOptional,IsDuoLingoRequired,IsELSRequired,IsGMATOrGreRequired,IsGMATRequired,IsGreRequired,IsIELTSRequired,IsLSATRequired,IsMATRequired,IsMCATRequired,IsPTERequired,IsTOEFLIBRequired,IsTOEFLPBTRequired,IsEnglishNotRequired,IsEnglishOptional,AcademicYear,AlternateProgram,ApplicationType,Department,Fees,Fees.1,IsAvailable,ProgramType,AdmissionDepartmentId,CreatedBy,UpdatedBy,Concentration,Description,OtherConcentrations,ProgramWebsiteURL,Accredidation,AverageScholarshipAmount,CostPerCredit,IsRecommendationSystemOpted,IsStemProgram,MaxFails,MaxGPA,MinGPA,PreviousYearAcceptanceRates,QsWorldRanking,TotalAccepetedApplications,TotalCredits,TotalDeniedApplications,TotalI20sIssued,TotalScholarshipsAwarded,TotalSubmittedApplications,TotalVisasSecured,UsNewsRanking,CollegeApplicationFee,IsCollegePaying,MEContractNegotiatedFee,MyGradAppFee,ProgramCategory,IsCollegeApplicationFree,IsCouponAllowed,IsACTRequired,IsSATRequired,SftpDestinationId,MinimumACTScore,MinimumDuoLingoScore,MinimumELSScore,MinimumGMATScore,MinimumGreScore,MinimumIELTSScore,MinimumMATScore,MinimumMCATScore,MinimumPTEScore,MinimumSATScore,MinimumTOEFLScore,MLModelName,MinimumAnalyticalScore,MinimumEnglishScore,MinimumExperience,MinimumSopRating,WeightAnalytical,WeightEnglish,WeightExperience,WeightGPA,WeightSop,ScholarshipAmount,ScholarshipPercentage,ScholarshipType,IsNewlyLaunched,BatchId,IsImported,IsImportVerified,Is_Recommendation_Sponser,AnalyticalScore,MinimumLSATScore,IsGRERequired
,Master of Arts in Childhood Studies,,,,,Graduate,Fall 2026,,,,Not Required,Required,Not Required,REQUIRED,"If you are applying to the MA program your application would need to include: personal statement; official transcripts; letters of recommendation – one required, two recommended. [5]",Not Required,,True,False,True,False,False,False,,True,False,False,False,True,True,False,False,False,,,,"Graduate School, Camden",,"$19,824 per year (in-state), $32,664 per year (out-of-state)",,,,,,,"The Master of Arts in Childhood Studies equips practitioners and beginning scholars with the skills and knowledge to understand and address the challenges which confront children throughout the world. [6] The program prepares its graduates to conduct research with and about children, formulate social policy on behalf of children and their families, and work effectively with diverse populations of children. [6] Graduates pursue careers in public policy, social services, youth programming, and education. [6] Rutgers-Camden's Department of Childhood Studies is dedicated to centering the study of children and childhoods in its research and teaching missions. [6] Employing a multidisciplinary approach, it seeks to both theorize and historicize the concept of childhood while also contextualizing the study of children and childhood within contemporary cultural and global settings. [6]",,https://grad.rutgers.edu/academics/graduate-programs,,,"$859 per credit (in-state), $1,415 per credit (out-of-state)",FALSE,False,,4.0,3.0,,,,,,,,,,,,,,,,,,False,False,,,115.0,,,,7.0,,,68.0,,83,,,,,,,,,,,,,"Fellowships, Grants",FALSE,,,FALSE,FALSE,,,
,PhD in Childhood Studies,,,,,Doctoral,Fall 2026,,,,Not Required,Required,Not Required,REQUIRED,If you are applying to the Ph.D program your application would need to include: GRE score (Note: The Graduate Records Examination (GRE) has been waived for all prospective graduate students applying to the doctoral program in the 2026-2027 academic year); personal statement; official transcripts; three letters of recommendation; writing sample (10+ pages). [1],Required,,True,False,True,False,False,False,,True,False,False,False,False,True,True,False,False,,,,Graduate School-Camden,,,,,,,,,"The world’s first doctoral program in childhood studies, this Ph.D. program prepares students for careers in research, teaching, and policy-making, in which they will generate and apply new knowledge about children and childhood. The program is grounded in the sociology of childhood, which focuses on the socially constructed nature of childhood, the idea of children as social agents, and the role of social structures in shaping children’s lives. The program is also interdisciplinary, drawing on faculty and resources from across the humanities, social sciences, and natural sciences. Students in the program take courses in a variety of disciplines, including sociology, anthropology, history, literature, and psychology. They also have the opportunity to participate in research projects and to work with faculty members on their own research.",,https://grad.rutgers.edu/academics/graduate-programs,,,,FALSE,False,,4.0,,,,,,,,,,,,,,,,,,,False,False,,,120.0,,,,7.0,,,,,550,,,,,,,,,,,,,"Fellowships, Grants",FALSE,,,FALSE,FALSE,,,
,Master of Science in Biology,,,,,Graduate,Fall 2026,,,,,,Not Required,REQUIRED,,,,False,False,False,False,False,False,,True,False,False,False,False,True,True,False,False,,,,Department of Biology,,"Biology master's students who receive a teaching assistantship are eligible for in-state tuition and a monthly salary of $3,000. [2]",,,,,,"['Pre-professional', 'Microbiology', 'Cellular, Developmental, & Molecular Biology', 'Ecology and Evolutionary Biology', 'Neurobiology', 'Bioinformatics', 'Practice of Biology']","The Master of Science in Biology consists of advanced coursework directed towards molecular, cellular and systems principles that apply to microbial, plant and animal contexts. You will choose between the thesis and non-thesis options. We offer non-thesis and thesis Master of Science degrees in Biology that are tailored to the student's individual career goals. A one-year non-thesis M.S. degree entails formal coursework, with no research requirement. This one-year professional degree is designed to prepare students for specialized careers on the track they choose. The thesis M.S. degree requires significant laboratory research, and a written thesis and will take 2 years to complete. The research option helps students develop scientific research skills for improved preparation for entry into PhD programs, or for direct employment in research laboratories in academia, government, and industry.",,https://grad.rutgers.edu/academics/graduate-programs,,,,FALSE,False,,4.0,3.0,,,,,,,,,,,,,,,,,,False,False,,,,,,,7.0,,,,,83 iBT; 575 PBT,,,,,,,,,,,,,Merit-based,FALSE,,,FALSE,FALSE,,,
,Master of Science in Chemistry & Molecular Technology,,,,,Graduate,Fall 2026,,,,Required,Required,Not Required,REQUIRED,"A statement of personal, professional, and academic goals. [11]",,,True,False,True,False,False,False,,True,False,False,False,False,True,False,False,False,,,,Graduate School of Arts and Sciences,"In-State: $23,428/year, Out-of-State: $36,772/year","In-State: $23,428/year, Out-of-State: $36,772/year",,,,,,"['Experimental Track', 'Professional Track']","The Master of Science in Chemistry & Molecular Technology at Rutgers University–Camden is a research-intensive graduate program designed to prepare students for advanced careers in science, technology, and industry. [2] The program emphasizes cutting-edge research in areas such as materials chemistry, biochemistry, nanotechnology, and molecular modeling. [2] Students benefit from small class sizes, close faculty mentorship, and access to state-of-the-art laboratory facilities. [2] The curriculum is designed to be flexible, allowing students to tailor their studies to their specific interests and career goals, whether they are pursuing a professional role in industry or planning to continue to a Ph.D. program. [2] The Experimental Track is ideal for students interested in advancing their careers in the sciences, while the Professional Track is designed for mid-career science professionals and students seeking a flexible, part-time M.S. schedule. [3]",,https://grad.rutgers.edu/academics/graduate-programs,,,"In-State: $859, Out-of-State: $1,415",FALSE,True,,4.0,3.0,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,Merit-based scholarships,FALSE,,,FALSE,FALSE,,,
,Master of Science in Computational & Integrative Biology,,,,,Graduate,Fall 2026,,,,,,Not Required,REQUIRED,"A transcript showing the completion of an undergraduate degree in one of the natural sciences, mathematics, computer science, or engineering. Students with a master's degree in one of these areas will also be considered. [1] Prospective MS Program students will be assessed according to their undergraduate record. Admission assessment may also include an interview with the Admission Committee, formed by the Program Director and key faculty members. [7]",Not Required,,True,False,True,False,False,False,,True,False,False,False,True,True,False,False,False,,,,,,,,,,,,"['Thesis option', 'Non-thesis option']","The Master of Science (M.S.) in Computational and Integrative Biology at Rutgers-Camden is a 30-credit program operating within an interdisciplinary center that connects experimental and computational methods in quantitative biology. [1] The curriculum explores integrative biology, from molecular complexities to population dynamics, and utilizes computational tools for designing and analyzing experiments. [1] Students in the master's program are expected to develop strong quantitative skills and a comprehensive knowledge of systems biology, which are essential for conducting meaningful research in the field. [4] The program provides a solid foundation in key concepts of biological chemistry, biomathematics, computer science, and integrative biology. [4] Furthermore, students will gain the ability to apply quantitative approaches to biological research, critically analyze scientific literature, and effectively communicate scientific ideas and research findings. [4] Students will acquire a productive understanding of five scientific fields (Biology, Chemistry, Computer Science, Mathematics, Physics) to a level sufficient for engaging in interdisciplinary research. [3]",,https://grad.rutgers.edu/academics/graduate-programs,,,,FALSE,True,,,,,,,,,,,,,,,,,,,,,False,False,,,115.0,,,,6.5,,,53.0,,79,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,
,PhD in Computational & Integrative Biology,,,,,Doctoral,Fall 2026,,,,Not Required,Required,GRE,REQUIRED,"Admission to the graduate program in computational and integrative biology (GPCIB) requires a bachelor of science degree (or equivalent) in one of the natural sciences, mathematics, computer science, or engineering. Students with a master's degree in one of these areas will also be considered. Admission is granted on the basis of transcripts of academic grades, a personal statement, and three letters of recommendation. GRE scores are required for Ph.D. applicants. [1]",Not Required,,False,False,False,False,True,False,,True,False,False,False,False,True,False,False,False,,,,Graduate School of Arts and Sciences,,,,,,,,,"The PhD in Computational and Integrative Biology at Rutgers University operates within an interdisciplinary center that connects experimental and computational methods in quantitative biology. [2] The program, which requires 70 credits, is designed to prepare students to become researchers in the field, offering a comprehensive curriculum to develop expertise as scholars. [2] The curriculum explores integrative biology, from molecular details to population dynamics, and utilizes computational tools for experiment design and analysis. [2] Students are expected to gain a thorough understanding of key concepts in biological chemistry, biomathematics, computer science, and integrative biology. [3] Doctoral students must demonstrate the ability to make a significant original research contribution to the field and defend it in an oral defense. [3]",,https://grad.rutgers.edu/academics/graduate-programs,,,,FALSE,True,,,3.2,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,"Writing 22, Speaking 23, Reading 21, and Listening 17",,,,,,,,,,,,,"['Teaching Assistantships', 'Graduate Assistantships']",FALSE,,,FALSE,FALSE,,,
,Master of Science in Computer Science,,,,,Graduate,Fall 2026,,,,Required,Not Required,Optional,REQUIRED,Completed Application for Admission; Application Fee; Unofficial Academic Transcripts; Short Essay Questions; Resume or Curriculum Vitae (CV); Two Letters of Recommendation; Standardized Test Scores (GRE/GMAT); English Language Proficiency.,Not Required,,False,True,True,False,False,False,,True,False,False,False,True,True,False,False,False,,,,School of Graduate Studies,,,,,,,,,,,https://grad.rutgers.edu/academics/graduate-programs,,,,FALSE,True,,,3.0,,,,,,,,,,,,,,,,,,False,False,,,,,,,7.0,,,53.0,,83,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,
,Master of Fine Arts in Creative Writing,,,,,Graduate,Fall 2026,,,,Required,Required,Optional,REQUIRED,"Three letters of reference, resume, personal statement, and writing sample required for all applicants. All documents must be uploaded to your application.",Required,,True,False,True,False,False,False,,True,False,False,False,False,True,False,False,False,,,,Graduate School-Camden,"For NJ residents: $35,178/program, For non-residents: $58,500/program","The tuition fee is on a per-credit basis. For New Jersey residents, the cost is $902 per credit, and for non-residents, it is $1,500 per credit. [15]",,,,,,"['Fiction', 'Poetry', 'Non-fiction']","The MFA in Creative Writing program (mfa) was developed by Rutgers English Professor Jayne Anne Phillips. The award-winning author came to the Newark campus with definite ideas for the Masters of Fine Arts in Creative Writing program she was charged with developing. The program is subtitled Real Lives, Real Stories, because, as Philips explains, Were interested in the real world experience of our applicants as well as in their creative work and intellectual rigor. The program will actively engage students in the Newark arts community in which their faculty, and Rutgers itself, already play a vital role. MFA students also will draw upon the diverse cultural resources of both the university and the nearby community. One especially innovative aspect of the program requires students to complete an electives concentration in either literature/book arts, performance/media studies, or in cultural/political studies, to complement their writing work.",,https://grad.rutgers.edu/academics/graduate-programs,,,"NJ Resident: $902/credit, Non-Resident: $1,500/credit [15]",FALSE,False,,,3.0,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,"Teaching Assistantships include a stipend ($40,000 for the 2025-2026 school year) and tuition remission. Two $1900 stipends are also available for students in the Growing Great Writers program.",,Teaching Assistantships and tuition remission are available. [17],FALSE,,,FALSE,FALSE,,,
,Master of Business and Science,,,,,Graduate,Fall 2026,,,,Required,Required,Not Required,REQUIRED,"Applicants are expected to have an undergraduate degree in a scientific or engineering field, with a GPA of at least 3.0 on a 4.0 scale. [2] A personal statement, resume, and two letters of recommendation are required. [15] International students' transcripts must be evaluated by World Education Services (WES). [15] A TOEFL (Test of English as a Foreign Language) or IELTS (International English Language Testing System) test score is required if your undergraduate education was completed in a non-English speaking country. [3] The minimum TOEFL scores are 550 (paper-based) or 213 (computer-based). [3] The minimum IBT internet-based TOEFL scores are: writing 22, speaking 23, reading 21, and listening 17. [3] An acceptable IELTS score is a bandwidth of 7. [3]",Not Required,,False,True,False,False,False,False,,True,False,False,False,False,True,True,False,False,,,,School of Graduate Studies,"In-State: $38,700/program, Out-of-State: $66,607/program (Based on 43 credits for the 2025-2026 academic year)","The tuition for the Master of Business and Science (MBS) degree for the 2025-2026 academic year is $900 per credit for in-state students and $1,549 per credit for out-of-state students. [2] The program requires a total of 43 credits to be completed. [27]",,,,,,"['Actuarial and Statistical Analysis', 'Applied Computing', 'Applied Food Science and Technology', 'Analytics: Data Science & AI', 'Biotechnology and Genomics', 'Cybersecurity', 'Drug Discovery and Development', 'Engineering Management', 'Geospatial Information Systems & Technology', 'Global Agriculture', 'Horticulture and Turfgrass Science', 'Industrial Mathematics', 'Informatics and Data Engineering', 'Personal Care Science', 'Product and Packaging Engineering', 'Product Design', 'Pharmaceutical Engineering', 'Quality and Reliability Engineering', 'Social Media & Networking', 'Sustainability', 'Technology Management', 'Urban Environmental Analysis', 'User Experience Design (UXD)']","Rutgers' Master of Business and Science (MBS) degree combines advanced, STEM-based education with professionally guided business training, enabling graduates to excel in leadership roles at top science-based companies. [3] This innovative program, established in 2010, was designed to bridge the gap between STEM and business by combining rigorous scientific training with advanced business education. [4, 8] It is ideal for professionals looking to advance their careers or for those who want to pursue graduate-level education in STEM-based, science-intensive industries. [3] The curriculum is a blend of science and business, requiring students to complete 24 credits in their chosen science concentration and 19 credits in business. [3, 12] The program is part of the Professional Science Master's (PSM) network. [7] Students can choose from over 25 professionally-focused degrees in areas such as Life Sciences, Engineering Management, and Computer & Information Sciences. [3]",,https://grad.rutgers.edu/academics/graduate-programs,"The Master of Business and Science program is part of the Professional Science Master's (PSM) network, which includes more than 150 academic institutions across the country. [7]","$1,000 to $3,000 per semester","In-State: $900, Out-of-State: $1,549",FALSE,True,9,4.0,3.0,,,,,,,,,,,,,,,,,,False,False,,,,,,,7.0,,,,,"550 (paper-based), 213 (computer-based), or IBT scores of: writing 22, speaking 23, reading 21, listening 17",,,,,,,,,,,,,"Merit-based, Need-based",FALSE,,,FALSE,FALSE,,,
,Certificate in Bilingual/Bicultural Education,,,,,Graduate-Certificate,Fall 2026,,,,Not Required,Required,Not Required,REQUIRED,"Admission requirements include an online application, an essay of 250-500 words, transcripts from all previous institutions attended, and verification of a current standard NJ certification(s). [4] A BA GPA of 3.0 or higher is also required. [4] Candidates must hold, or be in the process of obtaining, a New Jersey instructional certificate with an appropriate subject or grade-level endorsement; World Language certificates are not acceptable for this program. [2] Applicants must demonstrate language proficiency through testing in both English and the target language. [2, 4]",Not Required,,True,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,,,,Graduate School of Arts and Sciences,,,,,,,,,"This 12-credit program prepares educators to teach in bilingual and bicultural classroom settings across New Jersey public schools. Whether you are seeking to expand your teaching credentials or deepen your impact in linguistically diverse communities, this certificate offers targeted preparation that leads to eligibility for the New Jersey Bilingual endorsement. [5] The Bilingual/Bicultural Education certificate builds your capacity to assess and teach multilingual learners in both English and a target language across speaking, listening, reading, and writing. [5] Candidates must hold, or be in the process of obtaining, a New Jersey instructional certificate with an appropriate subject or grade-level endorsement. [5] Coursework emphasizes second language acquisition theory, linguistics, literacy development, and methods specific to bilingual and bicultural instruction. [5] You'll gain the knowledge and practical tools to build students' academic language and literacy in both languages of instruction. [5] By engaging with research-based strategies and culturally responsive pedagogy, you'll be prepared to design inclusive learning environments that affirm students' identities and promote achievement. [5] The program is grounded in the New Jersey Professional Standards for Teachers (NJPST) and supports your ability to work confidently in dual-language or transitional bilingual classrooms. [5]",,https://grad.rutgers.edu/academics/graduate-programs,,,,FALSE,False,,4.0,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,
