Id,ProgramName,ProgramCode,Status,CreatedDate,UpdatedDate,Level,Term,TermCode,LiveDate,DeadlineDate,Resume,StatementOfPurpose,GreOrGmat,EnglishScore,Requirements,WritingSample,CollegeId,IsAnalyticalNotRequired,IsAnalyticalOptional,IsDuoLingoRequired,IsELSRequired,IsGMATOrGreRequired,IsGMATRequired,IsGRERequired,IsIELTSRequired,IsLSATRequired,IsMATRequired,IsMCATRequired,IsPTERequired,IsTOEFLIBRequired,IsTOEFLPBTRequired,IsEnglishNotRequired,IsEnglishOptional,AcademicYear,AlternateProgram,ApplicationType,Department,Fees,IsAvailable,ProgramType,AdmissionDepartmentId,CreatedBy,UpdatedBy,Concentration,Description,OtherConcentrations,ProgramWebsiteURL,Accredidation,AverageScholarshipAmount,CostPerCredit,IsRecommendationSystemOpted,IsStemProgram,MaxFails,MaxGPA,MinGPA,PreviousYearAcceptanceRates,QsWorldRanking,TotalAccepetedApplications,TotalCredits,TotalDeniedApplications,TotalI20sIssued,TotalScholarshipsAwarded,TotalSubmittedApplications,TotalVisasSecured,UsNewsRanking,CollegeApplicationFee,IsCollegePaying,MEContractNegotiatedFee,MyGradAppFee,ProgramCategory,IsCollegeApplicationFree,IsCouponAllowed,IsACTRequired,IsSATRequired,SftpDestinationId,MinimumACTScore,MinimumDuoLingoScore,MinimumELSScore,MinimumGMATScore,MinimumGreScore,MinimumIELTSScore,MinimumMATScore,MinimumMCATScore,MinimumPTEScore,MinimumSATScore,MinimumTOEFLScore,MLModelName,MinimumAnalyticalScore,MinimumEnglishScore,MinimumExperience,MinimumSopRating,WeightAnalytical,WeightEnglish,WeightExperience,WeightGPA,WeightSop,ScholarshipAmount,ScholarshipPercentage,ScholarshipType,IsNewlyLaunched,BatchId,IsImported,IsImportVerified,Is_Recommendation_Sponser,AnalyticalScore,MinimumLSATScore
,Master of Science in Accounting,,,,,Graduate,Fall 2026,,,,Required,Required,Optional,Required,,Not Required,,True,True,True,False,False,False,False,True,False,False,False,True,True,False,False,False,,,,,,,,,,,Taxation,"The Master of Science (MS) in Accounting program at Binghamton University provides students with in-depth knowledge of accounting and auditing, emphasizing conceptual understanding, analytical methods, and logical reasoning.  The program is designed to help students meet the 150 credit-hour requirement for CPA certification and licensure.  It focuses on developing new technical skills to meet the demands of an evolving industry, with a curriculum that includes data analysis, programming, blockchain, and cybersecurity.",,https://www.binghamton.edu/grad-school/admissions/academics.html,,,1021.0,FALSE,False,,,3.0,,,,,,,,,,,,,,,Accounting/Finance,,,False,False,,,115.0,,,,7.0,,,65.0,,96.0,,,,,,,,,,,,,"Teaching assistantships, Graduate assistantships",FALSE,,,FALSE,FALSE,,
,Certificate in Adult-Gerontology Acute Care Nurse Practitioner,,,,,Graduate-Certificate,Fall 2026,,,,Required,Required,Not Required,Required,,Not Required,,True,True,True,False,False,False,False,True,False,False,False,True,True,False,False,False,,,,,,,,,,,,"The Adult-Gerontology Acute Care Nurse Practitioner (AG-ACNP) Post-Professional Certificate is for graduate-prepared Nurse Practitioners (NP) or Clinical Nurse Specialists (CNS) looking to expand their roles into adult-gerontology acute care. The curriculum prepares nurse practitioners to provide care for adults and older adults with acute, critical, and complex chronic health issues. The program requires 24 credits and 540 clinical hours for completion.",,https://www.binghamton.edu/grad-school/admissions/academics.html,,,1071.0,FALSE,False,,,3.0,,,,,,,,,,,,,,,Nurse Practitioner##Nursing##Gerontology,,,False,False,,,110.0,,,,6.5,,,53.0,,80.0,,,,,,,,,,,,,Merit-based,FALSE,,,FALSE,FALSE,,
,Master of Science in Nursing in Adult-Gerontology,,,,,Graduate,Fall 2026,,,,,,,,,,,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,https://www.binghamton.edu/grad-school/admissions/academics.html,,,,FALSE,False,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,
,Certificate in Adult-Gerontology Primary Care Nurse Practitioner,,,,,Graduate-Certificate,Fall 2026,,,,Required,Required,Not Required,Required,,Not Required,,True,True,True,False,False,False,False,True,False,False,False,True,True,False,False,False,,,,,,,,,,,,"This certificate program prepares nurses with a master's degree to provide primary care to a diverse population of patients, from adolescents to older adults. The curriculum focuses on developing competencies in health promotion, disease prevention, and the management of both acute and chronic health conditions in various community and outpatient settings.",,https://www.binghamton.edu/grad-school/admissions/academics.html,,,1021.0,FALSE,False,,,3.0,,,,,,,,,,,,,,,Nurse Practitioner##Nursing##Gerontology,,,False,False,,,105.0,,,,6.5,,,53.0,,80.0,,,,,,,,,,,,,"Fellowships, Loans, Assistantships",FALSE,,,FALSE,FALSE,,
,Master of Arts in Advertising,,,,,Graduate,Fall 2026,,,,Required,Required,Not Required,Required,,,,True,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,,,,,,,,,,,,,,https://www.binghamton.edu/grad-school/admissions/academics.html,,,1097.5,FALSE,False,,,3.0,,,,,,,,,,,,,,,,,,False,False,,,,,,,6.5,,,,,80.0,,,,,,,,,,,,,"Fellowships, Assistantships",FALSE,,,FALSE,FALSE,,
,Master of Arts in Anthropology,,,,,Graduate,Fall 2026,,,,Required,Required,Not Required,Required,,Not Required,,True,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,,,,,,,,,,,"Archaeology, Public Archaeology, Linguistic Anthropology, Sociocultural Anthropology","The Master of Arts in Anthropology at Binghamton University provides students with a foundation in the four traditional subfields: archaeology, biological anthropology, linguistic anthropology, and social/cultural anthropology.  The program is designed to impart a substantial command of the discipline's subject matter and prepare students for professional pursuits.  Students are required to take courses across the subfields, though they will focus on one, and interdisciplinary research is encouraged.",,https://www.binghamton.edu/grad-school/admissions/academics.html,,,1021.0,FALSE,False,,,3.0,,,,,,,,,,,,,,,Anthropology##Archaeology,,,False,False,,,,,,,6.5,,,,,80.0,,,,,,,,,,,,,"Fellowships, Assistantships, Research appointments, Tuition scholarship",FALSE,,,FALSE,FALSE,,
,Certificate in Applied Carbonate Geology,,,,,Graduate-Certificate,Fall 2026,,,,Required,Required,Not Required,Required,,,,True,True,True,False,False,False,False,True,False,False,False,True,True,False,False,False,,,,,,,,,,,,,,https://www.binghamton.edu/grad-school/admissions/academics.html,,,1021.0,FALSE,False,,,3.0,,,,,,,,,,,,,,,,,,False,False,,,105.0,,,,6.5,,,53.0,,80.0,,,,,,,,,,,,,"Teaching and research assistantships, program-specific scholarships",FALSE,,,FALSE,FALSE,,
,Doctor of Education in Applied Learning Sciences,,,,,Doctoral,Fall 2026,,,,Required,Required,Not Required,Required,,Required,,True,True,True,False,False,False,False,True,False,False,False,True,True,False,False,False,,,,,,,,,,,"Educational Theory and Practice, Ethics, Diversity, and Social Justice in Education, Research and Scholarship in Education","The Doctor of Education in Educational Theory, Research, and Practice integrates theory and research to enhance the understanding and improvement of teaching and learning. The program operates within the broader institutional, social, and political contexts of various educational settings. It is designed for experienced professionals, fostering discourse across diverse professional fields and research interests.",,https://www.binghamton.edu/grad-school/admissions/academics.html,,,1021.0,FALSE,False,,,3.0,,,,,,,,,,,,,,,Education##Research Methods##Social Sciences,,,False,False,,,105.0,,,,6.5,,,53.0,,80.0,,,,,,,,,,,,,"Assistantships, Scholarships",FALSE,,,FALSE,FALSE,,
,Master of Science in Education in Applied Physiology,,,,,Graduate,Fall 2026,,,,,,,,,,,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,https://www.binghamton.edu/grad-school/admissions/academics.html,,,,FALSE,False,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,
,Master of Professional Studies in Applied Remote Sensing,,,,,Graduate,Fall 2026,,,,Required,Required,Not Required,Required,,Not Required,,True,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,,,,,,,,,,,"General geography, Cartography and geographical information systems (GIS), Environmental and resource management, Urban planning and applied geography, Race and ethnicity","Since the specified program was not found, the closest alternative is the Master of Arts (MA) in Geography. This program educates students for advanced graduate studies and for professional careers in government service, industry, and regional or urban planning, offering a track in Cartography and Geographical Information Systems (GIS).",,https://www.binghamton.edu/grad-school/admissions/academics.html,,,1021.0,FALSE,False,,,3.0,,,,,,,,,,,,,,,Geography##Geographic Information Systems##Remote Sensing & Geospatial Sciences,,,False,False,,,,,,,6.5,,,,,80.0,,,,,,,,,,,,,"Fellowships, Scholarships, Awards, Loans, Assistantships",FALSE,,,FALSE,FALSE,,
,Master of Professional Studies in Aquaculture,,,,,Graduate,Fall 2026,,,,Required,Required,Not Required,Required,,Not Required,,True,True,True,False,False,False,False,True,False,False,False,True,True,False,False,False,,,,,,,,,,,,,,https://www.binghamton.edu/grad-school/admissions/academics.html,,,1021.0,FALSE,False,,,3.0,,,,,,,,,,,,,,,,,,False,False,,,105.0,,,,6.5,,,53.0,,80.0,,,,,,,,,,,,,"Graduate Assistantships, Grants, Loans, Scholarships",FALSE,,,FALSE,FALSE,,
,Master of Science in Architectural Engineering,,,,,Graduate,Fall 2026,,,,,,,,,,,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,https://www.binghamton.edu/grad-school/admissions/academics.html,,,,FALSE,False,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,
,Certificate in Classical Architecture,,,,,Graduate-Certificate,Fall 2026,,,,,,,Required,,,,True,True,True,False,False,False,False,True,False,False,False,True,True,False,False,False,,,,,,,,,,,,"The Certificate in Classical Architecture is not a formal graduate program offered by Binghamton University. It is a certification provided by the national Institute of Classical Architecture & Art (ICAA), which may be pursued through various pathways, including potential collaborations with academic institutions.",,https://www.binghamton.edu/grad-school/admissions/academics.html,,,1021.0,FALSE,False,,,,,,,,,,,,,,,,,,Architecture##Art##Art History##History/Preservation,,,False,False,,,105.0,,,,6.5,,,53.0,,80.0,,,,,,,,,,,,,"teaching and research opportunities, Binghamton fellowships, external fellowships",FALSE,,,FALSE,FALSE,,
,Certificate in Artist Development Online,,,,,Graduate-Certificate,Fall 2026,,,,,,,Required,,,,True,True,True,False,False,False,False,True,False,False,False,True,True,False,False,False,,,,,,,,,,,,,,https://www.binghamton.edu/grad-school/admissions/academics.html,,,1021.0,FALSE,False,,,3.0,,,,,,,,,,,,,,,,,,False,False,,,105.0,,,,6.5,,,53.0,,80.0,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,
,Certificate in Arts Leadership Online,,,,,Graduate-Certificate,Fall 2026,,,,Required,Required,Not Required,Required,,Not Required,,True,True,True,False,False,False,False,True,False,False,False,True,True,False,False,False,,,,,,,,,,,,,,https://www.binghamton.edu/grad-school/admissions/academics.html,,,565.0,FALSE,False,,,3.0,,,,,,,,,,,,,,,,,,False,False,,,105.0,,,,6.5,,,53.0,,80.0,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,
,Certificate in Arts Management Online,,,,,Graduate-Certificate,Fall 2026,,,,,,,Required,,,,True,True,True,False,False,False,False,True,False,False,False,True,True,False,False,False,,,,,,,,,,,,,,https://www.binghamton.edu/grad-school/admissions/academics.html,,,565.0,FALSE,False,,,3.0,,,,,,,,,,,,,,,,,,False,False,,,105.0,,,,6.5,,,53.0,,80.0,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,
,Certificate in Arts Presenting Fundamentals Online,,,,,Graduate-Certificate,Fall 2026,,,,,,,Required,,,,True,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,,,,,,,,,,,,,,https://www.binghamton.edu/grad-school/admissions/academics.html,,,565.0,FALSE,False,,,3.0,,,,,,,,,,,,,,,,,,False,False,,,,,,,6.5,,,,,80.0,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,
