Id,ProgramName,ProgramCode,Status,CreatedDate,UpdatedDate,Level,Term,TermCode,LiveDate,DeadlineDate,Resume,StatementOfPurpose,GreOrGmat,EnglishScore,Requirements,WritingSample,CollegeId,IsAnalyticalNotRequired,IsAnalyticalOptional,IsDuoLingoRequired,IsELSRequired,IsGMATOrGreRequired,IsGMATRequired,IsGreRequired,IsIELTSRequired,IsLSATRequired,IsMATRequired,IsMCATRequired,IsPTERequired,IsTOEFLIBRequired,IsTOEFLPBTRequired,IsEnglishNotRequired,IsEnglishOptional,AcademicYear,AlternateProgram,ApplicationType,Department,Fees,Fees.1,IsAvailable,ProgramType,AdmissionDepartmentId,CreatedBy,UpdatedBy,Concentration,Description,OtherConcentrations,ProgramWebsiteURL,Accredidation,AverageScholarshipAmount,CostPerCredit,IsRecommendationSystemOpted,IsStemProgram,MaxFails,MaxGPA,MinGPA,PreviousYearAcceptanceRates,QsWorldRanking,TotalAccepetedApplications,TotalCredits,TotalDeniedApplications,TotalI20sIssued,TotalScholarshipsAwarded,TotalSubmittedApplications,TotalVisasSecured,UsNewsRanking,CollegeApplicationFee,IsCollegePaying,MEContractNegotiatedFee,MyGradAppFee,ProgramCategory,IsCollegeApplicationFree,IsCouponAllowed,IsACTRequired,IsSATRequired,SftpDestinationId,MinimumACTScore,MinimumDuoLingoScore,MinimumELSScore,MinimumGMATScore,MinimumGreScore,MinimumIELTSScore,MinimumMATScore,MinimumMCATScore,MinimumPTEScore,MinimumSATScore,MinimumTOEFLScore,MLModelName,MinimumAnalyticalScore,MinimumEnglishScore,MinimumExperience,MinimumSopRating,WeightAnalytical,WeightEnglish,WeightExperience,WeightGPA,WeightSop,ScholarshipAmount,ScholarshipPercentage,ScholarshipType,IsNewlyLaunched,BatchId,IsImported,IsImportVerified,Is_Recommendation_Sponser,AnalyticalScore,MinimumLSATScore,IsGRERequired
,Master of Science in Accounting,,,,,Graduate,Fall 2026,,,,Required,Required,Optional,REQUIRED,"To be considered for admission, you should have a bachelor's degree in accounting from a U.S. school. If you have a business degree from a U.S. school but not in accounting, you may be required to complete additional coursework. We do not require work experience for admission.",Not Required,,False,True,True,False,False,False,,True,False,False,False,True,True,False,False,False,,,,School of Management,,,,,,,,,"The Master of Science in Accounting degree program is designed for accounting students or professionals who have completed an undergraduate accounting degree from a U.S. college or university, and who seek to enhance their technical and professional skills through completion of an advanced degree in accounting. [1] The one-year, full-time curriculum, together with most undergraduate accounting programs, should satisfy the 150-hour educational requirement for certification and licensure as a certified public accountant (CPA). [1] Our MS accounting graduates have consistently out-performed the top largest accounting programs in New York State on the CPA exam. [1]",,https://www.buffalo.edu/grad/explore/about/programs.html,This program is officially registered with the New York State Education Department (SED). [1],,,FALSE,True,,,,,,,,,,,,,,,,,,,,,False,False,,,120.0,,,,6.5,,,55.0,,79,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,
,Adult/Gerontology Nurse Practitioner (Post-MS) DNP,,,,,Graduate,Fall 2026,,,,Required,Required,Not Required,REQUIRED,"Applicants must submit an online application and then will be emailed a link to a Status Portal to submit supporting documents. Required documents include a personal statement and a resume. Transcripts from every college/university attended are required. For the application review process, official transcripts are needed from where the bachelor's degree in nursing was obtained and a master's degree, if applicable. The Post-MS to DNP Program is not designed to educate nurse practitioners in a new specialty area. Applicants must already hold national certification in the specialty area to which they are applying. [1]",,,True,False,True,False,False,False,,True,False,False,False,True,True,False,False,False,,,,School of Nursing,,,,,,,,," The A dult/Gerontology Nurse Practitioner DNP program prepares nurses for advanced practice to be competent in assessing and managing both health and illness states across the adult/older-adult age spectrum, and across the continuum of care from wellness to illness. Students train in community-based setting as well as hospitals and subspecialty areas in order to prepare them for a broad spectrum of opportunities in the care of adults. The program is designed for nurses who are bachelor's or master's prepared.",,https://www.buffalo.edu/grad/explore/about/programs.html,This program is officially registered with the New York State Education Department (SED).,,"$1,047 per credit hour (resident rate, does not include fees)",FALSE,False,,,,,,,,,,,,,,,,,,,,,False,False,,,120.0,,,,6.5,,,55.0,,79,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,
,Adult/Gerontology Nurse Practitioner DNP,,,,,Graduate,Fall 2026,,,,Required,Required,Not Required,REQUIRED,"Prospective students for the Doctor of Nursing Practice (DNP) program must hold a bachelor's or master's degree in nursing. A grade point average of 3.0 or higher is preferred, along with a current New York State RN license. Applicants are required to have completed an undergraduate-level statistics course. The application also necessitates a written statement of professional and educational goals, a resume, and for those whose native language is not English, a satisfactory score on the TOEFL exam. Three letters of recommendation are also mandatory. Notably, GRE scores are not required for admission.",Not Required,,True,False,True,False,False,False,,True,False,False,False,True,True,False,False,False,,,,School of Nursing,,,,,,,,,"The Adult/Gerontology Nurse Practitioner DNP program prepares nurses for advanced practice to be competent in assessing and managing both health and illness states across the adult/older-adult age spectrum, and across the continuum of care from wellness to illness. [2, 7] Students train in community-based setting as well as hospitals and subspecialty areas in order to prepare them for a broad spectrum of opportunities in the care of adults. [2, 7] The program is designed for nurses who are bachelor's or master's prepared. [2, 7]",,https://www.buffalo.edu/grad/explore/about/programs.html,"This program is officially registered with the New York State Education Department (SED). [2, 7]",,,FALSE,False,,,,,,,,,,,,,,,,,,,,,False,False,,,120.0,,,,6.5,,,55.0,,79,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,
,Advanced Manufacturing Advanced Certificate,,,,,Graduate-Certificate,Fall 2026,,,,Required,Required,Not Required,REQUIRED,"Prospective students who wish to pursue this certificate and are not currently enrolled in or applying to another SEAS graduate program at UB should provide transcripts from all prior institutions, along with a personal statement, resume, and one letter of recommendation. [1] All other applicants (e.g., applicants who wish to earn the advanced certificate without enrolling in one of the related graduate degree programs or applicants from other departments) must meet the following admission requirements: A baccalaureate degree in engineering or a related technical field. A minimum grade point average of 3.0 (on a scale of 4.0) for all undergraduate work taken during the last two years of the applicant's studies. [1]",Not Required,,True,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,,,,School of Engineering and Applied Sciences,,,,,,,,,"There is an increased international, national, and statewide interest in the field of advanced manufacturing – from new methods in additive manufacturing, to co-robotics, and digital manufacturing. [3] An Advanced Certificate in Advanced Manufacturing prepares students for careers in this growing field. [1] Students in the program take courses with graduate faculty members in Industrial and Systems Engineering or Mechanical and Aerospace Engineering, and they have access to state-of-the-art facilities and interaction with UB's Community of Excellence in Sustainable Manufacturing and Advanced Robotic Technologies (SMART). [1, 3] This advanced certificate program is designed as a stand-alone credential for local professionals seeking to enhance their background in cutting-edge manufacturing technologies at the graduate level. [3] It is also for currently enrolled master's or PhD students seeking to gain a credential that will complement their degree program. [3]",,https://www.buffalo.edu/grad/explore/about/programs.html,This program is officially registered with the New York State Education Department (SED). [1],,$471.00,FALSE,True,,4.0,3.0,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,Scholarships and fellowships are available. [2],FALSE,,,FALSE,FALSE,,,
,Master of Science in Aerospace Engineering,,,,,Graduate,Fall 2026,,,,Required,Required,,,"Students who wish to apply to the Aerospace Engineering MS must provide the following materials: an online application form, a non-refundable application fee of $100, copies of transcripts for all post-secondary schoolwork, a Statement of Purpose, a Resume/CV, and two letters of recommendation. Master's applicants are only required to submit GRE scores if their bachelor's degree was obtained from a non-US institute; otherwise, GRE scores are optional. [15]",Not Required,,False,True,False,False,False,False,,False,False,False,False,False,False,False,False,False,,,,School of Engineering and Applied Sciences,,,,,,,,,A-program-description-was-not-found-on-the-official-website,,https://www.buffalo.edu/grad/explore/about/programs.html,,,,FALSE,True,,,3.0,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,"Teaching or Graduate Assistantships, Research Assistantships, Graduate Fellowships",FALSE,,,FALSE,FALSE,,,
,Aerospace Engineering PhD,,,,,Doctoral,Fall 2026,,,,,,Not Required,REQUIRED,,,,True,True,True,False,False,False,,True,False,False,False,True,True,False,False,False,,,,School of Engineering and Applied Sciences,All doctoral students in the School of Engineering and Applied Sciences receive a full tuition scholarship. [36],All doctoral students in the School of Engineering and Applied Sciences receive a full tuition scholarship. [36],,,,,,,"The Aerospace Engineering PhD aprogram outfits pupils with the abilities and information essential to assume administration functions in the aerospace business and related areas. This system encompasses a broad spectrum of uses in aeronautics and astronautics, including subsonic and supersonic aircraft, satellites, space shuttles, and space stations. Participants in this program also have the opportunity to connect with UB's graduate program in Computational Data-enabled Science and Engineering. This partnership delivers thorough instruction in computational data science, which is advantageous for both experimental and computational materials scientists. [1]",,https://www.buffalo.edu/grad/explore/about/programs.html,,,,FALSE,False,,4.0,3.0,,,,,,,,,,,,,,,,,,False,False,,,105.0,,,,6.5,,,55.0,,79,,,,,,,,,,,Full tuition scholarship plus a stipend. [36],100,"Teaching or Graduate Assistantships, Research Assistantships, Graduate Fellowships",FALSE,,,FALSE,FALSE,,,
,Affordable Housing Advanced Certificate,,,,,Graduate-Certificate,Fall 2026,,,,,,Not Required,REQUIRED,"The Graduate Affordable Housing Advanced Certificate is designed for individuals with an earned bachelor's degree and interested in gaining further knowledge about issues facing affordable housing in the United States. In the U. S., the pervasiveness of affordability problems among lower-income renters is primarily due to the shortage of appropriately priced housing and the low and decreasing incomes of renters.",,,True,False,True,False,False,False,,True,False,False,False,True,True,False,False,False,,,,School of Architecture and Planning,"In-state: $14,530/Year, Out-of-state: $28,210/Year",,,,,,,,"The Graduate Affordable Housing Advanced Certificate is designed for individuals with an earned bachelor's degree and interested in gaining further knowledge about issues facing affordable housing in the United States. In the U. S., the pervasiveness of affordability problems among lower-income renters is primarily due to the shortage of appropriately priced housing and the low and decreasing incomes of renters. [1]",,https://www.buffalo.edu/grad/explore/about/programs.html,This program is officially registered with the New York State Education Department (SED). [4],,"In-state: $471, Out-of-state: $1,041",FALSE,False,,4.0,3.0,,,,,,,,,,,,,,,,,,False,False,,,105.0,,,,6.5,,,55.0,,79,,,,,,,,,,,,,Merit-based,FALSE,,,FALSE,FALSE,,,
,Master of Arts in American Studies,,,,,Graduate,Fall 2026,,,,Required,Required,Not Required,REQUIRED,A student interested in pursuing a master's degree in American Studies must first apply for admission to the Graduate School and satisfy the school's minimum requirements as stated in the catalog. [3] The University at Buffalo requires an undergraduate GPA of 3.0 or higher. [8] Applications must include a statement of purpose that explains the specific academic interest in the program. [3] Applicants must also address one or more explicit aspects of American culture that they would like to pursue. [3] The application must include a writing sample (approximately 15 pages) and letters of recommendation from evaluators who can speak to the candidates' academic potential. [3] A total of 32 credits are required for the MA degree in American Studies. [9],Required,,True,False,True,False,False,False,,True,False,False,False,True,True,False,False,False,,,,College of Arts and Sciences,"For the 2024-2025 academic year, graduate tuition was $14,530 for New York residents and $28,210 for out-of-state students. [18] For Fall 2025, the full-time resident tuition per semester is listed as $5,655.00, with total fees bringing the semester cost to $7,314.86. [6]","For the 2024-2025 academic year, the annual graduate tuition and fees were $14,530 for New York residents and $28,210 for out-of-state students. [18]",,,,,,,"American studies is home to an interdisciplinary group of faculty and students committed to rigorous, socially engaged scholarship. We take a global and hemispheric approach to the study of the Americas, examining local cultures, nations and regions within their larger geopolitical contexts. [3] Building on our traditional strengths in American Indian studies, critical race theory, feminism, class analysis and community engagement, we encourage scholarly work on history, politics, visual cultures, literary and oral cultures, environmental and agricultural practices, religions, gender, sexuality, kinship systems, geography, and economics. [3] Learn more about the program.",,https://www.buffalo.edu/grad/explore/about/programs.html,This program is officially registered with the New York State Education Department (SED). [3],,"For the 2024-2025 academic year, the graduate tuition per credit hour was $471 for New York residents and $1,041 for out-of-state students. [18]",FALSE,False,,4.0,3.0,,,,,,,,,,,,,,,,,,False,False,,,105.0,,,,6.5,,,55.0,,79,,,,,,,,,,,,,"The university offers various types of funding, including fellowships like the Arthur A. Schomburg Fellowship and Presidential Fellowships, as well as teaching, research, or graduate assistantships. [26, 43] There are also merit-based scholarships available. [38]",FALSE,,,FALSE,FALSE,,,
,American Studies PhD,,,,,Doctoral,Fall 2026,,,,Required,Required,GRE,REQUIRED,"The following supporting materials must be included as part of the online application: Unofficial Academic Transcripts, 3 Letters of Recommendation, 1-2 Page Personal Statement, 10-15 Page Academic Writing Sample, Curriculum Vitae or Resume. [9] The University at Buffalo requires an undergraduate GPA of 3.0 or higher. [9]",Required,,True,False,True,False,True,False,,True,False,False,False,True,True,False,False,False,,,,"College of Arts and Sciences. [6, 20]",,,,,,,,"Field choices for American Studies PhD students are, History, Cultural Studies, Law & Social. Policy and Theory & Methodology. [14]","The PhD degree prepares students for intellectual work in many different careers, including the highest levels of college and university teaching and research. The program consists of three basic stages: 1) coursework, 2) written and oral exams, and 3) researching, writing, and defending a dissertation. Most of our doctoral students complete their PhD within four to seven years. [3]",,https://www.buffalo.edu/grad/explore/about/programs.html,This program is officially registered with the New York State Education Department (SED).,,,FALSE,False,,,,,,,,,,,,,,,,,,,,,False,False,,,120.0,,,,6.5,,,55.0,,79,,,,,,,,,,,,,Fellowships and scholarships. [24],FALSE,,,FALSE,FALSE,,,
,Anatomy and Cell Biology PhD,,,,,Doctoral,Fall 2026,,,,Required,Required,Not Required,REQUIRED,"Applications to our graduate programs are evaluated on: Academic background; i.e. college coursework. A strong basic science background – chemistry, physics, math – is desirable, as is good performance in upper level biology courses. Personal statement and letters of recommendation. These provide a gauge of interest and commitment, as well as an additional indication of abilities. Research experience is a major plus because graduate training is very research-oriented, and so can be very different from one's undergraduate classroom experience. [7]",Not Required,,True,False,True,False,False,False,,True,False,False,False,True,True,False,False,False,,,,Jacobs School of Medicine and Biomedical Sciences,,,,,,,,,"New Technology has enabled tools for examination of biological structure in both macroscopic and microscopic worlds, and has facilitated powerful computational approaches for integrating those data with other modes including molecular, genetic, and biochemical information. [11] Imaging, mechanical, electrical and optical biosensors, and high-resolution tissue and cellular microscopic evaluations, can be married with the new analytics of machine vision and machine learning to obtain insight into biomedical mechanisms. [11]",,https://www.buffalo.edu/grad/explore/about/programs.html,This program is officially registered with the New York State Education Department (SED). [11],,,FALSE,True,,,,,,,,,,,,,,,,,,,,,False,False,,,105.0,,,,6.5,,,55.0,,79,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,
