Id,ProgramName,ProgramCode,Status,CreatedDate,UpdatedDate,Level,Term,TermCode,LiveDate,DeadlineDate,Resume,StatementOfPurpose,GreOrGmat,EnglishScore,Requirements,WritingSample,CollegeId,IsAnalyticalNotRequired,IsAnalyticalOptional,IsDuoLingoRequired,IsELSRequired,IsGMATOrGreRequired,IsGMATRequired,IsGreRequired,IsIELTSRequired,IsLSATRequired,IsMATRequired,IsMCATRequired,IsPTERequired,IsTOEFLIBRequired,IsTOEFLPBTRequired,IsEnglishNotRequired,IsEnglishOptional,AcademicYear,AlternateProgram,ApplicationType,Department,Fees,Fees.1,IsAvailable,ProgramType,AdmissionDepartmentId,CreatedBy,UpdatedBy,Concentration,Description,OtherConcentrations,ProgramWebsiteURL,Accredidation,AverageScholarshipAmount,CostPerCredit,IsRecommendationSystemOpted,IsStemProgram,MaxFails,MaxGPA,MinGPA,PreviousYearAcceptanceRates,QsWorldRanking,TotalAccepetedApplications,TotalCredits,TotalDeniedApplications,TotalI20sIssued,TotalScholarshipsAwarded,TotalSubmittedApplications,TotalVisasSecured,UsNewsRanking,CollegeApplicationFee,IsCollegePaying,MEContractNegotiatedFee,MyGradAppFee,ProgramCategory,IsCollegeApplicationFree,IsCouponAllowed,IsACTRequired,IsSATRequired,SftpDestinationId,MinimumACTScore,MinimumDuoLingoScore,MinimumELSScore,MinimumGMATScore,MinimumGreScore,MinimumIELTSScore,MinimumMATScore,MinimumMCATScore,MinimumPTEScore,MinimumSATScore,MinimumTOEFLScore,MLModelName,MinimumAnalyticalScore,MinimumEnglishScore,MinimumExperience,MinimumSopRating,WeightAnalytical,WeightEnglish,WeightExperience,WeightGPA,WeightSop,ScholarshipAmount,ScholarshipPercentage,ScholarshipType,IsNewlyLaunched,BatchId,IsImported,IsImportVerified,Is_Recommendation_Sponser,AnalyticalScore,MinimumLSATScore,IsGRERequired
,Master of Business Administration in Master of Business Administration,,,,,Graduate,Fall 2026,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,School of Business,,,,,,,,['Business Analytics and Artificial Intelligence'],"A Stevens MBA empowers you to lead at the intersection of business and technology. This STEM-designated program prepares you for leadership in today's fast-changing global economy, integrating analytics, innovation and strategy. You will learn from expert faculty and apply your knowledge through real-world projects that build confidence, creativity and decision-making skills. With a curriculum grounded in collaboration and hands-on experience, you'll graduate ready to solve complex challenges, drive innovation and make an immediate impact in your organization and industry. [2]",,https://www.stevens.edu/admission-aid/graduate-admissions/graduate-programs/graduate-degrees-and-programs,,,"$1,888 per credit for the 2024-2025 academic year.",FALSE,False,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,Merit-based scholarships,FALSE,,,FALSE,FALSE,,,
,Master of Business Administration (MBA) with concentration in Analytics,,,,,Graduate,Fall 2026,,,,Required,Required,Optional,REQUIRED,"All applicants must submit an online application which includes a statement of purpose, a resume, two letters of recommendation (from academic or professional sources, submitted electronically), and official transcripts from all post-secondary institutions attended.",Not Required,,False,True,True,False,False,False,,True,False,False,False,False,True,True,False,False,,,,School of Business,,,,,,,,Analytics,"The Analytics MBA at Stevens is a STEM-designated program designed for aspiring leaders and managers seeking to advance their careers by leveraging practical business analytics. The curriculum integrates traditional MBA themes like strategy, marketing, finance, and accounting with an analytical, problem-solving lens, emphasizing the application of data-intensive methods to industry challenges. Students learn to apply data-driven techniques to solve business problems, make informed decisions, and bridge the gap between business strategy and data analysis. The program equips graduates with the skills to use predictive models, machine learning, and data visualization to optimize organizational performance, preparing them for leadership roles in a data-driven economy.",,https://www.stevens.edu/admission-aid/graduate-admissions/graduate-programs/graduate-degrees-and-programs,The School of Business at Stevens Institute of Technology is accredited by the Association to Advance Collegiate Schools of Business (AACSB).,,,FALSE,True,,,,,,,,,,,,,,,,,,,,,False,False,,,110.0,,,,6.0,,,,,74,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,
,Master of Business Administration (MBA) with concentration in Entrepreneurship,,,,,Graduate,Fall 2026,,,,,,Optional,REQUIRED,,,,False,False,True,False,False,False,,True,False,False,False,False,True,False,False,False,,,,,,,,,,,,,,,https://www.stevens.edu/admission-aid/graduate-admissions/graduate-programs/graduate-degrees-and-programs,,,,FALSE,False,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,
,Master of Business Administration (MBA) with concentration in Finance,,,,,Graduate,Fall 2026,,,,,,Optional,REQUIRED,,,,True,True,True,False,False,False,,True,False,False,False,False,True,True,False,False,,,,,,,,,,,,,,,https://www.stevens.edu/admission-aid/graduate-admissions/graduate-programs/graduate-degrees-and-programs,,,,FALSE,True,,,,,,,,,,,,,,,,,,,,,False,False,,,110.0,,,,6.0,,,,,74,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,
,Master of Business Administration (MBA) with concentration in Information Systems,,,,,Graduate,Fall 2026,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,Information Systems Concentration,"Incorporating a technology-centric approach with skills development, the Stevens MBA program is designed to help you succeed in today's fast-paced, technology-driven environment. You will draw upon Stevens' rich heritage in the management sciences and its 150+ years as an applied technological university, which puts technology at the core of your learning experience. There are three MBA program options for you to choose from. The Stevens MBA, available full-time and part-time, for students who preferably have a minimum of two years of work experience. You can customize this MBA with a number of different concentration options to best align with your career goals. Graduates from the program will be able to apply their skills to contribute to excellence at the intersection of business and technology and lead their organizations in an increasingly complex and competitive world. [6]",,https://www.stevens.edu/admission-aid/graduate-admissions/graduate-programs/graduate-degrees-and-programs,"All Stevens' undergraduate and graduate business programs are accredited by AACSB, placing Stevens among the 5 percent of business schools globally to earn this distinction. [2]",,,FALSE,False,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,
,Master of Business Administration (MBA) with concentration in Marketing,,,,,Graduate,Fall 2026,,,,,,,,,,,True,True,False,False,False,False,,,False,False,False,,,,False,False,,,,School of Business,,,,,,,,Marketing,,,https://www.stevens.edu/admission-aid/graduate-admissions/graduate-programs/graduate-degrees-and-programs,The School of Business at Stevens Institute of Technology is accredited by the Association to Advance Collegiate Schools of Business (AACSB). [12],,,FALSE,False,,4.0,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,
,Master of Business Administration (MBA) with concentration in Project Management,,,,,Graduate,Fall 2026,,,,,,Optional,REQUIRED,,,,False,False,True,False,False,False,,True,False,False,False,False,True,True,False,False,,,,,,,,,,,,Project Management,"A Stevens MBA empowers you to lead at the intersection of business and technology. This STEM-designated program prepares you for leadership in today's fast-changing global economy, integrating analytics, innovation and strategy. You will learn from expert faculty and apply your knowledge through real-world projects that build confidence, creativity and decision-making skills. With a curriculum grounded in collaboration and hands-on experience, you'll graduate ready to solve complex challenges, drive innovation and make an immediate impact in your organization and industry. [2]",,https://www.stevens.edu/admission-aid/graduate-admissions/graduate-programs/graduate-degrees-and-programs,The Stevens School of Business is accredited by AACSB International — The Association to Advance Collegiate Schools of Business.,,,FALSE,False,,,,,,,,,,,,,,,,,,,,,False,False,,,110.0,,,,6.0,,,,,74,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,
,Master of Business Administration (MBA) with concentration in Sustainability,,,,,Graduate,Fall 2026,,,,Required,Required,Optional,REQUIRED,"Online application, two letters of recommendation (optional for some programs), official college transcripts from all institutions attended, and a non-refundable $60 application fee. GRE/GMAT scores are not required for all programs and may be waived for others. The MBA program offers concentrations in various fields, but a specific list including Sustainability is not detailed on the main MBA pages. The Analytics MBA is a distinct program with a focus on data and is STEM-designated.",Not Required,,False,True,True,False,False,False,,True,False,False,False,True,True,False,False,False,,,,School of Business,,,,,,,,Sustainability Management Concentration,"This concentration aims to combine the management skills with deep and practical knowledge of the technical aspects of sustainability. The program emphasizes development of sustainable models for business operations, i.e., promoting economic and business development without damaging the environment, and implementation of practical solutions inside of organizations resulting in cost-saving through sustainable practices.",,https://www.stevens.edu/admission-aid/graduate-admissions/graduate-programs/graduate-degrees-and-programs,,,"$1,930",FALSE,False,,4.0,3.0,,,,,,,,,,,,,,,,,,False,False,,,115.0,,,,6.5,,,65.0,,86,,,,,,,,,,,,,"Merit-based scholarships, such as the Provost Master's Scholarship, and assistantships are available. [12, 13, 16, 17]",FALSE,,,FALSE,FALSE,,,
,Master of Science in Accounting and Analytics,,,,,Graduate,Fall 2026,,,,Required,Required,Optional,REQUIRED,"Applicants to the Accounting master's program should nmea a bachelor's degree from an institution in the United States, or its equivalent (all majors are considered). [2] A GPA (grade point average) of 3.0 in both core courses and in aggregate courses. [2] Test Scores: A GRE/GMAT test score is not required, and students have the option to submit a test score if desired. [2] A GRE/GMAT test score will only be used for admission purposes if one is provided by the applicant. [2] A minimum of one academic or professional letter of recommendation for the flex program, two for cohort program. [2] A resume. [2] An admissions essay that outlines academic interests and goals. [2] International applicants must submit a TOEFL score of at least 80 on the internet-based test. [2] Scores must be less than two years old. [2]",Not Required,,True,True,False,False,False,False,,False,False,False,False,False,True,False,False,False,,,,School of Business,"$38,076/Year. [5]","The full-time graduate tuition rate is $19,038 for 9-12 credits per semester. [5]",,,,,,,"The M.S. in Accounting and Analytics program prepares you to thrive in a fast-evolving, data-driven financial landscape. With hands-on access to the latest Wall Street financial technology and direct connections to top accounting and consulting firms, you gain a competitive edge in today's job market. [3] Our faculty, industry partnerships and proximity to major financial and business districts ensure that you graduate with the knowledge, experience and network needed to succeed. The Master of Science in Accounting and Analytics teaches analytical skills applicable to accounting, auditing, and financial reporting in the data-intensive business environment. [3] The program aligns with the ""Core + Discipline"" CPA exam structure. [3] Stevens' 30-credit master's offers a unique opportunity to build analytical abilities essential to future success. [3]",,https://www.stevens.edu/admission-aid/graduate-admissions/graduate-programs/graduate-degrees-and-programs,"All Stevens' undergraduate and graduate business programs are accredited by AACSB, placing Stevens among the 5 percent of business schools globally to earn this distinction. [11] AACSB provides internationally recognized, specialized accreditation for business and accounting programs at the bachelor's, master's and doctoral levels. [11, 12]",,"$1,716. [5]",FALSE,True,2,4.0,3.0,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,80,,,,,,,,,,,,,Merit-based graduate assistantships and fellowships. [18],FALSE,,,FALSE,FALSE,,,
,Master of Science in Business Intelligence & Analytics,,,,,Graduate,Fall 2026,,,,Required,Required,Optional,REQUIRED,"A complete application includes an online application, a $60 non-refundable application fee, two letters of recommendation, and official college transcripts from all institutions attended. [5] The Business Analytics and Artificial Intelligence program is designed for individuals with a solid foundation in quantitative and computational skills. Ideal candidates typically have had an undergraduate course(s) in calculus and programming with a background in engineering, science, computer science or a related technical discipline. [9]",Optional,,False,True,True,False,False,False,,True,False,False,False,True,True,False,False,False,,,,School of Business,,,,,,,,,,,https://www.stevens.edu/admission-aid/graduate-admissions/graduate-programs/graduate-degrees-and-programs,,,"$1,864 per credit",FALSE,True,,4.0,3.0,,,,,,,,,,,,,,,,,,False,False,,,115.0,,,,6.5,,,60.0,,86,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,
