Id,ProgramName,ProgramCode,Status,CreatedDate,UpdatedDate,Level,Term,TermCode,LiveDate,DeadlineDate,Resume,StatementOfPurpose,GreOrGmat,EnglishScore,Requirements,WritingSample,CollegeId,IsAnalyticalNotRequired,IsAnalyticalOptional,IsDuoLingoRequired,IsELSRequired,IsGMATOrGreRequired,IsGMATRequired,IsGreRequired,IsIELTSRequired,IsLSATRequired,IsMATRequired,IsMCATRequired,IsPTERequired,IsTOEFLIBRequired,IsTOEFLPBTRequired,IsEnglishNotRequired,IsEnglishOptional,AcademicYear,AlternateProgram,ApplicationType,Department,Fees,Fees.1,IsAvailable,ProgramType,AdmissionDepartmentId,CreatedBy,UpdatedBy,Concentration,Description,OtherConcentrations,ProgramWebsiteURL,Accredidation,AverageScholarshipAmount,CostPerCredit,IsRecommendationSystemOpted,IsStemProgram,MaxFails,MaxGPA,MinGPA,PreviousYearAcceptanceRates,QsWorldRanking,TotalAccepetedApplications,TotalCredits,TotalDeniedApplications,TotalI20sIssued,TotalScholarshipsAwarded,TotalSubmittedApplications,TotalVisasSecured,UsNewsRanking,CollegeApplicationFee,IsCollegePaying,MEContractNegotiatedFee,MyGradAppFee,ProgramCategory,IsCollegeApplicationFree,IsCouponAllowed,IsACTRequired,IsSATRequired,SftpDestinationId,MinimumACTScore,MinimumDuoLingoScore,MinimumELSScore,MinimumGMATScore,MinimumGreScore,MinimumIELTSScore,MinimumMATScore,MinimumMCATScore,MinimumPTEScore,MinimumSATScore,MinimumTOEFLScore,MLModelName,MinimumAnalyticalScore,MinimumEnglishScore,MinimumExperience,MinimumSopRating,WeightAnalytical,WeightEnglish,WeightExperience,WeightGPA,WeightSop,ScholarshipAmount,ScholarshipPercentage,ScholarshipType,IsNewlyLaunched,BatchId,IsImported,IsImportVerified,Is_Recommendation_Sponser,AnalyticalScore,MinimumLSATScore,IsGRERequired
,Accelerated Master of Business Administration,,,,,Graduate,Fall 2026,,,,,,,,,,,True,True,False,False,False,False,,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,https://www.grad.miami.edu/graduate-education/a-z-listing-graduate-programs/index.html,,,,FALSE,False,2,4.0,3.0,,,,,,,,,,,,,,,Business Administration,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,
,Accelerated Master of Business Administration in Real Estate,,,,,Graduate,Fall 2026,,,,,,,,,,,True,True,False,False,False,False,,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQFx_kMCEFi0OLbyYmzqP7eKUtlowWqOAstvy4zYCU-Ll87xJQ5vRLZ-4Hhr6nOziijwwUX0Cv_2t1yEnUIRZMH7JDcS_8BpbsPAuaO_MHI1X6xd5yNitMX-_x3updJ7PHny1GBKaEc8Ocdc1lkcn7EJ,,,,FALSE,False,,,,,,,,,,,,,,,,,,Business Administration,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,
,Accelerated Master of Public Health,,,,,Graduate,Fall 2026,,,,,,Not Required,REQUIRED,,,,True,True,True,False,False,False,,True,False,False,False,True,True,False,False,False,,,,,,,,,,,,,,,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQG9q3ivKQP67MR7RnBI-WSSXzfCe-gaExigVgurTvJ62zXRddTNTAjJxADKvJc2v6N0gJHtaQrJv-6JeFvS2QFE_IcBdSbanOdBrCRqAgxU_BIyuZ2-LNDRbs4JFrs8Mfk0zx1Tj0JTuHmqxiy010h7OWeJzEl3qS7oPhVhOt_PBQ==,,,,FALSE,False,,4.0,3.0,,,,,,,,,,,,,,,Public Health,,,False,False,,,125.0,,,,6.5,,,,,80.0,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,
,Accelerated Master of Science in Public Health,,,,,Graduate,Fall 2026,,,,Required,Required,,,"To apply for admission to the Online Master in Public Health or to one of our dual degree programs in the Julia Jones Matthews School of Population and Public Health, applicants are required to: 1. Request for official academic transcripts from all colleges/universities attended to be submitted directly to SOPHAS. 2. Complete an application via SOPHAS to include: Provide two contacts for letters of recommendation from a former/current academic mentor (i.e., teacher, administrator, advisor, etc.) or another contact that is familiar with the academic merit of the applicant. Complete a statement of purpose regarding your interest in the program. Submit the SOPHAS application fee ($150 for the first program you apply to and $60 for each additional program). International Applicants Only: Submit official Graduate Record Examination (GRE) Score; Submit an International English Language Testing System (IELTS) or Test of English as a Foreign Language (TOEFL) Score. 3. Once the SOPHAS application has reached a “Verified” status, you will receive an email on how to create a Supplemental Application Account. 4. Complete the supplemental application. This application will include: Complete Oath of Residency form, Complete Technical Standards form, Submit a resume or curriculum vitae, Valid Photo ID, Submit a $50 application fee. All applicants must possess a bachelor's degree or the equivalent from an accredited college or university prior to applying for the MPH program.",,,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQFsq6Soji8ZB6ZRjqZiShSoyIuf-RF8ghIAUWxyRTnrNvloaQm5sDJIhcG6ElX5BE5aCVojf5I_frp0O7rfO08X1yvohcaCSt6gm7IRwP-if18qsWQrRsWIwNCqbBfHQ4VBORYhno--mwnSIv3QT4jFPxkGiuvnqPTkg5xJZyXl,,,,FALSE,False,,,,,,,,,,,,,,,,,,Public Health,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,
,Certificate in Adult-Gerontology Acute Care Nurse Practitioner,,,,,Graduate-Certificate,Fall 2026,,,,,,,,,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.grad.miami.edu/graduate-education/a-z-listing-graduate-programs/index.html,,,,FALSE,False,,,,,,,,,,,,,,,,,,Nurse Practitioner,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,
,Master of Science in Nursing in Adult-Gerontology Acute Care Nurse Practitioner,,,,,Graduate,Fall 2026,,,,,,,,,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQFxfSVdmPwQ9bGvFR07YRYIPloY3OzS4S4DrmyNUHREDvI_Qwu9zWMQFEnBlFfT3Ps3rFFQTligXhSZd0fRF8ayroW9kgj1p0EHJgmvKgLUwyQhqfdtnV03nJTEEjyh2oIHpiuAPygrPwqI2oWEcR6Z7gf6Zyan8pYCufzhhG5OgWLkhpooFhHRQwJk,,,,FALSE,False,,,,,,,,,,,,,,,,,,Nurse Practitioner,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,
,Certificate in Adult-Gerontology Primary Care Nurse Practitioner,,,,,Graduate-Certificate,Fall 2026,,,,,,,,,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://catalog.twu.edu/graduate/nursing/certification-adult-gerontology-primary-care-nurse-practitioner/certification-adult-gerontology-primary-care-nurse-practitioner.pdf,,,,FALSE,False,,,,,,,,,,,,,,,,,,Nurse Practitioner,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,
,Master of Science in Nursing in Adult-Gerontology Primary Care Nurse Practitioner,,,,,Graduate,Fall 2026,,,,,,,,,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.grad.miami.edu/graduate-education/a-z-listing-graduate-programs/index.html,,,,FALSE,False,,,,,,,,,,,,,,,,,,Nurse Practitioner,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,
,Master of Arts in Advertising,,,,,Graduate,Fall 2026,,,,,,,,,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQG73EOuTYdu33dic3gZrhh96RlQvtKeggfUmXIHMFvhDD3nDg4x0Ub6P3YJ1guIG4GOyks3h3SFXDfF6qD3ukJ6pxahkAlUfGGKYgGkjjELhhPrg1Ss7PWtm1MVtmRFKoQs1DRWXz-uv0BnKAe-Rw==,,,,FALSE,False,,,,,,,,,,,,,,,,,,Advertising,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,
,Master of Arts in Anthropology,,,,,Graduate,Fall 2026,,,,,,,,,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQEnUMCh255fde0Cn6pjPsPE2nw8MET5I2zGLtUhQQu0XYiciCXrETeZpDzuQtjY8zI9jvSktuutFp4paq8pxATYatnEYF4OssmCs1MJaT7YpoxzH2FjspaZ8rDIJExO-zDJm3oYzWunlgH4V4Q2se_RQ1u8c5dMr2Ian6M05a32-A==,,,,FALSE,False,,,,,,,,,,,,,,,,,,Anthropology,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,
