Id,ProgramName,ProgramCode,Status,CreatedDate,UpdatedDate,Level,Term,TermCode,LiveDate,DeadlineDate,Resume,StatementOfPurpose,GreOrGmat,EnglishScore,Requirements,WritingSample,CollegeId,IsAnalyticalNotRequired,IsAnalyticalOptional,IsDuoLingoRequired,IsELSRequired,IsGMATOrGreRequired,IsGMATRequired,IsGreRequired,IsIELTSRequired,IsLSATRequired,IsMATRequired,IsMCATRequired,IsPTERequired,IsTOEFLIBRequired,IsTOEFLPBTRequired,IsEnglishNotRequired,IsEnglishOptional,AcademicYear,AlternateProgram,ApplicationType,Department,Fees,Fees.1,IsAvailable,ProgramType,AdmissionDepartmentId,CreatedBy,UpdatedBy,Concentration,Description,OtherConcentrations,ProgramWebsiteURL,Accredidation,AverageScholarshipAmount,CostPerCredit,IsRecommendationSystemOpted,IsStemProgram,MaxFails,MaxGPA,MinGPA,PreviousYearAcceptanceRates,QsWorldRanking,TotalAccepetedApplications,TotalCredits,TotalDeniedApplications,TotalI20sIssued,TotalScholarshipsAwarded,TotalSubmittedApplications,TotalVisasSecured,UsNewsRanking,CollegeApplicationFee,IsCollegePaying,MEContractNegotiatedFee,MyGradAppFee,ProgramCategory,IsCollegeApplicationFree,IsCouponAllowed,IsACTRequired,IsSATRequired,SftpDestinationId,MinimumACTScore,MinimumDuoLingoScore,MinimumELSScore,MinimumGMATScore,MinimumGreScore,MinimumIELTSScore,MinimumMATScore,MinimumMCATScore,MinimumPTEScore,MinimumSATScore,MinimumTOEFLScore,MLModelName,MinimumAnalyticalScore,MinimumEnglishScore,MinimumExperience,MinimumSopRating,WeightAnalytical,WeightEnglish,WeightExperience,WeightGPA,WeightSop,ScholarshipAmount,ScholarshipPercentage,ScholarshipType,IsNewlyLaunched,BatchId,IsImported,IsImportVerified,Is_Recommendation_Sponser,AnalyticalScore,MinimumLSATScore,IsGRERequired
,Doctor of Philosophy in Accounting and Management Information Systems,,,,,Doctoral,Fall 2026,,,,Required,Required,Either,REQUIRED,"The following materials are required for the PhD application:

*   A completed online application form.
*   Application fee: A non-refundable application fee of $60 is required for domestic applicants; $70 for international applicants. [1]
*   GRE or GMAT test score: Official scores must be sent to The Ohio State University. [1] All programs accept either GMAT or GRE. Please note that the Accounting and MIS program strongly prefers the GMAT. [1]
*   Academic Transcripts: You are required to submit copies of transcripts from each undergraduate and graduate institution attended, including study abroad and transfer credit. [1]
*   Statement of Intent: This is an essay highlighting academic and work experience, career objectives, and motivation for pursuing a PhD. [1]
*   Resume/CV. [1]",Not Required,,False,False,True,False,True,False,,True,False,False,False,False,True,False,False,False,,,,Fisher College of Business,,,,,,,,"['Accounting', 'MIS']","The Accounting & MIS PhD program in the Fisher College of Business at Ohio State is one of the top accounting PhD programs in the country. [1] The program's goal is to help prepare you for a successful and productive career as a faculty member at a leading research-oriented university. [1] As a PhD student in our program, you will work with a diverse set of faculty who are leading researchers in analytical accounting, empirical capital markets research, experimental/behavioral accounting, auditing, and information systems. [1] Our program comprises two internationally recognized tracks: Accounting and MIS. [1]",,https://gradsch.osu.edu/future-students/find-your-program,,,,FALSE,True,,4.0,,,,,,,,,,,,,,,,,,,False,False,,,120.0,,600.0,,7.0,,,,,79,,,,,,,,,,,,,"Fellowships, research assistantships, teaching assistantships",FALSE,,,FALSE,FALSE,,,
,Master of Accounting,,,,,Graduate,Fall 2026,,,,Required,Required,Optional,REQUIRED,"To be considered for admission, the MAcc program requires a four-year bachelor's degree, or a three-year bachelor's degree from a Bologna Accord-compliant European university, from an accredited college or university. Your undergraduate degree can be in any field of study. All applicants must have a competitive academic and/or professional record and will be evaluated on a number of factors. These include your academic performance in all prior undergraduate and graduate coursework, your GMAT or GRE scores (if you choose to submit them), your résumé, your video interview and your references.",Not Required,,False,True,True,False,False,False,,True,False,False,False,False,True,True,False,False,,,,Fisher College of Business,,,,,,,,,"As one of the first STEM-designated accounting programs in the U.S., Ohio State's Master of Accounting (MAcc) graduate program is a national leader. Fisher delivers personalized, hands-on experiences to prepare you for the real world. Unlike traditional master's programs that require a strict and steady diet of accountancy-focused classwork, Fisher goes further by building on an accounting foundation with a variety of advanced business electives you choose. This format gives you a more well-rounded education so you're ready for a business world that needs you. Fisher's Master of Accounting (MAcc) program gives you the tools and training to get you there. The MAcc program is a great way to earn your accounting graduate degree in only nine months! You are eligible to sit for the CPA exam in Ohio upon completion of the Fisher MAcc degree. As a STEM-designated program, we've incorporated data and analytics innovation.",,https://gradsch.osu.edu/future-students/find-your-program,"The Ohio State University Max M. Fisher College of Business is pleased to announce that the Association to Advance Collegiate Schools of Business (AACSB) has renewed the college's accreditation. The five-year renewal ensures that Fisher and its Department of Accounting and Management Information Systems (MIS) will continue its recognition as providers of high-quality business education. [8] The college’s Department of Accounting and MIS, like other AACSB-evaluated accounting programs, underwent a separate process and joined 194 other accounting programs worldwide in earning accreditation or reaccreditation. [8] The Ohio State University has both Business and Accounting accreditation from AACSB. [16]",,,FALSE,True,,4.0,3.0,,,,,,,,,,,,,,,,,,False,False,,,120.0,,,,7.0,,,,,79,,,,,,,,,,,"$3,000 up to $15,000",50% tuition waiver for Graduate Assistantships and full tuition coverage through the Deloitte Foundation Accounting Scholars Program.,"Merit-based, Need-based",FALSE,,,FALSE,FALSE,,,
,Master of Science in Actuarial and Quantitative Risk Management,,,,,Graduate,Fall 2026,,,,Required,Required,Not Required,REQUIRED,"Applicants must have a 4-year BS or BA degree with a GPA of 3.0 or higher. Required application materials include a transcript, a list of Math Coursework generated through the university's web application, three letters of reference, a CV, and a Statement of Purpose. Prerequisite coursework includes Multivariable Calculus (on par with MATH 2153) and Calculus-Based Probability (on par with MATH 4530 or STAT 4201). [1, 2]",,,True,False,False,False,False,False,,True,False,False,False,False,True,False,False,False,,,,Department of Mathematics,,,,,,,,,"The Master of Actuarial and Quantitative Risk Management (MAQRM) provides a curriculum that combines training in modern mathematical finance and actuarial risk management - two areas that have become increasingly intertwined, creating a demand for graduates that have acquired expertise in both areas. [1, 2] The curriculum includes newly developed courses in quantitative risk management and financial stochastic calculus. [1, 2] The program equips students with technical skills and knowledge to excel in today's actuarial and financial workplaces. [1] Our innovative coursework is designed to exceed industry standards and anticipate the future needs of our graduates. [1] The program utilizes well-established connections to the nationwide insurance industry and other businesses involved in risk management in order to create practical experiences and provide additional mentoring during the two years of study in the program. [1, 2] These connections will also be instrumental in job placements of graduates. [1, 2]",,https://gradsch.osu.edu/future-students/find-your-program,,,,FALSE,True,,4.0,3.0,,,,,,,,,,,,,,,,,,False,False,,,,,,,7.0,,,,,79,,,,,,,,,,,,,Students in the MAQRM are not supported by graduate associateships. [12],FALSE,,,FALSE,FALSE,,,
,Master of Arts in Advanced Chemistry Knowledge for Educators,,,,,Graduate,Fall 2026,,,,,,,,,,,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,https://gradsch.osu.edu/future-students/find-your-program,,,,FALSE,False,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,
,Doctor of Philosophy in Aerospace Engineering,,,,,Doctoral,Fall 2026,,,,Required,Required,,REQUIRED,"For admission to the PhD program, you are expected to have a master’s degree in aerospace engineering, mechanical engineering or a closely related field. Exceptional students with a bachelor’s degree in a related field may be admitted for direct-track PhD study.",Not Required,,True,False,True,False,False,False,,True,False,False,False,False,True,True,False,False,,,,College of Engineering,,"For non-resident students exclusively enrolled in a for-credit online degree or certificate program listed at Ohio State Online, the Distance Education Non-Resident Surcharge is $200 per student per term; otherwise the Non-Resident Surcharge is $1,874.50 per credit hour. [16]",,,,,,,,,https://gradsch.osu.edu/future-students/find-your-program,,,,FALSE,True,,4.0,,,,,,,,,,,,,,,,,,,False,False,,,120.0,,,,7.0,,,,,79 on the TOEFL iBT or TOEFL iBT Home Edition; 550 on the paper-based test,,,,,,,,,,,,,"Fellowships, Assistantships",FALSE,,,FALSE,FALSE,,,
,Master of Science in Aerospace Engineering,,,,,Graduate,Fall 2026,,,,,,GRE,REQUIRED,,,,False,False,True,False,True,False,,True,False,False,False,False,True,True,False,False,,,,,,,,,,,,,,,https://gradsch.osu.edu/future-students/find-your-program,,,,FALSE,True,,,,,,,,,,,,,,,,,,,,,False,False,,,120.0,,,160-plus for quantitative reasoning and 150-plus for verbal reasoning are considered competitive,7.0,,,,,79,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,
,Master of Arts in African American and African Studies,,,,,Graduate,Fall 2026,,,,,,Not Required,REQUIRED,,,,False,False,False,False,False,False,,False,False,False,False,False,True,True,False,False,,,,College of Arts and Sciences,,,,,,,,"['African American Studies', 'African Studies', 'Comparative Diaspora Studies']","The MA Program in African American and African Studies provides an interdisciplinary graduate education that ensures a rigorous preparation in the main theoretical perspectives and debates in the discipline while allowing students to pursue their intellectual interests through research in the areas of concentration of African American Studies, African Studies, and Comparative Diaspora Studies. [2] The department's primary mission is: To stimulate teaching and research about the Black experience in the United States, Africa and throughout the African Diaspora. To encourage students and others to assess various strategies for advancing human progress through the examination of the global struggle for Black freedom. [4] Our courses are taught by more than 18 full-time faculty members who each hold the doctoral degree in their respective disciplines. The comprehensive multidisciplinary curriculum includes courses in: Literature; Music; History; Sociology; Political science; Community development. [4] The African American and African Studies Department also has a Community Extension Center which serves as both our outreach arm into the large Black community in the city of Columbus as well as a significant resource for faculty and student research and community engagement. [4]",,https://gradsch.osu.edu/future-students/find-your-program,,,,FALSE,False,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,650 on the paper-based test or 114 on the Internet-based TOEFL (IBT),,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,
,Doctor of Philosophy in African American and African Studies,,,,,Doctoral,Fall 2026,,,,Required,Required,Not Required,REQUIRED,"Applicants must submit an online application form, transcripts for all previous undergraduate and graduate-level coursework, and TOEFL scores for international students. The statement of purpose should be double-spaced and between 800 to 1000 words, explaining the applicant's reasons for pursuing a graduate degree in AAAS, identifying a clear research interest, and specifying the disciplinary or interdisciplinary fields of engagement. It should also connect the applicant's research interests to the AAAS program's specific areas and identify three faculty members they wish to work with. Three letters of recommendation are also required. [2]",Required,,True,False,True,False,False,False,,True,False,False,False,False,True,False,False,False,,,,College of Arts and Sciences,,"Based on the 2025-2026 tuition schedule for the Columbus campus, the estimated annual tuition for a graduate student in the College of Arts and Sciences taking 8 or more credit hours per semester would be approximately $18,175 for Ohio residents and $47,663.50 for non-residents. This is an estimate and does not include other mandatory fees. [32]",,,,,,,"A comprehensive description of the program, its objectives, and what students will learn.    The Department of African American and African Studies offers a PhD degree whose purpose is to provide advanced training to graduate students who are able to demonstrate theoretical knowledge and the critical, analytical, argumentative, and writing skills necessary to design, conduct, elaborate, and disseminate research in the fields of African American, African, and African Diaspora studies. [2] Completion of the PhD degree is based on coursework and research toward a dissertation. [2] Students will work closely with faculty members in the department to develop a research program informed by interdisciplinary perspectives. [2]",,https://gradsch.osu.edu/future-students/find-your-program,,,,FALSE,False,,4.0,3.0,,,,,,,,,,,,,,,,,,False,False,,,120.0,,,,7.5,,,,,96,,,,,,,,,,,,,"Fellowships, Graduate Associate-ships",FALSE,,,FALSE,FALSE,,,
,Master of Science in Agricultural and Extension Education,,,,,Graduate,Fall 2026,,,,,,GRE,REQUIRED,,,,True,True,True,False,True,False,,True,False,False,False,False,True,False,False,False,,,,"Department of Agricultural Communication, Education, and Leadership, College of Food, Agricultural, and Environmental Sciences",,Program-specific tuition and fees for the 2026-2027 academic year are not available on the university's official website. The university notes that tuition and fees can vary by major and college. [16],,,,,,"['Agricultural Communication - The study of traditional and emerging communication processes and theories in applied contexts related to food, agriculture and the environment. [2]', 'Agricultural Education - The study of educational theories and practices in formal, often school-based, contexts related to food, agriculture and the environment. [2]', 'Community and Extension Education - The study of non-formal educational theories and practices in applied contexts including those related to food, agriculture, the environment, communities and youth. [2]', 'International Development - The study of development theories and practices in international settings aimed at addressing complex food, agricultural and environmental challenges. [2]', 'Leadership - The study of leadership theories and practices in applied contexts seeking to create change in issues related to food, agriculture, the environment and community. [2]']","Ohio State's graduate program in the Department of Agricultural Communication, Education, and Leadership (ACEL) offers the Master of Science (M.S.) degree conferred by the Graduate School of The Ohio State University. The Master of Science degree is designed for agricultural teachers, extension professionals, communicators, outreach educators and leadership professionals. The master's degree prepares graduates for: Teaching, Research, Extension, Communication, Administrative, and Leadership positions in the public and private sectors. The online M.S. degree in Agricultural Communication, Education, and Leadership is targeted toward early- and mid-career, place-bound, working professionals who need access to graduate education to advance their personal and professional goals. [2, 5]",,https://gradsch.osu.edu/future-students/find-your-program,,,,FALSE,False,,4.0,3.0,,,,,,,,,,,,,,,,,,False,False,,,120.0,,,,7.0,,,,,79,,,,,,,,,,,,,"The Department of Agricultural Communication, Education, and Leadership offers competitive Graduate Associateships. [3] Students can also be nominated for University Fellowships and OARDC Fellowships, which may provide a stipend and cover all tuition and fees. [3] A number of other departmental scholarships are also available. [13]",FALSE,,,FALSE,FALSE,,,
,Doctor of Philosophy in Agricultural and Extension Education,,,,,Doctoral,Fall 2026,,,,Required,Required,Not Required,REQUIRED,Three letters of recommendation are required for the application packet to be processed. The letters of recommendation should be prepared by persons qualified to evaluate the applicant's academic potential to succeed in a graduate degree program. Letters from former professors or other persons who have supervised the student in a class or research project are the most relevant. At least two letters of recommendation should focus on academic qualifications. [7] Official copies of all college transcripts must be submitted as part of the OSU Graduate School online application. [7],Not Required,,True,False,True,False,False,False,,True,False,False,False,False,True,False,False,False,,,,"College of Food, Agricultural, and Environmental Sciences",,"$14,318 per year",,,,,,"['Agricultural Communication', 'Agricultural Education', 'Community and Extension Education', 'International Development', 'Leadership']","The Doctor of Philosophy degree in Agricultural Communication, Education, and Leadership at The Ohio State University prepares students for careers as administrators, specialists, university faculty, and researchers. [2] The program allows students to specialize in one of five areas: Agricultural Communication, which is the study of communication processes in the context of food, agriculture, and the environment; Agricultural Education, which focuses on educational theories and practices in formal, often school-based, settings related to these fields; Community and Extension Education, which involves the study of non-formal educational theories and practices; International Development, which addresses complex global challenges in food, agriculture, and the environment; and Leadership, which is the study of leadership theories and practices for creating change related to food, agriculture, and the environment. [1]",,https://gradsch.osu.edu/future-students/find-your-program,,,$829.75 per credit hour (Instructional Fee),FALSE,False,,4.0,3.0,,,,,,,,,,,,,,,,,,False,False,,,120.0,,,,7.0,,,,,79,,,,,,,,,,,,,"Fellowships, Associateships (Teaching, Research, Administrative)",FALSE,,,FALSE,FALSE,,,
