Id,ProgramName,ProgramCode,Status,CreatedDate,UpdatedDate,Level,Term,TermCode,LiveDate,DeadlineDate,Resume,StatementOfPurpose,GreOrGmat,EnglishScore,Requirements,WritingSample,CollegeId,IsAnalyticalNotRequired,IsAnalyticalOptional,IsDuoLingoRequired,IsELSRequired,IsGMATOrGreRequired,IsGMATRequired,IsGreRequired,IsIELTSRequired,IsLSATRequired,IsMATRequired,IsMCATRequired,IsPTERequired,IsTOEFLIBRequired,IsTOEFLPBTRequired,IsEnglishNotRequired,IsEnglishOptional,AcademicYear,AlternateProgram,ApplicationType,Department,Fees,Fees.1,IsAvailable,ProgramType,AdmissionDepartmentId,CreatedBy,UpdatedBy,Concentration,Description,OtherConcentrations,ProgramWebsiteURL,Accredidation,AverageScholarshipAmount,CostPerCredit,IsRecommendationSystemOpted,IsStemProgram,MaxFails,MaxGPA,MinGPA,PreviousYearAcceptanceRates,QsWorldRanking,TotalAccepetedApplications,TotalCredits,TotalDeniedApplications,TotalI20sIssued,TotalScholarshipsAwarded,TotalSubmittedApplications,TotalVisasSecured,UsNewsRanking,CollegeApplicationFee,IsCollegePaying,MEContractNegotiatedFee,MyGradAppFee,ProgramCategory,IsCollegeApplicationFree,IsCouponAllowed,IsACTRequired,IsSATRequired,SftpDestinationId,MinimumACTScore,MinimumDuoLingoScore,MinimumELSScore,MinimumGMATScore,MinimumGreScore,MinimumIELTSScore,MinimumMATScore,MinimumMCATScore,MinimumPTEScore,MinimumSATScore,MinimumTOEFLScore,MLModelName,MinimumAnalyticalScore,MinimumEnglishScore,MinimumExperience,MinimumSopRating,WeightAnalytical,WeightEnglish,WeightExperience,WeightGPA,WeightSop,ScholarshipAmount,ScholarshipPercentage,ScholarshipType,IsNewlyLaunched,BatchId,IsImported,IsImportVerified,Is_Recommendation_Sponser,AnalyticalScore,MinimumLSATScore,IsGRERequired
,Master of Arts in Anthropology,,,,,Graduate,Fall 2026,,,,Not Required,Required,,,"The UCI Department of Anthropology does not offer a standalone Master of Arts in Anthropology. Students are admitted to the Ph.D. program and may earn an M.A. in Anthropology along the way. [5] The department offers a terminal M.A. in Social Sciences with a concentration in Medicine, Science, and Technology Studies (MSTS), but is not currently accepting new applications for this program. [6, 9] Application to the Ph.D. program is done online via Slate, and completed applications must be received by December 1st for fall quarter admission. [5] The department specializes in sociocultural anthropology. [5]",Not Required,,True,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,https://grad.uci.edu/admissions/degree-programs/,,,,FALSE,False,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,
,PhD in Anthropology,,,,,Doctoral,Fall 2026,,,,Not Required,Required,Not Required,REQUIRED,"Decisions are based on the department's evaluation of the applicant's statement of purpose, letters of recommendation, and writing sample. [6] The application requires an Academic Statement of Purpose, a Personal History Statement, three (3) letters of recommendation, and a writing sample. [3]",Required,,True,False,False,False,False,False,,True,False,False,False,False,True,False,False,False,,,,School of Social Sciences,,,,,,,,"['Social and Cultural Anthropology', 'Anthropologies of Medicine, Science, and Technology (graduate specialization)', 'Feminist Studies (graduate emphasis)', 'Critical Theory (graduate emphasis)', 'Visual Studies (graduate emphasis)', 'Translation Studies (graduate emphasis)']","The Department of Anthropology Ph.D. program at the University of California, Irvine focuses on social and cultural anthropology. [3] Graduate training in anthropology involves a period of long-term, independent fieldwork, generally (though not always) outside the United States, and often conducted in a language other than English. [3] Attentive to our discipline's past and indeed the paradigm of disciplinarity that has structured social inquiry since the early 20th century, our program gives students a breadth of knowledge in traditional anthropology and the traditional subjects of anthropological study. [6] At the same time, we push the boundaries of the discipline and use our ethnographic work to stretch the anthropological imagination. [6] The department provides students with superb training in both theory and method. [3] Areas of teaching emphasis include: the anthropology of modernity and development; political, legal, and economic anthropology; ethnographic method; and the anthropology of science, technology, and medicine. [3] The program involves three years of course work, with the bulk of requirements typically satisfied after the first two. The third year focuses on developing a research proposal and advancing to candidacy. [3] The fourth and often part of the fifth year are for extended anthropological fieldwork, and the sixth year is for writing the dissertation. [3] The department is committed to fostering new and innovative approaches to anthropological inquiry in a pluralistic and intellectually open academic environment. [3, 6]",,https://grad.uci.edu/admissions/degree-programs/,,,,FALSE,False,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,7,,,,,80,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,
,Master of Arts in Art History,,,,,Graduate,Fall 2026,,,,,,,,,,,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,"The Master of Arts program in art history is designed to provide the student with a broad knowledge of the major art historical periods, the scholarly and bibliographical resources, and the methodologies of art history. It also offers an opportunity to investigate art historical problems in some depth. [1] In addition to the regular graduate school application form, applicants to the graduate program in art history are required to submit copies of two research papers that they consider to represent their best work. [1] GRE scores are optional. [1] Applicants for the MA should have a BA major or minor concentration in art history or a related humanities field and a minimum GPA of 3.5. [1] All applicants whose native language is not English, or who have not received a degree from an English-speaking university, must take the Test of English as a Foreign Language (TOEFL); the required minimum score is 100 if Internet-based. [1]",,https://grad.uci.edu/admissions/degree-programs/,,,,FALSE,False,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,
,PhD in Art History,,,,,Doctoral,Fall 2026,,,,Not Required,Required,Not Required,REQUIRED,"A complete application includes the following materials: A Statement of Purpose describing your intellectual interests and reasons for seeking a PhD, a Personal History statement describing your educational history and accomplishments, a Writing Sample of approximately twenty pages, transcripts from all institutions attended since high school, and three Letters of Recommendation. A minimum GPA of 3.0 is required. GRE scores are not required. [14]",Required,,True,False,False,False,False,False,,True,False,False,False,False,True,False,False,False,,,,,,,,,,,,,,,https://grad.uci.edu/admissions/degree-programs/,,,,FALSE,False,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,7,,,,,80,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,
,Master of Fine Arts in Art,,,,,Graduate,Fall 2026,,,,Not Required,Required,Not Required,REQUIRED,"Applicants for admission to the MFA program must meet the general requirements for admission to graduate study, hold a BA or BFA, and have completed one year of Twentieth-Century Art History (students who have not completed this will be required to do so as part of their graduate studies). In addition, a portfolio of creative work must be submitted by January 15. Applications to the MFA in Art must include the following: 1. A Statement of Purpose. Length: 1200 words. 2. Two (2) letters of recommendation (recommenders must submit letters via online application). 3. A portfolio of 20 images and/or other media samples. Images must include title of the work, size, year, medium, description, and duration of the work, if time-based. 4. One copy of unofficial transcripts from the Undergraduate institution(s) attended by the applicant.",Not Required,,True,False,False,False,False,False,,True,False,False,False,False,True,False,False,False,,,,,,,,,,,,"['Critical Theory', 'Curatorial', 'Electronic Art and Design', 'Feminist Studies', 'Asian/American Studies', 'Visual Studies']","The program is designed to provide intensive professional training for independently motivated students wishing to pursue careers in the field of contemporary art. The overall emphasis in the program is on studio production. Experimental and interdisciplinary approaches to art making are emphasized. Students undergo a rigorous course of study combining seminar classes, intensive critique courses, and independent study. [17] The M.F.A. program in Art emphasizes not only the production of works but also critical analysis behind and about art. [16] Throughout the three years in the M.F.A. program, students must take a series of critique seminars. [16] At the end of the second year of study, each M.F.A. candidate's work is reviewed by the entire Art faculty, and at the end of the third year, candidates must mount a thesis exhibition. [16]",,https://grad.uci.edu/admissions/degree-programs/,,,,FALSE,False,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,7,,,,,80,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,
,Master of Arts in Asian American Studies,,,,,Graduate,Fall 2026,,,,Not Required,,Not Required,NOT REQUIRED,"In order to be considered admissible, at minimum, students must meet the following criteria: Current UCI undergraduate student status. Cumulative 3.0 GPA. Cumulative 3.3 GPA in all Asian American Studies coursework. Two Asian American Studies courses: one selected from ASIANAM 50, ASIANAM 51, ASIANAM 52, ASIANAM 53, ASIANAM 54, or ASIANAM 55 and one other lower- or upper-division course in Asian American Studies. [5]",Required,,True,False,False,False,False,False,,False,False,False,False,False,False,False,True,False,,,,School of Humanities,,,,,,,,,"The combined Bachelor of Arts and Master of Arts in Asian American Studies is designed for UCI undergraduate students looking to engage in the most critical issues at the forefront of the field. [5] At the conclusion of the program, graduates are trained in interdisciplinary theories and methods for social justice-driven research as well as have developed an understanding of issues facing local, national, and global Asian American communities through first-hand interaction and engagement. [5]",,https://grad.uci.edu/admissions/degree-programs/,,,,FALSE,False,Accumulation of more than eight units of 'F' and/or 'U' grades is considered not in good academic standing.,4.0,"A cumulative GPA of 3.0 is required for admission, with a 3.3 GPA in all Asian American Studies coursework. A minimum GPA of 3.5 is required for graduation for students in the thesis or creative project tracks.",,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,"Fellowships, Assistantships",FALSE,,,FALSE,FALSE,,,
,Master of Arts in Classics,,,,,Graduate,Fall 2026,,,,Required,Required,Not Required,REQUIRED,"All entering graduate students are admitted into the Ph.D. program. With the exception of those granted advanced standing because they hold an M.A. in Classics from another institution, entering students may be awarded an M.A. along the way. Required application materials include an academic history, transcripts, three letters of recommendation, a statement of purpose, a personal history statement, a writing sample, and a CV or resume.",Required,,True,False,False,False,False,False,,True,False,False,False,False,True,False,False,False,,,,,,,,,,,,,,,https://grad.uci.edu/admissions/degree-programs/,,,,FALSE,False,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,7,,,,,80,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,
,PhD in Classics,,,,,Doctoral,Fall 2026,,,,,,Not Required,REQUIRED,"NOTE: Admission to the program is not available at this time. Contact the Department for information. [3, 7, 12, 14]",,,True,False,False,False,False,False,,True,False,False,False,False,True,False,False,False,,,,,,,,,,,,,,,https://grad.uci.edu/admissions/degree-programs/,,,,FALSE,False,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,7,,,,,80,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,
,Master of Arts in Comparative Literature,,,,,Graduate,Fall 2026,,,,Required,Required,,,"While a specific 'Master of Arts in Comparative Literature' program page is not available on the UNIVERSITY OF CALIFORNIA, IRVINE website, admission into a graduate program in the humanities generally requires a bachelor's degree from an accredited institution, transcripts from all colleges and universities attended, letters of recommendation, a statement of purpose, and a writing sample. For Comparative Literature, proficiency in at least one language other than English is typically expected. The university does not offer a terminal M.A. degree in this field; students are admitted into the M.A./Ph.D. or Ph.D. program. [4]",Required,,True,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,"The Master of Arts (M.A.) in Comparative Literature combines the objectives of graduate study in foreign languages and literatures with an emphasis on the intercultural and international aspects of literature. The goal of the program is to provide graduate-t-level raining [sic]in subjects common to more than one national literature. Research work in the program is directed toward the analysis of cultural, historical, literary, linguistic, ethical and social concerns in literature, as approached through comparative methods of analysis informed by literary and cultural theory, as well as theories and practices from a variety of disciplines including psychology, sociology, anthropology, history and others. Because of the benefits of reading literature in the original language, the M.A. program requires students to have sufficient proficiency in at least one foreign language to take graduate literature seminars in that language. The M.A. in Comparative Literature is of particular value for students who intend to pursue a doctoral degree in comparative literature or in a foreign language and literature, or who plan to teach literature at the K-12 or community college levels. Some upper-division courses in Comparative and World Literature (CWL) or English (taken as part of the degree program electives) may apply to subject matter preparation for the Single Subject Teaching Credential in English (CWL Emphasis). For information about the Teaching Credential, please consult the Credentials Office in the College of Education.",,https://grad.uci.edu/admissions/degree-programs/,,,,FALSE,False,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,
,PhD in Comparative Literature,,,,,Doctoral,Fall 2026,,,,Not Required,Required,Not Required,REQUIRED,"Applicants must use UCI's online application portal which requires: A Statement of Purpose, A Personal History Statement, A Statement on Foreign Language Competence, A Writing Sample of a minimum of 15 pages, but no more than 20 pages maximum. Scanned and uploaded copies of both the front and back sides of transcripts for all institutions attended since high school. You must have a minimum 3.0 GPA and a Bachelor's Degree in order to be considered for admission. Three letters of recommendation must also be uploaded by your recommenders to the online system by the deadline. [5, 9]",Required,,True,False,False,False,False,False,,True,False,False,False,False,True,True,False,False,,,,,,,,,,,,,"The Ph.D. program in Comparative Literature at UCI is designed for students whose linguistic background, breadth of interest in literature, and curiosity about the problems of literary scholarship and theory make this program more appropriate to their needs than a Ph.D. in one of the individual national literatures. Students are expected to take courses in at least three national literatures, with one of them potentially being in their native language, all to be studied in their original languages. The program aims to familiarize students with the major contemporary approaches to literary study.",,https://grad.uci.edu/admissions/degree-programs/,,,,FALSE,False,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,7,,,,,80,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,
