Id,ProgramName,ProgramCode,Status,CreatedDate,UpdatedDate,Level,Term,TermCode,LiveDate,DeadlineDate,Resume,StatementOfPurpose,GreOrGmat,EnglishScore,Requirements,WritingSample,CollegeId,IsAnalyticalNotRequired,IsAnalyticalOptional,IsDuoLingoRequired,IsELSRequired,IsGMATOrGreRequired,IsGMATRequired,IsGreRequired,IsIELTSRequired,IsLSATRequired,IsMATRequired,IsMCATRequired,IsPTERequired,IsTOEFLIBRequired,IsTOEFLPBTRequired,IsEnglishNotRequired,IsEnglishOptional,AcademicYear,AlternateProgram,ApplicationType,Department,Fees,Fees.1,IsAvailable,ProgramType,AdmissionDepartmentId,CreatedBy,UpdatedBy,Concentration,Description,OtherConcentrations,ProgramWebsiteURL,Accredidation,AverageScholarshipAmount,CostPerCredit,IsRecommendationSystemOpted,IsStemProgram,MaxFails,MaxGPA,MinGPA,PreviousYearAcceptanceRates,QsWorldRanking,TotalAccepetedApplications,TotalCredits,TotalDeniedApplications,TotalI20sIssued,TotalScholarshipsAwarded,TotalSubmittedApplications,TotalVisasSecured,UsNewsRanking,CollegeApplicationFee,IsCollegePaying,MEContractNegotiatedFee,MyGradAppFee,ProgramCategory,IsCollegeApplicationFree,IsCouponAllowed,IsACTRequired,IsSATRequired,SftpDestinationId,MinimumACTScore,MinimumDuoLingoScore,MinimumELSScore,MinimumGMATScore,MinimumGreScore,MinimumIELTSScore,MinimumMATScore,MinimumMCATScore,MinimumPTEScore,MinimumSATScore,MinimumTOEFLScore,MLModelName,MinimumAnalyticalScore,MinimumEnglishScore,MinimumExperience,MinimumSopRating,WeightAnalytical,WeightEnglish,WeightExperience,WeightGPA,WeightSop,ScholarshipAmount,ScholarshipPercentage,ScholarshipType,IsNewlyLaunched,BatchId,IsImported,IsImportVerified,Is_Recommendation_Sponser,AnalyticalScore,MinimumLSATScore,IsGRERequired
,Master of Science in Actuarial Science,,,,,Graduate,Fall 2026,,,,,,,,,,,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,https://www.graddiv.ucsb.edu/graduate-programs/departments,,,,FALSE,False,,,,,,,,,,,,,,,,,,Accounting/Finance,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,
,Master of Arts/Doctor of Philosophy in Anthropology,,,,,Doctoral,Fall 2026,,,,,,Optional,REQUIRED,,,,True,True,False,False,False,False,,True,False,False,False,False,True,True,False,False,,,,College of Letters & Science,,,,,,,,"Three specializations are offered in the combined M.A./Ph.D. program in anthropology: archaeology, sociocultural anthropology, and Integrative Anthropological Sciences (IAS). [19]","The Department of Anthropology at UCSB is a medium-sized department with excellent faculty, high national visibility and a reputation for a first-rate graduate program. [13] Each student contracts a unique course of study and research directed towards the understanding of human nature, culture and biology, past and present. [13] There are three specializations in the M.A./Ph. D. program: Archaeology, Sociocultural Anthropology and Integrative Anthropological Sciences (IAS). [13] Applicants are admitted to the M.A./Ph. D. program with the expectation that they will meet the requirements for the M.A. degree and advance to complete the PhD degree. [13]",,https://www.graddiv.ucsb.edu/graduate-programs/departments,,,,FALSE,False,,4.0,3.0,,,,,,,,,,,,,,,Anthropology,,,False,False,,,,,,,7.0,,,,,550 for PBT and 80 for iBT,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,
,Master of Arts in Applied Mathematics,,,,,Graduate,Fall 2026,,,,,,,,,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.graddiv.ucsb.edu/graduate-programs/departments,,,,FALSE,False,,,,,,,,,,,,,,,,,,Applied Mathematics,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,
,Master of Fine Arts in Art,,,,,Graduate,Fall 2026,,,,,,,,,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.graddiv.ucsb.edu/graduate-programs/departments,,,,FALSE,False,,,,,,,,,,,,,,,,,,Fine Arts,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,
,Master of Arts in Asian Studies,,,,,Graduate,Fall 2026,,,,,,,,,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.graddiv.ucsb.edu/graduate-programs/departments,,,,FALSE,False,,,,,,,,,,,,,,,,,,Asian Studies,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,
,Doctor of Philosophy in Bioengineering,,,,,Doctoral,Fall 2026,,,,,,,,,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,"['Computation, Modeling & Signal Processing', 'Synthetic & Systems Biology', 'Cell, Tissue & Device Engineering']","The Department handcuffs Bioenginering as hub for research and teaching at the interface of biology, engineering and physical sciences. As the 21st century progresses, the science of biology is proving an increasingly deep and inspiring source of new concepts, mechanisms and materials for application across each of the traditional engineering disciplines. In synergistic parallel, the application of novel technologies and concepts emerging from these same engineering disciplines is rapidly advancing the science of biology. Taken together these two endeavors –engineering from biology and engineering for biology– comprise the discipline of bioengineering, a field that combines discoveries in the life sciences with the fundamental principles of engineering in furtherance of both. Our PhD degree in Biological Engineering provides students with formal training that unites UCSB strengths in engineering, biophysics, biochemistry, quantitative biology, and data sciences into a strong, coherent, forward-looking curriculum. All enrolled students will complete a unified core curriculum and also choose one of three focus areas: : (1) Computation, Modeling & Signal Processing, (2) Synthetic & Systems Biology, and (3) Cell, Tissue & Device Engineering. The Biological Engineering PhD will train students in fundamental discovery, experimental methods, quantitative analysis, and technological design, innovation and application and prepare them for careers in all areas of biological engineering.",,https://www.graddiv.ucsb.edu/graduate-programs/departments,,,,FALSE,False,,,,,,,,,,,,,,,,,,Bioengineering,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,
,Doctor of Philosophy in Chemical Engineering,,,,,Doctoral,Fall 2026,,,,,,,,,,,True,True,,,,,,,,,,,,,,,,,,College of Engineering,,,,,,,,,,,https://www.graddiv.ucsb.edu/graduate-programs/departments,,,,FALSE,False,,4.0,3,,,,,,,,,,,,,,,Chemical Engineering,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,"Fellowships, Research Assistantships, Teaching Assistantships",FALSE,,,FALSE,FALSE,,,
,Doctor of Philosophy in Chemistry,,,,,Doctoral,Fall 2026,,,,,,,,,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,"The PhD in chemistry is primarily a research degree. It is awarded to students who have displayed competence in planning and conducting original research in the field of chemistry, demonstrated a broad familiarity with the science of chemistry, understanding in the application of the scientific method, and gained a thorough knowledge of their field of specialization.",,https://www.graddiv.ucsb.edu/graduate-programs/departments,,,,FALSE,False,,,,,,,,,,,,,,,,,,Chemistry,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,
,Master of Science/Doctor of Philosophy in Chemistry,,,,,Doctoral,Fall 2026,,,,,,,,"The University of California, Santa Barbara (UCSB) Graduate Division does not specify a single set of general application requirements for all graduate programs. Instead, requirements such as the statement of purpose, letters of recommendation, and GRE scores are determined by each individual academic department or program. Applicants are advised to consult the specific department's website for detailed information on their application prerequisites.",,,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.graddiv.ucsb.edu/graduate-programs/departments,,,,FALSE,False,,,,,,,,,,,,,,,,,,Chemistry,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,
,Master of Arts/Doctor of Philosophy in Chemistry,,,,,Doctoral,Fall 2026,,,,,,,,,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.graddiv.ucsb.edu/graduate-programs/departments,,,,FALSE,False,,,,,,,,,,,,,,,,,,Chemistry,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,
,Master of Arts/SST Credentials in Chemistry/TEP Joint Graduate Degree Program,,,,,Graduate,Fall 2026,,,,,,,,,,,True,True,False,False,False,False,,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,https://www.graddiv.ucsb.edu/graduate-programs/departments,,,,FALSE,False,,,,,,,,,,,,,,,,,,Chemistry,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,
,Master of Arts/SST Credentials/Master of Education in Chemistry/TEP Joint Graduate Degree Program,,,,,Graduate,Fall 2026,,,,,,Not Required,REQUIRED,,,,True,True,True,False,False,False,,True,False,False,False,False,True,False,False,False,,,,,,,,,,,,,,,https://www.graddiv.ucsb.edu/graduate-programs/departments,,,,FALSE,False,,,,,,,,,,,,,,,,,,Education,,,False,False,,,120.0,,,,7.0,,,,,80,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,
,Master of Arts/Doctor of Philosophy in Chicana and Chicano Studies,,,,,Doctoral,Fall 2026,,,,,,,,,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.graddiv.ucsb.edu/graduate-programs/departments,,,,FALSE,False,,,,,,,,,,,,,,,,,,Chicano/Latino Studies,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,
,Doctor of Philosophy in Classics,,,,,Doctoral,Fall 2026,,,,,,Not Required,REQUIRED,,,,True,True,True,False,False,False,,True,False,False,False,False,True,True,False,False,,,,College of Letters and Science,"For the 2025-2026 academic year, the estimated annual fees for a resident graduate student are $24,417.48 and for a non-resident are $39,519.48. [80]","The annual tuition for resident graduate students for 2025-2026 is $13,140.00, and for non-residents, it is $28,242.00 (including non-resident supplemental tuition). [80]",,,,,,,,,https://www.graddiv.ucsb.edu/graduate-programs/departments,,,,FALSE,False,12,4.0,3.0,,,,,,,,,,,,,,,Classics,,,False,False,,,120.0,,,,7.0,,,,,80,,,,,,,,,,,,,"Fellowships, grants, teaching assistantships, and research assistantships. [78]",FALSE,,,FALSE,FALSE,,,
,Master of Arts/Doctor of Philosophy in Communication,,,,,Doctoral,Fall 2026,,,,,,Optional,REQUIRED,,,,True,True,False,False,False,False,,True,False,False,False,False,True,False,False,False,,,,,,,,,,,,,,,https://www.graddiv.ucsb.edu/graduate-programs/departments,,,,FALSE,False,,,,,,,,,,,,,,,,,,Communication Studies,,,False,False,,,120.0,,,,7.0,,,,,80,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,
,Doctor of Philosophy in Communication,,,,,Doctoral,Fall 2026,,,,,,Not Required,REQUIRED,,,,True,True,True,False,False,False,,True,False,False,False,False,True,False,False,False,,,,,,,,,,,,,,,https://www.graddiv.ucsb.edu/graduate-programs/departments,,,,FALSE,False,,,,,,,,,,,,,,,,,,Communication Studies,,,False,False,,,120.0,,,,7.0,,,,,80,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,
,Master of Arts/Doctor of Philosophy in Comparative Literature,,,,,Doctoral,Fall 2026,,,,,,,REQUIRED,,,,True,True,False,False,False,False,,True,False,False,False,False,True,False,False,False,,,,,,,,,,,,,,,https://www.graddiv.ucsb.edu/graduate-programs/departments,,,,FALSE,False,,,,,,,,,,,,,,,,,,Comparative Literature,,,False,False,,,,,,,7.0,,,,,80,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,
,Doctor of Philosophy in Comparative Literature,,,,,Doctoral,Fall 2026,,,,,,Optional,REQUIRED,,,,True,True,False,False,False,False,,True,False,False,False,False,True,False,False,False,,,,,,,,,,,,,,,https://www.graddiv.ucsb.edu/graduate-programs/departments,,,,FALSE,False,,,,,,,,,,,,,,,,,,Comparative Literature,,,False,False,,,,,,,7.0,,,,,80,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,
,Master of Science in Computer Science,,,,,Graduate,Fall 2026,,,,,,Not Required,REQUIRED,,,,True,True,True,False,False,False,,True,False,False,False,False,True,False,False,False,,,,,,,,,,,,,,,https://www.graddiv.ucsb.edu/graduate-programs/departments,,,,FALSE,False,,,,,,,,,,,,,,,,,,Computer Science,,,False,False,,,120.0,,,,7.0,,,,,80,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,
,Doctor of Philosophy in Computer Science,,,,,Doctoral,Fall 2026,,,,,,Not Required,REQUIRED,,,,True,True,True,False,False,False,,True,False,False,False,False,True,False,False,False,,,,,,,,,,,,,,,https://www.graddiv.ucsb.edu/graduate-programs/departments,,,,FALSE,False,,,,,,,,,,,,,,,,,,Computer Science,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,
,"Doctor of Philosophy in Counseling, Clinical & School Psychology",,,,,Doctoral,Fall 2026,,,,,,Optional,REQUIRED,,,,True,True,False,False,False,False,,True,,,,False,True,True,False,False,,,,,,,,,,,,,,,https://www.graddiv.ucsb.edu/graduate-programs/departments,,,,FALSE,False,,,,,,,,,,,,,,,,,,Psychology,,,False,False,,,,,,,7.0,,,,,"550 (PBT), 80 (iBT)",,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,
,"Pupil Personnel Services Credential in Counseling, Clinical & School Psychology",,,,,Graduate,Fall 2026,,,,,,,,,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.graddiv.ucsb.edu/graduate-programs/departments,,,,FALSE,False,,,,,,,,,,,,,,,,,,Counseling,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,
,"Master of Education in Counseling, Clinical & School Psychology",,,,,Graduate,Fall 2026,,,,,,Not Required,REQUIRED,,,,True,True,True,False,False,False,,True,False,False,False,False,True,False,False,False,,,,,,,,,,,,,,,https://www.graddiv.ucsb.edu/graduate-programs/departments,,,,FALSE,False,,,,,,,,,,,,,,,,,,Counseling,,,False,False,,,120.0,,,,7.0,,,,,80,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,
,Doctor of Philosophy in Dynamical Neuroscience,,,,,Doctoral,Fall 2026,,,,,,Optional,REQUIRED,,,,True,True,False,False,False,False,,True,False,False,False,False,True,False,False,False,,,,,,,,,,,,,,,https://www.graddiv.ucsb.edu/graduate-programs/departments,,,,FALSE,False,,,,,,,,,,,,,,,,,,Neuroscience,,,False,False,,,,,,,7.0,,,,,80,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,
,Master of Science in Earth Science,,,,,Graduate,Fall 2026,,,,,,,,,,,True,True,False,False,False,False,,,False,False,False,,,,False,False,,,,,,,,,,,,,,,https://www.graddiv.ucsb.edu/graduate-programs/departments,,,,FALSE,False,,,,,,,,,,,,,,,,,,Earth Sciences,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,
