Id,ProgramName,ProgramCode,Status,CreatedDate,UpdatedDate,Level,Term,TermCode,LiveDate,DeadlineDate,Resume,StatementOfPurpose,GreOrGmat,EnglishScore,Requirements,WritingSample,CollegeId,IsAnalyticalNotRequired,IsAnalyticalOptional,IsDuoLingoRequired,IsELSRequired,IsGMATOrGreRequired,IsGMATRequired,IsGreRequired,IsIELTSRequired,IsLSATRequired,IsMATRequired,IsMCATRequired,IsPTERequired,IsTOEFLIBRequired,IsTOEFLPBTRequired,IsEnglishNotRequired,IsEnglishOptional,AcademicYear,AlternateProgram,ApplicationType,Department,Fees,Fees.1,IsAvailable,ProgramType,AdmissionDepartmentId,CreatedBy,UpdatedBy,Concentration,Description,OtherConcentrations,ProgramWebsiteURL,Accredidation,AverageScholarshipAmount,CostPerCredit,IsRecommendationSystemOpted,IsStemProgram,MaxFails,MaxGPA,MinGPA,PreviousYearAcceptanceRates,QsWorldRanking,TotalAccepetedApplications,TotalCredits,TotalDeniedApplications,TotalI20sIssued,TotalScholarshipsAwarded,TotalSubmittedApplications,TotalVisasSecured,UsNewsRanking,CollegeApplicationFee,IsCollegePaying,MEContractNegotiatedFee,MyGradAppFee,ProgramCategory,IsCollegeApplicationFree,IsCouponAllowed,IsACTRequired,IsSATRequired,SftpDestinationId,MinimumACTScore,MinimumDuoLingoScore,MinimumELSScore,MinimumGMATScore,MinimumGreScore,MinimumIELTSScore,MinimumMATScore,MinimumMCATScore,MinimumPTEScore,MinimumSATScore,MinimumTOEFLScore,MLModelName,MinimumAnalyticalScore,MinimumEnglishScore,MinimumExperience,MinimumSopRating,WeightAnalytical,WeightEnglish,WeightExperience,WeightGPA,WeightSop,ScholarshipAmount,ScholarshipPercentage,ScholarshipType,IsNewlyLaunched,BatchId,IsImported,IsImportVerified,Is_Recommendation_Sponser,AnalyticalScore,MinimumLSATScore,IsGRERequired
,Master of Advanced Studies in Climate Science and Policy,,,,,Graduate,Fall 2026,,,,,,Not Required,REQUIRED,,,,True,True,False,False,False,False,,True,False,False,False,True,True,False,False,False,,,,Scripps Institution of Oceanography,"$45,000/Year","$45,000/Year",,,,,,,"The Master of Advanced Studies in Climate Science and Policy (MAS-CSP) is a one-year professional degree that gives students the knowledge they need to become leaders in the field of climate policy. Offered by Scripps Institution of Oceanography, the MAS-CSP curriculum is designed to teach students the fundamentals of climate science, how to evaluate the impacts of climate change, and how to effectively communicate and implement solutions. The program combines coursework from the physical, biological, and social sciences with professional training in communication and policy-making. Graduates of the MAS-CSP program are prepared to pursue careers in a wide array of fields, including government agencies, non-profits, and the private sector.",,https://grad.ucsd.edu/admissions/programs.html,,,,FALSE,False,,4.0,3.0,,,,,,,,,,,,,,,,,,False,False,,,,,,,7.0,,,65.0,,85.0,,,,,,,,,,,,,Merit-based,FALSE,,,FALSE,FALSE,,,
,Master of Science in Earth Sciences,,,,,Graduate,Fall 2026,,,,,,Not Required,REQUIRED,,,,True,True,False,False,False,False,,True,False,False,False,True,True,True,False,False,,,,Scripps Institution of Oceanography,"$19,617/Year (CA Resident), $34,719/Year (Non-Resident)","$19,617/Year (CA Resident), $34,719/Year (Non-Resident)",,,,,,,"The Master of Science degree in Earth Sciences is a graduate program offered by the Earth Science program at Scripps Institution of Oceanography, in conjunction with the Graduate Division at UC San Diego. The program is designed for students who are interested in a terminal master’s degree with a focus in a specific area of Earth Sciences. The Earth Sciences M.S. degree provides a strong foundation for a variety of career pathways in industry, government, and education, and gives students the tools necessary to tackle a wide range of environmental problems. M.S. students will engage in a rigorous curriculum that includes quantitative coursework and training in computational analysis. The program also requires the completion of a capstone project which can be either a research-based thesis or a literature-based review paper on a topic of the student’s choosing, conducted under the supervision of a faculty advisor. The curriculum is intended to be completed in one year, but can be extended to two years for students with limited prior training in Earth Sciences.",,https://grad.ucsd.edu/admissions/programs.html,,,,FALSE,False,,4.0,3.0,,,,,,,,,,,,,,,,,,False,False,,,,,,,7.0,,,65.0,,85.0,,,,,,,,,,,,,"Fellowships, scholarships, and graduate student researcher (GSR) appointments",FALSE,,,FALSE,FALSE,,,
,PhD in Earth Sciences,,,,,Doctoral,Fall 2026,,,,,,Optional,REQUIRED,,,,True,True,True,False,False,False,,True,False,False,False,True,True,False,False,False,,,,Scripps Institution of Oceanography,"$19,301/Year","$19,301/Year",,,,,,,"The Geosciences of the Earth, Oceans, and Planets (GEO) curricular group at Scripps Institution of Oceanography encompasses a broad range of scientific disciplines focused on the Earth’s physical, chemical, and biological systems, from the deep interior to the oceans and atmosphere. Researchers in GEO study the fundamental processes that govern the evolution of the planet, the causes and consequences of natural hazards like earthquakes and volcanic eruptions, and the dynamics of the Earth’s climate system. The GEO curricular group emphasizes a multidisciplinary approach, combining field observations, laboratory experiments, and computational modeling to address some of the most pressing scientific questions of our time. Students in the GEO curricular group have the opportunity to work with leading experts in their fields, and to conduct research in some of the most remote and challenging environments on Earth. The GEO curricular group is also home to a number of world-class research facilities, including the Cecil H. and Ida M. Green Institute of Geophysics and Planetary Physics (IGPP), the Geosciences Research Division (GRD), and a number of analytical laboratories.",,https://grad.ucsd.edu/admissions/programs.html,,,,FALSE,False,,4.0,3.0,,,,,,,,,,,,,,,,,,False,False,,,115.0,,,,7.0,,,65.0,,85.0,,,,,,,,,,,"All admitted PhD students receive a financial support package that covers tuition, fees, and an annual stipend ($39,534.84 for 2024-2025).",,"Fellowships, Graduate Student Researcher (GSR) appointments, and/or Teaching Assistant (TA) appointments",FALSE,,,FALSE,FALSE,,,
,PhD in Earth Sciences with a Specialization in Interdisciplinary Environmental Research,,,,,Doctoral,Fall 2026,,,,Required,Required,Not Required,REQUIRED,"The following materials must be submitted via the online application for an application to be considered complete: Statement of Purpose, Three Letters of Recommendation, Resume or CV, and Transcripts. In the statement of purpose we would like to hear about your previous research experience and your research interests for graduate school. Please be sure to list any SIO faculty members with whom you are interested in working. Applicants are strongly encouraged to communicate with potential advisors before applying. The GRE General Test is not required for Fall 2024 admissions. For international applicants whose native language is not English and who have not studied full-time for at least one uninterrupted academic year at a university-level institution in which English is the language of instruction and in a country in which English is a dominant language, the Test of English as a Foreign Language (TOEFL) or International English Language Testing System (IELTS) is required.",Not Required,,True,False,True,False,False,False,,True,False,False,False,True,True,True,False,False,,,,Scripps Institution of Oceanography,"$19,471.01/Year","$19,471.01/Year",,,,,,Interdisciplinary Environmental Research,"The Interdisciplinary Environmental Research (PIER) Program is an optional specialization in the PhD program at Scripps Institution of Oceanography. PIER is designed to train a new generation of scientists and leaders to research and solve complex and interdisciplinary environmental problems. The PIER program provides an opportunity for students to specialize in a chosen field of research and to acquire the breadth and skills to work on problems that cross traditional disciplinary boundaries. Students gain this experience through a combination of interdisciplinary courses, seminars and colloquia, and an internship program that places them in a non-academic environment to gain experience in applying their knowledge. Admission to the PIER specialization is a two-step process. First, students must apply and be admitted to the PhD program at Scripps. Once accepted into the Scripps PhD program, students may apply to the PIER program for admission.",,https://grad.ucsd.edu/admissions/programs.html,,,,FALSE,True,,4.0,3.0,,,,,,,,,,,,,,,,,,False,False,,,115.0,,,,7.0,,,65.0,,85.0,,,,,,,,,,,,,"Fellowships, Graduate Student Research Assistantships (GSR), Teaching Assistantships (TA)",FALSE,,,FALSE,FALSE,,,
,PhD in Geophysics (Joint with San Diego State University),,,,,Doctoral,Fall 2026,,,,,,Not Required,REQUIRED,,,,True,True,False,False,False,False,,True,False,False,False,True,True,True,False,False,,,,Scripps Institution of Oceanography,,"$18,694/Year (CA Resident), $33,937/Year (Non-Resident)",,,,,,,"The Joint Doctoral Program in Geophysics with San Diego State University (SDSU) is a PhD program that operates under the framework of the existing Scripps Institution of Oceanography PhD program. Students have access to the broad resources of both institutions. In addition to a rigorous training in the fundamentals of geophysics, the program exposes students to a variety of research topics, and provides flexibility in designing a course of study that best suits their interests. Students interested in the Joint Program in Geophysics can apply through either UC San Diego or SDSU. Admission requirements are the same for both institutions and applications are evaluated by a joint admissions committee. Applicants are encouraged to contact potential advisors in their area of interest at either or both institutions.",,https://grad.ucsd.edu/admissions/programs.html,,,,FALSE,False,,4.0,3.0,,,,,,,,,,,,,,,,,,False,False,,,,,,,7.0,,,65.0,,85.0,,,,,,,,,,,"All admitted PhD students receive a funding package which includes a monthly stipend ($3,349.50 as of Oct 2023) and payment of all university fees and tuition.",100% of admitted students are guaranteed financial support.,"Fellowships, Graduate Student Research (GSR) positions",FALSE,,,FALSE,FALSE,,,
,Master of Advanced Studies in Marine Biodiversity and Conservation,,,,,Graduate,Fall 2026,,,,Required,Required,Not Required,REQUIRED,"A complete online application includes the following: Online Application and Fee, Statement of Purpose: Describe your academic and professional background, and why you are interested in the MAS MBC program., Resume or CV, Three Letters of Recommendation, Official Transcripts, TOEFL or IELTS Scores (for international applicants only), There is NO GRE requirement for the MAS MBC program.",Not Required,,True,False,True,False,False,False,,True,False,False,False,True,True,True,False,False,,,,Scripps Institution of Oceanography,42000,42000,,,,,,,"The Master of Advanced Studies (MAS) degree in Marine Biodiversity and Conservation (MBC) at Scripps Institution of Oceanography at UC San Diego is a 12-month, intensive program that is geared towards resource managers, environmental consultants, and informal science educators. Our goal is to train the next generation of leaders in marine conservation. This is accomplished through a comprehensive curriculum of interdisciplinary coursework and a collaborative, solution-based capstone project. In just one year, our students receive a broad introduction to the science, economics, and policy of marine conservation and gain practical skills to improve their effectiveness in the environmental arena.",,https://grad.ucsd.edu/admissions/programs.html,,"approximately $10,000",,FALSE,False,,4.0,3.0,,,,,,,,,,,,,,,,,,False,False,,,130.0,,,,7.0,,,65.0,,85.0,,,,,,,,,,,,,"Fellowships, Need-based scholarships, Paid student researcher positions",FALSE,,,FALSE,FALSE,,,
,Master of Science in Marine Biology,,,,,Graduate,Fall 2026,,,,,,Not Required,REQUIRED,,,,True,True,False,False,False,False,,True,False,False,False,True,True,False,False,False,,,,Scripps Institution of Oceanography,"$19,532.74/Year (California Resident), $34,777.74/Year (Non-Resident)","$19,532.74/Year (California Resident), $34,777.74/Year (Non-Resident)",,,,,,,"The master of science (M.S.) in marine biology is a two-year course of study that provides a broad, interdisciplinary education in marine biology. The M.S. degree is earned by the satisfactory completion of a minimum of 36 units of graduate coursework and the successful completion of a capstone requirement. The M.S. is considered a terminal degree at Scripps Institution of Oceanography, and students admitted to the M.S. program will not be able to transfer to the Ph.D. program. The marine biology M.S. degree is a Plan II (non-thesis) degree. The capstone requirement will consist of either: 1) a literature-based capstone paper and its defense at an oral examination, or 2) passing the Ph.D. departmental exam. Both options require an extensive literature review that demonstrates mastery of a specific area of marine biology. The capstone project must be completed by the end of the student’s second year of study.",,https://grad.ucsd.edu/admissions/programs.html,,,,FALSE,False,,4.0,3.0,,,,,,,,,,,,,,,,,,False,False,,,,,,,7.0,,,65.0,,85.0,,,,,,,,,,,,,"Fellowships, Assistantships",FALSE,,,FALSE,FALSE,,,
,PhD in Marine Biology,,,,,Doctoral,Fall 2026,,,,,,Not Required,REQUIRED,,,,True,True,False,False,False,False,,True,False,False,False,True,True,True,False,False,,,,Scripps Institution of Oceanography,"$17,064/Year","$17,064/Year",,,,,,,"The Marine Biology PhD program at Scripps Institution of Oceanography is dedicated to training the next generation of leaders in marine biology science. Research in the Marine Biology PhD program at Scripps is managed through three multi-disciplinary research sections: Integrative Oceanography Division (IOD), Marine Biology Research Division (MBRD), and Center for Marine Biotechnology and Biomedicine (CMBB). Students are admitted into the PhD program and receive their degree through the Scripps Oceanography department. Marine Biology students are part of a unique department that houses a large diversity of scientific disciplines that all have in common a focus on the oceans. This allows for a truly interdisciplinary educational experience for our students. In addition to a broad suite of graduate courses in marine biology, students have access to courses in the other curricular programs at Scripps (Climate-Ocean-Atmosphere; Geosciences of the Earth, Oceans, and Planets; Ocean Biosciences) and in other departments at UC San Diego (e.g., Division of Biological Sciences, School of Medicine, Skaggs School of Pharmacy).",,https://grad.ucsd.edu/admissions/programs.html,,,,FALSE,False,,4.0,3.0,,,,,,,,,,,,,,,,,,False,False,,,,,,,7.0,,,65.0,,85.0,,,,,,,,,,,"Full tuition and fees plus a stipend (2023-2024 nine-month GSR salary is $37,000)",,"Fellowships, Graduate Student Researcher (GSR) appointments, and Teaching Assistant (TA) appointments",FALSE,,,FALSE,FALSE,,,
,PhD in Marine Biology with a Specialization in Interdisciplinary Environmental Research,,,,,Doctoral,Fall 2026,,,,,,Not Required,REQUIRED,,,,True,True,False,False,False,False,,True,False,False,False,True,True,False,False,False,,,,Scripps Institution of Oceanography,18033,"$18,033/Year (CA Resident); $33,135/Year (Non-Resident)",,,,,,Interdisciplinary Environmental Research,"The Marine Biology PhD program at Scripps Institution of Oceanography is dedicated to training the next generation of leaders in marine biology and biological oceanography. Students are encouraged to develop their own research program from a wide range of fields including ecology, physiology, molecular biology, and symbiosis, applied to a diverse array of ocean ecosystems and organisms, ranging from microbes to whales. Marine Biology PhD students are based in two research sections at Scripps, Marine Biology Research Division (MBRD) and Integrative Oceanography Division (IOD). The core of the PhD curriculum is an interdisciplinary education in ocean sciences along with in-depth knowledge in marine biology and biological oceanography, and professional training in science communication, grant writing, teaching, and leadership. Students also have the option of pursuing a PhD specialization in Interdisciplinary Environmental Research. This specialization is for students interested in an interdisciplinary approach to research on environmental problems. Graduate students affiliated with PIER gain a broader perspective and a specialized skillset to tackle the world’s most challenging environmental problems.",,https://grad.ucsd.edu/admissions/programs.html,,,,FALSE,False,,4.0,3.0,,,,,,,,,,,,,,,,,,False,False,,,,,,,7.0,,,65.0,,85.0,,,,,,,,,,,"Up to $32,000 stipend plus tuition and fees",,"Fellowships, Research Assistantships (RA), Teaching Assistantships (TA)",FALSE,,,FALSE,FALSE,,,
,Master of Science in Oceanography,,,,,Graduate,Fall 2026,,,,,,Not Required,REQUIRED,,,,True,True,False,False,False,False,,True,False,False,False,True,True,True,False,False,,,,Scripps Institution of Oceanography,"California Resident: $19,617.00/Year; Non-California Resident: $34,719.00/Year (2024-2025)","California Resident: $19,617.00/Year; Non-California Resident: $34,719.00/Year (2024-2025)",,,,,,,"The Master of Science in Oceanography at Scripps Institution of Oceanography is a terminal Master’s degree intended for students who have a strong science background and wish to get interdisciplinary training in oceanography. This degree provides students with knowledge of the diverse sub-disciplines of oceanography and the tools to succeed in a variety of related careers in industry, government, or education. The program takes between one to two years to complete. Students are required to take 36 units and complete a capstone project. Students work with a faculty advisor and a capstone committee to design and complete their project.",,https://grad.ucsd.edu/admissions/programs.html,,,,FALSE,False,,4.0,3.0,,,,,,,,,,,,,,,,,,False,False,,,,,,,7.0,,,65.0,,85.0,,,,,,,,,,,,,Merit-based fellowships,FALSE,,,FALSE,FALSE,,,
