Id,ProgramName,ProgramCode,Status,CreatedDate,UpdatedDate,Level,Term,TermCode,LiveDate,DeadlineDate,Resume,StatementOfPurpose,GreOrGmat,EnglishScore,Requirements,WritingSample,CollegeId,IsAnalyticalNotRequired,IsAnalyticalOptional,IsDuoLingoRequired,IsELSRequired,IsGMATOrGreRequired,IsGMATRequired,IsGreRequired,IsIELTSRequired,IsLSATRequired,IsMATRequired,IsMCATRequired,IsPTERequired,IsTOEFLIBRequired,IsTOEFLPBTRequired,IsEnglishNotRequired,IsEnglishOptional,AcademicYear,AlternateProgram,ApplicationType,Department,Fees,Fees.1,IsAvailable,ProgramType,AdmissionDepartmentId,CreatedBy,UpdatedBy,Concentration,Description,OtherConcentrations,ProgramWebsiteURL,Accredidation,AverageScholarshipAmount,CostPerCredit,IsRecommendationSystemOpted,IsStemProgram,MaxFails,MaxGPA,MinGPA,PreviousYearAcceptanceRates,QsWorldRanking,TotalAccepetedApplications,TotalCredits,TotalDeniedApplications,TotalI20sIssued,TotalScholarshipsAwarded,TotalSubmittedApplications,TotalVisasSecured,UsNewsRanking,CollegeApplicationFee,IsCollegePaying,MEContractNegotiatedFee,MyGradAppFee,ProgramCategory,IsCollegeApplicationFree,IsCouponAllowed,IsACTRequired,IsSATRequired,SftpDestinationId,MinimumACTScore,MinimumDuoLingoScore,MinimumELSScore,MinimumGMATScore,MinimumGreScore,MinimumIELTSScore,MinimumMATScore,MinimumMCATScore,MinimumPTEScore,MinimumSATScore,MinimumTOEFLScore,MLModelName,MinimumAnalyticalScore,MinimumEnglishScore,MinimumExperience,MinimumSopRating,WeightAnalytical,WeightEnglish,WeightExperience,WeightGPA,WeightSop,ScholarshipAmount,ScholarshipPercentage,ScholarshipType,IsNewlyLaunched,BatchId,IsImported,IsImportVerified,Is_Recommendation_Sponser,AnalyticalScore,MinimumLSATScore,IsGRERequired
,"Master of Business Administration in Accounting, ",,,,,Graduate,Fall 2026,,,,,,Either,REQUIRED,,,,True,True,False,False,True,False,,False,False,False,False,True,True,False,False,False,,,,The Wharton School,84874/Year,84874/Year,,,,,,Accounting,"The accounting major provides the tools for students to understand the accounting information that is used by managers within firms (for decision-making), by capital market participants (for valuation), and by corporate stakeholders (for monitoring and contracting). The major provides a strong foundation that prepares students for a variety of career paths, including investment banking, investment management, management consulting, and corporate finance. Students intending to pursue a career in public accounting should consider the CPA track which helps students to meet the requirements of the Certified Public Accountant (CPA) exam.",,https://catalog.upenn.edu/graduate/wharton/programs/,,,,FALSE,False,4.0,4.0,2.5,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,Merit-based,FALSE,,,FALSE,FALSE,,,
,"Accounting, PhD",,,,,Doctoral,Fall 2026,,,,Required,Required,Optional,REQUIRED,"All applications must be submitted online by December 15, 2024. Required application materials include: Application Fee ($80), Resume or CV, Personal Statement, Three letters of recommendation, Unofficial transcripts from all undergraduate and graduate institutions you have attended, and TOEFL or PTE scores for international applicants (unless waiver criteria are met). Standardized Test Scores (GMAT or GRE) are optional for the 2024-2025 admissions cycle.",Not Required,,True,True,False,False,False,False,,True,False,False,False,False,True,False,False,False,,,,The Wharton School,,,,,,,,,"The primary objective of the doctoral program in accounting is to train students for careers in research and teaching at the university level. Accordingly, the program provides rigorous training in the theoretical foundations and empirical tools of accounting, finance and economics. Students work closely with faculty in seminars and research projects. The relatively small size of the program provides an opportunity for students to have extensive interaction with faculty. Students begin to do active research early in the program. Students develop expertise in the major fields in accounting: financial accounting and managerial accounting. Students also develop expertise in a minor field such as economics, finance, or statistics. Faculty in the Accounting Department have a wide range of research interests including the role of accounting information in capital markets, corporate governance, performance measurement, managerial incentives, and taxation. The department sponsors two research workshop series and a series of occasional conferences that bring leading researchers to campus.",,https://catalog.upenn.edu/graduate/wharton/programs/,,,,FALSE,True,,4.0,3.0,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,"All admitted Wharton PhD students are offered a fellowship, which provides a stipend. For the 2023-2024 academic year, the stipend is $42,500.",100%,"Fellowship, Teaching Assistantship, Research Assistantship",FALSE,,,FALSE,FALSE,,,
,"Applied Economics, PhD",,,,,Doctoral,Fall 2026,,,,Required,Required,Either,REQUIRED,"We seek students with outstanding academic records and strong quantitative skills. While we admit students from a variety of backgrounds, a typical student will have a strong undergraduate record in economics, mathematics, engineering, or a related field. Some students have also completed master’s degrees, and some have work experience, but neither is required.",Not Required,,False,False,False,False,True,False,,True,False,False,False,False,True,False,False,False,,,,The Wharton School,45242/Year,45242/Year,,,,,,,"The PhD program in Applied Economics at the Wharton School is a full-time, residential program for students interested in applying economic analysis to a wide range of real-world issues. The program provides students with a rigorous training in economic theory and econometrics and helps them develop into first-rate researchers. Students in the program take courses from and engage in research with faculty from across the Wharton School and the University of Pennsylvania. The faculty are members of a number of departments including: Accounting; Business Economics and Public Policy; Finance; Health Care Management; Management; Marketing; and Real Estate. Wharton’s Applied Economics PhD program offers students a unique opportunity to focus on a particular area of applied economics while having strong connections to the broader Wharton community. Students in Wharton's Applied Economics PhD program typically focus on a specific area of applied economics that aligns with one of the fields of study at Wharton. Examples include: Accounting; Behavioral Economics; Business Economics and Public Policy; Ethics and Legal Studies; Finance; Health Economics; Management; Marketing; Operations, Information, and Decisions; and Real Estate. Students receive a degree in Applied Economics, and their dissertation must be on a topic in applied economics. The program trains students for careers in academic research, government and industry. All students admitted to the Wharton PhD Program are awarded a fellowship that covers the full cost of tuition and fees, health insurance, and a generous living stipend.",,https://catalog.upenn.edu/graduate/wharton/programs/,,Full tuition scholarship,,FALSE,True,1.0,4.0,3.0,,,,,,,,,,,,,,,,,,False,False,,,,,,,7.5,,,,,100.0,,,,,,,,,,,Full tuition scholarship,100%,"Fellowship, Stipend",FALSE,,,FALSE,FALSE,,,
,"Master of Business Administration in Artificial Intelligence for Business, ",,,,,Graduate,Fall 2026,,,,Required,Required,Either,REQUIRED,"Required Documents
- Transcripts
- GMAT or GRE scores
- TOEFL scores (if applicable)
- Essays
- Résumé
- Two letters of recommendation",,,False,False,False,False,True,False,,True,False,False,False,True,True,False,False,False,,,,The Wharton School,84874,"$84,874/Year",,,,,,Artificial Intelligence for Business,"The major in Artificial Intelligence for Business will combine a thorough grounding in the fundamentals of AI with a deep dive into how AI is being used in practice across a wide range of industries, including finance, marketing, healthcare, retail, and transportation. Students will be prepared to step into key roles in the AI-powered economy, whether that is starting a new venture that uses AI, joining an established firm to help them build out their AI capabilities, or investing in the next generation of AI-based companies. The major will draw on faculty and courses from across the University to offer unparalleled breadth and depth at the intersection of AI and business.",,https://catalog.upenn.edu/graduate/wharton/programs/,,,,FALSE,False,3.0,4.0,2.7,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,Merit-based,FALSE,,,FALSE,FALSE,,,
,"Master of Business Administration in Asset Management/Impact Investing, ",,,,,Graduate,Fall 2026,,,,Required,Required,Either,REQUIRED,"The application includes: Background Information, Application Fee, Two Essays, Transcripts, Two Letters of Recommendation, GMAT or GRE Score (a test waiver is available for eligible candidates), English Language Test Score (if applicable), and a one-page Resume.",Not Required,,False,False,False,False,True,False,,True,False,False,False,True,True,False,False,False,,,,The Wharton School,,,,,,,,"Asset Management/Impact Investing, MBA","The undergraduate concentration and MBA major in Asset Management/Impact Investing (previously called the Capital Markets and Portfolio Management specializations at the undergraduate level and the Investment Management major at the MBA level) prepares students for careers in asset management, including security analysis, portfolio management, sales and trading, and impact investing. Asset management involves investing on behalf of individuals and institutions. Asset management is a large and growing industry which offers many exciting career opportunities. The growth is fueled by the rising demand for retirement products around the globe as well as by the creation of new investment products, such as exchange-traded funds, and new investment strategies, such as hedge funds and private equity. The Asset Management/Impact Investing program provides a deep understanding of the investment process and the institutional features of financial markets. The program integrates theory and practice, and provides students with the analytical tools to analyze a wide variety of investment opportunities and to create investment portfolios that are tailored to the specific needs of different investors. The curriculum provides a strong foundation for all students interested in the area of investments. Beyond the core courses, the curriculum allows students to specialize in security analysis and valuation, portfolio management, impact investing, or quantitative finance. Our students obtain jobs in security analysis, portfolio management, hedge funds, sales and trading, financial advising, and impact investing.",,https://catalog.upenn.edu/graduate/wharton/programs/,,,,FALSE,True,1.0,4.0,3.0,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,
,"Master of Business Administration in Business Analytics, ",,,,,Graduate,Fall 2026,,,,,,Either,REQUIRED,,,,True,True,False,False,True,False,,True,False,False,False,True,True,False,False,False,,,,The Wharton School,"$44,250/Term or $88,500/Year","$44,250/Term or $88,500/Year",,,,,,Business Analytics,"The Business Analytics major provides students with state-of-the-art training in data analytics and its applications in business. The curriculum is designed to provide students with a deep understanding of the role of data analysis in business, hands-on experience with modern data analysis tools, and a clear vision of how data analysis can be used to improve business decisions. The major builds on the foundation laid in the core curriculum and prepares students for careers that require the ability to use data and analysis in a variety of business functions. The course of study is structured to have students work with a wide variety of data to address real business problems.

Students will learn how to:

- Build and interpret predictive models using a wide variety of data sets, including those with a very large number of variables (Big Data);
- Construct and analyze optimization models for business applications such as logistics, pricing, and scheduling;
- Apply data analysis techniques such as conjoint analysis and social media analytics to develop better understanding of consumer behavior; and
- Use data analytics to analyze risk and make investment decisions.

Overall, the major is designed to provide students with the kind of hands-on experience and deep understanding of data analytics that is in great demand in a wide range of industries. It provides an excellent foundation for careers in a wide range of fields, including consulting, finance, marketing, and operations. The goal is not simply to provide a set of specific data analysis skills, but to provide a deeper understanding of the kinds of business problems to which they can be applied.",,https://catalog.upenn.edu/graduate/wharton/programs/,,,,FALSE,False,,4.0,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,
,"Master of Business Administration in Business Economics & Public Policy, ",,,,,Graduate,Fall 2026,,,,Required,Required,Either,REQUIRED,"To be considered for admission, you must submit a completed application, which includes: Background Information, Two Essays, Transcripts (unofficial are accepted for review), Two Letters of Recommendation, GMAT or GRE Score, English Language Test Score (if applicable), Résumé, Application Fee.",Not Required,,False,False,False,False,True,False,,True,False,False,False,True,True,False,False,False,,,,The Wharton School,"$84,874/Year","$84,874/Year",,,,,,Business Economics & Public Policy,"The Business Economics and Public Policy (BEPP) major equips students with the knowledge and skills needed to understand the economic, political and social context in which businesses operate and to formulate effective business strategies. The modern business enterprise is confronted with a dynamic and challenging environment at home and abroad. Rapid advances in technology, changing consumer preferences, and evolving national and international government policies all have a profound impact on a business’s bottom line. At the same time, corporations are being called upon to consider how they can better serve a wide array of stakeholders, including not just shareholders but also their employees and the communities in which they operate. The BEPP major prepares students to understand these issues and formulate private and public strategies that can promote both business performance and social welfare. A major in Business Economics and Public Policy is especially suitable for students who anticipate careers in finance, management in regulated industries, management in industries that are facing new public policy challenges (such as the tech industry), management consulting, and entrepreneurship.",,https://catalog.upenn.edu/graduate/wharton/programs/,,,,FALSE,True,,,2.7,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,Merit-based,FALSE,,,FALSE,FALSE,,,
,"Master of Business Administration in Business, Energy, Environment and Sustainability, ",,,,,Graduate,Fall 2026,,,,,,Either,REQUIRED,,,,True,True,False,False,True,False,,True,False,False,False,True,True,True,False,False,,,,The Wharton School,,,,,,,,"Business, Energy, Environment and Sustainability","The Business, Energy, Environment and Sustainability major (BEES) prepares students for careers addressing the world’s most pressing environmental and social challenges. The major builds on Wharton's world-class curriculum with dedicated courses exploring topics that include: sustainable finance & ESG investing, energy markets and policy, corporate sustainability strategy, and climate risk management. The curriculum also allows for considerable cross-disciplinary flexibility: students can tailor the major to their career interests by choosing from a curated list of courses from across Penn’s 12 schools, allowing them to gain deeper expertise in specific domains such as law, design, or engineering.",,https://catalog.upenn.edu/graduate/wharton/programs/,,,,FALSE,False,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,
,"Master of Business Administration in Entrepreneurship and Innovation, ",,,,,Graduate,Fall 2026,,,,Required,Required,Either,REQUIRED,"To be considered for admission, you must submit a completed application, including: Background Information (Self-reported), Application Fee, Essays, One Letter of Recommendation, Transcripts (Self-reported), GMAT or GRE Score, English Language Test Score (if applicable), Resume.",Not Required,,False,False,False,False,True,False,,False,False,False,False,True,True,False,False,False,,,,The Wharton School,84874,"$84,874/Year",,,,,,Entrepreneurship and Innovation,"The Entrepreneurship and Innovation major provides the skills and knowledge for students to pursue entrepreneurial endeavors. It prepares students for careers as autonomous entrepreneurs, in family businesses, or as innovators in established organizations. In this major, students will learn to develop and evaluate new business ideas, manage the organizational processes of a new venture, and acquire financing for business opportunities. This major is offered by the Management Department. The Entrepreneurship and Innovation major may be completed as a STEM major.",,https://catalog.upenn.edu/graduate/wharton/programs/,The Wharton School is accredited by AACSB International—The Association to Advance Collegiate Schools of Business.,,,FALSE,False,2.0,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,Merit-based,FALSE,,,FALSE,FALSE,,,
,"Master of Business Administration in Environmental, Social and Governance for Business, ",,,,,Graduate,Fall 2026,,,,Required,Required,Either,REQUIRED,"The Wharton MBA application requires background information, an application fee, two essays, unofficial transcripts from all undergraduate and graduate programs, two letters of recommendation, a one-page résumé, and an English language test score for applicants from non-English speaking countries. All applicants must also submit a GMAT or GRE score, though a test waiver may be requested. Interviews are conducted by invitation only.",Not Required,,False,False,False,False,True,False,,True,False,False,False,True,True,False,False,False,,,,The Wharton School,84874/Year,84874/Year,,,,,,"Environmental, Social and Governance for Business","The Environmental, Social, and Governance (ESG) for Business major provides students with the foundational knowledge and critical-thinking skills to navigate the complex interactions between business and the natural and social environment in which it operates. The curriculum covers a wide array of topics, including the business case for sustainability, ESG data and analytics, risk management, climate finance, impact investing, and corporate social responsibility. Through a combination of rigorous coursework, experiential learning opportunities, and engagement with industry leaders, students will be prepared to drive positive change and create long-term value for their organizations and society.",,https://catalog.upenn.edu/graduate/wharton/programs/,,,,FALSE,False,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,Merit-based,FALSE,,,FALSE,FALSE,,,
