Id,ProgramName,ProgramCode,Status,CreatedDate,UpdatedDate,Level,Term,TermCode,LiveDate,DeadlineDate,Resume,StatementOfPurpose,GreOrGmat,EnglishScore,Requirements,WritingSample,CollegeId,IsAnalyticalNotRequired,IsAnalyticalOptional,IsDuoLingoRequired,IsELSRequired,IsGMATOrGreRequired,IsGMATRequired,IsGreRequired,IsIELTSRequired,IsLSATRequired,IsMATRequired,IsMCATRequired,IsPTERequired,IsTOEFLIBRequired,IsTOEFLPBTRequired,IsEnglishNotRequired,IsEnglishOptional,AcademicYear,AlternateProgram,ApplicationType,Department,Fees,Fees.1,IsAvailable,ProgramType,AdmissionDepartmentId,CreatedBy,UpdatedBy,Concentration,Description,OtherConcentrations,ProgramWebsiteURL,Accredidation,AverageScholarshipAmount,CostPerCredit,IsRecommendationSystemOpted,IsStemProgram,MaxFails,MaxGPA,MinGPA,PreviousYearAcceptanceRates,QsWorldRanking,TotalAccepetedApplications,TotalCredits,TotalDeniedApplications,TotalI20sIssued,TotalScholarshipsAwarded,TotalSubmittedApplications,TotalVisasSecured,UsNewsRanking,CollegeApplicationFee,IsCollegePaying,MEContractNegotiatedFee,MyGradAppFee,ProgramCategory,IsCollegeApplicationFree,IsCouponAllowed,IsACTRequired,IsSATRequired,SftpDestinationId,MinimumACTScore,MinimumDuoLingoScore,MinimumELSScore,MinimumGMATScore,MinimumGreScore,MinimumIELTSScore,MinimumMATScore,MinimumMCATScore,MinimumPTEScore,MinimumSATScore,MinimumTOEFLScore,MLModelName,MinimumAnalyticalScore,MinimumEnglishScore,MinimumExperience,MinimumSopRating,WeightAnalytical,WeightEnglish,WeightExperience,WeightGPA,WeightSop,ScholarshipAmount,ScholarshipPercentage,ScholarshipType,IsNewlyLaunched,BatchId,IsImported,IsImportVerified,Is_Recommendation_Sponser,AnalyticalScore,MinimumLSATScore,IsGRERequired
,Doctor of Audiology (Au.D.),,,,,Doctoral,Fall 2026,,,,,,,,,,,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,"The Doctor of Audiology (Au.D.) program prepares graduate students for careers as clinical audiologists working in the areas of diagnostic and rehabilitative audiology. [13] The Au.D. program is a post-bachelors, residential program that requires a minimum of 120 semester hours over a period of four years. [13] The USF Au.D. program is a 4-year, full-time, 111-credit residential program offering comprehensive coursework from engaged faculty, exciting internal and external clinical placements, and a host of research opportunities. [1] Requirements include regularly scheduled academic course work, clinical practica, a doctoral research project, completion of a series of comprehensive examinations, ASHA competencies, and a national examination in Audiology. [1] During year 1, students complete clinical laboratory coursework. [13] During year 2, students complete clinical experiences within the USF Hearing Clinic. [13] During year 3 they complete clerkships at a variety of clinical sites in the greater Tampa Bay area, including Veterans Affairs hospitals, children's hospitals and speech and hearing clinics. [13] The fourth year of the Au.D. program is devoted to a full-time clinical externship. [13] Graduates of the Au.D. program are eligible for the Certificate of Clinical Competence in Audiology (CCC-A) administered by the American Speech-Language-Hearing Association and for Florida state licensure in Audiology. [13]",,https://www.usf.edu/admissions/graduate/admission-information/explore-programs.aspx,"The Doctor of Audiology (Au.D) residential education program at the University of South Florida is accredited by the Council on Academic Accreditation in Audiology and Speech-Language Pathology of the American Speech-Language-Hearing Association, 2200 Research Boulevard #310, Rockville, Maryland 20850, 800-498-2071 or 301-296-5700. [1]",,,FALSE,False,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,
,Doctor of Business Administration (D.B.A.) in Business Administration,,,,,Doctoral,Fall 2026,,,,Required,,Not Required,REQUIRED,"Key admissions requirements: Master's degree (requirement may be waived for exceptional professional experience) GPA of 3.0 or above. at least 12 years of professional work experience, at least 5 of which must be at a senior managerial, senior technical or executive level. [7] Successful completion of DBA preliminary application, interviews with the Muma DBA Committee, and admission by the USF Graduate School. [7, 12]",Not Required,,True,False,True,False,False,False,,True,False,False,False,True,True,True,False,False,,,,Muma College of Business,"$15,000 per semester for three years","$15,000 per semester for three years, which corresponds to $1,250 per graduate credit for this 72-credit-hour program. [2]",,,,,,,"The Doctor of Business Administration (DBA) at USF is a terminal doctoral degree designed for experienced professionals who want to conduct rigorous research and apply it to real-world decision-making in industry and government. [5] The program builds on executives' existing business expertise while offering flexibility to pursue individual research interests. [5] The curriculum is designed to build upon the breadth of business understanding that students have previously achieved as successful executives. This is achieved by offering substantive coverage of a broad variety of qualitative and quantitative research techniques and by allowing students the flexibility to focus more deeply on personal areas of interest during their dissertation. [5] The program provides intellectual growth as students work closely with faculty in seminars, research projects, and other assignments that develop their research skills and ability to communicate their findings to a broad audience of both practitioners and researchers. [5]",,https://www.usf.edu/admissions/graduate/admission-information/explore-programs.aspx,"The Muma College of Business, which offers the DBA program, is accredited by AACSB International. [11, 15]",,"$1,250 per graduate credit for this 72-credit-hour program",FALSE,False,,4.0,3.0,,,,,,,,,,,,,,,,,,False,False,,,110.0,,,,6.5,,,53.0,,79,,,,,,,,,,,,,The Post 9-11 GI Bill for Veterans,FALSE,,,FALSE,FALSE,,,
,Doctor of Education (Ed.D.),,,,,Doctoral,Fall 2026,,,,,,Not Required,REQUIRED,,,,True,False,True,False,False,False,,True,False,False,False,True,True,True,False,False,,,,College of Education,,"$10,428 for in-state and $21,126 for out-of-state students per year. [20, 34]",,,,,,"The Ph.D. in Educational Leadership is described as a highly personalized program where students design an individualized plan of study aligned with their research interests, rather than offering formal, named concentrations.","USF's Ph.D. in Educational Leadership prepares aspiring scholars and leaders to conduct advanced research and shape the future of educational systems, policy, and organizational leadership. Designed for those pursuing academic careers or high-level administrative roles, the program emphasizes inquiry-driven leadership, critical analysis, and innovation across K-12, higher education, and global educational settings. Students work closely with renowned faculty to explore the political, legal, organizational, and ethical dimensions of educational leadership. Students gain deep expertise in research methodologies, policy analysis, organizational theory, equitable education reform, curriculum leadership, and anti-oppressive educational practices. Through individualized programs of study, they learn to design and conduct high-quality research, present scholarly work, and publish academic articles. The program provides extensive engagement with cutting-edge discourses in leadership and prepares students to apply research to real-world educational challenges.",,https://www.usf.edu/admissions/graduate/admission-information/explore-programs.aspx,"The University of South Florida is accredited by the Southern Association of Colleges and Schools Commission on Colleges (SACSCOC). [8, 9] The USF College of Education is nationally accredited by the Council for the Accreditation of Educator Preparation (CAEP). [2, 10, 11] Additionally, all educator preparation programs are approved by the Florida Department of Education. [2]",,$435 for Florida residents and $880 for out-of-state students. [20],FALSE,False,,4.0,3.0,,,,,,,,,,,,,,,,,,False,False,,,110.0,,,,6.5,,,53.0,,79,,,,,,,,,,,"Doctoral students may receive fellowships of $12,000 per year for up to three years. [25]",,Merit-based with a preference for financial need. [29],FALSE,,,FALSE,FALSE,,,
,Doctor of Philosophy (Ph.D.),,,,,Doctoral,Fall 2026,,,,Optional,Optional,,REQUIRED,"Each applicant to a graduate degree program at the University of South Florida is required to meet certain minimum requirements. Applicants should check with their program of interest to see if there are any additional application requirements (e.g. test scores, letters of recommendation, statement of purpose and resume). [2, 3] An applicant must have a bachelor's degree with a “B” average (3.00 on a 4.00 scale) or better, or a bachelor's degree and a previous graduate degree with a “B” average or better. [2] International applicants from countries where English is not the official language must also demonstrate English proficiency. [3]",Optional,,False,True,True,False,False,False,,True,False,False,False,True,True,True,False,False,,,,,,,,,,,,,,,https://www.usf.edu/graduate-studies/,,,,FALSE,False,,,,,,,,,,,,,,,,,,,,,False,False,,,110.0,,,,6.5,,,53.0,,79,,,,,,,,,,,,,"Merit-based scholarships, Fellowships",FALSE,,,FALSE,FALSE,,,
,Doctor of Philosophy in Aging Studies,,,,,Doctoral,Fall 2026,,,,Required,Required,Optional,REQUIRED,"Applicants to the PhD program must submit a resumé of professional and academic experience, three letters of reference (academic and professional), a statement of objectives, and examples of written work. A minimum grade point average (GPA) of 3.25 on all prior graduate work, if any, is required. In addition, a 3.1 GPA in an appropriate undergraduate major and a baccalaureate degree are required. The GRE exam is optional, but highly recommended. For prospective students for whom English is a second language, a TOEFL score of at least 600 (paper-based) or 80 (internet-based) is required.",Required,,False,True,True,False,False,False,,True,False,False,False,True,True,True,False,False,,,,School of Aging Studies,"First-year students are supported by Fellowships and receive tuition waivers. [3] Students in subsequent years are supported by Fellowships, Research Assistantships and Graduate Teaching Assistantships, which include tuition waivers. [3]","$7,840/Year for in-state students and $16,666/Year for out-of-state students. [1]",,,,,,"['Aging and Health', 'Aging and Mental Health', ""Cognitive Aging and Alzheimer's Disease"", 'Public Policy and Long-Term Care']","The Ph.D. in Aging Studies program is a campus-wide, interdisciplinary research training program, hosted by the School of Aging Studies and governed by faculty from throughout the USF campus. Students select research mentors from faculty throughout the USF campus and develop individually tailored training programs, generally focused in one of four areas: Aging and Health; Aging and Mental Health; Cognitive Aging and Alzheimer's Disease; Public Policy and Long-Term Care.",,https://www.usf.edu/admissions/graduate/admission-information/explore-programs.aspx,,,Tuition waivers are provided for students admitted to the program. [3],FALSE,False,,4.0,3.25,,,,,,,,,,,,,,,,,,False,False,,,110.0,,,,6.5,,,53.0,,79,,,,,,,,,,,"An average of $10,000 per year is available through the Pat Tillman Foundation Scholarship, for which a Doctor of Philosophy in Aging Studies student was a recipient. [20]",,"First-year students are supported by Fellowships. [3] Students in subsequent years are supported by Fellowships, Research Assistantships and Graduate Teaching Assistantships. [3] Specific scholarships include the Kathryn Hyer Endowed Memorial Scholarship in Public Policy and Aging and the H. Edward and Mildred E. Greely Endowed Fellowship in Aging Studies. [11, 13]",FALSE,,,FALSE,FALSE,,,
,Doctor of Philosophy in Applied Anthropology,,,,,Doctoral,Fall 2026,,,,Required,Required,Not Required,REQUIRED,"A complete application includes: an online Graduate Admission Application with a $30.00 fee, a completed Supplemental Information Form (which includes instructions for a statement of purpose), a PDF curriculum vitae or resume, and three letters of recommendation. Official academic transcripts from institutions that awarded a Bachelor's Degree or higher must be sent to USF Admissions. Applicants whose degree is not in Anthropology must complete ANT 2000 Intro to Anthropology before the end of the first year in the graduate program. [14]",Not Required,,True,True,True,False,False,False,,True,False,False,False,True,True,True,False,False,,,,College of Arts & Sciences,,,,,,,,"['Archaeological and Forensic Sciences', 'Bio-cultural Medical Anthropology', 'Cultural Resource Management', 'Heritage Studies']","Anthropology is the scientific study of human behavior. At USF, our faculty and students apply a holistic, interdisciplinary, and global perspective to identify and understand contemporary human problems, especially in the environment, health, and development sectors. Research and teaching in our program emphasizes the following: 1) how to design and implement health education programs with community participation focused especially around HIV/AIDS, maternal/child health, water/sanitation/hygiene, and nutrition/obesity; 2) how to make use of local environmental knowledge to address ecological problems, climate change, and sustainable and equitable development; and 3) how to work with families and communities to assess food security, perceptions of risk in environmental impacts, and resource conservation strategies. [11, 15]",,https://www.usf.edu/admissions/graduate/admission-information/explore-programs.aspx,,,,FALSE,False,,4.0,3.0,,,,,,,,,,,,,,,,,,False,False,,,110.0,,,,6.5,,,53.0,,79,,,,,,,,,,,,,"Research Assistantships, Teaching Assistantships",FALSE,,,FALSE,FALSE,,,
,Doctor of Philosophy in Applied Behavior Analysis,,,,,Doctoral,Fall 2026,,,,Required,Required,Not Required,REQUIRED,"Must meet University Admission and English Proficiency (for international applicants) as well as requirements for admission to the major. Requirements include a Master's degree in behavior analysis or a related field with strong behavior analysis content, a minimum 3.50 GPA in a master's major, research experiences and expertise, three letters of recommendation, a campus visit and interview with ABA faculty members, a personal statement describing experience and accomplishments in ABA, future goals, and reasons for pursuing doctoral studies, and a Curriculum Vita (CV).",Not Required,,True,False,True,False,False,False,,True,False,False,False,True,True,True,False,False,,,,College of Behavioral and Community Sciences,"Admitted students receive a graduate assistantship that includes tuition coverage; however, students are responsible for associated fees.",Full tuition coverage is provided for up to four years through a graduate assistantship for admitted students. [32],,,,,,,"USF's PhD program in Applied Behavior Analysis prepares students to be expert practitioners, effective teachers, and accomplished researchers in the practice of Applied Behavioral Support. The emphasis of the ABA doctoral program at USF is on the development of behavior analysts who are teachers and researchers. Students graduating from the program will receive training through coursework, mentoring in teaching, and research activities with community partners. You will complete a series of courses designed to meet ABAI accreditation requirements, but more than that, these courses will provide you with a firm foundation in behavior analysis theory and practice as well as challenge you with basic behavior analysis perspectives that are relevant for applied behavior analysts. You will have the opportunity to explore other related fields, such as gerontology or positive behavior intervention and supports as they related to your interests.",,https://www.usf.edu/admissions/graduate/admission-information/explore-programs.aspx,,"The graduate assistantship stipend is approximately $27,000 for the first year and $30,000 for subsequent years.","Tuition is covered by the graduate assistantship for admitted students, though fees per credit hour are still applicable.",FALSE,False,,4.0,3.5,,,,,,,,,,,,,,,,,,False,False,,,110.0,,,,6.5,,,53.0,,79,,,,,,,,,,,"The assistantship provides a stipend of around $27,000 in the first year and $30,000 in subsequent years.",The assistantship includes four years of tuition coverage.,Graduate Assistantship,FALSE,,,FALSE,FALSE,,,
,Doctor of Philosophy in Applied Physics,,,,,Doctoral,Fall 2026,,,,Required,Required,,,"The Ph.D. in Applied Physics is a concentration within the Ph.D. in Physics program. Applicants must meet the general requirements for admission to the Graduate School at the University of South Florida. Specific requirements for this program include a bachelor's degree in physics or a closely related field. While a master's degree is not required, applicants who hold one should have it in a relevant field. International applicants whose native language is not English must provide proof of English proficiency.",Not Required,,False,True,False,False,False,False,,False,False,False,False,False,False,False,False,False,,,,College of Arts & Sciences,Full tuition waivers are provided to all qualified students.,"Financial support is provided to all qualified students in the form of Teaching or Research Assistantships, full tuition waivers, and health insurance coverage.",,,,,,,,,https://www.usf.edu/admissions/graduate/admission-information/explore-programs.aspx,,,,FALSE,True,,4.0,3.0,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,"Presidential Doctoral Fellowships provide a stipend of $34,000 per year.",,"Teaching or Research Assistantships, Fellowships",FALSE,,,FALSE,FALSE,,,
,Doctor of Philosophy in Behavioral and Community Sciences,,,,,Doctoral,Fall 2026,,,,Required,Required,GRE,REQUIRED,"The following are the admission requirements for the Behavioral and Community Sciences, Ph.D. program:

*   A personal goal statement of 2-3 pages.
*   Curriculum Vitae or Resume.
*   Three formal letters of recommendation.
*   A writing sample, such as a major paper, thesis, or research paper of which the student is the sole author.
*   The Graduate Record Examination (GRE) is required, taken within five years of application.
*   A bachelor's degree in a field related to behavioral and community sciences.",Required,,False,False,True,False,True,False,,True,False,False,False,True,True,True,False,False,,,,College of Behavioral & Community Sciences,,,,,,,,"['mental illness', 'substance use', 'co-occurring disorders', 'child & adolescent behavioral health', 'developmental disabilities', 'intervention design and implementation science', 'positive behavior interventions & support', 'behavioral health, law, & the justice system', 'educational disparities', 'disability research & policy']","Behavioral and community sciences is an interdisciplinary field that refers to the development and evaluation of services and interventions that promote resiliency and social well-being for at-risk populations. The goal of behavioral and community science is to improve community services through early intervention, integrated care, policy and system change, and positive behavioral interventions and support. The PhD in Behavioral & Community Sciences is an interdisciplinary program that prepares students to conduct research to enhance the quality of life and productivity of individuals with social, emotional, academic, and behavioral challenges (e.g., mental illness, substance use disorders, co-occurring disorders, developmental delays and disabilities, and behavior disorders) and socio-cultural challenges (e.g., poverty, disparities, homelessness). Students will be prepared to conduct research on important societal problems such as: evidence-based practices for individuals with mental illness & substance use disorders; outcomes for children with developmental disabilities; educational & behavioral outcomes for children; mental health & resilience of family caregivers; child abuse, domestic violence; suicide; & other important topics. [2]",,https://www.usf.edu/admissions/graduate/admission-information/explore-programs.aspx,,,,FALSE,False,,4.0,3.0,,,,,,,,,,,,,,,,,,False,False,,,110.0,,,"preferred profile of scores at or above the 50th percentile on the three subtests: verbal, quantitative, and analytical writing",6.5,,,53.0,,79,,,,,,,,,,,,,"Graduate Assistantships, Fellowships, Scholarships",FALSE,,,FALSE,FALSE,,,
,Doctor of Philosophy in Cancer Biology,,,,,Doctoral,Fall 2026,,,,Required,Required,,,"Applicants apply to the Ph.D. in Medical Sciences program and typically select a concentration, such as Pathology & Cell Biology (which includes a Cancer Biology focus), during the first year. The university's admissions page for the program lists required documents to be submitted online. These include a Curriculum Vitae or Resume, a Personal Statement, and three letters of recommendation. [3] The admissions committee considers the applicant's overall qualities, including academic achievement, research experience and interests, and letters of recommendation. An interview is also required for all selected candidates. [3] GRE scores are not required for admission. [3]",Not Required,,True,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,,,,Morsani College of Medicine,"While students on an assistantship receive a 100% tuition waiver, they are still responsible for other fees not included in the waiver. [31]",,,,,,,Cancer Biology (CBC),"The Cancer Biology Concentration (CBC) a collaborative effort between the Moffitt Cancer Center and the University of South Florida, provides training opportunities in cancer research ranging from basic to translational. The program spans many disciplines, including molecular and cell biology, genetics and epigenetics, biochemistry, microbiology, pharmacology, anatomy, pathology, epidemiology, bioinformatics, immunology and many others involved in the understanding of the development, progression, dissemination, and treatment of cancer. The primary goal of the Cancer Biology (CNB) Major is to comprehensively train the next generation of cancer researchers that will make key contributions to our understanding of the disease either in the academic or industrial setting.",,https://www.usf.edu/admissions/graduate/admission-information/explore-programs.aspx,,,,FALSE,True,,4.0,3.0,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,"Students admitted into the Medical Sciences PhD program are offered a Graduate Research Assistantship which includes a $37,000 annual stipend. [31] Additionally, career development awards, typically under $500, are available. [24]",100% tuition waiver for students with a Graduate Research Assistantship. [31],"Graduate Research Assistantship, merit-based scholarships, and fellowships. [24, 31]",FALSE,,,FALSE,FALSE,,,
