Id,ProgramName,ProgramCode,Status,CreatedDate,UpdatedDate,Level,Term,TermCode,LiveDate,DeadlineDate,Resume,StatementOfPurpose,GreOrGmat,EnglishScore,Requirements,WritingSample,CollegeId,IsAnalyticalNotRequired,IsAnalyticalOptional,IsDuoLingoRequired,IsELSRequired,IsGMATOrGreRequired,IsGMATRequired,IsGreRequired,IsIELTSRequired,IsLSATRequired,IsMATRequired,IsMCATRequired,IsPTERequired,IsTOEFLIBRequired,IsTOEFLPBTRequired,IsEnglishNotRequired,IsEnglishOptional,AcademicYear,AlternateProgram,ApplicationType,Department,Fees,Fees.1,IsAvailable,ProgramType,AdmissionDepartmentId,CreatedBy,UpdatedBy,Concentration,Description,OtherConcentrations,ProgramWebsiteURL,Accredidation,AverageScholarshipAmount,CostPerCredit,IsRecommendationSystemOpted,IsStemProgram,MaxFails,MaxGPA,MinGPA,PreviousYearAcceptanceRates,QsWorldRanking,TotalAccepetedApplications,TotalCredits,TotalDeniedApplications,TotalI20sIssued,TotalScholarshipsAwarded,TotalSubmittedApplications,TotalVisasSecured,UsNewsRanking,CollegeApplicationFee,IsCollegePaying,MEContractNegotiatedFee,MyGradAppFee,ProgramCategory,IsCollegeApplicationFree,IsCouponAllowed,IsACTRequired,IsSATRequired,SftpDestinationId,MinimumACTScore,MinimumDuoLingoScore,MinimumELSScore,MinimumGMATScore,MinimumGreScore,MinimumIELTSScore,MinimumMATScore,MinimumMCATScore,MinimumPTEScore,MinimumSATScore,MinimumTOEFLScore,MLModelName,MinimumAnalyticalScore,MinimumEnglishScore,MinimumExperience,MinimumSopRating,WeightAnalytical,WeightEnglish,WeightExperience,WeightGPA,WeightSop,ScholarshipAmount,ScholarshipPercentage,ScholarshipType,IsNewlyLaunched,BatchId,IsImported,IsImportVerified,Is_Recommendation_Sponser,AnalyticalScore,MinimumLSATScore,IsGRERequired
,Master of Science in Marine Science,,,,,Graduate,Fall 2026,,,,Required,Required,Not Required,REQUIRED,"Applicants must have a Bachelor's degree in an appropriate science discipline from an accredited United States institution or proof of equivalent training at an institution outside the United States. A cumulative grade point average (GPA) of not less than 3.0 in upper-division work (junior- and senior-level courses and in any graduate work already completed) is required. [11] Required application materials include the online application, a Statement of Purpose, answers to two short-answer questions, three letters of reference, and transcripts from every senior college attended. [11] The master's degree requires the completion of at least 30 semester hours of acceptable graduate work in marine science and related natural sciences. [3]",Not Required,,True,False,False,False,False,False,,True,False,False,False,False,True,False,False,False,,,,College of Natural Sciences,"In-State: $9,216/year, Out-of-State: $18,162/year","In-State: $9,216/year, Out-of-State: $18,162/year",,,,,,,"Graduate study in the Department of Marine Science requires coursework at Austin and Port Aransas and a research project in Port Aransas. The exact program will be determined by the student's interest, the research field of his supervisor, and the required courses. At present, faculty are conducting research on basic and applied aspects of the following marine science subdisciplines: marine ecosystem dynamics, marine biogeochemistry, and adaptations to the marine environment. [6] Marine science is the study of the marine environment including marine organisms, processes, and systems so each student's program will involve direct contact with the sea, its plants and animals, and/or the physical and chemical forces that drive it. [6]",,https://gradschool.utexas.edu/degrees-programs,,,"In-State: $546/credit hour, Out-of-State: $1,930/credit hour",FALSE,True,,4.0,3.0,,,,,,,,,,,,,,,,,,False,False,,,,,,,6.5,,,,,79.0,,,,,,,,,,,,,"Graduate research assistantship, teaching assistantship, or fellowship",FALSE,,,FALSE,FALSE,,,
,Master of Science in Marketing,,,,,Graduate,Fall 2026,,,,,Required,,,"The application process for the Master of Science in Marketing program consists of three steps: an online application, submission of transcripts and test scores, and a video assessment. [2] The admissions committee looks for applicants with scholastic aptitude, strong communication skills, and a demonstrated interest in marketing. [12] While there is no specific undergraduate major required, an indication of mathematical ability through coursework is considered. [12] It is suggested that applicants take an 'Intro to R Programming' course before enrolling, and admitted students are required to complete an online Excel bootcamp before the program begins. [12]",Not Required,,True,True,False,False,False,False,,False,False,False,False,False,False,False,False,False,,,,McCombs School of Business,,"In-state: $54,000, Out-of-state: $58,000",,,,,,,"Texas McCombs' Master of Science in Marketing (MSM) is a 10-month, STEM-eligible master's degree program that combines a traditional marketing education with cutting-edge data analytics training. Grounded in applied marketing analytics, the MSM program prepares students for a marketing career in a new economy where data, decisions, and creativity are intertwined. The curriculum provides a strong foundation in marketing principles combined with advanced data analytics training, equipping students to understand and leverage analytics in strategic decision-making. Graduates leave the program with the quantitative and qualitative skills to create transformative marketing strategies for companies across various industries.",,https://gradschool.utexas.edu/degrees-programs,,,,FALSE,True,,4.0,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,Merit-based,FALSE,,,FALSE,FALSE,,,
,Master of Science in Neuroscience,,,,,Graduate,Fall 2026,,,,Required,Required,Not Required,REQUIRED,"Selection for admission to The University of Texas neuroscience graduate program is based on a student's research experience, academic achievements, personal statement and letters of recommendation. [33] All applicants must hold a bachelor's degree from an accredited college or university, usually in a biological science, chemistry, computer science, experimental psychology, pharmacy, or engineering. [17] The application includes two parts: an application to the University of Texas Graduate School and supplemental materials for the Neuroscience Graduate Program. [6] Your application will NOT be considered until both parts are completed. [6, 8]",Not Required,,True,False,False,False,False,False,,True,False,False,False,False,True,False,False,False,,,,College of Natural Sciences,,,,,,,,,,,https://catalog.utexas.edu/graduate/areas-of-study/natural-sciences/neuroscience/,,,,FALSE,True,,4.0,3,,,,,,,,,,,,,,,,,,False,False,,,,,,,6.5,,,,,79.0,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,
,Master of Science in Nursing,,,,,Graduate,Fall 2026,,,,Required,Required,Optional,REQUIRED,"The Master of Science in Nursing (MSN) program requires students to have a current Registered Nurse license and hold either a Bachelor of Science in Nursing degree, or a non-nursing baccalaureate degree and an Associate Degree in Nursing or Nursing Diploma. [3] Applicants should have a GPA of 3.0 (on a 4.0 scale) or a comparable GPA in upper-division work and in any graduate work completed. [3] Three required recommendations are submitted electronically by the recommenders. [3] A Statement of Purpose and a Curriculum Vitae/resume are also required. [3] Applicants must have a current Texas RN licensure or a license from a 'Nurse Licensure Compact' state, if admitted. [3]",,,True,False,False,False,False,False,,True,False,False,False,False,True,False,False,False,,,,School of Nursing,,,,,,,,"['Adult-Gerontology Acute Care Nurse Practitioner', 'Family Nurse Practitioner Across the Lifespan', 'Nurse Administration', 'Community/Public Health Nursing', 'Nurse Educator']","The Master of Science in Nursing (MSN) program is designed to provide the opportunity for advanced study in select areas of nursing science, professional foundations, related sciences, and modes of systematic inquiry related to advanced and specialized professional nursing leadership and practice. This program requires students to have a current Registered Nurse license and hold either a Bachelor of Science in Nursing degree, or a non-nursing baccalaureate degree and an Associate Degree in Nursing or Nursing Diploma. If you do not meet this requirement, please review the Alternate Entry MSN program information. To learn about Advanced Practice Registered Nurse (APRN) programs for those who are currently a RN, please visit the DNP-APRN page. Leadership in Diverse Settings (LeaDs). The Leadership in Diverse Settings (LeaDs) program is a master's level curriculum created to address the need for nurses to take on leadership roles in various healthcare environments. The aim of the LeaDs program is to equip graduates with a comprehensive set of skills to lead in patient-centered healthcare, community, and educational settings. Graduates of the LeaDs program will be prepared to drive change in complex and dynamic environments.",,https://gradschool.utexas.edu/degrees-programs,,,,FALSE,False,,4.0,3.0,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,"Merit-based, Need-based",FALSE,,,FALSE,FALSE,,,
,Master of Science in Nutritional Sciences,,,,,Graduate,Fall 2026,,,,Required,Required,,REQUIRED,"Admission requirements to the Graduate School and the Nutritional Sciences Graduate Program are as follows: A Bachelor's degree in a Nutrition related field from an accredited United States institution or proof of equivalent training at an institute outside the United States. [8] A GPA of at least 3.00 in upper-division work (junior- and senior-level courses) and in any graduate work already completed. [8] The GRE requirement has been permanently waived for all applicants to Nutritional Sciences programs. [8] GRE scores submitted voluntarily will not be reviewed by the admissions committee. [8] A satisfactory score on the TOEFL/IELTS exam. [8] A personal statement regarding research and professional experience, goals, and how completion of the program will further those goals. [5] Please mention your research interests and/or faculty with whom you wish to work. [8] Applicants should have a background in nutrition or related sciences and/or meet the pre-requisite coursework for admissions (described below). [8] Introductory Nutrition and Laboratory; Introductory Biology: Cell Biology; Vertebrate Physiology; Principles of Chemistry and Laboratory; Organic Chemistry and Laboratory; Biochemistry and Laboratory. [8] For the online MSNS program, successful completion of a biochemistry course for course credit/grade from an accredited institution is required prior to enrollment. [5] If an applicant does not have a bachelor's degree in a biological science field, completion of courses in Human Physiology and Introductory Nutrition from an accredited institution are also required. [5] Three letters of recommendation from individuals familiar with the applicant's academic and professional performance are also required. [5]",Not Required,,True,False,False,False,False,False,,True,False,False,False,False,True,False,False,False,,,,Department of Nutritional Sciences,"$22,500","$22,500",,,,,,,,,https://gradschool.utexas.edu/degrees-programs,,,$750,FALSE,False,,4.0,3,,,,,,,,,,,,,,,,,,False,False,,,,,,,6.5,,,,,79.0,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,
,Master of Science in Pharmaceutical Sciences,,,,,Graduate,Fall 2026,,,,Required,Required,,,"The applicant should have a bachelor's degree in pharmaceutical sciences, biology, chemistry, or a related field, or a professional pharmacy degree from an accredited institution in the United States or another country. [7] Students are admitted to the program upon recommendation of the Graduate Studies Committee, provided that their undergraduate training includes appropriate work in fields related to the pharmaceutical and health sciences. [7] Applicants without the appropriate background may be required to complete additional coursework after admission. [7]",Not Required,,True,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,,,,College of Pharmacy,,,,,,,,,,,https://gradschool.utexas.edu/degrees-programs,,,,FALSE,True,,,3.0,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,"Teaching Assistantships, Graduate Research Assistantships",FALSE,,,FALSE,FALSE,,,
,Master of Science in Social Work,,,,,Graduate,Fall 2026,,,,Required,Required,Not Required,REQUIRED,"To apply to the MSSW Program at UT Austin, you must meet the admission requirements of both the UT Graduate School and the School of Social Work. Program Requirements include: a Bachelor's Degree from an accredited U.S. institution or equivalent, a minimum 3.0 GPA in upper-division coursework, volunteer or paid work experience in social work or a related field, three recommendations, three statements of purpose (a fourth is required if GPA is below 3.0), a professional resume, official transcripts from all colleges or universities attended, and completion of one introductory statistics course with a grade of C or higher. [5]",Not Required,,True,True,False,False,False,False,,True,False,False,False,False,True,False,False,False,,,,Steve Hicks School of Social Work,,,,,,,,"['Clinical Social Work', 'Administration and Policy Practice']","The Master of Science in Social Work program prepares students for advanced social work practice with individuals, families, groups, organizations, and communities, as well as for policy-related and administrative positions. [3] The foundation curriculum prepares students for generalist social work practice and develops knowledge of and identification with the social work profession. Students learn about social work values, ethics and practices; populations at risk; human behavior and the social environment; dynamics of organizations and communities; social welfare policy and services and research methodologies. [11] Regardless of the student's choice of concentration, the program emphasizes commitment to diverse populations, social and economic justice and the advancement of the knowledge-base of the profession. [11] The MSSW program includes 60 credit hours of coursework and 900 clock hours of supervised practicum internship. [11]",,https://gradschool.utexas.edu/degrees-programs,The Master of Science in Social Work (MSSW) Program of the University of Texas at Austin Steve Hicks School of Social Work is fully accredited by the Council on Social Work Education (CSWE). [4],,,FALSE,False,,4.0,3.0,,,,,,,,,,,,,,,,,,False,False,,,,,,,6.5,,,,,79.0,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,
,"Master of Science in Speech, Language, and Hearing Sciences",,,,,Graduate,Fall 2026,,,,Required,Required,Optional,REQUIRED,"Applicants are required to provide the statement of purpose for the MSSLHS graduate application. [5] You are NOT required to provide Graduate Admissions with an additional statement of purpose or essay. [5] All MSSLHS applicants MUST submit a Statement of Purpose according to the following guidelines: Please write a response to the questions below, double spaced (font size 11 or 12) and limit your responses to 500 words for every question (1,000 words total). [5] Please note that answering these questions replaces your general Statement of Purpose. [5] Why do you think the University of Texas at Austin is a good fit for your post-graduation goals and what sets you apart as an applicant in relation to those goals? [5] Please address any information that you believe your application would be incomplete without and that sheds more light on your unique potential to succeed in the Speech, Language, and Hearing Sciences master's program and contribute to the University community and the field or profession. [5] Submit your one page resume in .pdf format through your MyStatus page. [5] Your resume should include: Educational background. [5] Honors. [5] Related field organizations. [5] Research and/or clinical experience including area, supervisor and length of rotation. [5] Volunteer experience. [5] Related field work experience. [5]",Not Required,,True,True,False,False,False,False,,True,False,False,False,False,True,False,False,False,,,,,,,,,,,,['Bilingual Certificate (with an emphasis on Spanish/English bilingual populations)'],"Experiential learning, education and training in a full range of evaluation and remediation techniques are integral parts of the curriculum. We teach how to translate theory into practice. Additional areas of study within the SLHS Department are in the area of bilingual speech-language pathology and family-focused treatment. Our program brings together exceptional expertise, compassion, and mentorship to create a supportive, growth-focused environment. You will be challenged beyond your comfort zone as we prepare you with the skills you need to make a meaningful impact in the field.",,https://gradschool.utexas.edu/degrees-programs,"The Master of Science in Speech, Language, and Hearing Sciences (MSSLHS) education program in speech-language pathology (residential) at The University of Texas at Austin is accredited by the Council on Academic Accreditation in Audiology and Speech-Language Pathology of the American Speech-Language-Hearing Association, 2200 Research Boulevard, #310, Rockville, MD 20850, 800-498-2071 or 301-296-5700. [2]",,,FALSE,True,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,6.5,,,,,79.0,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,
,Master of Science in Statistics,,,,,Graduate,Fall 2026,,,,,Required,Not Required,REQUIRED,"Applications to the Master of Science in Statistics program are only available for UT graduate students who are currently enrolled in other doctoral programs and wish to pursue the M.S. in Statistics concurrently. We are not offering the standalone M.S. in Statistics program at this time. [4, 6] Admission decisions will be based upon several factors including letters of recommendation, courses previously taken, GPA, and the number of spaces available in the program. [4] To be eligible for admission, an applicant must demonstrate: successful completion of one year of the applicant's Ph.D. program; evidence of earning a B or better in Calculus, Calculus-based probability, Calculus-based statistics, and Linear algebra; a personal statement discussing the reasons for pursuing the M.S. in Statistics; a letter of recommendation from the applicant's Ph.D. Supervisor; and support from both the Ph.D. program's Graduate Adviser and the applicant's Ph.D. Supervisor. [4]",Not Required,,True,False,False,False,False,False,,True,False,False,False,False,True,False,False,False,,,,College of Natural Sciences,"The estimated tuition for a Texas resident graduate student in the College of Natural Sciences taking 9 credit hours in Fall 2025 is $5,327. For a non-Texas resident, the estimated tuition for the same course load is $10,132 per semester.","The estimated tuition for a Texas resident graduate student in the College of Natural Sciences for the 2025-2026 academic year (Fall and Spring semesters, 9 hours each) is approximately $10,654. For a non-resident, the estimated annual tuition is approximately $20,264.",,,,,,,The Master of Science in Statistics is only available for UT graduate students who are currently enrolled in other doctoral programs and wishgateside pursue M.. in. [1] S. concurrently. We are not offering the standalone M.S. in Statistics program at this time. [1] The M.S. in Statistics is administered through the Department of Statistics and Data Sciences. The Graduate Studies Committee for this program consists of faculty members from a variety of departments across campus. This master's degree may be obtained with an optional report or without. [1] Both options require a Program of Work consisting of 30 semester hours of coursework (10 courses). [1] The report option also requires satisfactory completion of a written report and one associated three-hour report course taken on credit/no credit basis for a 33-hour total. [1] Pursuit of the report option requires the student to find a willing supervising professor who is a member of the Statistics and Data Sciences Graduate Studies Committee. The master's program in statistics equips students to grasp the fundamental theories and applications of probability and statistics.,,https://gradschool.utexas.edu/degrees-programs,,,"For the 2025-2026 academic year, the per-credit-hour tuition for a graduate student in the College of Natural Sciences varies based on the total number of hours taken. For a Texas resident taking a single credit hour, the cost is $1,348, while for a non-resident it is $2,409.",FALSE,True,,4.0,3,,,,,,,,,,,,,,,,,,False,False,,,,,,,6.5,,,,,79.0,,,,,,,,,,,,,"The University of Texas at Austin offers various forms of financial support for graduate students, which may include fellowships, teaching assistantships, and graduate research assistantships.",FALSE,,,FALSE,FALSE,,,
,Master of Science in Sustainable Design,,,,,Graduate,Fall 2026,,,,Required,Required,GRE,REQUIRED,"Follow the application instructions for all UTSOA graduate programs. Follow the Graduate School instructions to submit the application, application fee, transcripts, and test scores. The GRE is required for MSSD. A maximum 1,000-word essay that addresses your interest in the MSSD program is required. Three letters of recommendation are also necessary. [6]",Not Required,,False,False,False,False,True,False,,True,False,False,False,False,True,False,False,False,,,,School of Architecture,,,,,,,,,"The Master of Science in Sustainable Design is a non-professional research-oriented program, rather than a design-oriented program. [2] Generally speaking, it is intended for students who wish to prepare for a related Ph.D. program, work as sustainability consultants in the AE industry or those who plan to work in public policy and pursue activism related to sustainable architecture or urbanism. [2, 13] A background in architecture or design is optional but not required. [2, 13] The MSSD program is structured such that students primarily work individually, not in designated research groups. [2, 13] By the end of the first year of the program, students select their thesis advisors. [2] The Graduate Program in Sustainable Design is an interdisciplinary and research-based degree path. [9] Here, scholars are both part of a specialized, close-knit cohort of MSSD students as well as members of the larger Architecture program and UT Austin campus community. [9] Students are encouraged to draw from the sizeable and wide-ranging knowledge of faculty within the school and across the university. [9] As part of the Master of Science in Sustainable Design degree, students must complete a Master's Thesis. [2] The thesis is a demonstration of a student's ability to synthesize knowledge gained during his or her course of study, and to apply that knowledge in the writing of an analytical text grounded in evidence derived from relevant literature(s) and empirical analysis. [2]",,https://gradschool.utexas.edu/degrees-programs,,,,FALSE,True,,4.0,3,,,,,,,,,,,,,,,,,,False,False,,,,,,,6.5,,,,,79.0,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,
