Id,ProgramName,ProgramCode,Status,CreatedDate,UpdatedDate,Level,Term,TermCode,LiveDate,DeadlineDate,Resume,StatementOfPurpose,GreOrGmat,EnglishScore,Requirements,WritingSample,CollegeId,IsAnalyticalNotRequired,IsAnalyticalOptional,IsDuoLingoRequired,IsELSRequired,IsGMATOrGreRequired,IsGMATRequired,IsGreRequired,IsIELTSRequired,IsLSATRequired,IsMATRequired,IsMCATRequired,IsPTERequired,IsTOEFLIBRequired,IsTOEFLPBTRequired,IsEnglishNotRequired,IsEnglishOptional,AcademicYear,AlternateProgram,ApplicationType,Department,Fees,Fees.1,IsAvailable,ProgramType,AdmissionDepartmentId,CreatedBy,UpdatedBy,Concentration,Description,OtherConcentrations,ProgramWebsiteURL,Accredidation,AverageScholarshipAmount,CostPerCredit,IsRecommendationSystemOpted,IsStemProgram,MaxFails,MaxGPA,MinGPA,PreviousYearAcceptanceRates,QsWorldRanking,TotalAccepetedApplications,TotalCredits,TotalDeniedApplications,TotalI20sIssued,TotalScholarshipsAwarded,TotalSubmittedApplications,TotalVisasSecured,UsNewsRanking,CollegeApplicationFee,IsCollegePaying,MEContractNegotiatedFee,MyGradAppFee,ProgramCategory,IsCollegeApplicationFree,IsCouponAllowed,IsACTRequired,IsSATRequired,SftpDestinationId,MinimumACTScore,MinimumDuoLingoScore,MinimumELSScore,MinimumGMATScore,MinimumGreScore,MinimumIELTSScore,MinimumMATScore,MinimumMCATScore,MinimumPTEScore,MinimumSATScore,MinimumTOEFLScore,MLModelName,MinimumAnalyticalScore,MinimumEnglishScore,MinimumExperience,MinimumSopRating,WeightAnalytical,WeightEnglish,WeightExperience,WeightGPA,WeightSop,ScholarshipAmount,ScholarshipPercentage,ScholarshipType,IsNewlyLaunched,BatchId,IsImported,IsImportVerified,Is_Recommendation_Sponser,AnalyticalScore,MinimumLSATScore,IsGRERequired
,Master of Accounting,,,,,Graduate,Fall 2026,,,,Required,Required,,,"The application for the Master of Accounting (MACC) program at Washington University in St. Louis requires the submission of a current resume, a statement of purpose, and unofficial transcripts from all institutions attended. In addition, applicants must provide standardized test scores (GMAT or GRE), although waivers are available. The application also includes a video essay and at least one professional recommendation. An application fee is required, and interviews are conducted on an invitation-only basis.",Not Required,,False,True,False,False,False,False,,False,False,False,False,False,False,False,False,False,,,,Olin Business School,,,,,,,,,"The Master of Accounting (MACC) program at Olin Business School prepares students for careers in public accounting, industry, consulting, financial services, and government. [4, 8] Students can choose from three degree formats and customize their experience through various elective courses. [7] The program is designed for both those deepening their accounting knowledge and first-time business students. [7] The curriculum, which can be completed in two or three semesters, consists of a minimum of 33 credit hours, including core courses, electives, and an experiential learning component. [12] The program is STEM-designated and focuses on financial statement expertise, business analytics, and communication skills. [9] Completion of the MACC curriculum meets the educational requirements to apply for the Missouri CPA exam. [12]",,https://washu.edu/academics/academic-degrees-and-programs/,AACSB Accredited. [10],,,FALSE,True,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,
,Master of Science in Advanced Architectural Design,,,,,Graduate,Fall 2026,,,,Required,Required,Not Required,REQUIRED,"Applicants to the Master of Science in Advanced Architectural Design program (MSAAD) must hold a Bachelor of Architecture (BArch) degree, or a Master of Architecture (MArch) degree from a NAAB-accredited degree program in the United States or its international equivalent. [2, 3] A minimum GPA of 3.0 is required. [3] Required application materials include a resume or curriculum vitae, transcripts from all previous higher education institutions, two personal essays, a portfolio demonstrating architecture, design, or visual art work, and three references. [3]",Not Required,,True,False,True,False,False,False,,True,False,False,False,False,True,False,False,False,,,,Sam Fox School of Design & Visual Arts,"$60,975/Year","$60,975/Year",,,,,,,"The Master of Science in Advanced Architectural Design is a 36-credit, three-semester, post-professional program for individuals who hold an accredited US professional architecture degree or its international equivalent. [1] The program is designed to allow students to pursue advanced design studies and research. [1] It encourages the conceptualization of design as a critical practice that shapes the world's technological, relational, and environmental evolutions. [2] The curriculum is described as highly flexible and individualized, featuring an Advanced Architectural Design Studio in each semester. [1] The program framework aims to explore both academic and professional concerns by asserting that architectural design is critical in addressing contemporary challenges and that its future agency lies in its ability to mobilize realities across different scales and time frames. [2]",,https://washu.edu/academics/academic-degrees-and-programs/,,,,FALSE,False,,4.0,,,,,,,,,,,,,,,,,,,False,False,,,125.0,,,,6.5,,,,,90.0,,,,,,,,,,,Full-tuition scholarships are available.,100%,Merit-based,FALSE,,,FALSE,FALSE,,,
,Master of Science in Aerospace Engineering,,,,,Graduate,Fall 2026,,,,,,Optional,REQUIRED,,,,False,False,False,False,False,False,,True,,,,False,True,False,False,False,,,,McKelvey School of Engineering,"$66,850/yr","$66,850/yr",,,,,,"['Thesis Option', 'Course Option']","The Department of Mechanical Engineering & Materials Science offers a Master of Science degree in Aerospace Engineering with either a Thesis Option or Course Option. [9] The M.S. Thesis in Aerospace Engineering is a degree that allows students to deepen their expertise in a specific area through hands-on research. [2] Students choose a research topic in aerodynamics, propulsion, control systems, materials, systems-design & human-integration and work closely with a faculty advisor. [2] This degree provides the opportunity to develop specialized skills, solve real-world problems, and prepare for advanced roles in industry or academia. [2] The department focuses on several key research areas, including Autonomous and Intelligent Systems, Hypersonics, Multi-Functional and Extreme Environment Materials, Optical, Remote, and Quantum Sensing, Reacting Flows and Propulsion, Space Domain Awareness, and Space Flight and Operations, both Human and Robotic. [2]",,https://washu.edu/academics/academic-degrees-and-programs/,,,,FALSE,True,,4.0,2.7,,,,,,,,,,,,,,,,,,False,False,,,125.0,,,,6.5,,,,,90.0,,,,,,,,,,,,50%,"Department Chair's Master's Fellowship, Tuition scholarship for students from affiliated schools",FALSE,,,FALSE,FALSE,,,
,Master of Arts in American Culture Studies,,,,,Graduate,Fall 2026,,,,,,,,,,,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,,,,Arts & Sciences,,,,,,,,,"The American Culture Studies (AMCS) program at Washington University fosters a multidisciplinary approach to the study of United States history, material culture, social life, literature, politics, arts, and popular culture in local, national, hemispheric, and global contexts. The program prioritizes a hemispheric approach that explores US relations with Latin America, Canada, and Indigenous nations. It also emphasizes experiential and site-based learning, offering opportunities to work with St. Louis communities and organizations. Students are encouraged to shape their study around questions that matter to them, such as critical ethnic and Indigenous studies, environmental and racial justice, media and politics, and education and equity. [2, 4, 5]",,https://washu.edu/academics/academic-degrees-and-programs/,,,,FALSE,False,,4.0,3.0,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,
,Doctor of Philosophy in Anthropology,,,,,Doctoral,Fall 2026,,,,Not Required,Required,Not Required,REQUIRED,Applications must be submitted online to the Office of Graduate Studies in Arts & Sciences. Required Materials: ONLINE application form submitted through the SLATE application system that includes the following: 3 letters of recommendation uploaded electronically through the SLATE application system. Recommendation requests should be sent to recommenders via email through the SLATE application system. Transcripts from all institutions of higher learning attended are required. [2],Not Required,,True,False,False,False,False,False,,True,False,False,False,False,True,False,False,False,,,,Graduate School of Arts & Sciences,Full tuition remission for admitted PhD students. [11],,,,,,,,,,https://washu.edu/academics/academic-degrees-and-programs/,,,,FALSE,False,,4.0,3.0,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,100%,University Fellowship,FALSE,,,FALSE,FALSE,,,
,Master of Science in Applied Health Behavior Research,,,,,Graduate,Fall 2026,,,,Required,Required,Not Required,,"To be considered for admission, applicants must submit the following: AHBR application, Application fee, Résumé/curriculum vitae, Personal statement, All college transcripts, and three letters of recommendation. [1] Registration is open to anyone with a four-year undergraduate degree from an accredited university or college in an appropriate field of study. [1] The GRE is not required for admission. [1, 4]",Not Required,,True,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,,,,School of Medicine,,,,,,,,"['Health Education, Program Planning and Evaluation (HEPPE)', 'Health Behavior Research (HBR)']","The Master of Science (MS) in Applied Health Behavior Research (AHBR) is a 33-credit multidisciplinary program that focuses on the applied skills required for the development, management and evaluation of research studies and health behavior programs in academic, clinical and community settings. [1] Students choose one of two concentrations: Health Education, Program Planning and Evaluation (HEPPE): This concentration is designed for individuals who want to develop, manage and evaluate health programs in clinical or community settings. [1] Course work focuses on health behavior theory, program planning, program evaluation, health education and program management. [1] Health Behavior Research (HBR): This concentration is designed for individuals to develop theoretical knowledge and gain practical research experience in order to pursue careers in a variety of health-related fields and/or to manage research studies in clinical settings. [1] Course work focuses on health behavior theory, research methodology, analytic methods and research project management. [1]",,https://washu.edu/academics/academic-degrees-and-programs/,,,,FALSE,True,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,Merit-based and need-based,FALSE,,,FALSE,FALSE,,,
,Master of Arts in Art History and Archaeology,,,,,Graduate,Fall 2026,,,,Not Required,Required,Optional,,"To apply for admission to the Washington University GSAS, you must submit the following information: a completed on-line application and statement of purpose; three letters of recommendation (may be submitted on-line); official transcripts from all previously attended colleges or universities; official TOEFL scores for international students who did not obtain their BA from a university in the United States; and a writing sample (15-20 pages; a seminar paper, for example). [1]",Required,,True,True,False,False,False,False,,False,False,False,False,False,False,False,False,False,,,,School of Arts & Sciences,"$64,500/Year","$64,500",,,,,,,,,https://washu.edu/academics/academic-degrees-and-programs/,,,,FALSE,False,,4.0,3.0,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,
,Doctor of Philosophy in Art History and Archaeology,,,,,Doctoral,Fall 2026,,,,Not Required,Required,Optional,REQUIRED,"The application for the PhD program in Art History and Archaeology requires a completed online application and a statement of purpose. [3] Applicants must also submit three letters of recommendation, official transcripts from all previously attended colleges or universities (though unofficial transcripts are accepted at the initial stage), and a writing sample. [3] International students who did not earn their bachelor's degree from a U.S. university are required to submit official TOEFL scores. [3]",Required,,False,True,True,False,False,False,,True,False,False,False,False,True,False,False,False,,,,Arts & Sciences,Students accepted into the PhD program receive full tuition remission. [8],"Full-time tuition for the 2025-26 academic year is $66,850, which is fully covered by the fellowship for PhD students. [16, 8]",,,,,,"['African Art and Archaeology', 'Ancient Mediterranean Art and Archaeology', 'Asian Art', 'Early Modern and European and Global Art and Architecture', 'Modern and Contemporary Art']","The Department of Art History and Archaeology has a long tradition of training students in a wide range of areas; current faculty specialize in African Art and Archaeology, Ancient Mediterranean Art and Archaeology, Asian Art, Early Modern and European and Global Art and Architecture, and Modern and Contemporary Art. Through our relations with the Sam Fox School of Design &amp;Visual arts we have additional strengths in visual art and design, and in the history, theory and practice of architecture. Our program currently has about 20 graduate students in residence, pursuing both the MA and PhD degrees. We welcome students interested in working at either level, and due to our relatively small size, we are able to mentor our graduate students closely and help prepare them for exciting professional opportunities.",,https://washu.edu/academics/academic-degrees-and-programs/,,"$37,582 per year (2025-2026 academic year)",,FALSE,False,,4.0,3.0,,,,,,,,,,,,,,,,,,False,False,,,125.0,,,,6.5,,,,,90.0,,,,,,,,,,,"Students accepted into the PhD program who remain in good standing are guaranteed six years of full funding. This includes an annual stipend and full tuition remission. [6, 8] Additional research grants of up to $5,000 are also available. [18]",100%,Arts & Sciences Fellowships,FALSE,,,FALSE,FALSE,,,
,Doctor of Audiology,,,,,Doctoral,Fall 2026,,,,Required,Required,Not Required,REQUIRED,"Required application materials (all submitted online through application link above):

Online application form
Personal statement
Resume or CV
Brief asynchronous video interview (AuD and MSDE only)
Uploaded unofficial transcripts from all college/university coursework
Three letters of recommendation
Non-refundable application fee of $25",Not Required,,True,False,True,False,False,False,,True,False,False,False,False,True,False,False,False,,,,School of Medicine,"$44,500/Year",,,,,,,Pediatric and Research Specialization Tracks. [10],"The Doctor of Audiology (AuD) program at Washington University in St. Louis is a three-year course of study designed to prepare students as independent clinical audiologists. [7] The program, part of the Program in Audiology & Communication Sciences (PACS) at the School of Medicine, emphasizes hands-on learning, coursework from experts, and the integration of current research. [7, 5] Operating within the Department of Otolaryngology–Head & Neck Surgery, it offers students an exceptional interdisciplinary learning environment. [7] From the start, students are involved in clinical experiences, lab activities, and have access to clinical learning labs. [7] The curriculum integrates coursework, clinical experiences, and research opportunities, culminating in a capstone project and a full-time clinical externship in the third year. [7] All students receive research training, and a research specialization track is available. [7]",,https://washu.edu/academics/academic-degrees-and-programs/,"The Doctor of Audiology (AuD) education program in audiology (residential) at Washington University School of Medicine in St. Louis is accredited by the Council on Academic Accreditation (CAA) in Audiology and Speech-Language Pathology of the American Speech-Language-Hearing Association (ASHA), 2200 Research Blvd. #310, Rockville, MD 20850, (800) 498-2071 or (301) 296-5700. [10]",,,FALSE,False,,,,,,,,,,,,,,,,,,,,,False,False,,,130.0,,,,7.0,,,,,100.0,,,,,,,,,,,,35%-100%,"Merit-based, Need-based",FALSE,,,FALSE,FALSE,,,
,"Doctor of Philosophy in Biochemistry, Biophysics, and Structural Biology",,,,,Doctoral,Fall 2026,,,,Not Required,Required,Not Required,REQUIRED,"The application for the Division of Biology & Biomedical Sciences (DBBS) requires the following components: contact information, demographics, indication of the DBBS program of interest, three letters of recommendation, academic history, and two DBBS-specific essays. [16] A 25-word description of current and/or recent research experience is also part of the application. [16] The GRE General Test is neither required nor accepted for admission. [16] For international applicants who are non-native English speakers, an English proficiency test (TOEFL, IELTS, or Duolingo) is required. [16] Admissions committees conduct a holistic review of applications, assessing coursework, grades, letters of recommendation, and essay responses. [25] Competitive applicants typically have an average of 12 months of cumulative laboratory research experience and a GPA between 3.0 and 4.0. [25]",Not Required,,True,False,True,False,False,False,,True,False,False,False,False,True,False,False,False,,,,Roy and Diana Vagelos Division of Biology and Biomedical Sciences (DBBS),0,All PhD students in the DBBS are provided with a full-tuition scholarship.,,,,,,"['Biochemistry', 'Biophysics', 'Structural Biology']"," The  BBS Program brings together scientists who aim to understand biological systems ranging from single molecules to whole organisms at the level of chemical transformations and molecular interactions. Our students investigate diverse topics including protein dynamics, the molecular mechanisms of nucleic acid and cytoskeletal motors, membrane-bound ion channels, metabolic enzymes, immunological signaling, and much more. Learning more about how these molecules function leads to insights into a variety of biological contexts including host-pathogen interactions, cancer, metabolic regulation, immunological signaling, DNA-repair, and muscle function to name a few. [2]",,https://washu.edu/academics/academic-degrees-and-programs/,,,,FALSE,True,,4.0,3.0,,,,,,,,,,,,,,,,,,False,False,,,130.0,,,,7.0,,,,,100.0,,,,,,,,,,,,100%,Fellowships and assistantships,FALSE,,,FALSE,FALSE,,,
