QsWorldRanking,School,MaxFails,MaxGPA,MinGPA,PreviousYearAcceptanceRates,Term,LiveDate,DeadlineDate,Fees,AverageScholarshipAmount,CostPerCredit,ScholarshipAmount,ScholarshipPercentage,ScholarshipType,Program duration,Tuition fee,Program name,Program Page url
,,,4.0,2.0,,,,,,,597.50 / credit hour,,,"High School Scholarship, Presidential Scholarship",19 months,44813,Diagnostic Cardiac Sonography Certificate,https://aimseducation.edu/
,College of Health Sciences,,4.0,2.0,,"Spring, Fall",,,46000.0,,,,,"Merit-based, Need-based",48 weeks (12 months),"$46,000 / Year",Cardiovascular Invasive Specialist Certificate,https://aimseducation.edu/cardiovascular-invasive-specialist
,,,4.0,,,,,,22425.0,,,,,Federal and State Grants,11 months / 44 weeks,"$22,425.00 / Program",Anesthesia Technician Certificate of Achievement,https://aimseducation.edu/
,,,4.0,2.0,,,,,16870.0,,,"up to $2,000",,"High School Scholarship, Alumni Scholarship, Military Scholarship",approximately 9 months,16870,Pharmacy Technician Certificate,https://aimseducation.edu/
,,,4.0,2.0,,,,,15995.0,,,,,"Federal Pell Grants, Federal Direct Loans, Federal Work-Study, Veterans Benefits",40 Weeks (10 Months),"$15,995 / Program",Medical Billing and Coding Certificate,https://aimseducation.edu/
,College of Health Sciences,,4.0,2.0,,,,,17000.0,,,"Up to $1,500",,Institutional,Approximately 40 weeks (day session) or 47 weeks (evening session),17000,Sterile Processing Technician Certificate,https://aimseducation.edu/
,,,4.0,2.0,,,,,15800.0,,,"up to $1,500",,"Merit-based, Alumni-based, Military-based",9 months,15800,Medical Assistant Certificate,https://aimseducation.edu/
,,,4.0,2.0,,,,,6940.0,,,"$1,000",10%,"High School Scholarship, Alumni Scholarship","360 Hours (Day: 12 Weeks, Evening: 20 Weeks)",5400,Patient Care Technician Certificate,https://aimseducation.edu/
,College of Health Sciences,,4.0,2.0,,,,,3995.0,,,,,Need-based,240 hours,"$3,995/Program",EKG/Phlebotomy Technician Certificate,https://aimseducation.edu/
,,,,,,,,,1200.0,,,,,,4 Weeks,1430,Cardiac Monitor Technician Certificate,https://aimseducation.edu/
,College of Health Sciences,,4.0,2.0,,,,,1170.0,,390,,,Institutional Scholarships,90 hours,1170,Phlebotomy Technician Certificate,https://aimseducation.edu/phlebotomy-technician
