Program name,Program Page url
"Accountancy and Data Analytics, Master",https://degrees.apps.asu.edu/masters-phd?init=false&nopassive=true
"Acting, Master of Fine Arts",https://degrees.apps.asu.edu/masters-phd?init=false&nopassive=true
"Addiction Psychology, Master of Science",https://degrees.apps.asu.edu/masters-phd?init=false&nopassive=true
"Advanced Analytics in Higher Education, Graduate Certificate",https://degrees.apps.asu.edu/masters-phd?init=false&nopassive=true
"Aerospace Engineering, Master of Science",https://degrees.apps.asu.edu/masters-phd?init=false&nopassive=true
"Aerospace Engineering, PhD",https://degrees.apps.asu.edu/masters-phd?init=false&nopassive=true
"American Indian Studies (Cultural Resource Revitalization and Sust), Master of Arts",https://degrees.apps.asu.edu/masters-phd?init=false&nopassive=true
"American Indian Studies (Indigenous Rights and Social Justice), Master of Arts",https://degrees.apps.asu.edu/masters-phd?init=false&nopassive=true
"American Indian Studies (Tribal Leadership and Governance), Master of Arts",https://degrees.apps.asu.edu/masters-phd?init=false&nopassive=true
"American Indian Studies (Visual and Oral Culture), Master of Arts",https://degrees.apps.asu.edu/masters-phd?init=false&nopassive=true
"Anthropology, MA",https://degrees.apps.asu.edu/masters-phd?init=false&nopassive=true
"Anthropology, PhD",https://degrees.apps.asu.edu/masters-phd?init=false&nopassive=true
"Applied Behavior Analysis, Master of Science",https://degrees.apps.asu.edu/masters-phd?init=false&nopassive=true
"Applied Leadership and Management, Master",https://degrees.apps.asu.edu/masters-phd?init=false&nopassive=true
"Architectural Studies, PhD",https://degrees.apps.asu.edu/masters-phd?init=false&nopassive=true
"Architecture, Master of",https://degrees.apps.asu.edu/masters-phd?init=false&nopassive=true
"Art, Master of Fine Arts",https://degrees.apps.asu.edu/masters-phd?init=false&nopassive=true
"Art Education, Master of Arts",https://degrees.apps.asu.edu/masters-phd?init=false&nopassive=true
"Artificial Intelligence in Business, Master of Science",https://degrees.apps.asu.edu/masters-phd?init=false&nopassive=true
"Asian Languages and Civilizations - Japanese, Master of Arts",https://degrees.apps.asu.edu/masters-phd?init=false&nopassive=true
