QsWorldRanking,School,MaxFails,MaxGPA,MinGPA,PreviousYearAcceptanceRates,Term,LiveDate,DeadlineDate,Fees,AverageScholarshipAmount,CostPerCredit,ScholarshipAmount,ScholarshipPercentage,ScholarshipType,Program duration,Tuition fee,Program name,Program Page url
,W. P. Carey School of Business,,4.0,3.0,,Fall,,,,,,,,,9 months,,"Accountancy and Data Analytics, Master",https://degrees.apps.asu.edu/masters-phd?init=false&nopassive=true
,"Herberger Institute for Design and the Arts, School of Music, Dance and Theatre",,4.0,3.0,,Fall,,,"$46,432/Year",,,,,Teaching Assistantships,3 years,"$46,432/Year","Acting, Master of Fine Arts",https://degrees.apps.asu.edu/masters-phd?init=false&nopassive=true
,"College of Liberal Arts and Sciences, Department of Psychology",,4.0,3.0,,Fall,,,"$31,518/Year",,$1499/credit,,,"Fellowships, Teaching Assistantships, Research Assistantships",,"$31,518/Year","Addiction Psychology, Master of Science",https://degrees.apps.asu.edu/masters-phd?init=false&nopassive=true
179,Mary Lou Fulton Teachers College,,4.0,3.0,,"Fall, Spring",,,,,"$616/credit (Resident), $1,114/credit (Non-resident)",,,"Merit-based, Need-based",,"$9,240 (Resident) / $16,710 (Non-resident) for the entire program","Advanced Analytics in Higher Education, Graduate Certificate",https://degrees.apps.asu.edu/masters-phd?init=false&nopassive=true
,Ira A. Fulton Schools of Engineering,,4.0,3.0,,"Fall, Spring",,,,,,,,Merit-based fellowships,30 credit hours,,"Aerospace Engineering, Master of Science",https://degrees.apps.asu.edu/masters-phd?init=false&nopassive=true
,Ira A. Fulton Schools of Engineering,,4.0,3.5,,"Fall, Spring",,,"$31,594/Year",,1755.22,,,"Teaching or research assistantships, Fellowships",,"$31,594/Year","Aerospace Engineering, PhD",https://degrees.apps.asu.edu/masters-phd?init=false&nopassive=true
179,School of Social Transformation,,4.0,3.0,,Fall,"September 1, 2025","January 15, 2026",,,1439,,,Graduate teaching and research assistantships,,"$25,824/Year","American Indian Studies (Cultural Resource Revitalization and Sust), Master of Arts",https://degrees.apps.asu.edu/masters-phd?init=false&nopassive=true
,School of Social Transformation,,4.0,3.0,,Fall,,,,,,,,New American University Scholar awards,,,"American Indian Studies (Indigenous Rights and Social Justice), Master of Arts",https://degrees.apps.asu.edu/masters-phd?init=false&nopassive=true
179,School of Social Transformation,,4.0,3.0,,Fall,,,"$14,944/Year",,$747/Credit Hour,,,"Merit-based, Need-based",,"$14,944/Year","American Indian Studies (Tribal Leadership and Governance), Master of Arts",https://degrees.apps.asu.edu/masters-phd?init=false&nopassive=true
,The College of Liberal Arts and Sciences,,4.0,3.0,,Fall,,,"$31,220/Year",,"$831/credit (resident); $1,784/credit (nonresident)",,,"Fellowships, Program-specific scholarships",,"$31,220/Year","American Indian Studies (Visual and Oral Culture), Master of Arts",https://degrees.apps.asu.edu/masters-phd?init=false&nopassive=true
