QsWorldRanking,School,MaxFails,MaxGPA,MinGPA,PreviousYearAcceptanceRates,Term,LiveDate,DeadlineDate,Fees,AverageScholarshipAmount,CostPerCredit,ScholarshipAmount,ScholarshipPercentage,ScholarshipType,Program duration,Tuition fee,Program name,Program Page url
93,Graduate School of Arts & Sciences,,4.0,3.0,,Fall,,"January 15, 2026","$32,680/Semester",,"$2,043",,,"Merit-based (GRS Fellowships, Teaching Assistantships, Research Assistantships, GRS Scholarships)",2 years,"$32,680/Semester",Master of Arts in African American & Black Diaspora Studies,https://www.bu.edu/academics/grs/programs/african-american-studies/
68,Graduate School of Arts & Sciences (GRS),1.0,4.0,3.0,,Fall,,December 15,"$30,960/semester","$91,920/year",$920/credit,"$61,920/year",100%,Fellowship (Merit-based),5 years,"$30,960/semester",PhD in African American & Black Diaspora Studies,https://www.bu.edu/academics/grs/programs/american-new-england-studies/
78,College of Arts & Sciences,0.0,4.0,3.0,,Fall,,,"$32,670/Semester",,"$1,021/credit",,,"Merit-based, Teaching Fellowships, Graduate Research Assistantships",2 years,"$32,670/Semester",Master of Arts in American Studies,https://bsky.app:443/profile/americanstudiesbu.bsky.social
97,College of Arts & Sciences,,4.0,3.0,,Fall,,,,"$65,360/Year","$2,043.75/Credit","$65,360/Year",100%,"Fellowships, Teaching Assistantships, Research Assistantships",5 years,"$65,360/Year",PhD in American Studies,https://bsky.app:443/profile/americanstudiesbu.bsky.social
78,College of Arts & Sciences,,4.0,3.0,,Fall,,,"$32,720/Semester",,"$2,045/Credit",,25-75% of tuition costs,Merit-based,Two years (full-time),"$32,720/Semester",Master of Arts in Preservation Studies,https://www.bu.edu/preservation/
108,Graduate School of Arts & Sciences and School of Law,,4.0,3.0,,Fall,,January 15,,,"$1,844 per credit",,,"Merit-based, need-based, Teaching Fellowships, partial scholarships",4 years,,Master of Arts / Juris Doctor in Preservation Studies,https://www.bu.edu/academics/grs/programs/
70,Graduate School of Arts & Sciences,2.0,4.0,3.0,,Fall,,,"$32,680/Semester",,"$2,043/Credit",,,,,"$32,680/Semester",Master of Arts in Anthropology,https://www.bu.edu/academics/grs/programs/
70,Graduate School of Arts & Sciences (GRS),2.0,4.0,3.0,,Fall,,December 15,"$67,360/Year","$102,884/Year (includes $32,000 stipend, $67,360 tuition, $3,524 health insurance)","$2,807/credit",,100%,"Teaching Fellowship, Research Assistantship",5 years,"$67,360/Year",PhD in Anthropology,https://www.bu.edu/academics/grs/programs/
78,Graduate School of Arts & Sciences (GRS),,4.0,3.0,,Fall,,"January 15, 2026","$14,400/Year",,$900/credit,"$5,000 to $10,000",,Merit-based,2 years,"$14,400/Year",Master of Arts in Public Anthropology,https://www.bu.edu/academics/grs/programs/
93 (2024 QS World University Rankings),Graduate School of Arts & Sciences,2.0,4.0,3.0,,Fall,,,"$32,660/Semester",,"$1,021/credit",,,"Merit-based (Dean's Scholarships, partial tuition remission and stipends)",2 years,"$32,660/Semester",Master of Arts in Archaeology,https://www.bu.edu/academics/grs/programs/
58,"Department of Archaeology, College of Arts & Sciences",,4.0,3.0,,Fall,early September,December 15,"$68,540/Year",,"$2,142/Credit","Annual stipend of $25,000, full tuition waiver (value $68,540/Year), and student health insurance",,"Fellowship/Assistantship (includes stipend, full tuition waiver, and health insurance)",4-5 years,"$68,540/Year",PhD in Archaeology,https://www.bu.edu/archaeology/
93,College of Arts & Sciences,,4.0,3.0,,Fall,,December 15,32320/Semester,,2020/credit,"Up to $32,320 (covering tuition for up to 16 credits)",Up to 50% (of total program credits),"Merit-based, Need-based",2 years (full-time),32320/Semester,Master of Arts in Archaeological & Environmental Sciences/Archaeology,https://www.bu.edu/academics/cas/programs/archaeology/ba-ma/
98,College of Arts & Sciences,,4.0,3.0,,Fall,,,34400/Semester,,2150/Credit,,,"Merit-based, Teaching Fellowships",2 years (four semesters),34400/Semester,Master of Arts in Classics & Archaeology,https://www.bu.edu/classics/academics/graduate-programs/graduate-degree-programs/ma-in-classics-archaeology/
93,Graduate School of Arts & Sciences,1.0,4.0,3.0,,Fall,,"January 15, 2026","$32,820/Semester",,"$1,026.88",,,"Merit-based scholarships, Teaching fellowships",2 years,"$32,820/Semester",Master of Arts in Astronomy,https://www.bu.edu/academics/grs/programs/
71,College of Arts & Sciences,,4.0,3.0,,Fall,,December 15,"$32,830/Semester","$105,090/Year (includes tuition, 9-month stipend, and health insurance)","$2,052/Credit","$65,660/Year (Tuition Scholarship)",100%,"Tuition Scholarship, Stipend, Teaching Fellowships, Research Assistantships",Minimum 5 years,"$32,830/Semester",PhD in Astronomy,https://www.bu.edu/grad/why-bu/phd-program-profiles/astronomy/
93,Graduate School of Arts & Sciences,,4.0,3.0,,Fall,,,"$30,950/Semester or $61,900/Year",,"$1,970/Credit",,,,1 year (two semesters),"$30,950/Semester or $61,900/Year",Master of Arts in Astrophysics & Space Physics,https://www.bu.edu/academics/grs/programs/astronomy/ma/
