Resume,StatementOfPurpose,Requirements,WritingSample,IsAnalyticalNotRequired,IsAnalyticalOptional,IsRecommendationSystemOpted,IsStemProgram,IsACTRequired,IsSATRequired,MinimumACTScore,MinimumSATScore,extraction_level,Program name,Program Page url,error
,Required,"In addition to the University's graduate admission requirements, applicants to the Master of Science in agricultural education program must have:

1. A baccalaureate degree with a major in agricultural education or a related discipline from an accredited institution.
2. An undergraduate grade point average of at least 2.75 in the last 60 semester (90 quarter) units, or an overall undergraduate grade point average of at least 2.50.
3. Two letters of recommendation from individuals who can evaluate the applicant's potential for success in a graduate program.
4. A written statement of purpose describing the applicant's interest in the agricultural education program and his/her career goals.
5. A personal interview may be requested.",,True,False,,False,False,False,,,program,Master of Science in Agricultural Education,https://www.csuchico.edu/graduatestudies/programs/,
Required,Required,"In addition to the University's graduate admission requirements, applicants must also meet the departmental admission requirements listed below.

- A BA degree in anthropology or 15 upper-division units in anthropology with a grade of B or higher. Students lacking this may be admitted conditionally and will be required to complete specified undergraduate coursework before advancement to candidacy.
- A minimum grade point average of 3.0 in the last 60 units of coursework.

Application for admission to the MA program in Anthropology must be made simultaneously to the Office of Graduate Studies and the Department of Anthropology. The following documents must be submitted directly to the department:
- A letter of intent/statement of purpose, of approximately 500 words, that describes your background in anthropology and your professional goals.
- An academic writing sample, preferably a research paper in anthropology or a related field.
- A current curriculum vitae (CV).
- Contact information for three references who can comment on your potential for success in a graduate program (the department will contact references directly for letters of recommendation).",Required,True,False,False,False,False,False,,,program,Master of Arts in Anthropology,https://www.csuchico.edu/graduatestudies/programs/,
Required,Required,"In addition to the general requirements of the university, specific requirements for admission to classified graduate status are:
1. A baccalaureate degree with a major in art history with a minimum GPA of 3.0 in the last 60 units of undergraduate coursework and a minimum GPA of 3.3 in the art history major.
2. A baccalaureate degree with a major other than art history with a minimum GPA of 3.0 in the last 60 units of undergraduate coursework, and a minimum of 18 units of upper-division art history with a minimum GPA of 3.3. Students who have not completed the 18 units of upper-division art history coursework may be admitted conditionally. For conditional admission, the Graduate Coordinator, in consultation with the art history faculty, will prescribe a course of study which must be completed before the student is advanced to classified standing.
3. Submission of a written statement of purpose.
4. Three letters of recommendation.
5. A sample of the student's scholarly writing.
6. Approval by the department and the Office of Graduate Studies.",Required,True,False,False,False,False,False,,,program,Master of Arts in Art and Art History,https://www.csuchico.edu/graduatestudies/programs/,
,,,,,,,,,,,,error,Master of Science in Biological Sciences,https://www.csuchico.edu/graduatestudies/programs/,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Required,Required,"To be considered for admission to the Master of Business Administration program, an applicant must: Hold a bachelor’s degree from an accredited institution. Have attained a minimum grade point average (GPA) of 2.75 in the last 60 semester (90 quarter) units of undergraduate coursework, or an overall undergraduate GPA of 2.75. If a student has less than a 2.75 GPA, they can be considered for admission if they have a GPA of 3.0 in the last 60 semester (90 quarter) units. Be in good standing at the last institution attended. A minimum score of 550 on the paper-based GMAT, 213 on the computer-based GMAT, or 80 on the Internet-based GMAT. GRE scores may be substituted for GMAT scores. The GMAT/GRE requirement is waived for applicants with: A bachelor's degree from an AACSB-accredited business school with a GPA of 3.0 or higher in their last 60 units. A bachelor's degree from a regionally accredited institution with a GPA of 3.0 or higher in their last 60 units AND either three years of professional work experience OR a graduate degree (master's, doctoral, or professional) from a regionally accredited institution.",Not Required,True,False,False,False,False,False,,,program,Master of Business Administration,https://www.csuchico.edu/academics/college/business/departments/mba/mba.shtml,
Required,Required,"To be considered for admission to the Online MBA program, applicants must meet the general requirements for admission to graduate studies at California State University, Chico. In addition, applicants must possess:

A bachelor’s degree from an accredited institution.
A minimum cumulative GPA of 2.75.
A GMAT/GRE score is not required for admission. You may submit scores if you wish to have them considered with your application.

To apply, please submit the following:

A completed Cal State Apply application.
Official transcripts from all colleges and universities attended.
Statement of purpose.
Current résumé or curriculum vitae (CV).
Two letters of recommendation.
Official TOEFL, IELTS, or Duolingo scores (for international students).",Not Required,True,True,,False,False,False,,,program,Master of Business Administration—Online,https://www.uopeople.edu/programs/online-masters/business-administration/,
Required,Required,"A bachelor's degree from an accredited institution.
A grade point average of at least 3.0 (on a 4.0 scale) in the last 60 semester units of undergraduate coursework.
Submission of a GMAT or GRE score is optional but recommended for applicants who do not meet the minimum GPA requirement.
Two letters of recommendation are required.
A statement of purpose.
A current resume.
Evidence of quantitative proficiency (at least one course in statistics or quantitative methods with a B or better).
International applicants may have additional requirements including evidence of English proficiency.",Not Required,False,True,False,True,False,False,,,program,Master of Science in Business Analytics,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQFc8_XEM_NhRak_cbIi2M4p90EM8B_ynJzCNkDwzSGtEk84A5DKdIAoxTyGZYIBTrkYDOLmjCEDzSlJ5U9EFkmafMjC2L3FhDoQ9C3D6O2jAbkFf8Scgo0wwnHJqxlSzd_10StFqng36KzUWbJCh66SDA3tkGi7uoVgjFW1qQ==,
,,,,,,,,,,,,error,Master of Science in Communication Sciences and Disorders,https://apps.asha.org/eweb/ashadynamicpage.aspx?efk=90285357-7782-4909-a9e9-e201011a8da9&efp=221&site=ashacms&webcode=edfinddetail,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
,,"In addition to the University's graduate admission requirements, applicants must meet the following program requirements:

1. An undergraduate degree in computer science or a closely related field.
2. A grade point average of at least 3.0 in the last 60 units of your undergraduate degree.
3. Proficiency in the subject matter of the following Chico computer science courses:
    * CSCI 211 Programming and Algorithms II (or equivalent)
    * CSCI 311 Algorithm Analysis and Design (or equivalent)
    * CSCI 340 Computer Architecture and Organization (or equivalent)
    * CSCI 430 Formal Languages and Automata (or equivalent)
    * MATH 120 Analytic Geometry and Calculus I (or equivalent)
    * MATH 260 Elementary Differential Equations (or equivalent)
    * Either MATH 217 Statistics for Science and Engineering (or equivalent) or MATH 317 Probability and Statistics (or equivalent)

Applicants who are deficient in any of the areas listed above may be admitted conditionally. Conditionally admitted students must complete deficiency courses (or their equivalents) with a grade of B or higher. The deficiency courses will not be a part of the master's program. You must fulfill all deficiency requirements before you can be advanced to candidacy. You have two semesters to finish the required deficiency courses. You may request an extension for one additional semester with a specific plan for completion approved by the graduate coordinator. You are not eligible to serve as a teaching associate until all deficiencies are removed.",,True,False,False,True,False,False,,,program,Master of Science in Computer Science,https://catalog.csuchico.edu/colleges-departments/college-engineering-computer-science-construction-management/computer-science/computer-science-ms/,
Required,Required,"Completion of a four-year bachelor's degree from an accredited U.S. institution or an equivalent international institution.
Good academic standing at the last college or university attended.
A grade point average of at least 2.75 in the last 60 units of bachelor's work, or a 3.0 in a completed master's degree.
A major in computer science or a related discipline.
A grade point average of at least 3.0 in the last 45 units of computer science and mathematics coursework.",Not Required,True,False,False,True,False,False,,,program,Master of Science in Computer Science—Online,https://www.csuchico.edu/graduatestudies/programs/,
,,,,,,,,,,,,error,Master of Science in Data Science and Analytics,https://catalog.csuchico.edu/colleges-departments/college-natural-sciences/mathematics/data-science-analytics-ms/,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
,,,,,,,,,,,,error,Master of Science in Earth and Environmental Science,https://www.csuchico.edu/graduatestudies/programs/,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
,Not Required,"In addition to the general requirements of the university, specific requirements for admission to classified graduate status are: A baccalaureate degree from an accredited institution with a grade point average of at least 3.0 in the last 60 units attempted. Two letters of recommendation from faculty or other professionals who can speak to the applicant's potential for success in a graduate program. Submission of a writing sample that demonstrates graduate-level writing skills and the ability to articulate a clear purpose for pursuing the master's degree.",Required,True,False,True,False,False,False,,,program,Master of Arts in Education,https://www.csuchico.edu/graduatestudies/programs/,
