Concentration name,description,program website url,Accreditation status,Level,Program name,Program Page url,error
,"The Master of Science in Agricultural Education is designed for agricultural specialists in schools, community colleges, university extension, and industry who wish to continue their professional development. The program is specifically designed to provide graduate-level education for individuals who are preparing for or who are currently employed in positions in agricultural education. This degree provides students with the flexibility to design a program to meet their individual career goals in formal and non-formal agricultural education. Students can pursue a thesis or a professional paper as a culminating activity for the program.",https://www.csuchico.edu/ag/programs/ms-ag-ed/index.shtml,,Master of Science,Master of Science in Agricultural Education,https://www.csuchico.edu/graduatestudies/programs/,
,"The Master of Arts program in anthropology provides students with a broad-based background in the discipline of anthropology that combines a holistic four-field approach with a specific focus on the practice of anthropology. Students receive training in archaeological and cultural resource management, forensics, and museum studies, and graduate with the ability to both practice anthropology and to teach. We also provide a sound basis for students planning to continue to a PhD program.

The program is designed to provide a graduate-level curriculum within a four-field approach for a limited number of students in a small university environment. It will serve those students who are going on to PhD programs as well as those who are pursuing careers where a master's degree is the terminal degree. Emphasis is placed on one-on-one student/faculty interaction.",https://www.csuchico.edu/anth/programs/graduate/index.shtml,,Master of Arts,Master of Arts in Anthropology,https://www.csuchico.edu/graduatestudies/programs/,
,"The Master of Arts in Art History is a two-year course of study designed to provide a broad historical and theoretical understanding of the visual arts. The curriculum includes an introduction to research methods and historiography, as well as seminars on a variety of topics. Students work closely with art history faculty in their areas of specialization. The degree culminates in a major research paper that constitutes the master’s thesis. The MA program in Art History prepares students for a variety of art-related jobs as well as for admission to PhD programs in Art History.",https://www.csuchico.edu/art/programs/graduate/index.shtml,,MA,Master of Arts in Art and Art History,https://www.csuchico.edu/graduatestudies/programs/,
,"The master of science degree in biological sciences is designed to provide advanced study in biology for students who plan to pursue a career in biological research, teaching, or related applied fields. The program prepares students for continued study at the doctoral level. The degree program is tailored to the individual student’s interest. Students work closely with a faculty advisory committee of their choice to develop an individualized course of study. Students select one of two plans for the MS degree. Plan A (thesis) students conduct original biological research, and Plan B (professional paper) students conduct a comprehensive literature review on a biological topic. Close association with the faculty is a major strength of the program. Students may conduct research in faculty labs or in the field at the Big Chico Creek Ecological Reserve or other university facilities. Opportunities for research are available in areas of ecology, evolution, cellular, molecular, and organismal biology.",https://www.csuchico.edu/biol/programs/graduate/ms-biological-sciences.shtml,,Master of Science,Master of Science in Biological Sciences,https://www.csuchico.edu/graduatestudies/programs/,
"['General MBA Option', 'MBA Option in Enterprise Information Systems', 'MBA Option in Project Management']","The Chico State MBA program is designed for students with any undergraduate background. We provide a high-quality MBA education that is accessible and affordable. Our program is perfect for both working professionals and recent graduates. Students can take classes at their own pace, either part time or full time. The on-campus program can be completed in as little as 16 months, while the online program can be completed in as little as 24 months. We offer three MBA program options: a general MBA, an option in enterprise information systems, and an option in project management. The MBA program is taught by our dedicated faculty who are renowned teachers, researchers, and community partners. Students enjoy small class sizes and numerous opportunities to work on hands-on consulting projects.",https://www.csuchico.edu/academics/college/business/departments/mba/mba.shtml,"The College of Business is accredited by the Association to Advance Collegiate Schools of Business (AACSB). This is the highest standard of achievement for business schools, and it is a distinction earned by only five percent of the business schools worldwide.",,Master of Business Administration,https://www.csuchico.edu/academics/college/business/departments/mba/mba.shtml,
,,,,,Master of Business Administration—Online,https://www.uopeople.edu/programs/online-masters/business-administration/,Failed to parse JSON response
,"The Master of Science in Business Analytics (MS-BANA) is a STEM-designated degree program that prepares students with the essential skills to become successful business analysts in the new data-driven economy. Graduates will gain expertise in data management, statistical analysis, data mining, and machine learning, and they will be able to apply these skills to solve real-world business problems. Our program provides a solid foundation for careers in a variety of industries, including marketing, finance, accounting, supply chain management, and healthcare. This is a 30-unit program delivered in a cohort model consisting of ten 3-unit courses. It is designed to be completed in one year and classes are scheduled to accommodate working professionals. The MS in Business Analytics program is offered fully in-person. The GMAT/GRE is not required for admission.",https://www.csuchico.edu/cob/programs/grad/ms-bana.shtml,The College of Business is proud to be accredited by the Association to Advance Collegiate Schools of Business (AACSB International) for both its business and accounting programs.,Masters,Master of Science in Business Analytics,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQFc8_XEM_NhRak_cbIi2M4p90EM8B_ynJzCNkDwzSGtEk84A5DKdIAoxTyGZYIBTrkYDOLmjCEDzSlJ5U9EFkmafMjC2L3FhDoQ9C3D6O2jAbkFf8Scgo0wwnHJqxlSzd_10StFqng36KzUWbJCh66SDA3tkGi7uoVgjFW1qQ==,
,"The graduate program in Communication Sciences and Disorders at California State University, Chico provides students with a rich academic and clinical experience in preparation for a career as a speech-language pathologist. The graduate curriculum is designed to be rigorous and comprehensive, challenging students to achieve their highest potential. Students who complete the master's degree meet the academic and clinical requirements for the Certificate of Clinical Competence in Speech-Language Pathology from the American Speech-Language-Hearing Association, the California state license in speech-language pathology, and the Speech-Language Pathology Services Credential from the California Commission on Teacher Credentialing.",https://www.csuchico.edu/cmsd/programs/graduate/index.shtml,"The Master of Science program in speech-language pathology at California State University, Chico is accredited by the Council on Academic Accreditation in Audiology and Speech-Language Pathology (CAA) of the American Speech-Language-Hearing Association, 2200 Research Boulevard #310, Rockville, Maryland 20850, 800-498-2071 or 301-296-5700.",Master's,Master of Science in Communication Sciences and Disorders,https://apps.asha.org/eweb/ashadynamicpage.aspx?efk=90285357-7782-4909-a9e9-e201011a8da9&efp=221&site=ashacms&webcode=edfinddetail,
,"The Master of Science in computer science offers a high-quality, broad-based education in computer science. It provides students with the knowledge and skills necessary for employment in the computing industry and for further study in a doctoral program. The core of the program focuses on fundamental concepts in computer science, and students can pursue specialized topics by selecting electives and a culminating activity. The MS in computer science program is open to students who have a bachelor's degree in computer science or a related discipline.",https://catalog.csuchico.edu/colleges-departments/college-engineering-computer-science-construction-management/computer-science/computer-science-ms/,,Master of Science,Master of Science in Computer Science,https://catalog.csuchico.edu/colleges-departments/college-engineering-computer-science-construction-management/computer-science/computer-science-ms/,
,"The Master of Science in Computer Science online degree completion program provides a comprehensive professional education in computer science to prepare students for a career in the dynamic field of computing or for advanced study. The program blends theoretical foundations of computer science with the state-of-the-art in software development. Students will gain experience with current technologies and tools and learn how to apply them to solve real-world problems. They will also learn how to communicate their solutions and ideas effectively to their peers, customers, and supervisors. The program is specifically designed to accommodate students with diverse academic backgrounds. A set of preparatory courses is offered to provide students with the prerequisite knowledge needed for the master’s-level coursework.",https://www.csuchico.edu/csci/programs/ms-computer-science-online/index.shtml,,Master of Science,Master of Science in Computer Science—Online,https://www.csuchico.edu/graduatestudies/programs/,
,"The Master of Science in Data Science and Analytics is a fully online program that provides students with the advanced knowledge and skills necessary to be leaders in data science and analytics. The curriculum consists of advanced coursework in data science and analytics, and an applied culminating experience through which students will demonstrate mastery of the program learning outcomes. Students completing the program will be well prepared to enter into or advance in a diverse range of professions that use data to drive decisions.",https://catalog.csuchico.edu/colleges-departments/college-natural-sciences/mathematics/data-science-analytics-ms/,,Master of Science,Master of Science in Data Science and Analytics,https://catalog.csuchico.edu/colleges-departments/college-natural-sciences/mathematics/data-science-analytics-ms/,
"['Environmental Science', 'Hydrology', 'Physical and Environmental Geology']","The Master of Science in Earth and Environmental Science provides students with advanced training in earth and environmental sciences to prepare them for careers with government agencies and private consulting, or for continued academic work toward a PhD. Students focus on one of three concentrations: Environmental Science, Hydrology, or Physical and Environmental Geology. Students in the program work closely with faculty mentors on a variety of field- and laboratory-based research projects related to their interests. The program is committed to a field-based curriculum and a hands-on learning environment. Students gain a wide range of analytical experience in our laboratory facilities. Many graduate students receive support through teaching assistantships or grants.",https://www.csuchico.edu/geos/programs/ms-environmental-science.shtml,,Master's,Master of Science in Earth and Environmental Science,https://www.csuchico.edu/graduatestudies/programs/,
"Curriculum & Instruction, Educational Leadership & Administration","The Master of Arts in Education program at Chico State is designed to deepen your understanding of contemporary educational issues. The curriculum centers on developing skills in educational research, curriculum theory and development, and the application of learning theory. Courses examine education through a variety of perspectives—historical, political, philosophical, social, and cultural. This program is ideal for educators who want to enhance their practice, advance on the salary schedule, pursue leadership opportunities, and prepare for doctoral studies. Students complete 30 units of study, concluding with an oral defense of a thesis, project, or comprehensive exam.",https://www.csuchico.edu/soe/programs/masters/index.shtml,The School of Education at Chico State is accredited by the California Commission on Teacher Credentialing (CTC). All programs in the College of Communication and Education are accredited by the Western Association of Schools and Colleges (WASC).,Master of Arts,Master of Arts in Education,https://www.csuchico.edu/graduatestudies/programs/,
