Program name,Program Page url
Master of Science in Agricultural Education,https://www.csuchico.edu/graduatestudies/programs/
Master of Arts in Anthropology,https://www.csuchico.edu/graduatestudies/programs/
Master of Arts in Art and Art History,https://www.csuchico.edu/graduatestudies/programs/
Master of Science in Biological Sciences,https://www.csuchico.edu/graduatestudies/programs/
Master of Business Administration,https://www.csuchico.edu/academics/college/business/departments/mba/mba.shtml
Master of Business Administration—Online,https://www.uopeople.edu/programs/online-masters/business-administration/
Master of Science in Business Analytics,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQFc8_XEM_NhRak_cbIi2M4p90EM8B_ynJzCNkDwzSGtEk84A5DKdIAoxTyGZYIBTrkYDOLmjCEDzSlJ5U9EFkmafMjC2L3FhDoQ9C3D6O2jAbkFf8Scgo0wwnHJqxlSzd_10StFqng36KzUWbJCh66SDA3tkGi7uoVgjFW1qQ==
Master of Science in Communication Sciences and Disorders,https://apps.asha.org/eweb/ashadynamicpage.aspx?efk=90285357-7782-4909-a9e9-e201011a8da9&efp=221&site=ashacms&webcode=edfinddetail
Master of Science in Computer Science,https://catalog.csuchico.edu/colleges-departments/college-engineering-computer-science-construction-management/computer-science/computer-science-ms/
Master of Science in Computer Science—Online,https://www.csuchico.edu/graduatestudies/programs/
Master of Science in Data Science and Analytics,https://catalog.csuchico.edu/colleges-departments/college-natural-sciences/mathematics/data-science-analytics-ms/
Master of Science in Earth and Environmental Science,https://www.csuchico.edu/graduatestudies/programs/
Master of Arts in Education,https://www.csuchico.edu/graduatestudies/programs/
Certificate in Educational Technology and Distance Learning,https://catalog.csuchico.edu/colleges-departments/college-communication-education/education/educational-technology-distance-learning/
Master of Science in Electrical and Computer Engineering,https://www.csuchico.edu/graduatestudies/programs/
Master of Arts in English,https://www.csuchico.edu/graduatestudies/programs/
Master of Arts in History,https://catalog.csuchico.edu/colleges-departments/college-humanities-fine-arts/history/history.pdf
Master of Arts/Master of Science in Interdisciplinary Studies,https://www.csuchico.edu/graduatestudies/prospective-students/programs/interdisciplinary.shtml
Master of Science in Kinesiology,https://catalog.csuchico.edu/colleges-departments/college-communication-education/kinesiology-exercise-physiology/kinesiology-exercise-physiology.pdf
Master of Arts in Language Teaching,https://www.csuchico.edu/graduatestudies/programs/
Master of Science in Mathematics,https://catalog.csuchico.edu/colleges-departments/college-natural-sciences/mathematics/mathematics-ms/
Master of Science in Nutritional Science,https://catalog.csuchico.edu/colleges-departments/college-natural-sciences/nutrition-food-science/nutritional-science-ms/nutritional-science-ms.pdf
Master of Arts in Political Science,https://catalog.csuchico.edu/colleges-departments/college-behavioral-social-sciences/political-science-criminal-justice/political-science-criminal-justice.pdf
Master of Arts in Psychology,https://www.csuchico.edu/graduatestudies/programs/
Master of Science in Psychology,https://www.csuchico.edu/academics/college/behavioral-social-sciences/departments/psychology/masters-programs/ms-marriage-family-therapy.shtml
Master of Public Administration,https://www.csuchico.edu/_assets/documents/office/bss/mpa-handout-25-26.pdf
Master of Science in Regenerative Agriculture Interdisciplinary Studies,https://www.csuchico.edu/graduatestudies/programs/
Master of Arts in Social Science,https://catalog.csuchico.edu/colleges-departments/college-behavioral-social-sciences/social-science/social-science-ma/
Master of Social Work,https://www.csuchico.edu/graduatestudies/programs/
Master of Science in Wildland Management Interdisciplinary Studies,https://www.csuchico.edu/graduatestudies/prospective-students/programs/wildland-management.shtml
Certificate in Land Use and Environmental Planning,https://www.csuchico.edu/graduatestudies/programs/
Certificate in Data Science,https://catalog.csuchico.edu/colleges-departments/college-natural-sciences/mathematics/data-science-certificate/
