Id,ProgramName,ProgramCode,Status,CreatedDate,UpdatedDate,Level,Term,TermCode,LiveDate,DeadlineDate,Resume,StatementOfPurpose,GreOrGmat,EnglishScore,Requirements,WritingSample,CollegeId,IsAnalyticalNotRequired,IsAnalyticalOptional,IsDuoLingoRequired,IsELSRequired,IsGMATOrGreRequired,IsGMATRequired,IsGreRequired,IsIELTSRequired,IsLSATRequired,IsMATRequired,IsMCATRequired,IsPTERequired,IsTOEFLIBRequired,IsTOEFLPBTRequired,IsEnglishNotRequired,IsEnglishOptional,AcademicYear,AlternateProgram,ApplicationType,Department,Fees,Fees,IsAvailable,ProgramType,AdmissionDepartmentId,CreatedBy,UpdatedBy,Concentration,Description,OtherConcentrations,ProgramWebsiteURL,Accredidation,AverageScholarshipAmount,CostPerCredit,IsRecommendationSystemOpted,IsStemProgram,MaxFails,MaxGPA,MinGPA,PreviousYearAcceptanceRates,QsWorldRanking,TotalAccepetedApplications,TotalCredits,TotalDeniedApplications,TotalI20sIssued,TotalScholarshipsAwarded,TotalSubmittedApplications,TotalVisasSecured,UsNewsRanking,CollegeApplicationFee,IsCollegePaying,MEContractNegotiatedFee,MyGradAppFee,ProgramCategory,IsCollegeApplicationFree,IsCouponAllowed,IsACTRequired,IsSATRequired,SftpDestinationId,MinimumACTScore,MinimumDuoLingoScore,MinimumELSScore,MinimumGMATScore,MinimumGreScore,MinimumIELTSScore,MinimumMATScore,MinimumMCATScore,MinimumPTEScore,MinimumSATScore,MinimumTOEFLScore,MLModelName,MinimumAnalyticalScore,MinimumEnglishScore,MinimumExperience,MinimumSopRating,WeightAnalytical,WeightEnglish,WeightExperience,WeightGPA,WeightSop,ScholarshipAmount,ScholarshipPercentage,ScholarshipType,IsNewlyLaunched,BatchId,IsImported,IsImportVerified,Is_Recommendation_Sponser,AnalyticalScore,MinimumLSATScore
,Master of Science in Agricultural Education,,,,,Graduate,Fall,,"October 1, 2025","May 1, 2026",,Required,Not Required,REQUIRED,"In addition to the University's graduate admission requirements, applicants to the Master of Science in agricultural education program must have:

1. A baccalaureate degree with a major in agricultural education or a related discipline from an accredited institution.
2. An undergraduate grade point average of at least 2.75 in the last 60 semester (90 quarter) units, or an overall undergraduate grade point average of at least 2.50.
3. Two letters of recommendation from individuals who can evaluate the applicant's potential for success in a graduate program.
4. A written statement of purpose describing the applicant's interest in the agricultural education program and his/her career goals.
5. A personal interview may be requested.",,,True,False,True,True,False,False,,True,False,False,False,True,True,True,False,False,,,,College of Agriculture,,"$9,348/Year",,,,,,,"The Master of Science in Agricultural Education is designed for agricultural specialists in schools, community colleges, university extension, and industry who wish to continue their professional development. The program is specifically designed to provide graduate-level education for individuals who are preparing for or who are currently employed in positions in agricultural education. This degree provides students with the flexibility to design a program to meet their individual career goals in formal and non-formal agricultural education. Students can pursue a thesis or a professional paper as a culminating activity for the program.",,https://www.csuchico.edu/graduatestudies/programs/,,,,,False,,4.0,3.0,,,,,,,,,,,,,,,,,,False,False,,,110,112.0,,,6.5,,,59,,80,,,,,,,,,,,,,"Merit-based, Need-based",,,,,,,
,Master of Arts in Anthropology,,,,,Graduate,Fall,,"October 1, 2025","June 1, 2026",Required,Required,Not Required,REQUIRED,"In addition to the University's graduate admission requirements, applicants must also meet the departmental admission requirements listed below.

- A BA degree in anthropology or 15 upper-division units in anthropology with a grade of B or higher. Students lacking this may be admitted conditionally and will be required to complete specified undergraduate coursework before advancement to candidacy.
- A minimum grade point average of 3.0 in the last 60 units of coursework.

Application for admission to the MA program in Anthropology must be made simultaneously to the Office of Graduate Studies and the Department of Anthropology. The following documents must be submitted directly to the department:
- A letter of intent/statement of purpose, of approximately 500 words, that describes your background in anthropology and your professional goals.
- An academic writing sample, preferably a research paper in anthropology or a related field.
- A current curriculum vitae (CV).
- Contact information for three references who can comment on your potential for success in a graduate program (the department will contact references directly for letters of recommendation).",Required,,True,False,True,True,False,False,,True,False,False,False,True,True,True,False,False,,,,College of Behavioral and Social Sciences,,"$4,197/Semester",,,,,,,"The Master of Arts program in anthropology provides students with a broad-based background in the discipline of anthropology that combines a holistic four-field approach with a specific focus on the practice of anthropology. Students receive training in archaeological and cultural resource management, forensics, and museum studies, and graduate with the ability to both practice anthropology and to teach. We also provide a sound basis for students planning to continue to a PhD program.

The program is designed to provide a graduate-level curriculum within a four-field approach for a limited number of students in a small university environment. It will serve those students who are going on to PhD programs as well as those who are pursuing careers where a master's degree is the terminal degree. Emphasis is placed on one-on-one student/faculty interaction.",,https://www.csuchico.edu/graduatestudies/programs/,,,,False,False,,4.0,3.0,,,,,,,,,,,,,,,,,,False,False,,,110,112.0,,,6.5,,,59,,80,,,,,,,,,,,,,"Merit-based, Need-based",,,,,,,
,Master of Arts in Art and Art History,,,,,Graduate,Fall,,"October 1, 2025","March 15, 2026",Required,Required,Not Required,REQUIRED,"In addition to the general requirements of the university, specific requirements for admission to classified graduate status are:
1. A baccalaureate degree with a major in art history with a minimum GPA of 3.0 in the last 60 units of undergraduate coursework and a minimum GPA of 3.3 in the art history major.
2. A baccalaureate degree with a major other than art history with a minimum GPA of 3.0 in the last 60 units of undergraduate coursework, and a minimum of 18 units of upper-division art history with a minimum GPA of 3.3. Students who have not completed the 18 units of upper-division art history coursework may be admitted conditionally. For conditional admission, the Graduate Coordinator, in consultation with the art history faculty, will prescribe a course of study which must be completed before the student is advanced to classified standing.
3. Submission of a written statement of purpose.
4. Three letters of recommendation.
5. A sample of the student's scholarly writing.
6. Approval by the department and the Office of Graduate Studies.",Required,,True,False,True,True,False,False,,True,False,False,False,True,True,True,False,False,,,,College of Humanities and Fine Arts,"$8,768/Year","$8,768/Year",,,,,,,"The Master of Arts in Art History is a two-year course of study designed to provide a broad historical and theoretical understanding of the visual arts. The curriculum includes an introduction to research methods and historiography, as well as seminars on a variety of topics. Students work closely with art history faculty in their areas of specialization. The degree culminates in a major research paper that constitutes the master’s thesis. The MA program in Art History prepares students for a variety of art-related jobs as well as for admission to PhD programs in Art History.",,https://www.csuchico.edu/graduatestudies/programs/,,,$396 per unit (for non-residents),False,False,,4.0,3.0,,,,,,,,,,,,,,,,,,False,False,,,110,112.0,,,6.5,,,59,,80,,,,,,,,,,,,,"Departmental, Merit-based",,,,,,,
,Master of Science in Biological Sciences,,,,,Graduate,Fall,,,,,,Not Required,REQUIRED,,,,,,True,True,False,False,,True,False,False,False,True,True,True,False,False,,,,College of Natural Sciences,8754,"$8,754/Year (for residents)",,,,,,,"The master of science degree in biological sciences is designed to provide advanced study in biology for students who plan to pursue a career in biological research, teaching, or related applied fields. The program prepares students for continued study at the doctoral level. The degree program is tailored to the individual student’s interest. Students work closely with a faculty advisory committee of their choice to develop an individualized course of study. Students select one of two plans for the MS degree. Plan A (thesis) students conduct original biological research, and Plan B (professional paper) students conduct a comprehensive literature review on a biological topic. Close association with the faculty is a major strength of the program. Students may conduct research in faculty labs or in the field at the Big Chico Creek Ecological Reserve or other university facilities. Opportunities for research are available in areas of ecology, evolution, cellular, molecular, and organismal biology.",,https://www.csuchico.edu/graduatestudies/programs/,,,,,,,4.0,3.0,,,,,,,,,,,,,,,,,,,,,,110,112.0,,,6.5,,,59,,80,,,,,,,,,,,,,"Merit-based, Need-based, Research-specific",,,,,,,
,Master of Business Administration,,,,,Graduate,"Fall, Spring",,,,Required,Required,Not Required,REQUIRED,"To be considered for admission to the Master of Business Administration program, an applicant must: Hold a bachelor’s degree from an accredited institution. Have attained a minimum grade point average (GPA) of 2.75 in the last 60 semester (90 quarter) units of undergraduate coursework, or an overall undergraduate GPA of 2.75. If a student has less than a 2.75 GPA, they can be considered for admission if they have a GPA of 3.0 in the last 60 semester (90 quarter) units. Be in good standing at the last institution attended. A minimum score of 550 on the paper-based GMAT, 213 on the computer-based GMAT, or 80 on the Internet-based GMAT. GRE scores may be substituted for GMAT scores. The GMAT/GRE requirement is waived for applicants with: A bachelor's degree from an AACSB-accredited business school with a GPA of 3.0 or higher in their last 60 units. A bachelor's degree from a regionally accredited institution with a GPA of 3.0 or higher in their last 60 units AND either three years of professional work experience OR a graduate degree (master's, doctoral, or professional) from a regionally accredited institution.",Not Required,,True,False,True,False,False,False,,True,False,False,False,True,True,False,False,False,,,,College of Business,"$19,725 (Total Estimated Program Cost for Residents)","$19,725 (Total Estimated Program Cost for Residents)",,,,,,"['General MBA Option', 'MBA Option in Enterprise Information Systems', 'MBA Option in Project Management']","The Chico State MBA program is designed for students with any undergraduate background. We provide a high-quality MBA education that is accessible and affordable. Our program is perfect for both working professionals and recent graduates. Students can take classes at their own pace, either part time or full time. The on-campus program can be completed in as little as 16 months, while the online program can be completed in as little as 24 months. We offer three MBA program options: a general MBA, an option in enterprise information systems, and an option in project management. The MBA program is taught by our dedicated faculty who are renowned teachers, researchers, and community partners. Students enjoy small class sizes and numerous opportunities to work on hands-on consulting projects.",,https://www.csuchico.edu/academics/college/business/departments/mba/mba.shtml,"The College of Business is accredited by the Association to Advance Collegiate Schools of Business (AACSB). This is the highest standard of achievement for business schools, and it is a distinction earned by only five percent of the business schools worldwide.",,$270 per unit (Professional Program Fee),False,False,,4.0,2.75,,,,,,,,,,,,,,,,,,False,False,,,110,,,,6.5,,,59,,80,,,,,,,,,,,,,"Merit-based, Need-based, Major-specific",,,,,,,
,Master of Business Administration—Online,,,,,Graduate,"Fall, Spring",,"October 1, 2025","June 1, 2026",Required,Required,Not Required,REQUIRED,"To be considered for admission to the Online MBA program, applicants must meet the general requirements for admission to graduate studies at California State University, Chico. In addition, applicants must possess:

A bachelor’s degree from an accredited institution.
A minimum cumulative GPA of 2.75.
A GMAT/GRE score is not required for admission. You may submit scores if you wish to have them considered with your application.

To apply, please submit the following:

A completed Cal State Apply application.
Official transcripts from all colleges and universities attended.
Statement of purpose.
Current résumé or curriculum vitae (CV).
Two letters of recommendation.
Official TOEFL, IELTS, or Duolingo scores (for international students).",Not Required,,True,True,True,False,False,False,,True,False,False,False,True,True,True,False,False,,,,College of Business,29250,29250,,,,,,,,,https://www.uopeople.edu/programs/online-masters/business-administration/,,,975,,False,,4.0,2.75,,,,,,,,,,,,,,,,,,False,False,,,110,,,,6.5,,,59,,80,,,,,,,,,,,,,Merit-based,,,,,,,
,Master of Science in Business Analytics,,,,,Graduate,Fall,,"October 1, 2025","June 1, 2026",Required,Required,Not Required,REQUIRED,"A bachelor's degree from an accredited institution.
A grade point average of at least 3.0 (on a 4.0 scale) in the last 60 semester units of undergraduate coursework.
Submission of a GMAT or GRE score is optional but recommended for applicants who do not meet the minimum GPA requirement.
Two letters of recommendation are required.
A statement of purpose.
A current resume.
Evidence of quantitative proficiency (at least one course in statistics or quantitative methods with a B or better).
International applicants may have additional requirements including evidence of English proficiency.",Not Required,,False,True,True,True,False,False,,True,False,False,False,True,True,False,False,False,,,,College of Business,"$9,270/Year","$9,270/Year",,,,,,,"The Master of Science in Business Analytics (MS-BANA) is a STEM-designated degree program that prepares students with the essential skills to become successful business analysts in the new data-driven economy. Graduates will gain expertise in data management, statistical analysis, data mining, and machine learning, and they will be able to apply these skills to solve real-world business problems. Our program provides a solid foundation for careers in a variety of industries, including marketing, finance, accounting, supply chain management, and healthcare. This is a 30-unit program delivered in a cohort model consisting of ten 3-unit courses. It is designed to be completed in one year and classes are scheduled to accommodate working professionals. The MS in Business Analytics program is offered fully in-person. The GMAT/GRE is not required for admission.",,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQFc8_XEM_NhRak_cbIi2M4p90EM8B_ynJzCNkDwzSGtEk84A5DKdIAoxTyGZYIBTrkYDOLmjCEDzSlJ5U9EFkmafMjC2L3FhDoQ9C3D6O2jAbkFf8Scgo0wwnHJqxlSzd_10StFqng36KzUWbJCh66SDA3tkGi7uoVgjFW1qQ==,The College of Business is proud to be accredited by the Association to Advance Collegiate Schools of Business (AACSB International) for both its business and accounting programs.,,,False,True,,4.0,2.75,,,,,,,,,,,,,,,,,,False,False,,,115,112.0,,,6.5,,,59,,80,,,,,,,,,,,,,Merit-based,,,,,,,
,Master of Science in Communication Sciences and Disorders,,,,,Graduate,Fall,,"October 1, 2025","January 15, 2026",,,Not Required,REQUIRED,,,,,,True,False,False,False,,True,False,False,False,True,True,False,False,False,,,,College of Communication and Education,"$5,262/Semester","$5,262/Semester",,,,,,,"The graduate program in Communication Sciences and Disorders at California State University, Chico provides students with a rich academic and clinical experience in preparation for a career as a speech-language pathologist. The graduate curriculum is designed to be rigorous and comprehensive, challenging students to achieve their highest potential. Students who complete the master's degree meet the academic and clinical requirements for the Certificate of Clinical Competence in Speech-Language Pathology from the American Speech-Language-Hearing Association, the California state license in speech-language pathology, and the Speech-Language Pathology Services Credential from the California Commission on Teacher Credentialing.",,https://apps.asha.org/eweb/ashadynamicpage.aspx?efk=90285357-7782-4909-a9e9-e201011a8da9&efp=221&site=ashacms&webcode=edfinddetail,"The Master of Science program in speech-language pathology at California State University, Chico is accredited by the Council on Academic Accreditation in Audiology and Speech-Language Pathology (CAA) of the American Speech-Language-Hearing Association, 2200 Research Boulevard #310, Rockville, Maryland 20850, 800-498-2071 or 301-296-5700.",,,,,,4.0,3.0,,,,,,,,,,,,,,,,,,,,,,110,,,,6.5,,,59,,80,,,,,,,,,,,,,"Merit-based, Need-based, Assistantships",,,,,,,
,Master of Science in Computer Science,,,,,Graduate,Fall,,"October 1, 2025","January 15, 2026",,,GRE,REQUIRED,"In addition to the University's graduate admission requirements, applicants must meet the following program requirements:

1. An undergraduate degree in computer science or a closely related field.
2. A grade point average of at least 3.0 in the last 60 units of your undergraduate degree.
3. Proficiency in the subject matter of the following Chico computer science courses:
    * CSCI 211 Programming and Algorithms II (or equivalent)
    * CSCI 311 Algorithm Analysis and Design (or equivalent)
    * CSCI 340 Computer Architecture and Organization (or equivalent)
    * CSCI 430 Formal Languages and Automata (or equivalent)
    * MATH 120 Analytic Geometry and Calculus I (or equivalent)
    * MATH 260 Elementary Differential Equations (or equivalent)
    * Either MATH 217 Statistics for Science and Engineering (or equivalent) or MATH 317 Probability and Statistics (or equivalent)

Applicants who are deficient in any of the areas listed above may be admitted conditionally. Conditionally admitted students must complete deficiency courses (or their equivalents) with a grade of B or higher. The deficiency courses will not be a part of the master's program. You must fulfill all deficiency requirements before you can be advanced to candidacy. You have two semesters to finish the required deficiency courses. You may request an extension for one additional semester with a specific plan for completion approved by the graduate coordinator. You are not eligible to serve as a teaching associate until all deficiencies are removed.",,,True,False,True,False,True,False,,True,False,False,False,True,True,False,False,False,,,,"College of Engineering, Computer Science, and Construction Management",9578,9578,,,,,,,"The Master of Science in computer science offers a high-quality, broad-based education in computer science. It provides students with the knowledge and skills necessary for employment in the computing industry and for further study in a doctoral program. The core of the program focuses on fundamental concepts in computer science, and students can pursue specialized topics by selecting electives and a culminating activity. The MS in computer science program is open to students who have a bachelor's degree in computer science or a related discipline.",,https://catalog.csuchico.edu/colleges-departments/college-engineering-computer-science-construction-management/computer-science/computer-science-ms/,,,396,False,True,,4.0,3.0,,,,,,,,,,,,,,,,,,False,False,,,110,,,,6.5,,,59,,80,,,,,,,,,,,"$2,100 - $5,000",,"Merit-based, Need-based, and for specific demographics (e.g., women and underrepresented minorities in STEM)",,,,,,,
,Master of Science in Computer Science—Online,,,,,Graduate,Fall,,"October 1, 2025","June 1, 2026",Required,Required,Not Required,REQUIRED,"Completion of a four-year bachelor's degree from an accredited U.S. institution or an equivalent international institution.
Good academic standing at the last college or university attended.
A grade point average of at least 2.75 in the last 60 units of bachelor's work, or a 3.0 in a completed master's degree.
A major in computer science or a related discipline.
A grade point average of at least 3.0 in the last 45 units of computer science and mathematics coursework.",Not Required,,True,False,True,True,False,False,,True,False,False,False,True,True,True,False,False,,,,"College of Engineering, Computer Science, and Construction Management","$12,000/Year",24000,,,,,,,"The Master of Science in Computer Science online degree completion program provides a comprehensive professional education in computer science to prepare students for a career in the dynamic field of computing or for advanced study. The program blends theoretical foundations of computer science with the state-of-the-art in software development. Students will gain experience with current technologies and tools and learn how to apply them to solve real-world problems. They will also learn how to communicate their solutions and ideas effectively to their peers, customers, and supervisors. The program is specifically designed to accommodate students with diverse academic backgrounds. A set of preparatory courses is offered to provide students with the prerequisite knowledge needed for the master’s-level coursework.",,https://www.csuchico.edu/graduatestudies/programs/,,,$800 per unit,False,True,,4.0,3.0,,,,,,,,,,,,,,,,,,False,False,,,110,112.0,,,6.5,,,59,,80,,,,,,,,,,,,,"Departmental Scholarships, Graduate Assistantships",,,,,,,
