QsWorldRanking,School,MaxFails,MaxGPA,MinGPA,PreviousYearAcceptanceRates,Term,LiveDate,DeadlineDate,Fees,AverageScholarshipAmount,CostPerCredit,ScholarshipAmount,ScholarshipPercentage,ScholarshipType,Program duration,Tuition fee,Program name,Program Page url
,College of Agriculture,,4.0,3.0,,Fall,"October 1, 2025","May 1, 2026",,,,,,"Merit-based, Need-based",2 to 3 years,"$9,348/Year",Master of Science in Agricultural Education,https://www.csuchico.edu/graduatestudies/programs/
,College of Behavioral and Social Sciences,,4.0,3.0,,Fall,"October 1, 2025","June 1, 2026",,,,,,"Merit-based, Need-based",2 years,"$4,197/Semester",Master of Arts in Anthropology,https://www.csuchico.edu/graduatestudies/programs/
,College of Humanities and Fine Arts,,4.0,3.0,,Fall,"October 1, 2025","March 15, 2026","$8,768/Year",,$396 per unit (for non-residents),,,"Departmental, Merit-based",2 years,"$8,768/Year",Master of Arts in Art and Art History,https://www.csuchico.edu/graduatestudies/programs/
,College of Natural Sciences,,4.0,3.0,,Fall,,,8754,,,,,"Merit-based, Need-based, Research-specific",2 years,"$8,754/Year (for residents)",Master of Science in Biological Sciences,https://www.csuchico.edu/graduatestudies/programs/
,College of Business,,4.0,2.75,,"Fall, Spring",,,"$19,725 (Total Estimated Program Cost for Residents)",,$270 per unit (Professional Program Fee),,,"Merit-based, Need-based, Major-specific",As little as one year (online) up to two years (on-campus),"$19,725 (Total Estimated Program Cost for Residents)",Master of Business Administration,https://www.csuchico.edu/academics/college/business/departments/mba/mba.shtml
,College of Business,,4.0,2.75,,"Fall, Spring","October 1, 2025","June 1, 2026",29250,,975,,,Merit-based,"As little as one year, up to five years",29250,Master of Business Administration—Online,https://www.uopeople.edu/programs/online-masters/business-administration/
,College of Business,,4.0,2.75,,Fall,"October 1, 2025","June 1, 2026","$9,270/Year",,,,,Merit-based,Two Years,"$9,270/Year",Master of Science in Business Analytics,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQFc8_XEM_NhRak_cbIi2M4p90EM8B_ynJzCNkDwzSGtEk84A5DKdIAoxTyGZYIBTrkYDOLmjCEDzSlJ5U9EFkmafMjC2L3FhDoQ9C3D6O2jAbkFf8Scgo0wwnHJqxlSzd_10StFqng36KzUWbJCh66SDA3tkGi7uoVgjFW1qQ==
,College of Communication and Education,,4.0,3.0,,Fall,"October 1, 2025","January 15, 2026","$5,262/Semester",,,,,"Merit-based, Need-based, Assistantships",2 years,"$5,262/Semester",Master of Science in Communication Sciences and Disorders,https://apps.asha.org/eweb/ashadynamicpage.aspx?efk=90285357-7782-4909-a9e9-e201011a8da9&efp=221&site=ashacms&webcode=edfinddetail
,"College of Engineering, Computer Science, and Construction Management",,4.0,3.0,,Fall,"October 1, 2025","January 15, 2026",9578,,396,"$2,100 - $5,000",,"Merit-based, Need-based, and for specific demographics (e.g., women and underrepresented minorities in STEM)",30 units,9578,Master of Science in Computer Science,https://catalog.csuchico.edu/colleges-departments/college-engineering-computer-science-construction-management/computer-science/computer-science-ms/
,"College of Engineering, Computer Science, and Construction Management",,4.0,3.0,,Fall,"October 1, 2025","June 1, 2026","$12,000/Year",,$800 per unit,,,"Departmental Scholarships, Graduate Assistantships",2 years,24000,Master of Science in Computer Science—Online,https://www.csuchico.edu/graduatestudies/programs/
,College of Natural Sciences,,4.0,3.0,,Fall,,,11600,,,,,"Merit-based, Need-based, Leadership, Community service, Major-specific",2 years (30 units),"$11,600/Year",Master of Science in Data Science and Analytics,https://catalog.csuchico.edu/colleges-departments/college-natural-sciences/mathematics/data-science-analytics-ms/
,College of Natural Sciences,,4.0,3.0,,Fall,,,9122,,,"$500 to $5,000+",,"Merit-based, Departmental",2 years,,Master of Science in Earth and Environmental Science,https://www.csuchico.edu/graduatestudies/programs/
,School of Education,,4.0,3.0,,Fall,,,10624,,$396 per unit (non-resident),,,Departmental scholarships,2 years,"$10,624/Year",Master of Arts in Education,https://www.csuchico.edu/graduatestudies/programs/
,College of Communication and Education,,4.0,3.0,,"Fall, Spring",,,,,,,,"Merit-based, Need-based",12 units,"$4,631 per semester",Certificate in Educational Technology and Distance Learning,https://catalog.csuchico.edu/colleges-departments/college-communication-education/education/educational-technology-distance-learning/
,"College of Engineering, Computer Science, and Construction Management",,4.0,3.0,,"Fall, Spring","October 1, 2025",,"$8,751/Year (Full-time, Resident)",,$396 per unit (Non-Resident tuition),,,"Merit-based, Need-based",2 years,,Master of Science in Electrical and Computer Engineering,https://www.csuchico.edu/graduatestudies/programs/
,College of Humanities & Fine Arts,2.0,4.0,3.0,,Fall,"October 1, 2025","January 15, 2026",9164,,,"$500 to $2,500",,"Need-based, Merit-based",2 years,"$9,164 per year for California residents",Master of Arts in English,https://www.csuchico.edu/graduatestudies/programs/
,College of Humanities and Fine Arts,,4.0,3.0,,"Fall, Spring",October 1,June 1,11244,,,,,"Merit-based, Need-based",2 years,"$11,244/Year",Master of Arts in History,https://catalog.csuchico.edu/colleges-departments/college-humanities-fine-arts/history/history.pdf
,Office of Graduate Studies,,4.0,3.0,,"Fall, Spring","October 1, 2025","June 1, 2026",,,,,,"Academic achievement, financial need, and community service",30 units,"$2,871.00/Semester (0-6.0 units), $4,378.50/Semester (6.1+ units)",Master of Arts/Master of Science in Interdisciplinary Studies,https://www.csuchico.edu/graduatestudies/prospective-students/programs/interdisciplinary.shtml
,College of Communication and Education,,4.0,3.0,,Fall,,,"$4,582/Semester",,,250,,"Merit-based, Department-specific",30 units,"$3,588/Semester",Master of Science in Kinesiology,https://catalog.csuchico.edu/colleges-departments/college-communication-education/kinesiology-exercise-physiology/kinesiology-exercise-physiology.pdf
,College of Humanities & Fine Arts,,4.0,3.0,,Fall,"October 1, 2025","February 15, 2026","$4,377/Semester",,,,,"Merit-based, Need-based",2 years,"$4,377/Semester",Master of Arts in Language Teaching,https://www.csuchico.edu/graduatestudies/programs/
,College of Natural Sciences,,4.0,3.0,,"Fall, Spring",,,"$8,522/Year (CA Resident)",,"$396 per unit (for non-residents, in addition to base tuition)","Amounts range from $1,000 to $2,000 for various departmental scholarships.",,Merit-based,2 years,"$8,522/Year (CA Resident)",Master of Science in Mathematics,https://catalog.csuchico.edu/colleges-departments/college-natural-sciences/mathematics/mathematics-ms/
,College of Natural Sciences,,4.0,3.0,,Fall,,,9260/Year,,,,,"Merit-based, Need-based",2 years,9260/Year,Master of Science in Nutritional Science,https://catalog.csuchico.edu/colleges-departments/college-natural-sciences/nutrition-food-science/nutritional-science-ms/nutritional-science-ms.pdf
,College of Behavioral and Social Sciences,,4.0,3.0,,"Fall, Spring",,,,,,,,Merit-based,2 years,"$9,384/Year",Master of Arts in Political Science,https://catalog.csuchico.edu/colleges-departments/college-behavioral-social-sciences/political-science-criminal-justice/political-science-criminal-justice.pdf
,College of Behavioral and Social Sciences,,4.0,3.0,,Fall,"October 1, 2025","February 1, 2026",9278,,,,,"Merit-based, Need-based, Teaching Assistantships",2 years,9278,Master of Arts in Psychology,https://www.csuchico.edu/graduatestudies/programs/
,College of Behavioral and Social Sciences,2.0,4.0,3.0,,Fall,,,"$4,642/Semester",,,"$500 - $1,500",,"Merit-based, Need-based, Community Service",two years,"$4,642/Semester",Master of Science in Psychology,https://www.csuchico.edu/academics/college/behavioral-social-sciences/departments/psychology/masters-programs/ms-marriage-family-therapy.shtml
,College of Behavioral and Social Sciences,,4.0,3.0,,Fall,"October 1, 2025","June 1, 2026",9380,,,"$500 to $2,000",,"Merit-based, Need-based",2 years,"$9,380/Year",Master of Public Administration,https://www.csuchico.edu/_assets/documents/office/bss/mpa-handout-25-26.pdf
,College of Agriculture,,4.0,3.0,,Fall,"October 1, 2025","May 15, 2026",9348,,396,,,"Wildcat Scholarships, External Scholarships",Two years,"$9,348/Year",Master of Science in Regenerative Agriculture Interdisciplinary Studies,https://www.csuchico.edu/graduatestudies/programs/
,College of Behavioral and Social Sciences,,4.0,3.0,,Fall,October 1,April 15,10950,,,"Up to $4,000",,"Merit-based, Need-based, Research-based",2 years,10950,Master of Arts in Social Science,https://catalog.csuchico.edu/colleges-departments/college-behavioral-social-sciences/social-science/social-science-ma/
,"School of Social Work, College of Behavioral and Social Sciences",,4.0,3.0,,Fall,"October 1, 2025","December 15, 2025",8490/Year,,,,,"Departmental, Merit-based","1, 2, or 3 years depending on the program track (Advanced Standing, Two-Year, or Three-Year)",8490/Year,Master of Social Work,https://www.csuchico.edu/graduatestudies/programs/
,College of Agriculture,,4.0,3.0,,Fall,"October 1, 2025","June 1, 2026","$8,006/Semester or $16,012/Year",,,,,"Merit-based, financial need, leadership, and community service",2 years,"$8,006/Semester or $16,012/Year",Master of Science in Wildland Management Interdisciplinary Studies,https://www.csuchico.edu/graduatestudies/prospective-students/programs/wildland-management.shtml
,College of Behavioral and Social Sciences,,4.0,3.0,,"Fall, Spring","October 1, 2025",,"$4,773/Semester",,,,,"Merit-based, Need-based, Major-specific",15 units,"$4,773/Semester",Certificate in Land Use and Environmental Planning,https://www.csuchico.edu/graduatestudies/programs/
