Program name,Program Page url
Master of Accountancy in Accountancy and Data Analytics,https://degrees.apps.asu.edu/masters-phd?init=false&nopassive=true
PhD in Accountancy,https://degrees.apps.asu.edu/masters-phd?init=false&nopassive=true
"Graduate Certificate in AI, Analytics and FinTech Innovation",https://degrees.apps.asu.edu/masters-phd?init=false&nopassive=true
Graduate Certificate in Applied Behavior Analysis,https://degrees.apps.asu.edu/masters-phd?init=false&nopassive=true
Master of Science in Artificial Intelligence Engineering (Computing Sciences),https://www.emerald.com/bij/article/32/6/2330/1252566/Process-supply-chain-integration-construct
PhD in Artificial Intelligence,https://www.csulb.edu/sites/default/files/2024/documents/2023_Joint%20PhD%20Handbook.pdf
Graduate Certificate in Assessment of Integrative Health Modalities,https://degrees.apps.asu.edu/masters-phd/major/ASU00/PPSWGGRCH/assessment-of-integrative-health-modalities-graduate-certificate?init=false&nopassive=true
Master of Science in Biomimicry,https://degrees.apps.asu.edu/masters-phd?init=false&nopassive=true
Master of Science in Biomedical Diagnostics,https://graduation.asu.edu/sites/g/files/litvpz3431/files/fall2014-all-pages-web-030515.pdf
Master of Science in Complex Systems Science,https://degrees.apps.asu.edu/masters-phd?init=false&nopassive=true
Master of Science in Computer Science,https://www.csulb.edu/college-of-engineering/master-of-science-computer-science
Master of Science in Computer Science (Cybersecurity),https://degrees.apps.asu.edu/masters-phd?init=false&nopassive=true
PhD in Computer Science,https://www.csulb.edu/college-of-engineering/undergraduate-programs-0
PhD in Computer Science (Cybersecurity),https://www.csulb.edu/college-of-engineering/computer-engineering-computer-science/page/dr-bo-fu
PhD in Counseling Psychology,https://degrees.apps.asu.edu/masters-phd?init=false&nopassive=true
Master of Education in Global Education,https://www.calstatela.edu/coe/degrees-and-credentials
Master of Science in Global Sustainability Science,https://www.csulb.edu/news/article/csulbs-first-sustainability-masters-grads-are-already-making-an-impact
Master of Science in Global Technology and Development,https://degrees.apps.asu.edu/masters-phd?init=false&nopassive=true
Master of Science in Global Technology and Development (Applied International Development),https://www.csulb.edu/college-of-liberal-arts/international-studies/dr-richard-marcus
Master of Science in Health Informatics,https://degrees.apps.asu.edu/masters-phd?init=false&nopassive=true
