QsWorldRanking,School,MaxFails,MaxGPA,MinGPA,PreviousYearAcceptanceRates,Term,LiveDate,DeadlineDate,Fees,AverageScholarshipAmount,CostPerCredit,ScholarshipAmount,ScholarshipPercentage,ScholarshipType,Program duration,Tuition fee,Program name,Program Page url
,College of Engineering,,4.0,3.0,,,,,,,,,,,3 semesters,,M.S. in Artificial Intelligence Engineering - Biomedical Engineering,http://coursecatalog.web.cmu.edu/degreesoffered/graduate-degrees/
,College of Engineering,,4.0,3.0,,Fall,,,"$28,500 per semester",,$792 per unit,,,,Minimum of 3 semesters,"$28,500 per semester",M.S. in Artificial Intelligence Engineering - Biomedical Engineering - Research,http://coursecatalog.web.cmu.edu/degreesoffered/graduate-degrees/
,College of Engineering,,4.0,3.0,,,,,"$28,380/Semester or $56,760/Year",,$789/unit,,,,Two to three semesters,"$28,380/Semester or $56,760/Year",M.S. in Biomedical Engineering,http://coursecatalog.web.cmu.edu/degreesoffered/graduate-degrees/
,College of Engineering,,4.0,3.0,,,,,,,,,,,three-semester,,M.S. in Biomedical Engineering - Applied Study,http://coursecatalog.web.cmu.edu/degreesoffered/graduate-degrees/
,College of Engineering,,4.0,3.0,,,,,27515/Semester,,765/unit,,,"research assistantships, fellowships",about two years,27515/Semester,M.S. in Biomedical Engineering - Research,http://coursecatalog.web.cmu.edu/degreesoffered/graduate-degrees/
,College of Engineering,,4.0,3.0,,,,,"$28,521/Semester",,$793/Unit,,,"Fellowships, Traineeships, Research Assistantships",1 year (2 semesters),"$28,521/Semester",M.S. in Computational Biomedical Engineering,http://coursecatalog.web.cmu.edu/degreesoffered/graduate-degrees/
,College of Engineering,,4.0,3.0,,,,,"$27,650 per semester",,$768 per unit,,,,Three semesters,"$27,650 per semester",M.S. in Computational Biomedical Engineering - Applied Study,http://coursecatalog.web.cmu.edu/degreesoffered/graduate-degrees/
,College of Engineering,,4.0,3.0,,Fall,,,"$56,060/Year",,"$2,340/unit",,,Partial tuition scholarship,2 years,"$56,060/Year",M.S. in Computational Biomedical Engineering - Research,http://coursecatalog.web.cmu.edu/degreesoffered/graduate-degrees/
,College of Engineering,,4.0,3.0,,Fall,,,"$26,500/Semester",,$552/Unit,,,"Fellowship, Graduate Research Assistantship",4 to 5 years,"$26,500/Semester",Ph.D. in Biomedical Engineering,http://coursecatalog.web.cmu.edu/degreesoffered/graduate-degrees/
,College of Engineering,,4.0,3.0,,,,,"$29,170/Semester",,$812 per unit,,,,3 semesters,"$29,170/Semester",M.S. in Artificial Intelligence Engineering - Chemical Engineering,http://coursecatalog.web.cmu.edu/degreesoffered/graduate-degrees/
,College of Engineering,,4.0,3.0,,Fall,,,"$28,500/Semester",,$792/Unit,,,,two semesters,"$28,500/Semester",M. of Chemical Engineering,http://coursecatalog.web.cmu.edu/degreesoffered/graduate-degrees/
,College of Engineering,,4.0,3.0,,,,,29370,,$816/unit,,,,Two full-time semesters,"$29,370/Semester",M.S. in Chemical Engineering,http://coursecatalog.web.cmu.edu/degreesoffered/graduate-degrees/
,College of Engineering,,4.0,3.0,,,,,,,,,,,Three semesters,,M.S. in Chemical Engineering - Applied Study,http://coursecatalog.web.cmu.edu/degreesoffered/graduate-degrees/
,College of Engineering,,4.0,3.3,,Fall,Early September 2025,"December 15, 2025","$26,057/Semester",,$724/unit,,100% of tuition,Fellowship,4–5 years,"$26,057/Semester",Ph.D. in Chemical Engineering,http://coursecatalog.web.cmu.edu/degreesoffered/graduate-degrees/
,College of Engineering,,4.0,3.0,,,,,"$28,350/Semester",,$394/unit,,,,two or three semesters of full-time study,"$28,350/Semester",M.S. in Advanced Infrastructure Systems,http://coursecatalog.web.cmu.edu/degreesoffered/graduate-degrees/
