QsWorldRanking,School,MaxFails,MaxGPA,MinGPA,PreviousYearAcceptanceRates,Term,LiveDate,DeadlineDate,AverageScholarshipAmount,CostPerCredit,ScholarshipAmount,ScholarshipPercentage,ScholarshipType,Program duration,Tuition fee,Program name,Program Page url,Fees
,College of Engineering,,,,,Fall,,,,,,,"Fellowships, Teaching Assistantships (TAs), or Graduate Research Assistantships (GRAs)",4-5 years,"$29,500/Year",Aerospace Engineering (Ph.D.),https://gradschool.cornell.edu/academic-progress/degrees-fields/cugradfos/,
,Sibley School of Mechanical and Aerospace Engineering,,4.3,,,Fall,August 2025,"December 15, 2025",,,"Full funding package including stipend, tuition, and health insurance.",100% of admitted Ph.D. students receive full funding.,"Fellowships, Research Assistantships, Teaching Assistantships",,"$29,500/Year",Robotics (Ph.D.),https://gradschool.cornell.edu/academic-progress/degrees-fields/cugradfos/,29500
,College of Arts and Sciences,,,,,Fall,,December 15,,,,,"All students admitted to the Ph.D. program are offered a multi-year funding package, which includes a stipend, full tuition, and health insurance.",six-year program,"$29,500/Year",Africana Studies (Ph.D.),https://gradschool.cornell.edu/academic-progress/degrees-fields/cugradfos/,29500
,College of Agriculture and Life Sciences,,4.3,3.0,,Fall,,,,,,,External fellowships,1 year (2 semesters),"$43,786/Year",Agriculture and Life Sciences (Biological and Environmental Engineering) (M.P.S.),https://gradschool.cornell.edu/academic-progress/degrees-fields/cugradfos/,"$43,786/Year"
,Graduate School,,4.3,,,,,,,,,,"Fellowships, Assistantships, Loans",,"$29,500/Year",American Indian and Indigenous Studies (minor),https://gradschool.cornell.edu/academic-progress/degrees-fields/cugradfos/,29500
,,,,,,,,,,,,,"Fellowships, Assistantships, Loans, External Funding",,,American Studies (minor),https://gradschool.cornell.edu/academic-progress/degrees-fields/cugradfos/,
13,College of Agriculture and Life Sciences,,4.3,2.5,,Fall,September 2025,Rolling admissions,,,,,"Fellowships, Assistantships, Loans",one-year,"$41,672/Year",Animal Science (M.P.S.),https://gradschool.cornell.edu/academic-progress/degrees-fields/cugradfos/,"$41,672/Year"
16,College of Agriculture and Life Sciences,,4.3,,,Fall,,,,,,,"Fellowships, Assistantships, Loans",Median 2.3 years,"$29,500/Year",Animal Science (M.S.),https://gradschool.cornell.edu/academic-progress/degrees-fields/cugradfos/,"$29,500/Year"
,College of Agriculture and Life Sciences,,,,,Fall,August 2025,"December 1, 2025","The standard 9-month stipend rate for 2024-2025 is $43,982.",,"All Ph.D. students receive a full funding package that includes a stipend, full tuition coverage, and health insurance. The standard 9-month stipend rate for 2024-2025 is $43,982.",100%,"Fellowships, Assistantships (Teaching, Research)","M.S.: 2.3 years (median), Ph.D.: 5.3 years (median)","$29,500/Year",Animal Science (M.S./Ph.D.),https://gradschool.cornell.edu/academic-progress/degrees-fields/cugradfos/,"$29,500/Year"
16,College of Agriculture and Life Sciences,,4.3,,,Fall,,December 1,,,,,Assistantships and Fellowships,,"$29,500/Year",Animal Science (Ph.D.),https://gradschool.cornell.edu/academic-progress/degrees-fields/cugradfos/,"$29,500/Year"
13,College of Arts and Sciences,2.0,4.3,,,Fall,,,,,"$34,068/9-months (minimum stipend)",100%,"Fellowships, teaching assistantships, and/or research assistantships",Within six years,"$29,500/Year",Anthropology (Ph.D.),https://gradschool.cornell.edu/academic-progress/degrees-fields/cugradfos/,"$29,500/Year"
,Charles H. Dyson School of Applied Economics and Management,,4.3,3.0,,Fall,September 1,December 15,,,,,Merit-based scholarships and teaching assistantships,2 years,68380/Year,Applied Economics and Management (M.S.),https://gradschool.cornell.edu/academic-progress/degrees-fields/cugradfos/,68380/Year
13,College of Agriculture and Life Sciences and the SC Johnson College of Business,,4.0,,,Fall,mid-September 2025,"December 15, 2025",,,,100% tuition waiver,"Full funding package including a full tuition waiver, a nine-month stipend, and student health insurance.",4 to 5 years,"$20,800/Year",Applied Economics and Management (Ph.D.),https://gradschool.cornell.edu/academic-progress/degrees-fields/cugradfos/,"$20,800/Year"
,Ann S. Bowers College of Computing and Information Science,,4.3,2.5,12.92%,Fall,,,,,,,"Merit-based, Diversity-based",1 year,"$65,818/Year",Applied Information Systems (M.S.),https://gradschool.cornell.edu/academic-progress/degrees-fields/cugradfos/,"$65,818/Year"
