Program name,Program Page url
Academic Advising (Graduate Certificate),https://graduate.indiana.edu/degrees-programs/degrees.html
Accounting (Master of Business Administration),https://graduate.indiana.edu/degrees-programs/degrees.html
Accounting - Financial Analysis (Master of Business Administration),https://graduate.indiana.edu/degrees-programs/degrees.html
Accounting with Data and Analytics (Master of Science),https://graduate.indiana.edu/degrees-programs/degrees.html
Addiction Neuroscience (PhD),https://graduate.indiana.edu/degrees-programs/degrees.html
Addictions Counseling (M.S.Ed.),https://graduate.indiana.edu/degrees-programs/degrees.html
"Adult Gerontology Acute Care Nurse Practitioner (Certificate, MSN)",https://graduate.indiana.edu/degrees-programs/degrees.html
"Adult Gerontology Primary Care Nurse Practitioner (Certificate, MSN)",https://graduate.indiana.edu/degrees-programs/degrees.html
Advanced Materials and Manufacturing (Doctorate in Philosophy),https://graduate.indiana.edu/degrees-programs/degrees.html
Aerospace Engineering (PhD),https://graduate.indiana.edu/degrees-programs/degrees.html
African American Studies (PhD),https://graduate.indiana.edu/degrees-programs/degrees.html
Anatomy (PhD),https://graduate.indiana.edu/degrees-programs/degrees.html
"Anatomy, Cell Biology and Physiology (M.Sc.)",https://graduate.indiana.edu/degrees-programs/degrees.html
Anesthesia (M.Sc.),https://graduate.indiana.edu/degrees-programs/degrees.html
Anthropology (Doctorate in Philosophy),https://graduate.indiana.edu/degrees-programs/degrees.html
Anthropology (MA),https://graduate.indiana.edu/degrees-programs/degrees.html
Applied Communication (M.A.),https://graduate.indiana.edu/degrees-programs/degrees.html
Applied Earth Sciences (PhD),https://graduate.indiana.edu/degrees-programs/degrees.html
"Art Education (Ed.D. in Curriculum and Instruction, Residential or Online)",https://graduate.indiana.edu/degrees-programs/degrees.html
Art Education (Ph.D. in Curriculum and Instruction),https://graduate.indiana.edu/degrees-programs/degrees.html
Art Therapy (Master),https://graduate.indiana.edu/degrees-programs/degrees.html
Arts Education (Doctoral),https://graduate.indiana.edu/degrees-programs/degrees.html
Arts Management and Leadership (Certificate),https://graduate.indiana.edu/degrees-programs/degrees.html
Biochemistry and Molecular Biology (M.Sc.),https://graduate.indiana.edu/degrees-programs/degrees.html
Biology (PhD),https://graduate.indiana.edu/degrees-programs/degrees.html
Biology (M.Sc.),https://graduate.indiana.edu/degrees-programs/degrees.html
Biostatistics (M.Sc.),https://graduate.indiana.edu/degrees-programs/degrees.html
Business (Doctoral),https://graduate.indiana.edu/degrees-programs/degrees.html
Business Administration (MS),https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQHfw852EknuadqfukWCzqLPBI63JWcuptjFF342oF6NcQ8Tg1pQIdaZkA9uu6yqW3w9_1eKaRf1xLDUZ4Yb3TkjknaNq3zT0XhB_Qd-oIrAJH5SQ5x3EWZ50Bn1XBaPFR1Qknr23VlxdLWq79joABr5xQ==
Cancer Biology (PhD),https://graduate.indiana.edu/degrees-programs/degrees.html
Cellular Physiology and Molecular Biophysics (PhD),https://graduate.indiana.edu/degrees-programs/degrees.html
Central Eurasian Studies (PhD),https://graduate.indiana.edu/degrees-programs/degrees.html
Chemistry (PhD),https://graduate.indiana.edu/degrees-programs/degrees.html
Chemistry & Chemical Biology (PhD),https://graduate.indiana.edu/degrees-programs/degrees.html
Civil Engineering (Doctorate in Philosophy),https://graduate.indiana.edu/degrees-programs/degrees.html
Clinical Psychology (PhD),https://psych.indiana.edu/
Communications (Doctoral),https://graduate.indiana.edu/degrees-programs/degrees.html
Computational Data Science (Mathematics) (M.Sc.),https://graduate.indiana.edu/degrees-programs/degrees.html
Computer and Information Sciences (Doctoral),https://luddy.iu.edu/academics/doctoral/index.html
Computer Science (Doctoral),https://graduate.indiana.edu/degrees-programs/degrees.html
Counseling and Counselor Education (Master),https://graduate.indiana.edu/degrees-programs/degrees.html
Counseling Psychology (Doctoral),https://graduate.indiana.edu/degrees-programs/degrees.html
Creative Writing (Certificate),https://graduate.indiana.edu/degrees-programs/degrees.html
Creative Writing and Literature (Master's Degree Program),https://graduate.indiana.edu/degrees-programs/degrees.html
Crime Mapping and Analysis (Certificate),https://graduate.indiana.edu/degrees-programs/degrees.html
Criminal Justice (Doctoral),https://graduate.indiana.edu/degrees-programs/degrees.html
"Curriculum and Instruction – Specialization in Art Education (Ed.D., Residential or Online)",https://graduate.indiana.edu/degrees-programs/degrees.html
Curriculum and Instruction – Specialization in Art Education (Ph.D.),https://graduate.indiana.edu/degrees-programs/degrees.html
"Curriculum and Instruction – Specialization in Mathematics Education (Ed.D., Online)",https://graduate.indiana.edu/degrees-programs/degrees.html
Curriculum and Instruction – Specialization in Mathematics Education (Ph.D.),https://graduate.indiana.edu/degrees-programs/degrees.html
"Curriculum and Instruction – Specialization in Science Education (Ed.D., Residential or Online)",https://graduate.indiana.edu/degrees-programs/degrees.html
Curriculum and Instruction – Specialization in Science Education (Ph.D.),https://graduate.indiana.edu/degrees-programs/degrees.html
Cybersecurity (Master's Degree Program),https://graduate.indiana.edu/degrees-programs/degrees.html
Data Analytics and Program Evaluation (MS Online),https://oneill.indiana.edu/online/online-certificates/public-nonprofit-evaluation.html
Data Science (Master's Degree Program),https://graduate.indiana.edu/degrees-programs/degrees.html
Dentistry (Master),https://graduate.indiana.edu/degrees-programs/degrees.html
Digital Media Design (Master's Degree Program),https://graduate.indiana.edu/degrees-programs/degrees.html
Early Childhood Education (Doctoral),https://graduate.indiana.edu/degrees-programs/degrees.html
Earth Sciences (PhD),https://graduate.indiana.edu/degrees-programs/degrees.html
Economic and Demographic Data Analysis (Certificate),https://graduate.indiana.edu/degrees-programs/degrees.html
Economics (PhD),https://graduate.indiana.edu/degrees-programs/degrees.html
Education (Doctoral),https://graduate.indiana.edu/degrees-programs/degrees.html
Educational Administration (Master's),https://graduate.indiana.edu/degrees-programs/degrees.html
Educational Leadership (Doctoral),https://graduate.indiana.edu/degrees-programs/degrees.html
"Educational Technology for Learning (M.S.Ed. in, Online Collaborative)",https://graduate.indiana.edu/degrees-programs/degrees.html
Elementary Education (Doctoral),https://graduate.indiana.edu/degrees-programs/degrees.html
Engineering (Doctoral),https://graduate.indiana.edu/degrees-programs/degrees.html
English (PhD),https://graduate.indiana.edu/degrees-programs/degrees.html
English (Master's Degree Program),https://graduate.indiana.edu/degrees-programs/degrees.html
English Language Studies (Master's),https://graduate.indiana.edu/degrees-programs/degrees.html
Environmental Science (Doctoral),https://graduate.indiana.edu/degrees-programs/degrees.html
"Evidence-Based Practices in Educational Psychology (M.S.Ed. in, Online)",https://graduate.indiana.edu/degrees-programs/degrees.html
Finance (MS),https://graduate.indiana.edu/degrees-programs/degrees.html
Foreign Languages (Doctoral),https://frit.indiana.edu/graduate/index.html
Geographic Information Systems (Certificate),https://graduate.indiana.edu/degrees-programs/degrees.html
Geospatial Intelligence (Certificate),https://graduate.indiana.edu/degrees-programs/degrees.html
Global Studies (Doctoral),https://graduate.indiana.edu/degrees-programs/degrees.html
Health Administration (Master),https://graduate.indiana.edu/degrees-programs/degrees.html
Health Professions (Doctoral),https://graduate.indiana.edu/degrees-programs/degrees.html
Healthcare Management (M.Sc.),https://graduate.indiana.edu/degrees-programs/degrees.html
