QsWorldRanking,School,MaxFails,MaxGPA,MinGPA,PreviousYearAcceptanceRates,Term,LiveDate,DeadlineDate,Fees,AverageScholarshipAmount,CostPerCredit,ScholarshipAmount,ScholarshipPercentage,ScholarshipType,Program duration,Tuition fee,extraction_level,Program name,Program Page url
851.0,"College of Business Administration, Department of Accounting",,,3.0,97.6,"Fall, Spring, Summer",2024-08-26,2024-12-01,65.0,,,1000.0,,"Merit-based, Graduate Assistantship",30 hours,,program,Accounting,https://cba.k-state.edu/academics/accounting/macc/
,"College of Education, Department of Educational Leadership",,4.0,3.0,95.1,"Fall, Spring, Summer",2024-08-26,2024-12-01,65.0,,640.4,,,Graduate Assistantship,Master's: 36 credit hours; Ph.D./Ed.D.: 90 credit hours,,program,Adult Learning and Leadership,https://coe.k-state.edu/academics/graduate/adult-learning-and-leadership/
851.0,Department of Agricultural Economics,,,3.0,,Fall,2025-08,2025-05-01,65.0,,,,,Merit-based,2.5 years,32490.0,program,Agribusiness,https://mab.k-state.edu/
,"Department of Communications and Agricultural Education, College of Agriculture",,,3.0,,"Fall, Spring, Summer",,,65.0,,,16000.0,,"Merit-based, Need-based",18-credit hour,,program,Agricultural and Extension Education and Communication,https://www.cals.k-state.edu/academics/ageduc/graduate/certificates/agricultural-education.html
,"Department of Agricultural Economics, College of Agriculture",,,3.0,97.75,"Fall, Spring",,,,4848.0,,,100.0,Graduate Assistantship,30 semester credit hours,,program,Agricultural Economics,https://www.ageconomics.k-state.edu/academics/graduate/
,College of Agriculture,,,3.0,96.26,"Fall, Spring, Summer",,,65.0,6331.0,,,,Graduate Assistantship,30-36 credit hours,,program,Agricultural Education and Communication,https://www.k-state.edu/grad/academics/degree-programs/ag-ed-comm/
801.0,Department of Agronomy,,,3.0,95.0,"Fall, Spring",2024-08-26,Fall: January 8 / April 1; Spring: August 1,65.0,,,25124.0,,Graduate Assistantship,30 credit hours,,program,Agronomy,https://www.agronomy.k-state.edu/academics/graduate/
,"Department of Anatomy and Physiology, College of Veterinary Medicine",,,3.0,97.6,Fall,2024-08-19,,65.0,6201.0,,,,Graduate Research Assistantship,,,program,Anatomy and Physiology,https://www.vet.k-state.edu/academics/ap/graduate/
,"Department of Animal Sciences and Industry, College of Agriculture",,,3.0,,"Fall, Spring",2024-08-26,2025-02-01,65.0,,,,,Graduate research and teaching assistantships,A minimum of 30 semester hours of graduate credit is required for the M.S.,,program,Animal Sciences and Industry,https://www.asi.k-state.edu/academics/graduate-program/index.html
,"Sociology, Anthropology, and Social Work",,4.0,3.0,95.1,"Fall, Spring",,,65.0,5040.0,,15000.0,,Graduate Teaching Assistantships,30 credit hour,,program,Anthropology,https://www.k-state.edu/sasw/anth/ma/
,Department of Interior Design and Fashion Studies,,4.0,3.0,,"Fall, Spring",2024-08-26,2024-08-01,65.0,,,13500.0,,Graduate Teaching Assistantship,30 graduate credit hours,,program,Apparel and Textiles,https://www.heid.k-state.edu/academics/grad/
