Program name,Program Page url
Master of Science in Athletic Training,https://www.kent.edu/ehhs/hs/attr/athletic-training-ms
Doctor of Audiology (Au.D.),https://www.youtube.com/watch?v=-nM7cZd9vAg
Master of Arts in Audiology,https://catalog.kent.edu/colleges/eh/hs/audiology-ma/
Doctor of Philosophy in Audiology,https://www.kumc.edu/school-of-health-professions/academics/departments/hearing-and-speech/academics/audiology-degrees/clinical-doctor-in-audiology-(au.d.)/curriculum-and-degree-requirements.html
Graduate Certificate in Autism Spectrum Disorders,https://catalog.kent.edu/programs/
Master of Science in Accounting (M.S.A.),https://catalog.kent.edu/colleges/be/acct/accounting-msa/
Graduate Certificate in Accounting Analytics,https://catalog.kent.edu/programs/
Graduate Certificate in Accounting Fundamentals,https://online.uconn.edu/programs/accounting-fundamentals/
"Master of Science in Accounting, Business Technology and Analytics",https://catalog.kent.edu/colleges/be/acct/accounting-business-technology-analytics-ms/
Master of Fine Arts in Acting,https://www.kent.edu/theatredance/acting-mfa
Graduate Certificate in Addictions Counseling,https://www.kent.edu/ehhs/ldes/ces/addictions-counseling-certificates
Graduate Certificate in Adult Gerontology Acute Care Nurse Practitioner,https://catalog.kent.edu/programs/
Graduate Certificate in Adult Gerontology Clinical Nurse Specialist,https://onlinedegrees.kent.edu/blog/graduate-degree-nursing
Graduate Certificate in Adult Gerontology Primary Care Nurse Practitioner,https://catalog.kent.edu/programs/
Graduate Certificate in Adult/Adolescent Sexual Assault Nurse Examiner,https://newsroom.clevelandclinic.org/2021/03/09/kent-state-college-of-nursing-cleveland-clinic-akron-general-team-up-to-offer-sexual-assault-nurse-examiner-certificate-program
Graduate Certificate in Advanced Accounting,https://onlinedegrees.kent.edu/degrees/certificate-advanced-accounting
Master of Science in Aerospace Engineering,https://catalog.kent.edu/programs/
Doctor of Philosophy in Aerospace Engineering,https://catalog.kent.edu/programs/
Master of Arts in Anthropology,https://catalog.kent.edu/programs/
Doctor of Philosophy in Applied Geology,https://catalog.kent.edu/programs/
Master of Arts in Applied Mathematics,https://catalog.kent.edu/colleges/as/math/applied-mathematics-ma/
Master of Science in Applied Mathematics,https://catalog.kent.edu/programs/
Master of Architecture,https://catalog.kent.edu/programs/
Master of Science in Architecture and Environmental Design,https://www.kent.edu/caed/master-science-architecture-environmental-design
Master of Arts in Art Education,https://www.kent.edu/art/art-education
Master of Arts in Art History,https://catalog.kent.edu/programs/
Master of Science in Artificial Intelligence,https://catalog.kent.edu/programs/
