QsWorldRanking,School,MaxFails,MaxGPA,MinGPA,PreviousYearAcceptanceRates,Term,LiveDate,DeadlineDate,Fees,AverageScholarshipAmount,CostPerCredit,ScholarshipAmount,ScholarshipPercentage,ScholarshipType,Program duration,Tuition fee,Program name,Program Page url
37,College of Social Sciences and Humanities,,4.0,3.0,,"Fall, Spring",,,"$13,920/Semester",,1740,,,"Merit-based, Assistantships, Fellowships",2 years (full-time),"$13,920/Semester",Master of Arts in Security and Intelligence Studies,https://graduate.northeastern.edu/programs/
,College of Professional Studies,,4.0,3.0,,"Fall, Spring, Summer",,,,,875,,,"Assistantships, Fellowships, Scholarships, Grants, Double Husky Scholarship, City Year National Service Scholars",2 years,,Master of Arts in Teaching in Elementary Education,https://graduate.northeastern.edu/programs/
375,College of Professional Studies,0.0,4.0,3.0,,"Fall, Spring",,,"$20,790/Year",,$945,,,Merit-based,12-24 Months,"$20,790/Year",Master of Arts in Teaching in Secondary Education,https://cps.northeastern.edu/program/master-of-arts-in-teaching-in-secondary-education-boston/
174th in the world,Graduate School of Education,1.0,4.0,3.0,,"Fall, Spring, Summer",,,29550,,$985 per credit hour,,,"Assistantships, Fellowships, Scholarships",18-24 months,29550,Master of Education in Education,https://cps.northeastern.edu/academics/schools-centers/graduate-school-of-education/
,College of Professional Studies,,4.0,3.0,,"Fall, Spring, Summer",,,52020,,1734,,,Merit-based,"1 to 2 years (full-time), 3 to 5 years (part-time)",,Master of Education in Higher Education Administration,https://graduate.northeastern.edu/programs/
,College of Professional Studies,,4.0,3.0,,"Fall, Spring, Summer",,,,,,,,"Merit-based, Federal Financial Aid, Employer Tuition Reimbursement, Military Benefits",1.5-2 years,,Master of Professional Studies in Analytics,https://graduate.northeastern.edu/programs/
,College of Professional Studies,,4.0,3.0,,"Fall, Spring, Summer",,,11880/Semester,,1485/credit,,,"Scholarships, Fellowships, Assistantships, Loans, Diversity, Equity, and Inclusion Scholarships, Global Scholarship Program",30 semester hours,1192/Year,Master of Professional Studies in Applied Logistics,https://graduate.northeastern.edu/programs/
375,College of Professional Studies,,4.0,3.0,,"Fall, Spring, Summer",,"May 1, 2026",,,,,,"Merit-based, Fellowships, Assistantships, External Funding","Full-time (12-18 months), Part-time (24-36 months)",,Master of Professional Studies in Applied Machine Intelligence,https://graduate.northeastern.edu/programs/
,"College of Arts, Media and Design",,4.0,3.0,,"Fall, Spring, Summer",,,"$27,360/Year",,"$1,710.00",,,"Merit-based, Fellowships, Graduate Assistantships",1-2 years (full-time) or up to 5 years (part-time),"$27,360/Year",Master of Professional Studies in Digital Media,https://graduate.northeastern.edu/programs/
,"College of Arts, Media and Design",1.0,4.0,3.0,,"Fall, Spring, Summer",,,,,,,,"Merit-based, Need-based, External",1 year,,Master of Professional Studies in Digital Media—Connect,https://graduate.northeastern.edu/programs/
,College of Professional Studies,,4.0,3.0,,"Fall, Spring, Summer",,,12990/Semester,,1732/Credit Hour,,,"Merit-based, Fellowships, Assistantships, Veterans Benefits",Typically 2 years,1732/Credit Hour,Master of Professional Studies in Informatics,https://graduate.northeastern.edu/programs/
,College of Professional Studies,2.0,4.0,3.0,,"Fall, Spring, Summer",,,26730,,990,,,"Merit-based, Fellowships, External Scholarships, Federal Loans","30 Semester Hours, can be completed in as few as 16 months",29700,Master of Professional Studies in Insurance Analytics and Management,https://graduate.northeastern.edu/programs/
,College of Professional Studies,,4.0,2.5,,"Fall, Spring, Summer",,"Domestic: July 15, International: June 15",39150,,$870/semester hour,,,"Merit-based, Leadership, Alumni, Veteran Benefits, Federal financial aid",1 to 2 years,39150,Master of Professional Studies in Learning Experience Design and Technology,https://graduate.northeastern.edu/programs/
,College of Social Sciences and Humanities,,4.0,3.0,,"Fall, Spring",,,"$27,450/Semester",,"$3,050",,,"Merit-based scholarships, Assistantships, Fellowships",1 calendar year (full-time),"$27,450/Semester",Master of Science in Commerce and Economic Development,https://graduate.northeastern.edu/programs/
,College of Professional Studies,1.0,4.0,3.0,,"Fall, Spring, Summer",,,"$27,040/Program",,845,,,"Merit-based, Diversity, Alumni, Military, Graduate Student Ambassador",2 years,"$27,040/Program",Master of Science in Corporate and Organizational Communication,https://graduate.northeastern.edu/programs/
,College of Professional Studies,,,2.5,,"Fall, Spring, Summer",,,,,,,,"Internal Northeastern Scholarships (e.g., Double Husky Scholarship, Graduate Assistantships), External Scholarships, Employer Tuition Assistance, Military and Veteran Benefits",2 years,,Master of Science in Global Studies and International Relations,https://graduate.northeastern.edu/programs/
,College of Professional Studies,1.0,4.0,3.0,,"Fall, Spring, Summer",,,,,,,,"Graduate Fellowships, Merit-Based, Need-Based, External",18 months of full-time study,,Master of Science in Human Resources Management,https://graduate.northeastern.edu/programs/
38th (QS World University Rankings 2024),College of Professional Studies,,4.0,3.0,,"Fall, Spring, Summer",,,"$27,135/Year (full-time, estimated)",,"$1,005/credit",,25% (Double Husky Scholarship for alumni),"Affinity-based (e.g., Double Husky Scholarship for alumni), Employer Tuition Remission","Typically 2 years (full-time), part-time available","$27,135/Year (full-time, estimated)",Master of Science in Nonprofit Management,https://graduate.northeastern.edu/programs/
375 (2024),College of Professional Studies,2.0,4.0,3.0,,"Fall, Spring, Summer",,,"22,500/Year",,"$1,000 per credit",,,"Dean’s Scholarship, Double Husky Scholarship, Scholarship for Displaced Ukrainians, Federal Financial Aid, Private Loans, Employer Tuition Reimbursement, Military Benefits",2 to 4 years (part-time),"22,500/Year",Master of Science in Organizational Leadership,"https://www.google.com/search?q=time+in+Washington,+DC,+US"
,College of Professional Studies,,4.0,3.0,,"Fall, Spring, Summer",,,"$15,705/Semester",,"$1,745 per semester hour",,,"Merit-Based, Need-Based, Graduate Student",1 to 2 years (full-time),"$15,705/Semester",Master of Science in Project Management,https://graduate.northeastern.edu/programs/
