QsWorldRanking,School,MaxFails,MaxGPA,MinGPA,PreviousYearAcceptanceRates,Term,LiveDate,DeadlineDate,Fees,AverageScholarshipAmount,CostPerCredit,ScholarshipAmount,ScholarshipPercentage,ScholarshipType,Program duration,Tuition fee,Program name,Program Page url
,School of Business,,4.0,3.0,,"Fall, Spring, Summer",,,"$5,655/semester (in-state), $11,550/semester (out-of-state)",,"$471/credit (in-state), $963/credit (out-of-state)","$250, $500",,Merit-based,30 credit hours,"$5,655/semester (in-state), $11,550/semester (out-of-state)",Master of Science in Accounting,https://www.brockport.edu/academics/graduate-programs/
,"School of Education, Health & Human Services",,4.0,3.0,,"Fall, Spring",,,,,"$471 per credit for NYS residents, $963 per credit for out-of-state students",,,"Merit-based, Need-based, Assistantships, Fellowships",,,Adapted Physical Education (Advanced Certificate),https://www.brockport.edu/academics/kinesiology/adapted-physical-education/physical-education-track-masters/
,"School of Education, Health & Human Services",,4.0,3.0,,"Fall, Spring",,,"$1,797/Year",,$471 (NY State Resident),"$1,000 - $1,500",,"Fellowships, Assistantships, Merit-based Awards",As little as three semesters,"$11,310/Year (NY State Resident)",Master of Science in Education in Adolescence Education: Biology,https://explore.suny.edu/programs/state-university-college-at-brockport-adolescence-education-biology-master-master-of-education-1470329456334
,"School of Education, Health & Human Services",,4.0,3.0,,"Fall, Spring",,,"NY State Resident: $11,310/Year; Out-of-State: $23,100/Year",,NYS Resident: $471/credit; Out-of-State: $963/credit,,,"Merit-based, Diversity-based",,"NY State Resident: $11,310/Year; Out-of-State: $23,100/Year",Adolescence Education: Biology + Students with Disabilities Certification (Advanced Certificate),https://www.brockport.edu/academics/graduate-programs/
,"School of Education, Health & Human Services",,4.0,3.0,,"Fall, Spring",,,"$5,655 per semester",,$471 per credit hour,"Amounts range from $500 to $7,000 stipend + tuition waiver",,"Merit-based, Diversity-based, Assistantships",48-51 credits,"$5,655 per semester",Master of Science in Education in Adolescence Education: Biology + Students with Disabilities Certification,https://www.brockport.edu/academics/biology/adolescence-biology-major/
,"School of Education, Health & Human Services",,4.0,3.0,,"Fall, Spring",,,"$12,988/Year",,"$471/credit (NYS Resident), $963/credit (Out-of-State)","Stipends up to $10,000 and/or tuition waivers",Full tuition waiver available for specific fellowships,"Fellowships, Assistantships, Tuition Waivers",45-51 credits,"$12,988/Year",Master of Science in Education in Adolescence Education: Chemistry,https://www.brockport.edu/academics/graduate-programs/
,"School of Education, Health and Human Services",,4.0,3.0,,"Fall, Spring, Summer",,,,,$471 (In-State) / $963 (Out-of-State),"$1,000 - $5,000",,"Fellowship, Assistantship",15 credits,"In-State: $5,655/semester; Out-of-State: $11,550/semester",Adolescence Education: Chemistry + Students with Disabilities Certification (Advanced Certificate),https://www.brockport.edu/academics/graduate-programs/
,"School of Education, Health & Human Services",,4.0,3.0,,"Fall, Spring, Summer",,,,,$471/credit (in-state); $963/credit (out-of-state),"Awards range from $1,000 per year to full tuition scholarships with stipends.",,"Diversity-based, Merit-based",As little as 18 months,"$11,310/year (in-state); $23,100/year (out-of-state)",Master of Science in Education in Adolescence Education: Chemistry + Students with Disabilities Certification,https://www.brockport.edu/academics/graduate-programs/
,Department of Education and Human Development,,4.0,3.0,,"Fall, Spring, Summer",,,"$90.60/credit hour (College, Comprehensive, Technology fees) + $192.00/semester (Health Fee)",,$471/Credit (In-state); $963/Credit (Out-of-state),"Up to full tuition; awards starting at $1,000",,"Fellowships, Assistantships, Merit-based",42 credits,"$5,655/Semester (In-state); $11,550/Semester (Out-of-state)",Master of Science in Education in Adolescence Education: Earth Science,https://www.brockport.edu/academics/graduate-programs/
,"School of Education, Health and Human Services",2.0,4.0,3.0,,"Fall, Spring, Summer",,,"$709 per semester (Mandatory fees including College, Student Activity, Health, Technology, and Athletic fees)",,"$471 (NYS Resident), $963 (Out-of-State)","Varies by award (e.g., $1,000, partial or full tuition waivers)",,"Fellowships, Merit-based, Diversity-based",As little as 18 months,"$5,655 per semester (NYS Resident); $11,550 per semester (Out-of-State)",Master of Science in Education in Adolescence Education: Earth Science + Students with Disabilities Certification,https://www.brockport.edu/academics/graduate-programs/
