QsWorldRanking,School,MaxFails,MaxGPA,MinGPA,PreviousYearAcceptanceRates,Term,LiveDate,DeadlineDate,Fees,AverageScholarshipAmount,CostPerCredit,ScholarshipAmount,ScholarshipPercentage,ScholarshipType,Program duration,Tuition fee,Program name,Program Page url
,,,,,,,,,,,,,,,,,Doctor of Business Administration in Finance,https://www.youtube.com/watch?v=NutgiiaYME8
,College of Education and Human Development,2.0,4.0,3.0,,Fall,,,,,1050,,,Graduate Assistantships,3 to 4 years,,Doctor of Education in Educational Leadership,https://sacredheart.smartcatalogiq.com/en/2022-2023/2022-2023-graduate-catalog/programs-of-study
,College of Education & Human Development,,4.0,3.0,,"Fall, Spring, Summer",,,"$20,790/Year",,"$1,155 per credit",,,"Merit-based, Graduate Assistantships",3 Years,"$20,790/Year",Doctor of Education in Higher Education Leadership,https://www.sacredheart.edu/majors--programs/higher-education-leadership---edd/
,College of Health Professions,1.0,4.0,3.0,,Fall,,,"$51,733.33/Year (Average Estimated)",,"$1,300/credit",,,"University Scholarships, Grants, and Endowments",3 years,"$155,200 (Total Program Estimated)",Doctor of Physical Therapy,https://sacredheart.smartcatalogiq.com/en/2022-2023/2022-2023-graduate-catalog/programs-of-study
,College of Nursing,,4.0,3.0,,,,,,,"$1,050.00",,,"Scholarships, Grants, Endowments, Graduate Assistantships",three years of full-time study or four years of part-time study,,Family Nurse Practitioner Doctor of Nursing Practice,https://sacredheart.smartcatalogiq.com/en/2022-2023/2022-2023-graduate-catalog/programs-of-study
,,,,,,,,,,,,,,,,,"Ph.D. in Organization Development, Change & Effectiveness",https://sacredheart.smartcatalogiq.com/en/2022-2023/2022-2023-graduate-catalog/programs-of-study
,,,,,,,,,,,,,,,,,Ph.D. in Social Work,https://www.youtube.com/watch?v=bVa2xu274to
,College of Nursing,2.0,4.0,3.0,,"Fall, Spring, Summer",,,15750,,1050,,,,2 to 6 years,15750,Post-Master's Doctor of Nursing Practice,https://sacredheart.smartcatalogiq.com/en/2022-2023/2022-2023-graduate-catalog/programs-of-study
,College of Health Professions,,4.0,3.0,,Fall,,,"$33,830/Year",,995,,,Graduate Assistantships,Two years,67660,Master of Science in Athletic Training,https://sacredheart.smartcatalogiq.com/en/2022-2023/2022-2023-graduate-catalog/programs-of-study
,,,,,,,,,,,,,,,,,Master of Arts in Clinical Mental Health Counseling,https://www.onlineeducation.com/counseling/schools/sacred-heart-university-ma-clinical-mental-health-counseling
