Program name,Program Page url
Accounting MS,https://www.buffalo.edu/grad/explore/about/programs.html
Adult/Gerontology Nurse Practitioner (Post-MS) DNP,https://www.buffalo.edu/grad/explore/about/programs.html
Adult/Gerontology Nurse Practitioner DNP,https://www.buffalo.edu/grad/explore/about/programs.html
Advanced Manufacturing Advanced Certificate,https://www.buffalo.edu/grad/explore/about/programs.html
Aerospace Engineering MS,https://www.buffalo.edu/grad/explore/about/programs.html
Aerospace Engineering PhD,https://www.buffalo.edu/grad/explore/about/programs.html
Affordable Housing Advanced Certificate,https://www.buffalo.edu/grad/explore/about/programs.html
American Studies MA,https://www.buffalo.edu/grad/explore/about/programs.html
American Studies PhD,https://www.buffalo.edu/grad/explore/about/programs.html
Anatomy and Cell Biology PhD,https://www.buffalo.edu/grad/explore/about/programs.html
Anthropology and Law MA,https://www.buffalo.edu/grad/explore/about/programs.html
Anthropology BA/MA,https://www.buffalo.edu/grad/explore/about/programs.html
Anthropology MA,https://www.buffalo.edu/grad/explore/about/programs.html
Anthropology PhD,https://www.buffalo.edu/grad/explore/about/programs.html
Applied Biostatistics Advanced Certificate,https://www.buffalo.edu/grad/explore/about/programs.html
Applied Ontology MS,https://www.buffalo.edu/grad/explore/about/programs.html
Applied Statistical Analysis Advanced Certificate,https://www.buffalo.edu/grad/explore/about/programs.html
Architecture MArch,https://www.buffalo.edu/grad/explore/about/programs.html
Architecture MArch (3 Year Track),https://www.buffalo.edu/grad/explore/about/programs.html
Architecture MArch/Business Administration MBA,https://www.buffalo.edu/grad/explore/about/programs.html
Architecture MArch/Urban Planning MUP,https://www.buffalo.edu/grad/explore/about/programs.html
Architecture MS,https://www.buffalo.edu/grad/explore/about/programs.html
Arts Management MA,https://www.buffalo.edu/grad/explore/about/programs.html
Behavioral Neuroscience PhD,https://www.buffalo.edu/grad/explore/about/programs.html
Bilingual Education Advanced Certificate,https://www.buffalo.edu/grad/explore/about/programs.html
Biochemistry MS,https://www.buffalo.edu/grad/explore/about/programs.html
Biochemistry PhD,https://www.buffalo.edu/grad/explore/about/programs.html
Bioinformatics and Biostatistics MS,https://www.buffalo.edu/grad/explore/about/programs.html
Biological Sciences BA/MS,https://www.buffalo.edu/grad/explore/about/programs.html
Biological Sciences MA,https://www.buffalo.edu/grad/explore/about/programs.html
Biological Sciences MS,https://www.buffalo.edu/grad/explore/about/programs.html
Biological Sciences PhD,https://www.buffalo.edu/grad/explore/about/programs.html
Biomaterials MS,https://www.buffalo.edu/grad/explore/about/programs.html
Biomedical Engineering BS/MBA,https://www.buffalo.edu/grad/explore/about/programs.html
Biomedical Engineering MS,https://www.buffalo.edu/grad/explore/about/programs.html
Biomedical Engineering PhD,https://www.buffalo.edu/grad/explore/about/programs.html
Biomedical Informatics MS,https://www.buffalo.edu/grad/explore/about/programs.html
Biomedical Informatics MS/Pharmacy Practice PharmD,https://www.buffalo.edu/grad/explore/about/programs.html
Biomedical Informatics PhD,https://www.buffalo.edu/grad/explore/about/programs.html
Biomedical Sciences MS,https://www.buffalo.edu/grad/explore/about/programs.html
Biostatistical Informatics Advanced Certificate,https://www.buffalo.edu/grad/explore/about/programs.html
Biostatistics MA,https://www.buffalo.edu/grad/explore/about/programs.html
Biostatistics PhD,https://www.buffalo.edu/grad/explore/about/programs.html
Biotechnology MS,https://www.buffalo.edu/grad/explore/about/programs.html
Bridge Engineering Advanced Certificate,https://www.buffalo.edu/grad/explore/about/programs.html
Genomic Medicine MS,https://www.buffalo.edu/grad/explore/about/programs.html
