QsWorldRanking,School,MaxFails,MaxGPA,MinGPA,PreviousYearAcceptanceRates,Term,LiveDate,DeadlineDate,Fees,AverageScholarshipAmount,CostPerCredit,ScholarshipAmount,ScholarshipPercentage,ScholarshipType,Program duration,Tuition fee,Program name,Program Page url
,School of Management,,,,,,,,,,,,,,1 Year,,Accounting MS,https://www.buffalo.edu/grad/explore/about/programs.html
410,School of Nursing,,,,,Fall or Spring,,,,,"$1,047 per credit hour (resident rate, does not include fees)",,,,Part-time 5-7 semesters,,Adult/Gerontology Nurse Practitioner (Post-MS) DNP,https://www.buffalo.edu/grad/explore/about/programs.html
,School of Nursing,,,,,,,,,,,,,,,,Adult/Gerontology Nurse Practitioner DNP,https://www.buffalo.edu/grad/explore/about/programs.html
410,School of Engineering and Applied Sciences,,4.0,3.0,,"Fall, Spring",,December 15,,,$471.00,,,Scholarships and fellowships are available. [2],1 Year,,Advanced Manufacturing Advanced Certificate,https://www.buffalo.edu/grad/explore/about/programs.html
,School of Engineering and Applied Sciences,,,3.0,,,,,,,,,,"Teaching or Graduate Assistantships, Research Assistantships, Graduate Fellowships",,,Aerospace Engineering MS,https://www.buffalo.edu/grad/explore/about/programs.html
,School of Engineering and Applied Sciences,,4.0,3.0,,"Fall, Spring",,December 1,All doctoral students in the School of Engineering and Applied Sciences receive a full tuition scholarship. [36],,,Full tuition scholarship plus a stipend. [36],100,"Teaching or Graduate Assistantships, Research Assistantships, Graduate Fellowships",,All doctoral students in the School of Engineering and Applied Sciences receive a full tuition scholarship. [36],Aerospace Engineering PhD,https://www.buffalo.edu/grad/explore/about/programs.html
410,School of Architecture and Planning,,4.0,3.0,,"Fall, Spring",,,"In-state: $14,530/Year, Out-of-state: $28,210/Year",,"In-state: $471, Out-of-state: $1,041",,,Merit-based,1 Year,,Affordable Housing Advanced Certificate,https://www.buffalo.edu/grad/explore/about/programs.html
410,College of Arts and Sciences,,4.0,3.0,,Fall,,,"For the 2024-2025 academic year, graduate tuition was $14,530 for New York residents and $28,210 for out-of-state students. [18] For Fall 2025, the full-time resident tuition per semester is listed as $5,655.00, with total fees bringing the semester cost to $7,314.86. [6]",,"For the 2024-2025 academic year, the graduate tuition per credit hour was $471 for New York residents and $1,041 for out-of-state students. [18]",,,"The university offers various types of funding, including fellowships like the Arthur A. Schomburg Fellowship and Presidential Fellowships, as well as teaching, research, or graduate assistantships. [26, 43] There are also merit-based scholarships available. [38]","Most students complete the MA degree within two years. [11, 29]","For the 2024-2025 academic year, the annual graduate tuition and fees were $14,530 for New York residents and $28,210 for out-of-state students. [18]",American Studies MA,https://www.buffalo.edu/grad/explore/about/programs.html
#1 public university in New York State. [39],"College of Arts and Sciences. [6, 20]",,,,,Fall,,,,,,,,Fellowships and scholarships. [24],5 Years. [20],,American Studies PhD,https://www.buffalo.edu/grad/explore/about/programs.html
,Jacobs School of Medicine and Biomedical Sciences,,,,,Fall,,,,,,,,,5 years,,Anatomy and Cell Biology PhD,https://www.buffalo.edu/grad/explore/about/programs.html
,,,,,,,,,,,,,,,,,Anthropology and Law MA,https://www.buffalo.edu/grad/explore/about/programs.html
,College of Arts and Sciences,,4.0,3.0,,Fall,,,,,,,,,5 Years,,Anthropology BA/MA,https://www.buffalo.edu/grad/explore/about/programs.html
,,,,,,,,,,,,,,,,,Anthropology MA,https://www.buffalo.edu/grad/explore/about/programs.html
,College of Arts and Sciences,,,,,,,,,,,,,,,,Anthropology PhD,https://www.buffalo.edu/grad/explore/about/programs.html
,School of Public Health and Health Professions,,,3.0,,Fall,,Apply by April 15 for fall semester admission. [11],,,,,,,Up to 1 Year. [2],,Applied Biostatistics Advanced Certificate,https://www.buffalo.edu/grad/explore/about/programs.html
,College of Arts and Sciences,,4.0,3.0,,"Fall, Spring",,Rolling admissions,,,,,,,1 year,,Applied Ontology MS,https://www.buffalo.edu/grad/explore/about/programs.html
410,Graduate School of Education,,4.0,3.0,,,,,,,,,,"Fellowships, Scholarships",1 to 2 Years,,Applied Statistical Analysis Advanced Certificate,https://www.buffalo.edu/grad/explore/about/programs.html
,School of Architecture and Planning,,4.0,,,Fall,,January 15,,,,"Up to $25,000",,"Fellowship, Scholarship, Travel Stipends",2-Year and 3-Year Tracks,,Architecture MArch,https://www.buffalo.edu/grad/explore/about/programs.html
,,,,,,,,,,,,,,,,,Architecture MArch (3 Year Track),https://www.buffalo.edu/grad/explore/about/programs.html
410,School of Architecture and Planning and School of Management,,,3.0,,"Fall, Spring",2025-10-15,2026-01-15,"In-State: $15,104/Year, Out-of-State: $29,534/Year",,,,,Merit-based,3 to 5+ Years,"In-State: $15,104/Year, Out-of-State: $29,534/Year",Architecture MArch/Business Administration MBA,https://www.buffalo.edu/grad/explore/about/programs.html
,School of Architecture and Planning,,4.0,3.0,,Fall,,"Admissions decisions are completed on a rolling basis until the program has reached enrollment capacity; until August 14, 2026. [2]",,,,,,"Need-based, Merit-based, Travel, Fellowship",3 to 5+ Years [12],,Architecture MArch/Urban Planning MUP,https://www.buffalo.edu/grad/explore/about/programs.html
,,,,,,,,,,,,,,,,,Architecture MS,https://www.buffalo.edu/grad/explore/about/programs.html
,,,,,,,,,,,,,,,,,Arts Management MA,https://www.buffalo.edu/grad/explore/about/programs.html
,,,,,,,,,,,,,,,,,Behavioral Neuroscience PhD,https://www.buffalo.edu/grad/explore/about/programs.html
,,,,,,,,,,,,,,,,,Bilingual Education Advanced Certificate,https://www.buffalo.edu/grad/explore/about/programs.html
,,,,,,,,,,,,,,,,,Biochemistry MS,https://www.buffalo.edu/grad/explore/about/programs.html
,,,,,,,,,,,,,,,,,Biochemistry PhD,https://www.buffalo.edu/grad/explore/about/programs.html
,,,,,,,,,,,,,,,,,Bioinformatics and Biostatistics MS,https://www.buffalo.edu/grad/explore/about/programs.html
,,,,,,,,,,,,,,,,,Biological Sciences BA/MS,https://www.buffalo.edu/grad/explore/about/programs.html
,College of Arts and Sciences,,4.0,3.0,,"Fall, Spring",,,,,,,,"Fellowships, Assistantships",1 Year,,Biological Sciences MA,https://www.buffalo.edu/grad/explore/about/programs.html
,,,,,,,,,,,,,,,,,Biological Sciences MS,https://www.buffalo.edu/grad/explore/about/programs.html
,,,,,,,,,,,,,,,,,Biological Sciences PhD,https://www.buffalo.edu/grad/explore/about/programs.html
,,,,,,,,,,,,,,,,,Biomaterials MS,https://www.buffalo.edu/grad/explore/about/programs.html
,,,,,,,,,,,,,,,,,Biomedical Engineering BS/MBA,https://www.buffalo.edu/grad/explore/about/programs.html
,,,,,,,,,,,,,,,,,Biomedical Engineering MS,https://www.buffalo.edu/grad/explore/about/programs.html
,,,,,,,,,,,,,,,,,Biomedical Engineering PhD,https://www.buffalo.edu/grad/explore/about/programs.html
,,,,,,,,,,,,,,,,,Biomedical Informatics MS,https://www.buffalo.edu/grad/explore/about/programs.html
,School of Pharmacy and Pharmaceutical Sciences,,,3.0,,"Fall, Spring",,,,,,,,,5 years,"$39,400",Biomedical Informatics MS/Pharmacy Practice PharmD,https://www.buffalo.edu/grad/explore/about/programs.html
,Jacobs School of Medicine and Biomedical Sciences,,,3.0,,Fall,,December 1,,,,"$31,000 stipend per year",100%,Full-tuition scholarship and stipend,5 Years,Full-tuition scholarship provided,Biomedical Informatics PhD,https://www.buffalo.edu/grad/explore/about/programs.html
,,,,,,,,,,,,,,,,,Biomedical Sciences MS,https://www.buffalo.edu/grad/explore/about/programs.html
,,,,,,,,,,,,,,,,,Biostatistical Informatics Advanced Certificate,https://www.buffalo.edu/grad/explore/about/programs.html
,,,,,,,,,,,,,,,,,Biostatistics MA,https://www.buffalo.edu/grad/explore/about/programs.html
,,,,,,,,,,,,,,,,,Biostatistics PhD,https://www.buffalo.edu/grad/explore/about/programs.html
,Jacobs School of Medicine and Biomedical Sciences,,,,,Fall,,,,,,"A limited number of teaching assistantships are available which provide a stipend of approximately $9,385.00/10 months and a waiver of tuition (except for summer session).",,Teaching Assistantships,2 Years,,Biotechnology MS,https://www.buffalo.edu/grad/explore/about/programs.html
,School of Engineering and Applied Sciences,,,,,"In Person, Hybrid, Online, Full Time, Part Time",,,,,,,,,1 to 2 Years,,Bridge Engineering Advanced Certificate,https://www.buffalo.edu/grad/explore/about/programs.html
491,Jacobs School of Medicine and Biomedical Sciences,0,4.0,3.0,,Fall,2026-01-20,June 1,"$23,100/Year",,,,,Fellowships and assistantships,2 Years,"$23,100 per year for non-New York State residents for the 2024-2025 academic year.",Genomic Medicine MS,https://www.buffalo.edu/grad/explore/about/programs.html
,Jacobs School of Medicine and Biomedical Sciences,"A graduate student who receives a grade of F in any course is subject to an immediate academic review, which may result in academic probation. [4, 7, 15]",4.0,3.0,,Fall,,Applications must be completed and official documentation filed no later than March 1st.,"For the Spring 2026 semester, the full-time tuition for resident graduate students is $5,655.00 and for non-resident students is not specified on the provided page, though fees are listed as $1,659.84 for both. [26] Another page lists the 2024-2025 annual graduate tuition and fees as $14,530 for New York residents and $28,210 for out-of-state students. [9]",,"For the 2024-2025 academic year, the graduate tuition per credit hour is $471 for New York residents and $1,041 for out-of-state students. [9] For Winter 2026, the non-resident online graduate per credit hour rate is $565.00 for tuition and $76.16 for fees. [24]",,,"The UB Scholarship Portal lists various opportunities, and the Jacobs School of Medicine & Biomedical Sciences offers several scholarships, though specific types for this program are not detailed. [16] General information on funding for Master's students is also available. [32]",2 years [6],"For the Spring 2026 semester, the full-time tuition for resident graduate students is $5,655.00. [26] The annual graduate tuition for the 2024-2025 academic year is stated as $14,530 for New York residents and $28,210 for out-of-state students. [9]","Genetics, Genomics and Bioinformatics MS",https://www.buffalo.edu/grad/explore/about/programs.html
410,Jacobs School of Medicine and Biomedical Sciences,,4.0,3.0,,Fall,July 15,December 1,University fees are the responsibility of the student. [15] An application fee of $85 is required. [24],"$35,000","For estimation purposes, the university notes per credit rates of $471 for in-state and $1,073 for out-of-state students. [13]","Doctoral candidates receive a full-tuition scholarship, a $35,000 stipend, and medical/dental insurance. [11]",100%,"Graduate Assistantship, Tuition Scholarship, Stipend, Health Insurance",5 Years,"PhD students in the Biomedical Sciences program, which includes Genetics, Genomics, and Bioinformatics, receive a full-tuition scholarship. [11]","Genetics, Genomics and Bioinformatics PhD",https://www.buffalo.edu/grad/explore/about/programs.html
,,,,,,,,,,,,,,,,,Geographic Information Science MS,https://www.buffalo.edu/grad/explore/about/programs.html
,,,,,,,,,,,,,,,,,Geography MA,https://www.buffalo.edu/grad/explore/about/programs.html
,,,,,,,,,,,,,,,,,Geography MS,https://www.buffalo.edu/grad/explore/about/programs.html
