Program name,Program Page url
Master of Arts in Anthropology,https://grad.uci.edu/admissions/degree-programs/
PhD in Anthropology,https://grad.uci.edu/admissions/degree-programs/
Master of Arts in Art History,https://grad.uci.edu/admissions/degree-programs/
PhD in Art History,https://grad.uci.edu/admissions/degree-programs/
Master of Fine Arts in Art,https://grad.uci.edu/admissions/degree-programs/
Master of Arts in Asian American Studies,https://grad.uci.edu/admissions/degree-programs/
Master of Arts in Classics,https://grad.uci.edu/admissions/degree-programs/
PhD in Classics,https://grad.uci.edu/admissions/degree-programs/
Master of Arts in Comparative Literature,https://grad.uci.edu/admissions/degree-programs/
PhD in Comparative Literature,https://grad.uci.edu/admissions/degree-programs/
Master of Fine Arts in Dance,https://grad.uci.edu/admissions/degree-programs/
PhD in Drama and Theatre,https://grad.uci.edu/admissions/degree-programs/
Master of Arts in East Asian Studies,https://grad.uci.edu/admissions/degree-programs/
PhD in East Asian Studies,https://grad.uci.edu/admissions/degree-programs/
Master of Arts in English,https://grad.uci.edu/admissions/degree-programs/
Master of Fine Arts in English,https://grad.uci.edu/admissions/degree-programs/
PhD in English,https://grad.uci.edu/admissions/degree-programs/
Master of Arts in European Thought and Culture,https://grad.uci.edu/admissions/degree-programs/
Master of Arts in History,https://grad.uci.edu/admissions/degree-programs/
PhD in History,https://grad.uci.edu/admissions/degree-programs/
PhD in History and Theory of Music,https://grad.uci.edu/admissions/degree-programs/
"PhD in Music: Integrated Composition, Improvisation, and Technology",https://grad.uci.edu/admissions/degree-programs/
PhD in Philosophy,https://grad.uci.edu/admissions/degree-programs/
Master of Arts in Political Science,https://grad.uci.edu/admissions/degree-programs/
PhD in Political Science,https://grad.uci.edu/admissions/degree-programs/
Master of Arts in Sociology,https://grad.uci.edu/admissions/degree-programs/
PhD in Sociology,https://grad.uci.edu/admissions/degree-programs/
Master of Arts in Spanish,https://grad.uci.edu/admissions/degree-programs/
PhD in Spanish,https://grad.uci.edu/admissions/degree-programs/
PhD in Visual Studies,https://grad.uci.edu/admissions/degree-programs/
Master of Science in Biomedical Engineering,https://grad.uci.edu/admissions/degree-programs/
PhD in Biomedical Engineering,https://grad.uci.edu/admissions/degree-programs/
Master of Science in Chemical and Biomolecular Engineering,https://grad.uci.edu/admissions/degree-programs/
PhD in Chemical and Biomolecular Engineering,https://grad.uci.edu/admissions/degree-programs/
Master of Science in Civil and Environmental Engineering,https://grad.uci.edu/admissions/degree-programs/
PhD in Civil and Environmental Engineering,https://grad.uci.edu/admissions/degree-programs/
Master of Science in Electrical and Computer Engineering,https://grad.uci.edu/admissions/degree-programs/
PhD in Electrical and Computer Engineering,https://grad.uci.edu/admissions/degree-programs/
Master of Engineering,https://grad.uci.edu/admissions/degree-programs/
Master of Science in Materials Science and Engineering,https://grad.uci.edu/admissions/degree-programs/
PhD in Materials Science and Engineering,https://grad.uci.edu/admissions/degree-programs/
Master of Science in Mechanical and Aerospace Engineering,https://grad.uci.edu/admissions/degree-programs/
PhD in Mechanical and Aerospace Engineering,https://grad.uci.edu/admissions/degree-programs/
Master of Science in Software Engineering,https://grad.uci.edu/admissions/degree-programs/
PhD in Software Engineering,https://grad.uci.edu/admissions/degree-programs/
Master of Science in Computer Science,https://grad.uci.edu/admissions/degree-programs/
PhD in Computer Science,https://grad.uci.edu/admissions/degree-programs/
Master of Science in Informatics,https://grad.uci.edu/admissions/degree-programs/
PhD in Informatics,https://grad.uci.edu/admissions/degree-programs/
Master of Computer Science,https://grad.uci.edu/admissions/degree-programs/
Master of Data Science,https://grad.uci.edu/admissions/degree-programs/
Master of Embedded and Cyber-Physical Systems,https://grad.uci.edu/admissions/degree-programs/
Master of Human Computer Interaction and Design,https://grad.uci.edu/admissions/degree-programs/
Master of Software Engineering,https://grad.uci.edu/admissions/degree-programs/
Master of Science in Networked Systems,https://grad.uci.edu/admissions/degree-programs/
PhD in Networked Systems,https://grad.uci.edu/admissions/degree-programs/
Master of Science in Statistics,https://grad.uci.edu/admissions/degree-programs/
PhD in Statistics,https://grad.uci.edu/admissions/degree-programs/
Master of Arts in Education,https://grad.uci.edu/admissions/degree-programs/
PhD in Education,https://grad.uci.edu/admissions/degree-programs/
Master of Arts in Teaching,https://grad.uci.edu/admissions/degree-programs/
Master of Science in Biomedical and Translational Science,https://grad.uci.edu/admissions/degree-programs/
Doctor of Nursing Practice,https://grad.uci.edu/admissions/degree-programs/
Master of Science in Nursing Science,https://grad.uci.edu/admissions/degree-programs/
PhD in Nursing Science,https://grad.uci.edu/admissions/degree-programs/
Master of Science in Pharmacological Sciences,https://grad.uci.edu/admissions/degree-programs/
PhD in Pharmacological Sciences,https://grad.uci.edu/admissions/degree-programs/
Doctor of Pharmacy,https://grad.uci.edu/admissions/degree-programs/
Master of Public Health,https://grad.uci.edu/admissions/degree-programs/
Master of Science in Public Health,https://grad.uci.edu/admissions/degree-programs/
PhD in Public Health,https://grad.uci.edu/admissions/degree-programs/
Master of Science in Medical Science,https://grad.uci.edu/admissions/degree-programs/
Doctor of Medicine,https://grad.uci.edu/admissions/degree-programs/
Master of Science in Biotechnology,https://grad.uci.edu/admissions/degree-programs/
Master of Science in Ecology and Evolutionary Biology,https://grad.uci.edu/admissions/degree-programs/
Master of Science in Genetic Counseling,https://grad.uci.edu/admissions/degree-programs/
"Master of Science in Mathematical, Computational, and Systems Biology",https://grad.uci.edu/admissions/degree-programs/
"PhD in Mathematical, Computational, and Systems Biology",https://grad.uci.edu/admissions/degree-programs/
