Id,ProgramName,ProgramCode,Status,CreatedDate,UpdatedDate,Level,Term,TermCode,LiveDate,DeadlineDate,Resume,StatementOfPurpose,GreOrGmat,EnglishScore,Requirements,WritingSample,CollegeId,IsAnalyticalNotRequired,IsAnalyticalOptional,IsDuoLingoRequired,IsELSRequired,IsGMATOrGreRequired,IsGMATRequired,IsGreRequired,IsIELTSRequired,IsLSATRequired,IsMATRequired,IsMCATRequired,IsPTERequired,IsTOEFLIBRequired,IsTOEFLPBTRequired,IsEnglishNotRequired,IsEnglishOptional,AcademicYear,AlternateProgram,ApplicationType,Department,Fees,Fees,IsAvailable,ProgramType,AdmissionDepartmentId,CreatedBy,UpdatedBy,Concentration,Description,OtherConcentrations,ProgramWebsiteURL,Accredidation,AverageScholarshipAmount,CostPerCredit,IsRecommendationSystemOpted,IsStemProgram,MaxFails,MaxGPA,MinGPA,PreviousYearAcceptanceRates,QsWorldRanking,TotalAccepetedApplications,TotalCredits,TotalDeniedApplications,TotalI20sIssued,TotalScholarshipsAwarded,TotalSubmittedApplications,TotalVisasSecured,UsNewsRanking,CollegeApplicationFee,IsCollegePaying,MEContractNegotiatedFee,MyGradAppFee,ProgramCategory,IsCollegeApplicationFree,IsCouponAllowed,IsACTRequired,IsSATRequired,SftpDestinationId,MinimumACTScore,MinimumDuoLingoScore,MinimumELSScore,MinimumGMATScore,MinimumGreScore,MinimumIELTSScore,MinimumMATScore,MinimumMCATScore,MinimumPTEScore,MinimumSATScore,MinimumTOEFLScore,MLModelName,MinimumAnalyticalScore,MinimumEnglishScore,MinimumExperience,MinimumSopRating,WeightAnalytical,WeightEnglish,WeightExperience,WeightGPA,WeightSop,ScholarshipAmount,ScholarshipPercentage,ScholarshipType,IsNewlyLaunched,BatchId,IsImported,IsImportVerified,Is_Recommendation_Sponser,AnalyticalScore,MinimumLSATScore
,Master of Arts in English,,,,,Graduate,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,"College of Arts, Humanities, and Social Sciences",,,,,,,,,,,The official university website for the University of Central Missouri is https://www.ucmo.edu/.,,,,False,False,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Master of Arts in History,,,,,Graduate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The official university website for the University of Central Missouri is https://www.ucmo.edu/.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Master of Arts in Mass Communication,,,,,Graduate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The official university website for the University of Central Missouri is https://www.ucmo.edu/.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Master of Arts in Music,,,,,Graduate,,,,,,,,,,,,,,False,False,False,False,,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,The official university website for the University of Central Missouri is https://www.ucmo.edu/.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Master of Arts in Sociology,,,,,Graduate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.ucmo.edu/about/university-leadership/board-of-governors/meeting-schedule-and-information/documents/2013-meetings/2013march21-meet.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Master of Arts in Speech Communication,,,,,Graduate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The official university website for the University of Central Missouri is https://www.ucmo.edu/.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Master of Arts in Teaching English as a Second Language,,,,,Graduate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The official university website for the University of Central Missouri is https://www.ucmo.edu/.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Master of Arts in Theatre,,,,,Graduate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The official university website for the University of Central Missouri is https://www.ucmo.edu/.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Master of Science in Social Gerontology,,,,,Graduate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The official university website for the University of Central Missouri is https://www.ucmo.edu/.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Graduate Certificate in Social Gerontology,,,,,Graduate-Certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.ucmo.edu/harmon-college-of-business-and-professional-studies/department-of-human-services/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Graduate Certificate in Teaching English as a Second Language,,,,,Graduate-Certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.griffith.edu.au/study/degrees/graduate-certificate-in-teaching-english-to-speakers-of-other-languages-3016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Graduate Certificate in Women's & Gender Studies,,,,,Graduate-Certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The official university website for the University of Central Missouri is https://www.ucmo.edu/.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Master of Arts in Accountancy,,,,,Graduate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The official university website for the University of Central Missouri is https://www.ucmo.edu/.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Master of Business Administration (MBA),,,,,Graduate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The official university website for the University of Central Missouri is https://www.ucmo.edu/.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"MBA, Accounting",,,,,Graduate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Accounting,"The University of Central Missouri's MBA program is a valuable credential designed to help you succeed in today's rapidly changing business environment. Whether you are seeking to advance your career, change careers, or start your own business, the UCM MBA program can help you achieve your goals. Our program is designed to be flexible, with online and on-campus options that allow you to balance your studies with your personal and professional life. The UCM MBA is also affordable, making it a great investment in your future. At UCM, you will learn from experienced faculty who are experts in their fields. You will also have the opportunity to network with a diverse group of students from all over the world. This will give you the opportunity to learn from their experiences and perspectives.",,https://www.ucmo.edu/harmon-college-of-business-and-professional-studies/master-of-business-administration-mba/,"The Harmon College business programs are currently accredited by the Association to Advance Collegiate Schools of Business (AACSB), an accreditation earned by less than 5 percent of the world's business schools. [2] In addition, many of the programs within the HCBPS including Accounting, Aviation, Computer Information Systems, Public Relations, Social Work, and Speech Language Pathology hold individual accreditation status. [2]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"MBA, Ethical Strategic Leadership",,,,,Graduate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The official university website for the University of Central Missouri is https://www.ucmo.edu/.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"MBA, Finance",,,,,Graduate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The official university website for the University of Central Missouri is https://www.ucmo.edu/.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"MBA, Information Systems",,,,,Graduate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.ucmo.edu/harmon-college-of-business-and-professional-studies/master-of-business-administration-mba/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"MBA, Marketing",,,,,Graduate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The official university website for the University of Central Missouri is https://www.ucmo.edu/.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"MBA, Sports Business",,,,,Graduate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The official university website for the University of Central Missouri is https://www.ucmo.edu/.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Master of Science in Aviation Safety,,,,,Graduate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The official university website for the University of Central Missouri is https://www.ucmo.edu/.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Master of Science in Criminal Justice,,,,,Graduate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The official university website for the University of Central Missouri is https://www.ucmo.edu/.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Master of Science in Computer Information Systems & Information Technology,,,,,Graduate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The official university website for the University of Central Missouri is https://www.ucmo.edu/.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Master of Science in Speech-Language Pathology,,,,,Graduate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The official university website for the University of Central Missouri is https://www.ucmo.edu/.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Master of Arts in Teaching (MAT): Middle School & Secondary,,,,,Graduate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The official university website for the University of Central Missouri is https://www.ucmo.edu/.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Master of Science in College Student Personnel Administration,,,,,Graduate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The official university website for the University of Central Missouri is https://www.ucmo.edu/.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Master of Science in Counseling,,,,,Graduate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The official university website for the University of Central Missouri is https://www.ucmo.edu/.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Master of Science in Educational Technology,,,,,Graduate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The official university website for the University of Central Missouri is https://www.ucmo.edu/.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Master of Science in Career and Technical Education (CTE) Administration Leadership,,,,,Graduate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The official university website for the University of Central Missouri is https://www.ucmo.edu/.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Master of Science in Career and Technical Education (CTE) Industry Training,,,,,Graduate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The official university website for the University of Central Missouri is https://www.ucmo.edu/.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Master of Science in Career and Technical Education (CTE) Teaching Leadership,,,,,Graduate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The official university website for the University of Central Missouri is https://www.ucmo.edu/.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Master of Science in Library Science & Information Services,,,,,Graduate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The official university website for the University of Central Missouri is https://www.ucmo.edu/.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Master of Science in Education (MSE) in Curriculum & Instruction,,,,,Graduate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The official university website for the University of Central Missouri is https://www.ucmo.edu/.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"MSE, Elementary Education/Curriculum & Instruction",,,,,Graduate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The official university website for the University of Central Missouri is https://www.ucmo.edu/.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"MSE, Elementary Math Specialist",,,,,Graduate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The official university website for the University of Central Missouri is https://www.ucmo.edu/.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"MSE, Elementary School Administration",,,,,Graduate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The official university website for the University of Central Missouri is https://www.ucmo.edu/.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"MSE, Literacy Education",,,,,Graduate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The official university website for the University of Central Missouri is https://www.ucmo.edu/.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"MSE, Secondary School Administration",,,,,Graduate,"Fall, Spring, Summer. [5, 22]",,"The scholarship application for the 2026-2027 academic year will be available no later than August 15, 2025. General applications for the Fall semester typically open around August 1st of the preceding year. [22]","For the Fall 2026 intake, the application submission deadline is June 1, 2026. [5, 22]",,,,,,,,,,,,,,,,,,,,,,,,,,,College of Education,,,,,,,,,,,The official university website for the University of Central Missouri is https://www.ucmo.edu/.,,,"For the Fall 2025-Summer 2026 academic year, the graduate tuition per credit hour is $399.50 for Missouri residents, $600.00 for non-residents, and $445.00 for online/hybrid programs. These rates do not include additional mandatory, technology, or program-specific fees.",,,,4.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The University of Central Missouri offers several types of financial assistance for graduate students, including merit-based scholarships, graduate assistantships, and graduate research support.",,,,,,,
,"MSE, K-12 Special Education",,,,,Graduate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,College of Education,,,,,,,,,,,The official university website for the University of Central Missouri is https://www.ucmo.edu/.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Education Specialist (Ed.S.) in Human Services/Educational Technology,,,,,Graduate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The official university website for the University of Central Missouri is https://www.ucmo.edu/.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ed.S. in Human Services/Learning Resources,,,,,Graduate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.ucmo.edu/current-students/office-of-the-registrar-and-student-records/catalogs/documents/ucm-grad-catalog-2016.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ed.S. in Human Services/Professional Counseling,,,,,Graduate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The official university website for the University of Central Missouri is https://www.ucmo.edu/.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ed.S. in Human Services/Technology & Occupational Education,,,,,Graduate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The official university website for the University of Central Missouri is https://www.ucmo.edu/.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ed.S. in School Administration/Elementary Principalship,,,,,Graduate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The official university website for the University of Central Missouri is https://www.ucmo.edu/.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ed.S. in School Administration/Secondary Principalship,,,,,Graduate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://catalog.missouri.edu/collegeofeducation/educationalleadershippolicyanalysis/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ed.S. in School Administration/Superintendency,,,,,Graduate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The official university website for the University of Central Missouri is https://www.ucmo.edu/.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Graduate Certificate in Autism Spectrum Disorders,,,,,Graduate-Certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The official university website for the University of Central Missouri is https://www.ucmo.edu/.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Graduate Certificate in CTE Administration Leadership,,,,,Graduate-Certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The official university website for the University of Central Missouri is https://www.ucmo.edu/.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Graduate Certificate in Elementary Math Specialist,,,,,Graduate-Certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Are you looking to enhance your career opportunities as an educator, expand your mastery of mathematical content areas and network with your peers in the field? The University of Central Missouri's Elementary Mathematics Specialist graduate certificate offers all this and more — in an affordable program designed for working teachers. [8] The Elementary Mathematics Specialist graduate program, aligned with National Council of Teachers of Mathematics (NCTM) standards, is available to both residents and non-residents of Missouri, and offers three tracks leading to different credentials (a graduate certificate, an MSE and an EdS). [8] The graduate certificate can be completed in the least amount of time. [8] The course credits earned will prepare Missouri educators for the Missouri Department of Elementary and Secondary Education (DESE) Elementary Math Specialist content exam, necessary for obtaining the Missouri DESE add-on teaching certificate. [8] Coursework for your Elementary Mathematics Specialist graduate certificate will focus on math content, leadership and pedagogy. [8] In your content courses, you'll renew and enhance your confidence in elementary mathematics while looking at the content through the lens of curriculum design. [8] In professional development courses, you'll study leadership theories and principles grounded in real-world application and case studies. [8]",,The official university website for the University of Central Missouri is https://www.ucmo.edu/.,The Elementary Mathematics Specialist graduate program is aligned with National Council of Teachers of Mathematics (NCTM) standards. [8],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Graduate Certificate in Online Teaching & Learning,,,,,Graduate-Certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The official university website for the University of Central Missouri is https://www.ucmo.edu/.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Master of Arts in Environmental Studies,,,,,Graduate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The official university website for the University of Central Missouri is https://www.ucmo.edu/.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Master of Science in Physical Education, Pedagogy Option",,,,,Graduate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The official university website for the University of Central Missouri is https://www.ucmo.edu/.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Master of Science in Sport Management,,,,,Graduate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The official university website for the University of Central Missouri is https://www.ucmo.edu/.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
