Program name,Program Page url
Master of Science in Aerospace Engineering,https://www.mae.ucla.edu/graduate-admissions/
PhD in Aerospace Engineering,https://grad.ucla.edu/programs/school-of-engineering-and-applied-science/mechanical-aerospace-engineering-department/
Master of Arts in African American Studies,https://afam.ucla.edu/academics/graduate-study/m-a-j-d-program/
Master of Arts in African Studies,https://grad.ucla.edu/programs/international-institute/african-studies/
Master of Arts in American Indian Studies,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu/)."
Master of Arts in Anthropology,https://grad.ucla.edu/programs/social-sciences/anthropology/
PhD in Anthropology,https://anthro.ucla.edu/
Master of Applied Economics,https://grad.ucla.edu/requirements/?app=admission&major=009Q
Master of Arts in Applied Linguistics,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu/)."
PhD in Applied Linguistics,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu/)."
Master of Applied Statistics,https://grad.ucla.edu/programs/physical-sciences/statistics-and-data-science-department/statistics-master-of-applied-statistics-and-data-science/
PhD in Archaeology,https://www.archaeology.ucla.edu/
Master of Architecture,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu/)."
Master of Science in Architecture,https://grad.ucla.edu/programs/school-of-arts-and-architecture/architecture-and-urban-design-department/architecture-m-s/
PhD in Architecture,https://aud.ucla.edu/academics
Master of Fine Arts in Art,https://www.art.ucla.edu/graduate/
Master of Arts in Art History,https://grad.illinois.edu/admissions/programs
PhD in Art History,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu/)."
Master of Arts in Asian American Studies,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu/)."
Master of Arts in Asian Languages and Cultures,https://www.idp.com/universities-and-colleges/university-of-wisconsin-madison/master-of-arts-in-asian-languages-and-cultures/PRG-US-00297545/
PhD in Asian Languages and Cultures,https://www.alc.ucla.edu/graduate/
PhD in Astronomy,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu/)."
Master of Science in Atmospheric and Oceanic Sciences,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu/)."
PhD in Atmospheric and Oceanic Sciences,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu/)."
"PhD in Biochemistry, Molecular and Structural Biology",https://grad.ucla.edu/programs/physical-sciences/chemistry-and-biochemistry-department/biochemistry-molecular-and-structural-biology/
Master of Science in Bioengineering,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu/)."
PhD in Bioengineering,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu/)."
PhD in Bioinformatics,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQFckytXMZtYgCAXh4tyv3WlQ3BaXyXO6j8i9pWD681Ghsgqr_FfR6SN61AckU1I7UtiVlwTWGQ75X21IXe60FYbk4BEv7mUae-3HTgb13iRdAaFq18YwXZ8Xc4I10OWwg2l-Wldofo85uPhzI-eQRI5ipmDBgPnozsv524=
Master of Science in Biology,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu/)."
PhD in Biology,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu/)."
Master of Science in Biomathematics,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu/)."
PhD in Biomathematics,https://compmed.ucla.edu/phd/overview
Master of Science in Biomedical Physics,http://campep.org/campeplstgrad.asp
PhD in Biomedical Physics,http://campep.org/campeplstgrad.asp
Master of Science in Biostatistics,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu/)."
PhD in Biostatistics,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu/)."
Master of Public Health in Biostatistics,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu/)."
Master of Business Administration,https://apply.anderson.ucla.edu/apply/
PhD in Business Administration,https://grad.ucla.edu/programs/anderson-school-of-management/management-ms-phd/
Executive Master of Business Administration,https://grad.ucla.edu/programs/anderson-school-of-management/management-executive-mba/
Master of Science in Business Analytics,https://grad.ucla.edu/programs/anderson-school-of-management/management-business-analytics-ms/
Master of Science in Chemical Engineering,https://grad.ucla.edu/programs/school-of-engineering-and-applied-science/chemical-biomolecular-engineering-department/chemical-engineering/
PhD in Chemical Engineering,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu/)."
PhD in Chemistry,https://kaust.smartcatalogiq.ca/en/2024-2025/program-guide/division-of-physical-science-and-engineering-pse/chemistry-chem/chemistry-phd-program
PhD in Chicana and Chicano Studies,https://chavez.ucla.edu/graduate-studies-program/graduate-handbooks/
Master of Science in Civil Engineering,https://www.cee.ucla.edu/graduate-requirements/
PhD in Civil Engineering,https://grad.ucla.edu/programs/school-of-engineering-and-applied-science/civil-environmental-engineering-department/civil-engineering/
Master of Arts in Classics,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu/)."
PhD in Classics,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu/)."
Master of Science in Clinical Research,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu/)."
PhD in Communication,https://comm.ucla.edu/graduate/program/
Master of Science in Community Health Sciences,https://go.okstate.edu/graduate-academics/programs/interests/health.html
PhD in Community Health Sciences,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu/)."
Master of Public Health in Community Health Sciences,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu/)."
Master of Arts in Comparative Literature,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu/)."
PhD in Comparative Literature,https://grad.illinois.edu/admissions/programs
Master of Science in Computer Science,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu/)."
PhD in Computer Science,https://areas.fuqua.duke.edu/management/ph-d-program/
Master of Science in Conservation of Cultural Heritage,http://www.fullerton.edu/basic-needs/_resources/pdfs/Student-Program-List.xlsx
Master of Arts in Culture and Performance,https://www.wacd.ucla.edu/programs/graduate/culture-and-performance
PhD in Culture and Performance,https://www.wacd.ucla.edu/programs/graduate/culture-and-performance
Master of Science in Data Science in Biomedicine,https://grad.ucla.edu/programs/david-geffen-school-of-medicine/computational-medicine-department/data-science-in-biomedicine/
Master of Science in Data Science in Health,https://grad.ucla.edu/programs/school-of-public-health/biostatistics-department/data-science-in-health/
Doctor of Dental Surgery,https://dentistry.ucla.edu/academics-admissions/dds-program
Master of Science in Dentistry,https://www.sterngold.com/blog/us-schools-restorative-dentistry-programs/
Master of Fine Arts in Design | Media Arts,http://projects.dma.ucla.edu/exhibitions/context-collapse/
Master of Arts in East Asian Studies,https://www.international.ucla.edu/easma
PhD in Ecology and Evolutionary Biology,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu/)."
PhD in Economics,https://economics.ucla.edu/wp-content/uploads/2016/10/GRADUATE-PROGRAM-HANDBOOK.pdf
Master of Arts in Education,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu/)."
PhD in Education,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu/)."
Doctor of Education,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu/)."
Master of Education,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu/)."
Master of Science in Electrical and Computer Engineering,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu/)."
PhD in Electrical and Computer Engineering,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu/)."
Master of Science in Engineering (Online),https://grad.ucla.edu/graduate-program-requirements/program-requirements-for-engineering-schoolwide-programs-6-2-2-2-2-2-2-2-2/
Master of Arts in English,https://www.sas.rochester.edu/eng/graduate/ma/index.html
PhD in English,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu/)."
Master of Science in Environmental Health Sciences,https://ph.ucla.edu/sitemap
PhD in Environmental Health Sciences,https://californiadegrees.org/public-health/schools-of-public-health/
Master of Public Health in Environmental Health Sciences,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu/)."
Doctor of Environmental Science and Engineering,https://www.ioes.ucla.edu/wp-content/uploads/2025/10/ESE-Program-Manual-2025-26.pdf
Master of Science in Epidemiology,https://ph.ucla.edu/about/faculty-staff-directory/alexandra-binder
PhD in Epidemiology,https://ph.ucla.edu/taxonomy/term/106?page=1
Master of Public Health in Epidemiology,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu/)."
Master of Arts in Ethnomusicology,https://schoolofmusic.ucla.edu/admissions/graduate/ethnomusicology/
PhD in Ethnomusicology,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu/)."
Master of Arts in European Studies,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu/)."
Master of Fine Arts in Film and Television,https://www.gradschools.com/programs/media-arts/film-television?near=los-angeles
PhD in Film and Television,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu/)."
Master of Financial Engineering,https://www.youtube.com/watch?v=-FXfW6A9wZU
Master of Arts in French and Francophone Studies,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu/)."
PhD in French and Francophone Studies,https://catalog.registrar.ucla.edu/major/2021/frenchandfrancophonestudiesmacphilphd?siteYear=2021
Master of Arts in Gender Studies,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu/)."
PhD in Gender Studies,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu/)."
