Concentration name,description,program website url,Accreditation status,Program name,Program Page url,Level
"Digital Design and Manufacturing; Health and Built Environment; History, Theory and Society; Informal Urbanism; Sustainable Design; Urban Design",The Master of Advanced Architectural Design (MAAD) is a post-professional degree program for students who already hold a professional Bachelor of Architecture (BArch) or Master of Architecture (MArch) degree. The program provides the opportunity for students to pursue specialized research and design in a variety of areas. This two-semester program is intended for individuals who want to develop a specific design or research interest through further study. Successful applicants will have an interest in a particular area of architectural research or design and will have articulated a clear focus for their work. The program is specifically designed to allow students to take advantage of the faculty’s expertise in a wide range of fields.,https://ced.berkeley.edu/programs/architecture/master-of-advanced-architectural-design-maad,The Master of Advanced Architectural Design (MAAD) is a post-professional degree and is not accredited by the National Architectural Accrediting Board (NAAB).,Master of Advanced Architectural Design,https://urbanaffairsassociation.org/2025/07/31/assistant-professor-architectural-design-and-engaged-practice-architecture-university-of-california-berkeley/,
"Aerospace Engineering, Integrated Circuit Design","The Master of Advanced Study (MAS) is a professional master’s degree program for students who have already completed an undergraduate degree in engineering or a related field, and who are looking to advance their careers. These programs provide a deep technical foundation in a specific area of engineering, while also developing leadership and management skills.",https://engineering.berkeley.edu/academics/programs/professional-masters/master-of-advanced-study-mas/,,Master of Advanced Study in Engineering,https://grad.berkeley.edu/admissions/our-programs/,
,"The doctoral program is designed to provide students with the research and teaching skills to examine the experiences of people of African descent and the social and cultural forces that shape those experiences. It is an interdisciplinary program that focuses on the African Diaspora in its historical and contemporary dimensions. Students are expected to master a body of knowledge in African American and African Diaspora Studies and to develop a disciplinary or multi-disciplinary concentration. The program consists of coursework, a qualifying examination, and a dissertation.",https://africam.berkeley.edu/graduate-program/doctor-philosophy,,Doctor of Philosophy in African American Studies,https://africam.berkeley.edu/home/contact-information,
,"The Department of African American Studies offers a program of graduate study leading to the MA and PhD degrees. Our graduate program is based on a multidisciplinary and interdisciplinary approach to the study of the history, culture, and society of Black people in the United States, the Caribbean, and the African diaspora. We invite applications from students who have already earned the BA or an equivalent degree. We also welcome applications from students who have already completed the MA in African American Studies or related fields for admission to the PhD program. Students should indicate on the application whether they are applying for the MA or the PhD. Students admitted for the MA may apply for the PhD program at the end of their second year. All students in the MA/PhD program are required to demonstrate competence in a language other than English.",https://grad.berkeley.edu/program/african-american-studies/,,Master of Arts in African American Studies,https://grad.berkeley.edu/admissions/our-programs/,
,"The Department of Agricultural and Resource Economics (ARE) offers a program of academic study leading to the PhD degree. The PhD program is designed to prepare students for careers in research, teaching, and government service. It provides a strong foundation in economic theory and quantitative methods and encourages students to apply these tools to problems in agricultural, environmental, and resource economics, and international development. Students are encouraged to develop their own research interests early in the program and to work closely with faculty members on research projects.",https://are.berkeley.edu/,,Doctor of Philosophy in Agricultural and Resource Economics,https://aczx.eu.org/atoz/,
Analytics,"The Master of Analytics program at UC Berkeley is designed for individuals who want to lead the way in using data to make better decisions. The program provides students with a strong foundation in the mathematical and computational tools of analytics, as well as the practical skills needed to apply these tools to real-world problems. The program is offered by the Department of Industrial Engineering & Operations Research (IEOR) and is designed for students with a strong quantitative background who are looking to pursue careers as data scientists, analysts, or consultants in industry, government, or non-profit sectors.",https://analytics.berkeley.edu/,,Master of Analytics,https://ieor.berkeley.edu/berkeley-engineering-launches-redesigned-master-of-analytics-website/,
,"Ancient History and Mediterranean Archaeology (AHMA) is an interdepartmental program that offers a course of study leading to the PhD degree. The group is composed of more than thirty faculty members from the following departments: Anthropology, Art History, Classics, History, Middle Eastern Languages and Cultures, and Philosophy. The program provides students with a broad background in the history and archaeology of the ancient Mediterranean and Near Eastern worlds, and offers specialized training in various disciplines and sub-fields.",http://ahma.berkeley.edu,,Doctor of Philosophy in Ancient History and Mediterranean Archaeology,https://grad.berkeley.edu/admissions/our-programs/,
"Archaeology, Biological Anthropology, Sociocultural Anthropology, Medical Anthropology (joint with UCSF)","The Department of Anthropology offers a doctoral program in the standard subfields of the discipline—archaeology, biological anthropology, and sociocultural anthropology. In addition, there is a joint program with the University of California, San Francisco, in medical anthropology. Students in the Berkeley program have the opportunity to participate in a variety of interdisciplinary concentrations as well as in the programs of several centers and institutes.",https://anthropology.berkeley.edu/,,Doctor of Philosophy in Anthropology,https://grad.berkeley.edu/admissions/our-programs/,
,"Applied Mathematics at Berkeley has a long history. Since its beginnings, the Applied Mathematics program has focused on the creation and analysis of mathematical modeling for the physical and biological sciences and for engineering. Today the program encompasses a wide range of research in numerical analysis, scientific computing, partial differential equations, and many others. The PhD in Applied Mathematics is a program of the Department of Mathematics. Many of the requirements for the Applied Mathematics PhD program are the same as those for the Mathematics PhD program. However, the programs also have several significant differences. For example, students in Applied Mathematics must take at least two graduate courses in some field of application (such as physics, engineering, or biology).",http://math.berkeley.edu/,,Doctor of Philosophy in Applied Mathematics,https://grad.berkeley.edu/admissions/our-programs/,
"Applied Physics, Biophysics, Chemistry and Chemical Biology, Mathematical Sciences, and Nanotechnology","The Applied Science & Technology (AS&T) Graduate Group offers an interdisciplinary program of study and research leading to the doctor of philosophy degree. The program is designed for students with strong backgrounds in physical science, mathematics and engineering who want to pursue research in areas that span multiple disciplines. AS&T research areas include: applied physics; biophysics; chemistry and chemical biology; mathematical sciences; and nanotechnology.",https://ast.berkeley.edu/,,Doctor of Philosophy in Applied Science and Technology,https://engineering.berkeley.edu/wp-content/uploads/2025/03/2024-Graduate-Brochure-Web_update.pdf,PhD
