QsWorldRanking,School,MaxFails,MaxGPA,MinGPA,PreviousYearAcceptanceRates,Term,LiveDate,DeadlineDate,Fees,AverageScholarshipAmount,CostPerCredit,ScholarshipAmount,ScholarshipPercentage,ScholarshipType,Program duration,Tuition fee,Program name,Program Page url
,College of Environmental Design,,,,,,,,,,,,,,,,Master of Advanced Architectural Design,https://urbanaffairsassociation.org/2025/07/31/assistant-professor-architectural-design-and-engaged-practice-architecture-university-of-california-berkeley/
,College of Engineering,,4.0,3.0,,Fall,,,,,,,,,,,Master of Advanced Study in Engineering,https://grad.berkeley.edu/admissions/our-programs/
12,College of Letters & Science,,4.0,3.0,,Fall,,,"$20,830/Year",,,,,"Fellowships, Graduate Student Instructorships (GSI), and Graduate Student Researchers (GSR)",6 years,"$20,830/Year",Doctor of Philosophy in African American Studies,https://africam.berkeley.edu/home/contact-information
,College of Letters & Science,,4.0,3.0,,Fall,,,"$16,144/Year",,,,,"Fellowships, Graduate Student Instructor (GSI) positions, Graduate Student Researcher (GSR) positions",2 years,"$16,144/Year",Master of Arts in African American Studies,https://grad.berkeley.edu/admissions/our-programs/
,,,,,,,,,,,,,,,,,Doctor of Philosophy in Agricultural and Resource Economics,https://aczx.eu.org/atoz/
12,College of Engineering,,4.0,3.0,,Fall,,,"$64,258/Year",,,,,Merit-based,11 months,"$64,258/Year",Master of Analytics,https://ieor.berkeley.edu/berkeley-engineering-launches-redesigned-master-of-analytics-website/
,Graduate Division,,4.0,3.0,,Fall,,,"$21,114/Year",,,,,Merit-based,,"$21,114/Year",Doctor of Philosophy in Ancient History and Mediterranean Archaeology,https://grad.berkeley.edu/admissions/our-programs/
,College of Letters and Science,,4.0,3.0,,Fall,,,21010,,,,,"Fellowships, Teaching Assistantships, Research Assistantships",6 years,"$21,010/Year",Doctor of Philosophy in Anthropology,https://grad.berkeley.edu/admissions/our-programs/
12,College of Letters & Science,,4.0,3.0,,Fall,September 2025,"December 15, 2025","$21,142/Year",,,Full funding (tuition and stipend) is typically provided for PhD students,,"Fellowships, Graduate Student Instructorships (GSI), and Research Assistantships (GSR)",5-6 years,"$21,142/Year (Resident)",Doctor of Philosophy in Applied Mathematics,https://grad.berkeley.edu/admissions/our-programs/
,College of Engineering,,,3.0,,Fall,,,,,,,,"Fellowships, Research Assistantships, and Teaching Assistantships",,,Doctor of Philosophy in Applied Science and Technology,https://engineering.berkeley.edu/wp-content/uploads/2025/03/2024-Graduate-Brochure-Web_update.pdf
,College of Environmental Design,,4.0,3.0,,Fall,,,,,,,,Merit-based,2 or 3 years,,Master of Architecture,https://grad.berkeley.edu/admissions/our-programs/
,College of Environmental Design,,4.0,3.0,,Fall,,,"$34,440/Year (Resident); $53,880/Year (Non-Resident)",,,,,"Departmental fellowships, Graduate Student Instructorships (GSIs), and Readerships",2 years (Option 2) or 3 years (Option 1),"$34,440/Year (Resident); $53,880/Year (Non-Resident)",Master of Science in Architecture,https://ced.berkeley.edu/arch/degrees-admissions/master-of-architecture
,College of Environmental Design,,4.0,3.0,,Fall,,,,,,,,"Fellowships, Graduate Student Instructor (GSI) positions, and Graduate Student Researcher (GSR) positions",,,Doctor of Philosophy in Architecture,https://ced.berkeley.edu/admissions/graduate-admissions
,Department of Art Practice,,,,,Fall,September 2025,,,,,,,"Departmental MFA Fellowships, Regents’ Fellowship, Chancellor’s Fellowship, Foreign Language Area Studies (FLAS) Fellowships, UC Berkeley Berkeley Center for New Media (BCNM) fellowships",2 years,,Master of Fine Arts in Art Practice,https://art.berkeley.edu/degrees/master-fine-arts-mfa-degree
,Group in Asian Studies,,,3.0,,Fall,,,,,,,,"Fellowships (FLAS, Graduate Division, Departmental)",2 years,,Master of Arts in Asian Studies,https://asianstudies.berkeley.edu/give
12,College of Letters & Science / Department of South & Southeast Asian Studies,,4.0,3.0,,Fall,,,"$14,034/Year (Resident); $29,136/Year (Non-resident)",,,"Full funding (stipend, tuition, and health insurance)",,"Merit-based (Multi-year funding packages, fellowships, and teaching assistantships)",,"$14,034/Year (Resident); $29,136/Year (Non-resident)",Doctor of Philosophy in Asian Studies,https://grad.berkeley.edu/program/south-southeast-asian-studies-phd/
12,College of Letters & Science,,4.0,3.0,,Fall,,,"$10,149/Semester",,,,,"Fellowships, Research Assistantships, Teaching Assistantships",5-6 years,"$10,149/Semester",Doctor of Philosophy in Astronomy,https://grad.berkeley.edu/admissions/our-programs/
,Department of Astronomy,,,3.0,,Fall,,,,,,,,"Fellowships, Graduate Student Researcher (GSR), Graduate Student Instructor (GSI)",6 years,,Doctor of Philosophy in Astrophysics,https://dl.icdst.org/pdfs/files4/edb8a57bc77238ec7d731ae59083380c.pdf
,,,,,,,,,,,,,,,,,Master of Science in Bioengineering,https://nces.ed.gov/programs/coe/indicator/cts
,College of Engineering,,4.0,3.0,,Fall,,,"$21,114/Year",,,,,"Fellowships, Graduate Student Instructorships (GSI), Graduate Student Researcher (GSR) positions",,"$21,114/Year",Doctor of Philosophy in Bioengineering,https://grad.berkeley.edu/admissions/our-programs/
,School of Public Health,,4.0,3.0,,Fall,,,"$15,850/Year",,,,,,2 years,"$15,850/Year",Master of Arts in Biostatistics,https://grad.berkeley.edu/admissions/our-programs/
,School of Public Health,,,3.0,,Fall,,,"$15,826/Year",,,,,"Fellowships, Research Assistantships (GSR), Teaching Assistantships (GSI)",5 years,"$15,826/Year",Doctor of Philosophy in Biostatistics,https://grad.berkeley.edu/admissions/our-programs/
,Haas School of Business,,4.0,3.0,,Fall,,,,,,,,,,,Master of Business Administration,https://grad.berkeley.edu/admissions/our-programs/
,Haas School of Business,,4.0,3.0,,Fall,,,,,,,,"Fellowship, Research Assistantship, Teaching Assistantship",5-6 years,,Doctor of Philosophy in Business Administration,https://haas.berkeley.edu/phd/admissions/
12,College of Chemistry,,4.0,3.0,14%,Fall,,,"$15,312/Year (Resident); $30,414/Year (Non-resident)",,,,,,1.5 - 2 years,"$15,312/Year (Resident); $30,414/Year (Non-resident)",Master of Science in Chemical Engineering,https://grad.berkeley.edu/admissions/our-programs/
,College of Chemistry,,,,,,,,,,,,,,,,Doctor of Philosophy in Chemical Engineering,https://chemistry.berkeley.edu/sites/default/files/coc-facts_2021-22.pdf
,College of Chemistry,,4.0,3.0,,Fall,,,"$21,110/Year (Resident); $36,212/Year (Non-resident)",,,,,"Fellowships, Research Assistantships, and Teaching Assistantships",5 years,"$21,110/Year (Resident); $36,212/Year (Non-resident)",Doctor of Philosophy in Chemistry,https://grad.berkeley.edu/admissions/our-programs/
,College of Environmental Design,,4.0,3.0,,Fall,,,,,,,,"Departmental fellowships, need-based aid, and teaching or research assistantships",2 years,,Master of City Planning,https://ced.berkeley.edu/city/degrees-admissions/master-of-city-planning
,,,,,,,,,,,,,,,,,Doctor of Philosophy in City and Regional Planning,https://crp.metu.edu.tr/en/phd-city-and-regional-planning
,College of Engineering,,4.0,3.0,,Fall,,,"$56,128/Year",,,,,Merit-based,1 year,"$56,128/Year",Master of Engineering in Civil and Environmental Engineering,https://grad.berkeley.edu/admissions/our-programs/
,College of Engineering,,4.0,3.0,,Fall,,,"$15,312/Year (Resident) or $30,414/Year (Non-Resident)",,,"Up to $33,000/Year plus tuition and fees",,Merit-based and Diversity-based,1 year,"$15,312/Year (Resident) or $30,414/Year (Non-Resident)",Master of Science in Civil and Environmental Engineering,https://grad.berkeley.edu/admissions/our-programs/
,College of Engineering,,4.0,3.0,,Fall,,,"$21,118/Year",,,,,,5-6 years,"$21,118/Year",Doctor of Philosophy in Civil and Environmental Engineering,https://grad.berkeley.edu/admissions/our-programs/
12,College of Letters and Science,,4.0,3.0,6%,Fall,September 2025,"December 2, 2025","$16,134/Year",,,"Full funding (covers tuition, fees, and stipend) for 5-6 years",,"Fellowships, Graduate Student Instructor (GSI) positions, and Graduate Student Researcher (GSR) positions",6 years,"$16,134/Year",Doctor of Philosophy in Classics,https://dagrs.berkeley.edu/
12,College of Letters & Science,,4.0,3.0,6.4%,Fall,,,"$16,564/Year",,,,,"Merit-based fellowships (University and Departmental), Teaching Assistantships (GSI), and Research Assistantships (GSR)",6 years,"$16,564/Year",Doctor of Philosophy in Comparative Literature,https://complit.berkeley.edu/home
