Resume,StatementOfPurpose,Requirements,WritingSample,IsAnalyticalNotRequired,IsAnalyticalOptional,IsRecommendationSystemOpted,IsStemProgram,IsACTRequired,IsSATRequired,MinimumACTScore,MinimumSATScore,extraction_level,Program name,Program Page url,error
,,,,True,False,False,False,False,False,,,program,Doctor of Education in Educational Leadership,https://www.baypath.edu/academics/graduate-programs/educational-leadership-edd/,
Required,Required,"The Ph.D. program in Clinical Psychology begins in the fall semester of each year. To be considered for admission, all application materials must be received on or before December 1. Applicants must have an undergraduate degree in psychology or 24 credit hours of psychology coursework, including courses in statistics and research methods from an accredited university. The required application materials include: Online Application for Admission to UHCL Graduate School, Application Fee, Official Transcripts from all schools attended, Official Graduate Record Examination (GRE) General Test Scores, Three Letters of Recommendation, Curriculum Vitae (CV)/Resume, Statement of Purpose, Writing Sample. Please note: For the 2024-2025 application cycle, the GRE will be optional.",Required,True,True,True,False,False,False,,,program,Doctor of Philosophy in Clinical Psychology,https://www.uhcl.edu/human-sciences-humanities/departments/psychological-and-behavioral-health-sciences/clinical-psychology/,
Required,Required,"To apply, you must submit a graduate application online through Apply Texas and pay the non-refundable application fee. Official transcripts from all institutions attended are required, along with a Master's Degree from an accredited university; a minimum cumulative GPA of 3.0 on a 4.0 scale for the last 60 hours of coursework is preferred. Applicants must also provide a professional resume/vita, three letters of recommendation, a 300-500 word statement of career goals and purpose, and a scholarly writing sample that demonstrates research and writing ability (e.g., Master's thesis, peer-reviewed article, book chapter). A valid Texas teaching certificate and three years of successful, full-time teaching experience in an accredited PK-12 school are also required. Finally, an interview with the Doctoral Admissions Committee is required for all admission candidates. International applicants may need to provide official TOEFL scores.",Required,True,False,,True,False,False,,,program,"Doctor of Education in Curriculum and Instruction with a focus on science, technology, engineering, and mathematics",https://www.uhcl.edu/education/departments/teaching-learning-and-educator-preparation/curriculum-and-instruction/doctoral-curriculum-instruction-stem/,
Not Required,Not Required,"When you apply, you'll need to submit the following:

Graduate Application: Submit the online application for graduate students through Apply Texas.
Application Fee: Pay the non-refundable fee.
Transcripts: Submit official transcripts from all colleges and universities attended.
GRE Requirements: No GRE is required.",Not Required,True,False,False,False,False,False,,,program,Master of Arts in Curriculum and Instruction,https://www.uhcl.edu/academics/degrees/curriculum-instruction-ms,
Not Required,Not Required,GPA Requirements: Applicants must have a minimum 2.500 cumulative GPA on the last 60 hours of coursework. Applicants who do not meet the minimum GPA requirement may be considered for conditional admission.,Not Required,True,True,,False,False,False,,,program,Master of Arts in Educational Leadership and Administration,https://www.uhcl.edu/academics/degrees/educational-leadership-and-administration-ms,
Required,Required,"To apply for the Instructional Design and Technology M.S., you will need to submit an application for admission and the following required documents:

*   Transcripts: Official transcripts from every college or university attended, including community college.
*   GPA: A cumulative GPA of at least 2.5 is required for admission consideration.
*   Required Documents: A personal statement (250-500 words), and a resume.
*   GRE Scores: Not required.",Not Required,True,False,False,False,False,False,,,program,Master of Arts in Educational/Instructional Technology,https://www.uhcl.edu/academics/degrees/,
,,,,,,,,,,,,error,Master of Arts in Counselor Education/School Counseling and Guidance Services,https://www.uhcl.edu/academics/degrees/school-counseling-ms,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
,,,,False,False,False,False,False,False,,,program,Master of Arts in Early Childhood Education and Teaching,https://coe.uga.edu/academics/graduate/,
Required,Not Required,"University of Houston-Clear Lake's College of Business is proud to have a diverse student body. We welcome all applicants with a 4-year bachelor's degree (or foreign equivalent) from an accredited university to apply. New Student Admission for the MBA Program is a competitive process. To be considered for admission, all candidates are evaluated based on the following criteria: 1. Undergraduate GPA, 2. GMAT/GRE Score*, 3. Professional Experience, 4. Other Considerations (e.g. advanced degrees, professional certifications). *The GMAT/GRE requirement is currently waived through Fall 2026. The College of Business reserves the right to request a GMAT/GRE score from any applicant.",Not Required,True,False,False,False,False,False,,,program,Master of Business Administration,https://www.uhcl.edu/academics/degrees/,
Not Required,Not Required,"Applicants to the M.S. in Accounting program must meet the general graduate admission requirements of the College of Business as well as the specific requirements for the M.S. in Accounting. College of Business general graduate admission requirements include a minimum GMAT score of 450 with a minimum of 10% on the verbal and quantitative sections of the exam, and a GPA of 2.5. Students that do not meet these criteria may be considered for conditional admission. A GMAT waiver may be considered for M.S. in Accounting applicants who have: an advanced degree (e.g., master's, doctoral, professional degree such as law or medicine) from a U.S. regionally-accredited institution; a GPA of 3.0 or greater from a U.S. regionally-accredited institution, including 12 hours of upper-level (junior or senior) accounting coursework with a GPA of 3.0 or greater.",Not Required,True,False,False,True,False,False,,,program,Master of Science in Accounting,https://www.uhcl.edu/academics/degrees/accounting-ms,
Optional,Not Required,"To apply for a graduate program in business, you will need to submit an application through Apply Texas and pay the application fee. You will also need to submit official transcripts from all institutions attended. We do not require letters of recommendation or personal statements. However, you can submit an optional resume with your application. Certain programs also require an entrance exam.",,False,True,False,True,False,False,,,program,Master of Science in Finance,https://www.uhcl.edu/academics/degrees/finance-ms,
