Program name,Program Page url
Doctor of Education in Educational Leadership,https://www.baypath.edu/academics/graduate-programs/educational-leadership-edd/
Doctor of Philosophy in Clinical Psychology,https://www.uhcl.edu/human-sciences-humanities/departments/psychological-and-behavioral-health-sciences/clinical-psychology/
"Doctor of Education in Curriculum and Instruction with a focus on science, technology, engineering, and mathematics",https://www.uhcl.edu/education/departments/teaching-learning-and-educator-preparation/curriculum-and-instruction/doctoral-curriculum-instruction-stem/
Master of Arts in Curriculum and Instruction,https://www.uhcl.edu/academics/degrees/curriculum-instruction-ms
Master of Arts in Educational Leadership and Administration,https://www.uhcl.edu/academics/degrees/educational-leadership-and-administration-ms
Master of Arts in Educational/Instructional Technology,https://www.uhcl.edu/academics/degrees/
Master of Arts in Counselor Education/School Counseling and Guidance Services,https://www.uhcl.edu/academics/degrees/school-counseling-ms
Master of Arts in Early Childhood Education and Teaching,https://coe.uga.edu/academics/graduate/
Master of Business Administration,https://www.uhcl.edu/academics/degrees/
Master of Science in Accounting,https://www.uhcl.edu/academics/degrees/accounting-ms
Master of Science in Finance,https://www.uhcl.edu/academics/degrees/finance-ms
Master of Science in Human Resources Development,https://www.uhcl.edu/academics/degrees/
Master of Science in Computer Engineering,https://www.uhcl.edu/academics/degrees/
Master of Science in Computer Software Engineering,https://www.uhcl.edu/academics/degrees/software-engineering-ms
Master of Science in Systems Engineering,https://www.uhcl.edu/academics/degrees/
Master of Science in Chemistry,https://indoglobalstudies.org/course-detail?course_id=956&university_id=56
Master of Science in Computer Science,https://www.uhcl.edu/academics/degrees/
Master of Arts in History,https://www.uhcl.edu/academics/degrees/
Master of Science in Mathematics and Statistics,https://www.uhcl.edu/academics/degrees/mathematical-and-statistical-sciences-ms
Master of Science in Healthcare Management,https://www.uhcl.edu/academics/degrees/healthcare-administration-mha
Master of Science in Information Science,https://www.uhcl.edu/academics/degrees/school-library-information-science-ms
Master of Science in Exercise Physiology,https://www.uhcl.edu/academics/degrees/
Master of Science in Industrial Management,https://www.uhcl.edu/academics/degrees/industrial-organizational-psychology-ma
Master of Science in Computer Hardware Engineering,https://www.uhcl.edu/academics/degrees/
Project Management Certificate,https://www.uhcl.edu/academics/degrees/
Management of Technology Certificate,https://www.uhcl.edu/academics/degrees/
Distance Education Certificate,https://www.uhcl.edu/academics/degrees/uhcl-distance-education-certificate
