Id,ProgramName,ProgramCode,Status,CreatedDate,UpdatedDate,Level,Term,TermCode,LiveDate,DeadlineDate,Resume,StatementOfPurpose,GreOrGmat,EnglishScore,Requirements,WritingSample,CollegeId,IsAnalyticalNotRequired,IsAnalyticalOptional,IsDuoLingoRequired,IsELSRequired,IsGMATOrGreRequired,IsGMATRequired,IsGreRequired,IsIELTSRequired,IsLSATRequired,IsMATRequired,IsMCATRequired,IsPTERequired,IsTOEFLIBRequired,IsTOEFLPBTRequired,IsEnglishNotRequired,IsEnglishOptional,AcademicYear,AlternateProgram,ApplicationType,Department,Fees,Fees,IsAvailable,ProgramType,AdmissionDepartmentId,CreatedBy,UpdatedBy,Concentration,Description,OtherConcentrations,ProgramWebsiteURL,Accredidation,AverageScholarshipAmount,CostPerCredit,IsRecommendationSystemOpted,IsStemProgram,MaxFails,MaxGPA,MinGPA,PreviousYearAcceptanceRates,QsWorldRanking,TotalAccepetedApplications,TotalCredits,TotalDeniedApplications,TotalI20sIssued,TotalScholarshipsAwarded,TotalSubmittedApplications,TotalVisasSecured,UsNewsRanking,CollegeApplicationFee,IsCollegePaying,MEContractNegotiatedFee,MyGradAppFee,ProgramCategory,IsCollegeApplicationFree,IsCouponAllowed,IsACTRequired,IsSATRequired,SftpDestinationId,MinimumACTScore,MinimumDuoLingoScore,MinimumELSScore,MinimumGMATScore,MinimumGreScore,MinimumIELTSScore,MinimumMATScore,MinimumMCATScore,MinimumPTEScore,MinimumSATScore,MinimumTOEFLScore,MLModelName,MinimumAnalyticalScore,MinimumEnglishScore,MinimumExperience,MinimumSopRating,WeightAnalytical,WeightEnglish,WeightExperience,WeightGPA,WeightSop,ScholarshipAmount,ScholarshipPercentage,ScholarshipType,IsNewlyLaunched,BatchId,IsImported,IsImportVerified,Is_Recommendation_Sponser,AnalyticalScore,MinimumLSATScore
,Doctor of Education in Educational Leadership,,,,,Doctoral,Fall,,,,,,Not Required,REQUIRED,,,,True,False,True,True,False,False,,True,False,False,False,True,True,False,False,False,,,,"School of Education, Human & Health Sciences",1475,"49,410 / Program",,,,,,,"The Educational Leadership Doctorate at University of Houston-Clear Lake is a professional degree designed to develop effective, ethical and socially responsible leaders who will transform and improve educational organizations. Our Educational Leadership Doctorate program prepares you to serve in formal school leadership positions, as a superintendent, principal or other school administrator. You will earn your Ed.D. by completing cohort-based courses in a prescribed sequence. You will also participate in labs and field experiences designed to facilitate the integration of theory and practice. The final clinical dissertation requires you to identify and resolve a real problem of practice.",,https://www.baypath.edu/academics/graduate-programs/educational-leadership-edd/,The College of Education is accredited by the Texas Education Agency (TEA). It is also accredited by the Council for the Accreditation of Educator Preparation (CAEP).,,915,False,False,1.0,4.0,3.0,,,,,,,,,,,,,,,,,,False,False,,,105,112.0,,,6.5,,,53,,80,,,,,,,,,,,,,,,,,,,,
,Doctor of Philosophy in Clinical Psychology,,,,,Doctoral,Fall,,,,Required,Required,Optional,REQUIRED,"The Ph.D. program in Clinical Psychology begins in the fall semester of each year. To be considered for admission, all application materials must be received on or before December 1. Applicants must have an undergraduate degree in psychology or 24 credit hours of psychology coursework, including courses in statistics and research methods from an accredited university. The required application materials include: Online Application for Admission to UHCL Graduate School, Application Fee, Official Transcripts from all schools attended, Official Graduate Record Examination (GRE) General Test Scores, Three Letters of Recommendation, Curriculum Vitae (CV)/Resume, Statement of Purpose, Writing Sample. Please note: For the 2024-2025 application cycle, the GRE will be optional.",Required,,True,True,True,True,False,False,,True,False,False,False,True,True,True,False,False,,,,College of Human Sciences and Humanities,,10715.50,,,,,,,"The Doctor of Philosophy (Ph.D.) in Clinical Psychology program is based on a scientist-practitioner model of training. The program trains students in the foundations of clinical psychological science and evidence-based practice of psychology. The goal of the Ph.D. in Clinical Psychology is to graduate doctoral-level psychologists who are well-rounded in their clinical, theoretical, and empirical knowledge and skills. Our program is a full-time, in-person, year-round program located at the main UHCL campus. Consistent with our mission, the program emphasizes the provision of culturally-sensitive psychological services to diverse populations.",,https://www.uhcl.edu/human-sciences-humanities/departments/psychological-and-behavioral-health-sciences/clinical-psychology/,"The Ph.D. in Clinical Psychology program is accredited by the Commission on Accreditation of the American Psychological Association (APA). Our next site visit will be in 2029. Questions related to the program's accredited status should be directed to the Commission on Accreditation: Office of Program Consultation and Accreditation American Psychological Association 750 1st Street, NE, Washington, DC 20002 Phone: (202) 336-5979 / E-mail: apaaccred@apa.org Web: www.apa.org/ed/accreditation",,642.75,True,False,,4.0,3.5,,,,,,,,,,,,,,,,,,False,False,,,105,112.0,,,6.0,,,53,,79,,,,,,,,,,,,,"Tuition Waiver, Graduate Assistantship",,,,,,,
,"Doctor of Education in Curriculum and Instruction with a focus on science, technology, engineering, and mathematics",,,,,Doctoral,Fall,,Fall 2025,Early Spring 2026,Required,Required,GRE,REQUIRED,"To apply, you must submit a graduate application online through Apply Texas and pay the non-refundable application fee. Official transcripts from all institutions attended are required, along with a Master's Degree from an accredited university; a minimum cumulative GPA of 3.0 on a 4.0 scale for the last 60 hours of coursework is preferred. Applicants must also provide a professional resume/vita, three letters of recommendation, a 300-500 word statement of career goals and purpose, and a scholarly writing sample that demonstrates research and writing ability (e.g., Master's thesis, peer-reviewed article, book chapter). A valid Texas teaching certificate and three years of successful, full-time teaching experience in an accredited PK-12 school are also required. Finally, an interview with the Doctoral Admissions Committee is required for all admission candidates. International applicants may need to provide official TOEFL scores.",Required,,True,False,True,True,True,False,,True,False,False,False,True,True,True,False,False,,,,College of Education,,,,,,,,"science, technology, engineering, and mathematics (STEM)","The Doctor of Education in Curriculum and Instruction with a focus on science, technology, engineering, and mathematics (STEM) from University of Houston-Clear Lake is a 60-hour program designed to develop you into a leader in curriculum and instruction. Whether you're interested in working as a faculty member at a college or university, or serving as a curriculum leader in a school district or the private sector, our goal is to cultivate your skills and give you the tools and experiences you'll need to succeed. Our dynamic and highly-qualified faculty will help you build your knowledge in pedagogy, research, and curriculum, and your coursework will explore subjects such as diversity, social justice, and educational foundations. With its strong emphasis on research, the Ed.D. will also prepare you to identify a subject you’re passionate about and complete a doctoral dissertation.",,https://www.uhcl.edu/education/departments/teaching-learning-and-educator-preparation/curriculum-and-instruction/doctoral-curriculum-instruction-stem/,The College of Education at University of Houston-Clear Lake is accredited by the Council for the Accreditation of Educator Preparation (CAEP). This accreditation covers initial teacher preparation programs and advanced educator preparation programs.,,Texas Resident: $520.25 per credit hour; Non-Resident: $960.25 per credit hour,,True,,4.0,3.0,,,,,,,,,,,,,,,,,,False,False,,,105,112.0,,,6.0,,,53,,79,,,,,,,,,,,"Varies by scholarship, with several offering up to $1,000.",,"Merit-based, Need-based",,,,,,,
,Master of Arts in Curriculum and Instruction,,,,,Graduate,"Fall, Spring, Summer",,,,Not Required,Not Required,Not Required,REQUIRED,"When you apply, you'll need to submit the following:

Graduate Application: Submit the online application for graduate students through Apply Texas.
Application Fee: Pay the non-refundable fee.
Transcripts: Submit official transcripts from all colleges and universities attended.
GRE Requirements: No GRE is required.",Not Required,,True,False,True,True,False,False,,True,False,False,False,True,True,True,False,False,,,,College of Education,9498,"$9,498/Year (based on 9 credits/semester for a Texas Resident)",,,,,,"Bilingual Education, Early Childhood, Educational Technology (Instructional Technology), Reading Specialist, School Library and Information Science, Special Education, ESL","The University of Houston-Clear Lake’s College of Education offers a Master of Science in Curriculum and Instruction that prepares you to serve in a variety of teaching and leadership positions at all levels of education, from early childhood through college and within community organizations. This degree can be completed fully online, allowing you the flexibility to complete your coursework on your own schedule. Your coursework will emphasize the use of research to make informed decisions about curriculum, instruction, and learning that can assist a diverse community of students.",,https://www.uhcl.edu/academics/degrees/curriculum-instruction-ms,,,311,False,False,,4.0,2.5,,,,,,,,,,,,,,,,,,False,False,,,105,112.0,,,6.0,,,53,,79,,,,,,,,,,,"Up to $4,000 per year",,"Merit-based, Departmental",,,,,,,
,Master of Arts in Educational Leadership and Administration,,,,,Graduate,"Fall, Spring, Summer",,,,Not Required,Not Required,Not Required,REQUIRED,GPA Requirements: Applicants must have a minimum 2.500 cumulative GPA on the last 60 hours of coursework. Applicants who do not meet the minimum GPA requirement may be considered for conditional admission.,Not Required,,True,True,True,True,False,False,,True,False,False,False,True,True,True,False,False,,,,College of Education,11598,11598,,,,,,,The University of Houston-Clear Lake’s Master of Science in Educational Leadership and Administration prepares you to become an innovative school leader who can meet the needs of diverse learning communities. The program is designed for professional educators who wish to pursue a career in public or private school administration. This degree will prepare you for the Principal as Instructional Leader Certificate and the TExES principal certification exam.,,https://www.uhcl.edu/academics/degrees/educational-leadership-and-administration-ms,UHCL’s College of Education is accredited by the Texas State Board for Educator Certification.,,336,,False,,4.0,2.5,,,,,,,,,,,,,,,,,,False,False,,,105,112.0,,,6.0,,,53,,79,,,,,,,,,,,1000,,"Merit-based, Need-based",,,,,,,
,Master of Arts in Educational/Instructional Technology,,,,,Graduate,"Fall, Spring, Summer",,,,Required,Required,Not Required,REQUIRED,"To apply for the Instructional Design and Technology M.S., you will need to submit an application for admission and the following required documents:

*   Transcripts: Official transcripts from every college or university attended, including community college.
*   GPA: A cumulative GPA of at least 2.5 is required for admission consideration.
*   Required Documents: A personal statement (250-500 words), and a resume.
*   GRE Scores: Not required.",Not Required,,True,False,True,True,False,False,,True,False,False,False,True,True,True,False,False,,,,College of Education,"Resident: $6,050.61/Semester (based on 9 credit hours); Non-Resident: $11,558.61/Semester (based on 9 credit hours)","Resident: $6,050.61/Semester (based on 9 credit hours); Non-Resident: $11,558.61/Semester (based on 9 credit hours)",,,,,,,"With technology advancing at an amazing pace, the need for individuals with the knowledge and skills to develop effective training and instructional solutions for corporations, organizations, K-12 and higher education institutions continues to grow. A Master of Arts in Educational/Instructional Technology from University of Houston-Clear Lake will prepare you to be an educational technology leader, able to succeed in multiple roles, such as an instructional designer, technology integrator, trainer, or instructional technologist.",,https://www.uhcl.edu/academics/degrees/,The College of Education is accredited by the Texas State Board for Educator Certification (SBEC). UHCL’s professional education programs are accredited by the Council for the Accreditation of Educator Preparation (CAEP).,,"Resident: $672.29; Non-Resident: $1,284.29",False,False,,4.0,2.5,,,,,,,,,,,,,,,,,,False,False,,,105,112.0,,,6.0,,,53,,79,,,,,,,,,,,"Up to $1,000 per year",,Merit-based,,,,,,,
,Master of Arts in Counselor Education/School Counseling and Guidance Services,,,,,Graduate,"Fall, Spring, Summer",,,,,,Not Required,REQUIRED,,,,,,True,False,False,False,,True,False,False,False,True,True,True,False,False,,,,College of Education,"$5,061/Semester","$5,061/Semester",,,,,,,"Become a certified school counselor and provide the critical social and emotional support students need to succeed in their academic and professional careers. The University of Houston-Clear Lake’s School Counseling M.S. program will train you to work with students from diverse backgrounds in public and private school systems from early childhood to high school. You’ll be prepared for the TExES School Counseling certification exam and for Licensed Professional Counselor (LPC) eligibility in Texas.

This master’s program will equip you with a variety of tools to become an effective, compassionate, and skilled school counselor. You’ll learn to address students’ needs with a foundation in counseling theories, techniques, and principles while gaining the real-world skills needed to help them navigate academic, emotional, and social challenges.

You’ll gain hands-on experience through practicum and internship placements in local schools, providing direct counseling services to students under the supervision of experienced professionals. This practical training is invaluable for honing your skills and building your confidence as a counselor. By working in a real-world setting, you’ll be prepared to make a meaningful difference in the lives of students from day one.

The need for school counselors is on the rise as schools recognize the importance of mental health and well-being for academic success. With a master’s degree from UHCL, you’ll be in high demand for a career that offers a competitive salary and the deep satisfaction of knowing you are making a difference. Launch a career where you can empower the next generation with the skills you learn in our graduate program.",,https://www.uhcl.edu/academics/degrees/school-counseling-ms,The School Counseling M.S. degree program at UHCL is accredited by the Council for Accreditation of Counseling and Related Educational Programs (CACREP). This prestigious accreditation signifies that our program meets the highest standards of academic and professional excellence in the field of counseling.,,"$264.90 per credit hour (tuition only, fees not included)",,,,4.0,2.5,,,,,,,,,,,,,,,,,,,,,,105,,,,6.0,,,53,,79,,,,,,,,,,,1000,,"Merit-based, Need-based",,,,,,,
,Master of Arts in Early Childhood Education and Teaching,,,,,Graduate,"Fall, Spring, Summer",,,,,,Not Required,REQUIRED,,,,False,False,True,True,False,False,,True,False,False,False,True,True,False,False,False,,,,College of Education,"$10,542/Year","$10,542/Year",,,,,,,,,https://coe.uga.edu/academics/graduate/,,,585.67,False,False,,4.0,2.5,,,,,,,,,,,,,,,,,,False,False,,,105,112.0,,,6.0,,,53,,79,,,,,,,,,,,,,"Merit-based, Need-based",,,,,,,
,Master of Business Administration,,,,,Graduate,"Fall, Spring, Summer",,,,Required,Not Required,Either,REQUIRED,"University of Houston-Clear Lake's College of Business is proud to have a diverse student body. We welcome all applicants with a 4-year bachelor's degree (or foreign equivalent) from an accredited university to apply. New Student Admission for the MBA Program is a competitive process. To be considered for admission, all candidates are evaluated based on the following criteria: 1. Undergraduate GPA, 2. GMAT/GRE Score*, 3. Professional Experience, 4. Other Considerations (e.g. advanced degrees, professional certifications). *The GMAT/GRE requirement is currently waived through Fall 2026. The College of Business reserves the right to request a GMAT/GRE score from any applicant.",Not Required,,True,False,True,True,True,True,,True,False,False,False,True,True,True,False,False,,,,College of Business,,"Less than $17,000 (resident) or $34,000 (non-resident) for the entire program",,,,,,"Business Analytics, Cybersecurity Management, Energy Management, Environmental Management, Finance, Human Resource Management, Leadership, Management of Technology-Leadership, Marketing, Sustainability, Women and Leadership, General M.B.A.","For business professionals looking to improve their career trajectory, the Master of Business Administration from the University of Houston-Clear Lake College of Business offers a high-quality education in a dynamic and supportive learning environment. The M.B.A. program has been developed to meet the needs of current and future business leaders in a fast-paced, highly competitive, and ever-changing global environment. Our graduates gain broad-based, cross-functional business knowledge with the ability to manage and lead organizations effectively.",,https://www.uhcl.edu/academics/degrees/,The College of Business is accredited by the Association to Advance Collegiate Schools of Business (AACSB) International. This distinction is held by less than 5 percent of business schools worldwide.,,$359.81/credit hour (Texas Resident); $775.81/credit hour (Non-Resident),False,False,,4.0,3.0,,,,,,,,,,,,,,,,,,False,False,,,105,112.0,450.0,,6.0,,,53,,79,,,,,,,,,,,"Up to $1,000",,"Merit-based, Need-based",,,,,,,
,Master of Science in Accounting,,,,,Graduate,"Fall, Spring, Summer",,,,Not Required,Not Required,Either,REQUIRED,"Applicants to the M.S. in Accounting program must meet the general graduate admission requirements of the College of Business as well as the specific requirements for the M.S. in Accounting. College of Business general graduate admission requirements include a minimum GMAT score of 450 with a minimum of 10% on the verbal and quantitative sections of the exam, and a GPA of 2.5. Students that do not meet these criteria may be considered for conditional admission. A GMAT waiver may be considered for M.S. in Accounting applicants who have: an advanced degree (e.g., master's, doctoral, professional degree such as law or medicine) from a U.S. regionally-accredited institution; a GPA of 3.0 or greater from a U.S. regionally-accredited institution, including 12 hours of upper-level (junior or senior) accounting coursework with a GPA of 3.0 or greater.",Not Required,,True,False,True,True,True,True,,True,False,False,False,True,True,False,False,False,,,,College of Business,"$23,377.50 (resident); $37,327.50 (non-resident)","$23,377.50 (resident); $37,327.50 (non-resident)",,,,,,,"The University of Houston-Clear Lake’s Master of Science in Accounting program offers the academic preparation necessary for you to pursue a professional career in accounting. This 30-hour program can be completed online or face-to-face, or a combination of both. Core coursework will cover relevant subject matter that includes accounting information systems, financial accounting theory and research, auditing, and accounting ethics. The program is specifically designed to satisfy the educational requirements of the Texas State Board of Public Accountancy for both the Certified Public Accountant (CPA) and the Certified Management Accountant (CMA) examinations.",,https://www.uhcl.edu/academics/degrees/accounting-ms,"The College of Business is accredited by the Association to Advance Collegiate Schools of Business (AACSB) International. This is a globally recognized, hallmark of excellence for business schools.",,"$779.25/credit (resident); $1,244.25/credit (non-resident)",False,True,,4.0,3.0,,,,,,,,,,,,,,,,,,False,False,,,105,112.0,450.0,,6.0,,,53,,79,,,,,,,,,,,"Up to $1,000",,"Merit-based, Need-based, Major-specific",,,,,,,
