QsWorldRanking,School,MaxFails,MaxGPA,MinGPA,PreviousYearAcceptanceRates,Term,LiveDate,DeadlineDate,Fees,AverageScholarshipAmount,CostPerCredit,ScholarshipAmount,ScholarshipPercentage,ScholarshipType,Program duration,Tuition fee,Program name,Program Page url
,"School of Education, Human & Health Sciences",1.0,4.0,3.0,,Fall,,,1475,,915,,,,3 years,"49,410 / Program",Doctor of Education in Educational Leadership,https://www.baypath.edu/academics/graduate-programs/educational-leadership-edd/
,College of Human Sciences and Humanities,,4.0,3.5,,Fall,,,,,642.75,,,"Tuition Waiver, Graduate Assistantship",5 years,10715.50,Doctor of Philosophy in Clinical Psychology,https://www.uhcl.edu/human-sciences-humanities/departments/psychological-and-behavioral-health-sciences/clinical-psychology/
,College of Education,,4.0,3.0,,Fall,Fall 2025,Early Spring 2026,,,Texas Resident: $520.25 per credit hour; Non-Resident: $960.25 per credit hour,"Varies by scholarship, with several offering up to $1,000.",,"Merit-based, Need-based",4 years,,"Doctor of Education in Curriculum and Instruction with a focus on science, technology, engineering, and mathematics",https://www.uhcl.edu/education/departments/teaching-learning-and-educator-preparation/curriculum-and-instruction/doctoral-curriculum-instruction-stem/
,College of Education,,4.0,2.5,,"Fall, Spring, Summer",,,9498,,311,"Up to $4,000 per year",,"Merit-based, Departmental",Approximately 2 years,"$9,498/Year (based on 9 credits/semester for a Texas Resident)",Master of Arts in Curriculum and Instruction,https://www.uhcl.edu/academics/degrees/curriculum-instruction-ms
,College of Education,,4.0,2.5,,"Fall, Spring, Summer",,,11598,,336,1000,,"Merit-based, Need-based",,11598,Master of Arts in Educational Leadership and Administration,https://www.uhcl.edu/academics/degrees/educational-leadership-and-administration-ms
,College of Education,,4.0,2.5,,"Fall, Spring, Summer",,,"Resident: $6,050.61/Semester (based on 9 credit hours); Non-Resident: $11,558.61/Semester (based on 9 credit hours)",,"Resident: $672.29; Non-Resident: $1,284.29","Up to $1,000 per year",,Merit-based,,"Resident: $6,050.61/Semester (based on 9 credit hours); Non-Resident: $11,558.61/Semester (based on 9 credit hours)",Master of Arts in Educational/Instructional Technology,https://www.uhcl.edu/academics/degrees/
,College of Education,,4.0,2.5,,"Fall, Spring, Summer",,,"$5,061/Semester",,"$264.90 per credit hour (tuition only, fees not included)",1000,,"Merit-based, Need-based",60 credit hours,"$5,061/Semester",Master of Arts in Counselor Education/School Counseling and Guidance Services,https://www.uhcl.edu/academics/degrees/school-counseling-ms
,College of Education,,4.0,2.5,,"Fall, Spring, Summer",,,"$10,542/Year",,585.67,,,"Merit-based, Need-based",30 credit hours,"$10,542/Year",Master of Arts in Early Childhood Education and Teaching,https://coe.uga.edu/academics/graduate/
,College of Business,,4.0,3.0,,"Fall, Spring, Summer",,,,,$359.81/credit hour (Texas Resident); $775.81/credit hour (Non-Resident),"Up to $1,000",,"Merit-based, Need-based",1 to 2 years,"Less than $17,000 (resident) or $34,000 (non-resident) for the entire program",Master of Business Administration,https://www.uhcl.edu/academics/degrees/
,College of Business,,4.0,3.0,,"Fall, Spring, Summer",,,"$23,377.50 (resident); $37,327.50 (non-resident)",,"$779.25/credit (resident); $1,244.25/credit (non-resident)","Up to $1,000",,"Merit-based, Need-based, Major-specific",As few as 14 months,"$23,377.50 (resident); $37,327.50 (non-resident)",Master of Science in Accounting,https://www.uhcl.edu/academics/degrees/accounting-ms
,College of Business,,4.0,2.5,,"Fall, Spring, Summer",,,5508/Semester,,786.8,1000,,"Merit-based, Need-based",30 credit hours,,Master of Science in Finance,https://www.uhcl.edu/academics/degrees/finance-ms
,College of Business,,4.0,2.5,,"Fall, Spring, Summer",,,5123,,917,1000,,"Need-based, Merit-based",,"~$16,854 (Total estimated for 30 credit hours, Texas Resident)",Master of Science in Human Resources Development,https://www.uhcl.edu/academics/degrees/
,College of Science and Engineering,,4.0,3.0,,"Fall, Spring, Summer",,,"Estimated total program cost for 30 credit hours. Resident: ~$16,702; Non-Resident: ~$31,982",,"Based on Fall 2024 rates. Resident: $885.50/credit hour; Non-Resident: $1,475.50/credit hour","$1,000 for the academic year (Hawk Scholars Scholarship for new graduate students)",,"Merit-based, Departmental",30 total credit hours,"Estimated total program cost for 30 credit hours. Resident: ~$16,702; Non-Resident: ~$31,982",Master of Science in Computer Engineering,https://www.uhcl.edu/academics/degrees/
,College of Science and Engineering,,4.0,2.5,,"Fall, Spring, Summer",,,"$4,917.27/Semester (based on 9 credit hours for a Texas Resident)",,"$879.53/credit hour (Texas Resident); $1,365.53/credit hour (Non-Resident)","$1,000 per year (Hawk Scholars Scholarship for New Graduate Students)",,Merit-based,30-36 credit hours,"$16,390.90 (estimated total for 30 credit hours for a Texas Resident)",Master of Science in Computer Software Engineering,https://www.uhcl.edu/academics/degrees/software-engineering-ms
,,,,,,,,,,,,,,,,,Master of Science in Systems Engineering,https://www.uhcl.edu/academics/degrees/
,,,,,,,,,,,,,,,,,Master of Science in Chemistry,https://indoglobalstudies.org/course-detail?course_id=956&university_id=56
,College of Science and Engineering,2.0,4.0,3.0,,"Fall, Spring, Summer",,,10140/Year,,810,"Up to $4,000 per academic year",,"Merit-based, Need-based",30 credit hours,10140/Year,Master of Science in Computer Science,https://www.uhcl.edu/academics/degrees/
,College of Human Sciences and Humanities,,4.0,3.0,,"Fall, Spring, Summer",,,"$10,153.24/Year",,564.07,1000,,"Merit-based, Need-based",30-hour program,"$10,153.24/Year",Master of Arts in History,https://www.uhcl.edu/academics/degrees/
,College of Science and Engineering,,4.0,2.5,,"Fall, Spring, Summer",,,"$5,125.17/Semester",,885.53,1000,,"Merit-based, Departmental",2 years,"$5,125.17/Semester",Master of Science in Mathematics and Statistics,https://www.uhcl.edu/academics/degrees/mathematical-and-statistical-sciences-ms
,College of Business,,4.0,2.5,,"Fall, Spring, Summer",,,"$33,000 (Total Program Cost for Residents - Executive/Online Track)",,"Face-to-face track: Resident: $1,114.75/credit hour; Non-Resident: $1,618.75/credit hour (Fall 2024 rates)","$1,000",,Merit-based,,"$33,000 (Total Program Cost for Residents - Executive/Online Track)",Master of Science in Healthcare Management,https://www.uhcl.edu/academics/degrees/healthcare-administration-mha
,College of Human Sciences and Humanities,,4.0,3.0,"57.8% (Fall 2022, all graduate programs)","Fall, Spring, Summer",,,,,"Texas Resident: $676.75 (for one credit hour); Non-Resident: $1,201.75 (for one credit hour)",1000,,"University, Departmental, External",36 credit hours,,Master of Science in Information Science,https://www.uhcl.edu/academics/degrees/school-library-information-science-ms
,College of Human Sciences and Humanities,,4.0,3.0,,"Fall, Spring, Summer",,,"$5,027 per semester (Texas Resident); $10,103 per semester (Non-Resident)",,$306 per credit hour (Texas Resident Tuition); $714 per credit hour (Non-Resident Tuition). Note: This does not include mandatory fees.,"Up to $3,000",,Merit-based,2 years,"$5,027 per semester (Texas Resident); $10,103 per semester (Non-Resident)",Master of Science in Exercise Physiology,https://www.uhcl.edu/academics/degrees/
,College of Human Sciences and Humanities,,4.0,3.0,,"Fall, Spring, Summer",,,"$9,846.90/Year (Resident); $17,766.90/Year (Non-Resident)",,$547.05 (Resident); $987.05 (Non-Resident),1000,,"Merit-based, Departmental",2 years,"$9,846.90/Year (Resident); $17,766.90/Year (Non-Resident)",Master of Science in Industrial Management,https://www.uhcl.edu/academics/degrees/industrial-organizational-psychology-ma
,,,,,,,,,,,,,,,,,Master of Science in Computer Hardware Engineering,https://www.uhcl.edu/academics/degrees/
,College of Business,,4.0,2.5,,"Fall, Spring, Summer",,,9834,,"$372 per credit hour (Texas Resident, Graduate, College of Business - tuition only)",,,"Merit-based, Need-based",,4464,Project Management Certificate,https://www.uhcl.edu/academics/degrees/
,College of Science and Engineering,,4.0,2.75,,"Fall, Spring, Summer",,,,,Texas Resident: $273/credit hour (tuition only); Non-Resident: $686/credit hour (tuition only),,,"Merit-based, Need-based",12 credit hours,,Management of Technology Certificate,https://www.uhcl.edu/academics/degrees/
,College of Education,,4.0,2.5,,"Fall, Spring, Summer",,,6536.56,,544.71,"Up to $3,000",,"Merit-based, Need-based, Major-specific",,"Estimated $6,536.56 for the entire 12-credit-hour program (Texas Resident)",Distance Education Certificate,https://www.uhcl.edu/academics/degrees/uhcl-distance-education-certificate
