Program name,Program Page url
Master of Arts in Applied Anthropology,https://tgs.unt.edu/future-students/graduate-programs.html
Master of Arts in Art Education,https://tgs.unt.edu/future-students/graduate-programs.html
Master of Arts in Art History,https://catalog.unt.edu/preview_entity.php?catoid=36&ent_oid=3708&returnto=4051
Master of Arts in Communication Studies,https://tgs.unt.edu/future-students/graduate-programs.html
Master of Arts in Creative Writing,https://tgs.unt.edu/future-students/graduate-programs.html
Master of Arts in English,https://tgs.unt.edu/future-students/graduate-programs.html
Master of Arts in History,https://tgs.unt.edu/future-students/graduate-programs.html
Master of Arts in Interdisciplinary Studies,https://tgs.unt.edu/future-students/graduate-programs.html
Master of Arts in Interdisciplinary Studies with a concentration in Applied Gerontology,https://tgs.unt.edu/future-students/graduate-programs.html
Master of Arts in Interdisciplinary Studies with a concentration in Digital Social Science,https://tgs.unt.edu/future-students/graduate-programs.html
Master of Arts in Interdisciplinary Studies with a concentration in Humanities,https://catalog.unt.edu/preview_program.php?catoid=36&poid=17183&returnto=4032
Master of Arts in Interdisciplinary Studies with a concentration in Interactive and Virtual Digital Communication,https://www.unt.edu/academics/programs/interdisciplinary-studies-with-a-concentration-in-interactive-and-virtual-digital-communication.html
Master of Arts in Interdisciplinary Studies with a concentration in Program Leadership,https://tgs.unt.edu/future-students/graduate-programs.html
Master of Arts in International Studies,https://class.unt.edu/political-science/international-studies/masters-program.html
Master of Arts in Journalism,https://tgs.unt.edu/future-students/graduate-programs.html
Master of Arts in Media Industry and Critical Studies,https://catalog.unt.edu/preview_program.php?catoid=36&poid=17133&returnto=4026
Master of Arts in Music,https://music.wayne.edu/master-arts
Master of Arts in Philosophy,https://www.unt.edu/academics/programs/philosophy-masters.html
Master of Arts in Political Science,https://tgs.unt.edu/future-students/graduate-programs.html
"Master of Arts in Political Science with a concentration in Advocacy, Politics and Policy",https://catalog.unt.edu/preview_program.php?catoid=36&poid=17325&returnto=4026
Master of Arts in Professional and Technical Communication,https://tgs.unt.edu/future-students/graduate-programs.html
Master of Arts in Spanish,https://tgs.unt.edu/future-students/graduate-programs.html
Master of Arts in Women's and Gender Studies,https://tgs.unt.edu/future-students/graduate-programs.html
Master of Business Administration (MBA),https://academics.business.columbia.edu/mba
Master of Business Administration in Business Analytics,https://online.unt.edu/programs/accelerated/business-analytics.html
Master of Business Administration in Management Consulting,https://tgs.unt.edu/future-students/graduate-programs.html
Master of Business Administration in Sport Entertainment Management,https://cob.unt.edu/masters/grad-track-pathways.html
Master of Education in Counseling,https://frisco.unt.edu/academics/school-counseling-masters.html
Master of Education in Curriculum and Instruction,https://www.doane.edu/programs/master-of-education-in-curriculum-and-instruction
Master of Education in Educational Leadership,https://tgs.unt.edu/future-students/graduate-programs.html
Master of Education in Higher Education,https://catalog.unt.edu/preview_program.php?catoid=36&poid=17067&returnto=4032
Master of Education in Special Education,https://tgs.unt.edu/future-students/graduate-programs.html
Master of Education in Teaching,https://tgs.unt.edu/future-students/graduate-programs.html
Master of Fine Arts in Design with a concentration in Fashion Design,https://tgs.unt.edu/future-students/graduate-programs.html
Master of Fine Arts in Design with a concentration in Interior Design,https://www.cca.edu/design/mfa-design/
Master of Fine Arts in Documentary Production and Studies,https://tgs.unt.edu/future-students/graduate-programs.html
Master of Fine Arts in Studio Art,https://cvad.unt.edu/studioart/mfa-graduate-application-process.html
Master of Music in Jazz Studies,https://catalog.unt.edu/preview_program.php?catoid=36&poid=17086&returnto=4032
Master of Music in Performance,https://tgs.unt.edu/future-students/graduate-programs.html
Master of Music Education,https://music.unt.edu/music-education/student-information/programs-masters.html
Master of Public Administration (MPA),https://catalog.unt.edu/preview_program.php?catoid=36&poid=17132
Master of Science in Accounting with a concentration in Audit and Data Analytics,https://tgs.unt.edu/future-students/graduate-programs.html
Master of Science in Accounting with a concentration in Corporate Accounting,https://tgs.unt.edu/future-students/graduate-programs.html
Master of Science in Advanced Data Analytics,https://tgs.unt.edu/future-students/graduate-programs.html
Master of Science in Advanced Data Analytics with a concentration in Analytics Project Management,https://catalog.unt.edu/preview_entity.php?catoid=36&ent_oid=3712&print
Master of Science in Advanced Data Analytics with a concentration in Applied Artificial Intelligence,https://tgs.unt.edu/future-students/graduate-programs.html
Master of Science in Advanced Data Analytics with a concentration in Digital Retailing,https://www.unt.edu/academics/programs/digital-retailing-advanced-data-analytics-masters.html
Master of Science in Advanced Data Analytics with a concentration in Geographic Information Systems (GIS),https://catalog.unt.edu/preview_entity.php?catoid=36&ent_oid=3712&returnto=4027
Master of Science in Advanced Data Analytics with a concentration in Geospatial Intelligence,https://tgs.unt.edu/future-students/graduate-programs.html
Master of Science in Advanced Data Analytics with a concentration in Health Data Analytics,https://tgs.unt.edu/future-students/graduate-programs.html
Master of Science in Advanced Data Analytics with a concentration in Management,https://tgs.unt.edu/future-students/graduate-programs.html
