QsWorldRanking,School,MaxFails,MaxGPA,MinGPA,PreviousYearAcceptanceRates,Term,LiveDate,DeadlineDate,Fees,AverageScholarshipAmount,CostPerCredit,ScholarshipAmount,ScholarshipPercentage,ScholarshipType,Program duration,Tuition fee,Program name,Program Page url
,College of Liberal Arts and Social Sciences (CLASS),,4.0,3.0,,Fall,,January 15,10958,,,,,"Merit-based, Research-based, Conference/Travel, Assistantships (Service-based)",30 credit hours,10958,Master of Arts in Applied Anthropology,https://tgs.unt.edu/future-students/graduate-programs.html
,College of Visual Arts and Design,,4.0,3.0,,"Fall, Spring",,,,,Texas Resident: ~$486/credit hour; Non-Resident: ~$1025/credit hour (based on 1-9 credit hours for 2023-2024 academic year),,,"Assistantships (Teaching, Research, Graduate), Fellowships (Merit-based, Doctoral, Master's, External), UNT Scholarships",,,Master of Arts in Art Education,https://tgs.unt.edu/future-students/graduate-programs.html
,College of Visual Arts and Design,,4.0,3.0,,"Fall, Spring, Summer",,,,,,,,"Merit-based, Fellowships, Assistantships",2 years,,Master of Arts in Art History,https://catalog.unt.edu/preview_entity.php?catoid=36&ent_oid=3708&returnto=4051
,College of Liberal Arts and Social Sciences,,4.0,3.0,,"Fall, Spring, Summer",,,,,,"$1,000 to $10,000",,"Merit-based, Need-based, Competitive Scholarships, Graduate Tuition Benefit Plan",,,Master of Arts in Communication Studies,https://tgs.unt.edu/future-students/graduate-programs.html
,College of Liberal Arts and Social Sciences,,4.0,3.0,,"Fall, Spring, Summer",,,,,,,,"Merit-based, Need-based",,,Master of Arts in Creative Writing,https://tgs.unt.edu/future-students/graduate-programs.html
,College of Liberal Arts and Social Sciences,,4.0,3.0,,"Fall, Spring, Summer",,,,,,,,"Fellowships, Assistantships, Grants",,,Master of Arts in English,https://tgs.unt.edu/future-students/graduate-programs.html
,College of Liberal Arts and Social Sciences (Department of History),,4.0,3.0,,"Fall, Spring, Summer",,June 15 (Domestic Fall); April 15 (International Fall),,,,,,"Merit-based, Need-based, Fellowships, Assistantships (Teaching, Research, Graduate)",,,Master of Arts in History,https://tgs.unt.edu/future-students/graduate-programs.html
,Toulouse Graduate School,,,3.0,,"Fall, Spring, Summer",,,,,,"$1,000 to $4,000 per academic year",,Merit-based,,,Master of Arts in Interdisciplinary Studies,https://tgs.unt.edu/future-students/graduate-programs.html
,Toulouse Graduate School,,4.0,3.0,,"Fall, Spring, Summer",,,"Resident: $4,917.48/semester (for 9 credit hours); Non-Resident: $9,711.48/semester (for 9 credit hours)",,Resident: $546.39; Non-Resident: $1079.05,,,"Teaching Assistantships, Research Assistantships, Doctoral Fellowships, Master's Fellowships, Tuition Waivers, Graduate Student Health Insurance, Travel Grants, Research Grants",30 credit hours,"Resident: $4,917.48/semester (for 9 credit hours); Non-Resident: $9,711.48/semester (for 9 credit hours)",Master of Arts in Interdisciplinary Studies with a concentration in Applied Gerontology,https://tgs.unt.edu/future-students/graduate-programs.html
,College of Liberal Arts and Social Sciences,,4.0,3.0,,"Fall, Spring",,,,,,,,"Departmental, Excellence, Tuition Grant, International Student, External, Need-based",,,Master of Arts in Interdisciplinary Studies with a concentration in Digital Social Science,https://tgs.unt.edu/future-students/graduate-programs.html
,College of Liberal Arts and Social Sciences,,4.0,3.0,,"Fall, Spring, Summer",,,,,,,,"Tuition Scholarships, Fellowships, Assistantships (Teaching, Research), Grants (Travel)",,,Master of Arts in Interdisciplinary Studies with a concentration in Humanities,https://catalog.unt.edu/preview_program.php?catoid=36&poid=17183&returnto=4032
Top 250 (QS World University Rankings 2024),College of Liberal Arts and Social Sciences and the College of Visual Arts and Design,,4.0,3.0,,"Fall, Spring, Summer",,July 15 (for Fall),,,,"Range from $1,000 to $10,000",,"Merit-based, Research-based",,,Master of Arts in Interdisciplinary Studies with a concentration in Interactive and Virtual Digital Communication,https://www.unt.edu/academics/programs/interdisciplinary-studies-with-a-concentration-in-interactive-and-virtual-digital-communication.html
,The Graduate School,,,3.0,,"Fall, Spring, Summer",,US Applicants: July 15 (for Fall admission); International Applicants: May 15 (for Fall admission),,,,,,"Merit-based, Tuition support, Research/Travel Grants, Assistantships (with tuition remission)",30-hour degree program,,Master of Arts in Interdisciplinary Studies with a concentration in Program Leadership,https://tgs.unt.edu/future-students/graduate-programs.html
,College of Liberal Arts & Social Sciences,,4.0,3.0,,"Fall, Spring, Summer",,,"$5,780.00 - $10,244.00/Semester (based on 9 credit hours, 2024-2025 rates for Texas Resident / Non-Resident)",,$530.60 - $938.60/credit hour (2024-2025 rates for Texas Resident / Non-Resident),,,Merit-based,30 credit hours,,Master of Arts in International Studies,https://class.unt.edu/political-science/international-studies/masters-program.html
,College of Liberal Arts and Social Sciences,,,3.0,,"Fall, Spring, Summer",,,,,,,,"Texas Public Education Grant (TPEG), Graduate Assistantships",,,Master of Arts in Journalism,https://tgs.unt.edu/future-students/graduate-programs.html
,College of Liberal Arts and Social Sciences (CLASS),,4.0,3.0,,"Fall, Spring, Summer",,,,,,,,"Graduate Tuition Scholarships, Departmental Scholarships",,"Estimated $15,316/Year for Texas Residents (Fall 2024, 18 credit hours)",Master of Arts in Media Industry and Critical Studies,https://catalog.unt.edu/preview_program.php?catoid=36&poid=17133&returnto=4026
1001-1200 (2024 QS World University Rankings),College of Music,,4.0,3.0,,"Fall, Spring, Summer",,,,,"$288.87 per credit hour (Estimated for Texas Resident, includes tuition and per-credit fees, Fall 2024-Spring 2025 rates)",,,"Merit-based, Need-based",,,Master of Arts in Music,https://music.wayne.edu/master-arts
,College of Liberal Arts and Social Sciences,1.0,4.0,3.0,,"Fall, Spring, Summer",,,"$5,123/Semester (Texas Resident, based on 9 credit hours)",,"$569.22/Credit Hour (Texas Resident, based on 9 credit hours)",,,"Merit-based, Need-based",,"$5,123/Semester (Texas Resident, based on 9 credit hours)",Master of Arts in Philosophy,https://www.unt.edu/academics/programs/philosophy-masters.html
,College of Liberal Arts and Social Sciences,1.0,4.0,3.0,,"Fall, Spring, Summer",,"July 15 (international), August 1 (domestic)",,,,,,"Teaching assistantships, Fellowships, Scholarships, Grants",,,Master of Arts in Political Science,https://tgs.unt.edu/future-students/graduate-programs.html
