Program name,Program Page url
"Accounting, MBA",https://catalog.upenn.edu/graduate/wharton/programs/
"Accounting, PhD",https://catalog.upenn.edu/graduate/wharton/programs/
"Applied Economics, PhD",https://catalog.upenn.edu/graduate/wharton/programs/
"Artificial Intelligence for Business, MBA",https://catalog.upenn.edu/graduate/wharton/programs/
"Asset Management/Impact Investing, MBA",https://catalog.upenn.edu/graduate/wharton/programs/
"Business Analytics, MBA",https://catalog.upenn.edu/graduate/wharton/programs/
"Business Economics & Public Policy, MBA",https://catalog.upenn.edu/graduate/wharton/programs/
"Business, Energy, Environment and Sustainability, MBA",https://catalog.upenn.edu/graduate/wharton/programs/
"Entrepreneurship and Innovation, MBA",https://catalog.upenn.edu/graduate/wharton/programs/
"Environmental, Social and Governance for Business, MBA",https://catalog.upenn.edu/graduate/wharton/programs/
"Ethics and Legal Studies, PhD",https://catalog.upenn.edu/graduate/wharton/programs/
"Finance, MBA",https://catalog.upenn.edu/graduate/wharton/programs/
"Finance, PhD",https://catalog.upenn.edu/graduate/wharton/programs/
"Health Care Management, MBA",https://catalog.upenn.edu/graduate/wharton/programs/
"Health Care Management & Economics, PhD",https://catalog.upenn.edu/graduate/wharton/programs/
"Individualized Major, MBA",https://catalog.upenn.edu/graduate/wharton/programs/
"Leading Across Differences, MBA",https://catalog.upenn.edu/graduate/wharton/programs/
"Management, MBA",https://catalog.upenn.edu/graduate/wharton/programs/
"Management, PhD",https://catalog.upenn.edu/graduate/wharton/programs/
"Marketing, MBA",https://catalog.upenn.edu/graduate/wharton/programs/
"Marketing & Operations Management, MBA",https://catalog.upenn.edu/graduate/wharton/programs/
"Marketing, PhD",https://catalog.upenn.edu/graduate/wharton/programs/
"Multinational Management, MBA",https://catalog.upenn.edu/graduate/wharton/programs/
"Operations, Information and Decisions, MBA",https://catalog.upenn.edu/graduate/wharton/programs/
"Operations, Information and Decisions, PhD",https://catalog.upenn.edu/graduate/wharton/programs/
"Organizational Effectiveness, MBA",https://catalog.upenn.edu/graduate/wharton/programs/
"Quantitative Finance, MBA",https://catalog.upenn.edu/graduate/wharton/programs/
"Real Estate, MBA",https://catalog.upenn.edu/graduate/wharton/programs/
"Social and Governance Factors for Business, MBA",https://catalog.upenn.edu/graduate/wharton/programs/
"Statistics and Data Science, MA",https://catalog.upenn.edu/graduate/wharton/programs/
"Statistics and Data Science, MBA",https://catalog.upenn.edu/graduate/wharton/programs/
"Statistics and Data Science, PhD",https://catalog.upenn.edu/graduate/wharton/programs/
"Strategic Management, MBA",https://catalog.upenn.edu/graduate/wharton/programs/
