QsWorldRanking,School,MaxFails,MaxGPA,MinGPA,PreviousYearAcceptanceRates,Term,LiveDate,DeadlineDate,Fees,AverageScholarshipAmount,CostPerCredit,ScholarshipAmount,ScholarshipPercentage,ScholarshipType,Program duration,Tuition fee,Program name,Program Page url
,The Wharton School,4.0,4.0,2.5,,Fall,,,84874/Year,,,,,Merit-based,2 years,84874/Year,"Accounting, MBA",https://catalog.upenn.edu/graduate/wharton/programs/
,The Wharton School,,4.0,3.0,Approximately 3-4%,Fall,,,,,,"All admitted Wharton PhD students are offered a fellowship, which provides a stipend. For the 2023-2024 academic year, the stipend is $42,500.",100%,"Fellowship, Teaching Assistantship, Research Assistantship",4-5 years,,"Accounting, PhD",https://catalog.upenn.edu/graduate/wharton/programs/
,The Wharton School,1.0,4.0,3.0,,Fall,mid-August 2025,"December 15, 2025",45242/Year,Full tuition scholarship,,Full tuition scholarship,100%,"Fellowship, Stipend",5 years,45242/Year,"Applied Economics, PhD",https://catalog.upenn.edu/graduate/wharton/programs/
,The Wharton School,3.0,4.0,2.7,,Fall,,,84874,,,,,Merit-based,2 years,"$84,874/Year","Artificial Intelligence for Business, MBA",https://catalog.upenn.edu/graduate/wharton/programs/
,The Wharton School,1.0,4.0,3.0,,,,,,,,,,,"two-year, full-time program",,"Asset Management/Impact Investing, MBA",https://catalog.upenn.edu/graduate/wharton/programs/
,The Wharton School,,4.0,,,,,,"$44,250/Term or $88,500/Year",,,,,,2 years,"$44,250/Term or $88,500/Year","Business Analytics, MBA",https://catalog.upenn.edu/graduate/wharton/programs/
,The Wharton School,,,2.7,,,,,"$84,874/Year",,,,,Merit-based,19 months,"$84,874/Year","Business Economics & Public Policy, MBA",https://catalog.upenn.edu/graduate/wharton/programs/
,The Wharton School,,,,,,,,,,,,,,2 years,,"Business, Energy, Environment and Sustainability, MBA",https://catalog.upenn.edu/graduate/wharton/programs/
,The Wharton School,2.0,,,,Fall,,,84874,,,,,Merit-based,20 months,"$84,874/Year","Entrepreneurship and Innovation, MBA",https://catalog.upenn.edu/graduate/wharton/programs/
,The Wharton School,,,,,Fall,,,84874/Year,,,,,Merit-based,2 years,84874/Year,"Environmental, Social and Governance for Business, MBA",https://catalog.upenn.edu/graduate/wharton/programs/
,The Wharton School,1.0,4.0,3.0,,,,,"$48,016/Year",,,"Fellowship covers the full cost of tuition and fees, provides a stipend, and covers health insurance.",100%,Fellowship,4-5 years,"$48,016/Year","Ethics and Legal Studies, PhD",https://catalog.upenn.edu/graduate/wharton/programs/
,The Wharton School,,4.0,2.7,,,,,,,,,,"Fellowships, Yellow Ribbon Program",2 years,,"Finance, MBA",https://catalog.upenn.edu/graduate/wharton/programs/
,Wharton School,,,,,,,,43760,,,,,Fellowship,four to five years,43760,"Finance, PhD",https://catalog.upenn.edu/graduate/wharton/programs/
,Wharton School,,4.0,3.0,,,,,"$84,830 per year",,,,,Merit-based fellowships and grants,20 months,"$84,830 per year","Health Care Management, MBA",https://catalog.upenn.edu/graduate/wharton/programs/
,The Wharton School,2.0,4.0,3.0,,Fall,mid-August 2025,"December 15, 2025",,"$42,500 per year stipend",,"Full tuition, fees, and a $42,500 per year stipend",100% of tuition and fees,Fellowships,five-year,,"Health Care Management & Economics, PhD",https://catalog.upenn.edu/graduate/wharton/programs/
,The Wharton School,,4.0,2.5,,,,,89504,,,,,"Merit-based, Need-based",2 years,"$89,504/Year","Individualized Major, MBA",https://catalog.upenn.edu/graduate/wharton/programs/
,The Wharton School,,,,,Fall,,,"$87,370/Year",,,,,"Merit-based, Need-based",Four semesters,"$87,370/Year","Leading Across Differences, MBA",https://catalog.upenn.edu/graduate/wharton/programs/
,The Wharton School,,,2.5,,,,,,,,,,Fellowships and loans,two-year,,"Management, MBA",https://catalog.upenn.edu/graduate/wharton/programs/
,The Wharton School,0.0,,3.0,,,,,,,,,,,5 years,,"Management, PhD",https://catalog.upenn.edu/graduate/wharton/programs/
,The Wharton School,2.0,,2.5,,Fall,,,88550/Year,,,,,Merit-based,2 years,88550/Year,"Marketing, MBA",https://catalog.upenn.edu/graduate/wharton/programs/
,The Wharton School,2.0,4.0,,,,,,84874,,,,,,2 years,"$84,874/Year","Marketing & Operations Management, MBA",https://catalog.upenn.edu/graduate/wharton/programs/
,The Wharton School,,4.0,,Around 2%,Fall,mid-August 2025,"December 15, 2025",49040/Year,48000,,48000,100%,"Fellowship, Stipend",About five years,49040/Year,"Marketing, PhD",https://catalog.upenn.edu/graduate/wharton/programs/
,The Wharton School,0.0,4.0,2.7,,,,,84874,,,,,,2 years,84874,"Multinational Management, MBA",https://catalog.upenn.edu/graduate/wharton/programs/
,The Wharton School,2.0,4.0,3.0,,,,,,,,,,Fellowships,two years,,"Operations, Information and Decisions, MBA",https://catalog.upenn.edu/graduate/wharton/programs/
,Wharton School,2.0,4.0,3.0,,Fall,,,,42000,,"A fellowship that covers tuition, health insurance, and a stipend of $42,000 per year.",100%,Fellowship,5 years,,"Operations, Information and Decisions, PhD",https://catalog.upenn.edu/graduate/wharton/programs/
,The Wharton School,1.0,,2.5,,Fall,,,"$87,370/Year",,,,,Merit-based,21 months,"$87,370/Year","Organizational Effectiveness, MBA",https://catalog.upenn.edu/graduate/wharton/programs/
,The Wharton School,2.0,4.0,2.5,,,,,,,,,,,4 semesters,,"Quantitative Finance, MBA",https://catalog.upenn.edu/graduate/wharton/programs/
,The Wharton School,4.0,4.0,2.5,,,,,84874,,,,,,2 years,"$84,874/Year","Real Estate, MBA",https://catalog.upenn.edu/graduate/wharton/programs/
,The Wharton School,,4.0,2.5,,,,,,,,,,,2 years,,"Social and Governance Factors for Business, MBA",https://catalog.upenn.edu/graduate/wharton/programs/
12.0,The Wharton School,,4.0,3.0,,Fall,,,,,6380.0,,,,Minimum of three semesters,63800,"Statistics and Data Science, MA",https://catalog.upenn.edu/graduate/wharton/programs/
,"The Wharton School, Graduate School of Arts & Sciences",,4.0,2.7,,Fall,,,85540,,,,,,2 years,"$85,540/Year","Statistics and Data Science, MBA",https://catalog.upenn.edu/graduate/wharton/programs/
12.0,Wharton School,2.0,4.0,3.0,,Fall,,,"$46,264/Year","over $96,000",,"over $96,000",100%,Fellowship,5 years,"$46,264/Year","Statistics and Data Science, PhD",https://catalog.upenn.edu/graduate/wharton/programs/
,The Wharton School,,,,,,,,"$83,920/Year",,,,,,20 months,"$83,920/Year","Strategic Management, MBA",https://catalog.upenn.edu/graduate/wharton/programs/
