QsWorldRanking,School,MaxFails,MaxGPA,MinGPA,PreviousYearAcceptanceRates,Term,LiveDate,DeadlineDate,Fees,AverageScholarshipAmount,CostPerCredit,ScholarshipAmount,ScholarshipPercentage,ScholarshipType,Program duration,Tuition fee,Program name,Program Page url
,Marshall School of Business,,,3.0,,Fall,,,,,"$1,749/Unit (2018-2019)",,,,,,Master of Science in Business Administration,https://catalogue.usc.edu/preview_program.php?catoid=11&poid=10437
,Marshall School of Business,,4.0,3.0,,Fall,,,,,,,,,,,Master of Science in Business Analytics,https://catalogue.usc.edu/preview_program.php?catoid=21&poid=29542
,Marshall School of Business,,4.0,3.0,,Fall,,,"$71,739/Year",,"$2,919.38/Unit",,,"Institutional Scholarships, Yellow Ribbon Program",1 Year,"$70,065/Year",Master of Business for Veterans,https://www.marshall.usc.edu/programs/graduate-programs/specialized-masters/master-of-business-for-veterans
,Marshall School of Business,,4.0,3.0,,,,,,,,,,,two years,,Master of Science in Business Research,https://catalogue.usc.edu/content.php?catoid=18&navoid=7134
,Marshall School of Business,,4.0,3.0,,Fall,,,,,,,,Merit-based,1 year,,Master of Science in Entrepreneurship and Innovation,https://catalogue.usc.edu/content.php?catoid=18&navoid=7134
,Marshall School of Business,,4.0,3.0,,,,,,,"$2,277/unit",,,,,,Master of Science in Finance,https://catalogue.usc.edu/content.php?catoid=18&navoid=7134
,Marshall School of Business,,4.0,3.0,,Fall,,,,,,,,"Merit-based, Need-based, Fellowships, Assistantships, Traineeships",,,Master of Science in Food Industry Leadership,https://www.prnewswire.com/news-releases/usc-marshall-food-industry-program-awards-distinguished-allumbaugh-scholarship-to-an-outstanding-food-industry-management-alumni-300903671.html
,Marshall School of Business,,4.0,3.0,,Fall,,,62127,,2301,,,"University Fellowships, Dean's Scholarships, Teaching Assistantships, Research Assistantships, Merit-based",16 months,62127,Master of Science in Global Supply Chain Management (On-Campus/Residential),https://catalogue.usc.edu/content.php?catoid=18&navoid=7134
,Marshall School of Business,,4.0,3.0,,"Fall, Spring",,,53712,,"$2,238/unit",,,"Scholarships, Fellowships, Assistantships",20 months (5 terms),"$53,712 for the entire program (24 units)",Master of Science in Global Supply Chain Management for Executives (Online),https://catalogue.usc.edu/content.php?catoid=18&navoid=7134
,Bovard College,,4.0,3.0,,"Fall, Spring, Summer",,,68160,,"$2,130",,,Merit-based,2 to 3 years,68160,Master of Management in Library and Information Science,https://bovardcollege.usc.edu/mmlis/mmlis-program/
,Marshall School of Business,,4.0,3.0,,Fall,,,,,,,,"Academic Scholarships, Need-based scholarships",,,Master of Management Studies,https://catalogue.usc.edu/preview_program.php?catoid=11&poid=10436
,Marshall School of Business,,4.0,3.0,,Fall,,,"$34,620/Year",,"$2,308/Unit",,,,18-24 months,"$69,240",Master of Science in Marketing (Marketing Analytics),https://catalogue.usc.edu/content.php?catoid=18&navoid=7134
,Marshall School of Business,2.0,4.0,3.0,,Fall,,,,,"$2,137",,,"Merit-based, Fellowships, Research Assistantships, Teaching Assistantships",3 semesters,,Master of Science in Marketing,https://catalogue.usc.edu/content.php?catoid=18&navoid=7134
,USC Marshall School of Business,,4.0,3.0,,Fall,,,"$63,812/Year",,"$2,279/unit",,,"Merit-based, Fellowships, Assistantships",1 year,"$63,812/Year",Master of Science in Social Entrepreneurship,https://catalogue.usc.edu/preview_program.php?catoid=18&poid=26053
