Concentration name,description,program website url,Accreditation status,Program name,Program Page url,Level,level
,"The Department of Afro-American Studies offers a program of graduate study leading to the Master of Arts degree. This program is designed to provide students with an interdisciplinary foundation for the study of people of African descent in the United States and the Diaspora. The program provides students with the opportunity to develop their research and writing skills in a variety of fields, including literature, history, and the social sciences. The program is intended to prepare students for doctoral study in Afro-American studies or related fields in the humanities and social sciences. It also serves students who wish to pursue careers in education, law, journalism, public policy, or the arts.",https://guide.wisc.edu/graduate/african-american-studies/african-american-studies-ma/,,Master of Arts in African American Studies,The official website for the University of Wisconsin–Madison is [wisc.edu](https://www.wisc.edu).,,
"Literature, Linguistics, Culture, and Pedagogy","The Department of African Cultural Studies at the University of Wisconsin–Madison provides students with a site for the intensive study of African languages and expressive cultures. Our program is unique in its focus on the intersection of three major areas: linguistics, literature, and culture. We offer a Master of Arts and a Doctor of Philosophy. Students are expected to engage with all three areas, while specializing in one. The department is also known for its strong emphasis on language pedagogy and its commitment to the study of African languages as a key to understanding African cultures. The M.A. degree may be a finishing degree for students who wish to use their expertise in African cultural studies for careers in government, non-governmental organizations, or the private sector. It may also be a step toward the Ph.D. degree.",https://guide.wisc.edu/graduate/african-cultural-studies/african-cultural-studies-ma/,,Master of Arts in African Cultural Studies,The official website for the University of Wisconsin–Madison is [wisc.edu](https://www.wisc.edu).,,
,"The Department of African Cultural Studies provides undergraduate and graduate students with a holistic understanding of African expressive cultures. Our faculty and students study the languages, literatures, and other cultural forms of Africa and the African diaspora. Our curriculum includes courses in over a dozen African languages and in the literatures and cultures of Africa and its diaspora. We take a wide-ranging approach to the study of the continent and its people, looking at both traditional and contemporary forms of expression. We are a community of scholars and students who are passionate about the study of Africa and its people. Our program is designed to provide students with a deep and nuanced understanding of African cultures, as well as the skills they need to pursue careers in a variety of fields, including academia, international development, journalism, and more. The Ph.D. program in African Cultural Studies is designed for students who wish to pursue advanced research in the field. Students work closely with faculty members to develop their own research projects, and they have the opportunity to participate in a variety of research seminars and workshops.",https://guide.wisc.edu/graduate/african-cultural-studies/african-cultural-studies-phd/,,PhD in African Cultural Studies,The official website for the University of Wisconsin–Madison is [wisc.edu](https://www.wisc.edu).,,
Agricultural and Applied Economics (Research) and the Professional Option,"The Department of Agricultural and Applied Economics (AAE) offers a Master of Science (M.S.) and a Doctor of Philosophy (Ph.D.) degree. The M.S. program is designed to provide students with a solid foundation in economic theory and quantitative methods. Students in the program develop their analytical skills to address problems in agriculture, the environment, and international development. The M.S. degree has two options: the Agricultural and Applied Economics (Research) option and the Professional Option (formerly known as Resource and Energy Demand Analysis or REDA).",https://guide.wisc.edu/graduate/agricultural-applied-economics/agricultural-applied-economics-ms/,,Master of Science in Agricultural and Applied Economics,https://www.texim-europe.com/product/embedded-computing-solutions/embedded-pc-boards/mini-itx-motherboard/detail/emb-bt4-a10-1900-ms-aae,,
,"The Professional Option of the Master of Science in Agricultural and Applied Economics (MSPO) is an accelerated, 15-month program that provides students with the skills they need to work in data-driven industries. Students learn how to apply economic theories and quantitative methods to real-world problems, and gain valuable experience through internships and research projects. The MSPO program is designed to be a bridge between undergraduate studies and professional careers, and its graduates are well-prepared for success in a wide range of fields.",https://aae.wisc.edu/grad/mspo/,,Master of Science in Agricultural and Applied Economics: Professional Option,https://aae.wisc.edu/2024/08/12/mspo-graduates-shine-on-the-job-market/,,
"Development economics, Environmental and natural resource economics, and Agricultural and industrial organization","The Department of Agricultural and Applied Economics (AAE) at the University of Wisconsin–Madison offers a world-class PhD program. Our faculty are experts in a wide range of fields, including development economics, environmental and natural resource economics, and agricultural and industrial organization. Our graduates are highly successful in securing positions in academia, government, and the private sector. The department offers a high-quality, research-oriented PhD program that provides students with the tools to conduct original research in agricultural, development, and environmental and natural resource economics.",https://aae.wisc.edu/grad/phd/,,PhD in Agricultural and Applied Economics,https://aae.wisc.edu/,,
,"Agroecology is the study of how ecological processes—such as nutrient cycling, predator/prey interactions, and competition—interact with social processes to impact the sustainability of our food systems. Our Master of Science program is a unique interdisciplinary program that draws on many departments and programs from across the campus. Students explore the diverse factors that influence the functioning of our food and fiber systems, including environmental, social, political and economic components.",https://agroecology.wisc.edu/,,Master of Science in Agroecology,https://agroecology.wisc.edu/people/students/,,
,"Agronomy is the study of plant-soil-climate interactions. The Department of Agronomy at the University of Wisconsin–Madison is home to internationally recognized faculty, many of whom have won major campus and professional honors. Faculty interests range from molecular biological studies of plant growth to ecological studies of agroecosystems. Research and teaching within the department emphasize two major areas: plant breeding and plant genetics; and crop physiology, production, and management. Within these areas, faculty specialize in such fields as sustainable agriculture, international agriculture, weed science, and biotechnology. Students are prepared for careers in agribusiness, crop consulting, university teaching and research, and state and federal agencies. Learning goals include: Articulates, critiques, or elaborates the theories, research methods, and approaches to inquiry or schools of practice in the field of study; Identifies sources and assembles evidence pertaining to questions or challenges in the field of study; Demonstrates understanding of the primary field of study in a historical, social, or global context; Selects and utilizes the most appropriate methodologies and practices; Evaluates or synthesizes information across disciplines to generate products and inform missions of agriculture; Communicates clearly in ways appropriate to the field of study; and Recognizes and applies principles of ethical and professional conduct.",https://guide.wisc.edu/graduate/agronomy/agronomy-ms/,,Master of Science in Agronomy,The official website for the University of Wisconsin–Madison is [wisc.edu](https://www.wisc.edu).,Masters,
,"The Department of Agronomy offers graduate programs leading to the Master of Science and Doctor of Philosophy degrees in agronomy. The objective of the program is to provide students with a broad exposure to the field of agronomy and to provide them with the opportunity to conduct original research in their area of interest. Research areas include plant breeding and genetics, plant biotechnology, cropping systems, agroecology, bioenergy, and weed science. Many of these programs are interdisciplinary and involve faculty in other departments such as Horticulture, Plant Pathology, Soil Science, Entomology, Botany, and Biochemistry.",https://guide.wisc.edu/graduate/agronomy/agronomy-phd/,,PhD in Agronomy,The official website for the University of Wisconsin–Madison is [wisc.edu](https://www.wisc.edu).,,
,"The Department of Animal and Dairy Sciences offers graduate programs leading to the Master of Science and Doctor of Philosophy degrees in Animal and Dairy Sciences. The department’s programs are designed to provide students with advanced training in the various disciplines of animal and dairy sciences. Program strengths include nutrition, physiology, genetics, management, and animal welfare. Research focuses on a wide range of animal species including dairy cattle, beef cattle, swine, poultry, and laboratory animals. Students may choose to pursue a degree in Animal and Dairy Sciences or in one of the campus-wide interdisciplinary programs in which departmental faculty participate: the Endocrinology–Reproductive Physiology Program, the Interdisciplinary Graduate Program in Nutritional Sciences, the Integrated Program in Biochemistry, the Cellular and Molecular Biology Program, and the Genetics Training Program.",https://guide.wisc.edu/graduate/animal-dairy-sciences/animal-dairy-sciences-ms/,,Master of Science in Animal and Dairy Sciences,The official website for the University of Wisconsin–Madison is [wisc.edu](https://www.wisc.edu).,Masters,
