Program name,Program Page url
Master of Arts in African American Studies,The official website for the University of Wisconsin–Madison is [wisc.edu](https://www.wisc.edu).
Master of Arts in African Cultural Studies,The official website for the University of Wisconsin–Madison is [wisc.edu](https://www.wisc.edu).
PhD in African Cultural Studies,The official website for the University of Wisconsin–Madison is [wisc.edu](https://www.wisc.edu).
Master of Science in Agricultural and Applied Economics,https://www.texim-europe.com/product/embedded-computing-solutions/embedded-pc-boards/mini-itx-motherboard/detail/emb-bt4-a10-1900-ms-aae
Master of Science in Agricultural and Applied Economics: Professional Option,https://aae.wisc.edu/2024/08/12/mspo-graduates-shine-on-the-job-market/
PhD in Agricultural and Applied Economics,https://aae.wisc.edu/
Master of Science in Agroecology,https://agroecology.wisc.edu/people/students/
Master of Science in Agronomy,The official website for the University of Wisconsin–Madison is [wisc.edu](https://www.wisc.edu).
PhD in Agronomy,The official website for the University of Wisconsin–Madison is [wisc.edu](https://www.wisc.edu).
Master of Science in Animal and Dairy Sciences,The official website for the University of Wisconsin–Madison is [wisc.edu](https://www.wisc.edu).
PhD in Animal and Dairy Sciences,The official website for the University of Wisconsin–Madison is [wisc.edu](https://www.wisc.edu).
Master of Arts in Anthropology,https://guide.wisc.edu/graduate/anthropology/anthropology-ma/anthropology-ma_requirementstext.pdf
Master of Science in Anthropology,The official website for the University of Wisconsin–Madison is [wisc.edu](https://www.wisc.edu).
PhD in Anthropology,The official website for the University of Wisconsin–Madison is [wisc.edu](https://www.wisc.edu).
Master of Science in Applied Biotechnology,https://guide.wisc.edu/graduate/medicine-public-health-school-wide/applied-biotechnology-ms/applied-biotechnology-ms.pdf
Master of Arts in Art,The official website for the University of Wisconsin–Madison is [wisc.edu](https://www.wisc.edu).
Master of Fine Arts in Art,The official website for the University of Wisconsin–Madison is [wisc.edu](https://www.wisc.edu).
Master of Arts in Art History,The official website for the University of Wisconsin–Madison is [wisc.edu](https://www.wisc.edu).
PhD in Art History,https://guide.wisc.edu/pdf/2024-2025-spring-graduate.pdf
Master of Arts in Asian Languages and Cultures,The official website for the University of Wisconsin–Madison is [wisc.edu](https://www.wisc.edu).
PhD in Asian Languages and Cultures,The official website for the University of Wisconsin–Madison is [wisc.edu](https://www.wisc.edu).
Master of Science in Astronomy,The official website for the University of Wisconsin–Madison is [wisc.edu](https://www.wisc.edu).
PhD in Astronomy,The official website for the University of Wisconsin–Madison is [wisc.edu](https://www.wisc.edu).
Master of Science in Athletic Training,https://guide.wisc.edu/graduate/kinesiology/athletic-training-ms/athletic-training-ms.pdf
Master of Science in Atmospheric and Oceanic Sciences,The official website for the University of Wisconsin–Madison is [wisc.edu](https://www.wisc.edu).
Master of Science in Atmospheric and Oceanic Sciences: Professional Program,The official website for the University of Wisconsin–Madison is [wisc.edu](https://www.wisc.edu).
Master of Science in Atmospheric and Oceanic Sciences: Research Program,The official website for the University of Wisconsin–Madison is [wisc.edu](https://www.wisc.edu).
PhD in Atmospheric and Oceanic Sciences,The official website for the University of Wisconsin–Madison is [wisc.edu](https://www.wisc.edu).
PhD in Biochemistry,https://ipib.wisc.edu/admissions/
Master of Science in Biological Systems Engineering,The official website for the University of Wisconsin–Madison is [wisc.edu](https://www.wisc.edu).
