QsWorldRanking,School,MaxFails,MaxGPA,MinGPA,PreviousYearAcceptanceRates,Term,LiveDate,DeadlineDate,Fees,AverageScholarshipAmount,CostPerCredit,ScholarshipAmount,ScholarshipPercentage,ScholarshipType,Program duration,Tuition fee,Program name,Program Page url
116,College of Letters & Science,,4.0,3.0,,Fall,,January 1,"$25,505.46/Year",,,,,"Fellowships, Teaching Assistantships, Project Assistantships",2 years,"$25,505.46/Year",Master of Arts in African American Studies,The official website for the University of Wisconsin–Madison is [wisc.edu](https://www.wisc.edu).
116,College of Letters & Science,,4.0,3.0,,Fall,,"January 1, 2026","$1,483.16/Year (Segregated fees)",,"Resident: $678.34/credit; Non-resident: $1,428.07/credit",,,"Fellowships, Teaching Assistantships, Research Assistantships, Project Assistantships",2 years,"Resident: $10,727.04/Year; Non-resident: $24,222.24/Year",Master of Arts in African Cultural Studies,The official website for the University of Wisconsin–Madison is [wisc.edu](https://www.wisc.edu).
116,College of Letters & Science,,4.0,3.0,,Fall,,December 15,"$12,209.82/Year (Resident), $25,535.82/Year (Non-Resident)",,"$678.32 (Resident), $1,511.20 (Non-Resident)",,,"Merit-based, Fellowships, Teaching Assistantships",,"$12,209.82/Year (Resident), $25,535.82/Year (Non-Resident)",PhD in African Cultural Studies,The official website for the University of Wisconsin–Madison is [wisc.edu](https://www.wisc.edu).
116,College of Agricultural and Life Sciences,,4.0,3.0,,Fall,,January 15,"$40,000 for the entire program",,"$1,333.33",,,"Assistantships (Research, Teaching, Project), Tuition Remission, Fellowships",15 months (Professional Option); 2 years (Research Option),"$40,000",Master of Science in Agricultural and Applied Economics,https://www.texim-europe.com/product/embedded-computing-solutions/embedded-pc-boards/mini-itx-motherboard/detail/emb-bt4-a10-1900-ms-aae
116,College of Agricultural and Life Sciences,,4.0,3.0,,Fall,,,36000,,1200,,,,15 months,"$36,000/Program",Master of Science in Agricultural and Applied Economics: Professional Option,https://aae.wisc.edu/2024/08/12/mspo-graduates-shine-on-the-job-market/
116,College of Agricultural and Life Sciences,,4.0,3.0,,Fall,,December 15,"$12,441.28/Year (Resident); $25,543.04/Year (Non-Resident)",,"$808.01 (Resident); $1,626.87 (Non-Resident)","Approximately $23,000 to $28,000 per year",100% tuition remission,"Research Assistantships (RA), Teaching Assistantships (TA), Project Assistantships (PA), and Fellowships",5 years,"$12,441.28/Year (Resident); $25,543.04/Year (Non-Resident)",PhD in Agricultural and Applied Economics,https://aae.wisc.edu/
116,College of Agricultural and Life Sciences,,4.0,3.0,,Fall,,January 15,"$25,506/Year",,"$1,603",,,"Research Assistantships, Fellowships, Project Assistantships",2 years,"$25,506/Year",Master of Science in Agroecology,https://agroecology.wisc.edu/people/students/
116,College of Agricultural and Life Sciences,,4.0,3.0,,"Fall, Spring, Summer",September 2025,January 1,"$25,581/Year",,"$1,603.20",,,"Research Assistantships, Teaching Assistantships, Fellowships",2 years,"$25,581/Year",Master of Science in Agronomy,The official website for the University of Wisconsin–Madison is [wisc.edu](https://www.wisc.edu).
116,College of Agricultural and Life Sciences,,4.0,3.0,,"Fall, Spring, Summer",,December 1,"$12,912.83/Semester",,"$2,136.51",Full tuition waiver,,"Research Assistantships, Teaching Assistantships, Project Assistantships, Fellowships",,"$12,912.83/Semester",PhD in Agronomy,The official website for the University of Wisconsin–Madison is [wisc.edu](https://www.wisc.edu).
116,College of Agricultural and Life Sciences,,4.0,3.0,,"Fall, Spring, Summer",September 2025,January 1,"$27,028/Year",,"$1,603.05",Full tuition waiver,100%,"Research Assistantships, Teaching Assistantships, Project Assistantships, Fellowships",2 years,"$13,514/Semester",Master of Science in Animal and Dairy Sciences,The official website for the University of Wisconsin–Madison is [wisc.edu](https://www.wisc.edu).
116,College of Agricultural and Life Sciences,,4.0,3.0,,"Fall, Spring, Summer",September 2025,"January 1, 2026","$25,704/Year",,"$1,644.73",Full tuition waiver,100%,"Research Assistantships, Teaching Assistantships, and Fellowships",4-6 years,"$25,704/Year",PhD in Animal and Dairy Sciences,The official website for the University of Wisconsin–Madison is [wisc.edu](https://www.wisc.edu).
116,College of Letters & Science,,4.0,3.0,,Fall,,December 1,"$12,274.52/Semester",,,,,"Fellowships, Teaching Assistantships, Research Assistantships, Project Assistantships",2 years,"$12,274.52/Semester",Master of Arts in Anthropology,https://guide.wisc.edu/graduate/anthropology/anthropology-ma/anthropology-ma_requirementstext.pdf
116,College of Letters & Science,,4.0,3.0,,Fall,September 2025,"December 15, 2025","$26,010.24/Year",,"$1,603.57",,,"Fellowships, Teaching Assistantships, Research Assistantships",2 years,"$26,010.24/Year",Master of Science in Anthropology,The official website for the University of Wisconsin–Madison is [wisc.edu](https://www.wisc.edu).
116,College of Letters & Science,,4.0,3.0,,Fall,,December 1,"Resident: $12,210.24/Year; Non-Resident: $25,504.80/Year",,"Resident: $804.81; Non-Resident: $1,635.72",,,"Fellowships, Teaching Assistantships, Research Assistantships, Project Assistantships",,"Resident: $12,210.24/Year; Non-Resident: $25,504.80/Year",PhD in Anthropology,The official website for the University of Wisconsin–Madison is [wisc.edu](https://www.wisc.edu).
116,School of Medicine and Public Health,,4.0,3.0,,"Fall, Spring, Summer",,June 1,"$26,350",,850,,,,31 credits,"$26,350",Master of Science in Applied Biotechnology,https://guide.wisc.edu/graduate/medicine-public-health-school-wide/applied-biotechnology-ms/applied-biotechnology-ms.pdf
116,School of Education,,4.0,3.0,,Fall,,January 8,"$25,546.08/Year",,"$1,637.75",,,"Merit-based, Fellowships, Teaching Assistantships, Project Assistantships",1 year,"$25,546.08/Year",Master of Arts in Art,The official website for the University of Wisconsin–Madison is [wisc.edu](https://www.wisc.edu).
116,School of Education,,4.0,3.0,,Fall,"September 1, 2025","January 6, 2026","$25,567/Year",,"$1,601.35",,100%,"Teaching Assistantships, Project Assistantships, Fellowships",3 years,"$25,567/Year",Master of Fine Arts in Art,The official website for the University of Wisconsin–Madison is [wisc.edu](https://www.wisc.edu).
116,College of Letters & Science,,4.0,3.0,,Fall,September 2025,January 2,"$25,824.36/Year (Non-resident)",,"$1,655.10 (Non-resident)",,,,2 years,"$12,220.32/Year (Resident)",Master of Arts in Art History,The official website for the University of Wisconsin–Madison is [wisc.edu](https://www.wisc.edu).
116,College of Letters & Science,,4.0,3.0,,Fall,September 2025,"January 2, 2026","$12,268.80/Year (Resident); $25,493.04/Year (Non-Resident)",,,Full funding (five years of support),,"Fellowships, Teaching Assistantships, Project Assistantships",5-7 years,"$12,268.80/Year (Resident); $25,493.04/Year (Non-Resident)",PhD in Art History,https://guide.wisc.edu/pdf/2024-2025-spring-graduate.pdf
116,College of Letters & Science,,4.0,3.0,,Fall,,January 15,"$12,256.88/Year (Resident); $26,521.20/Year (Non-Resident)",,"$805.15 (Resident); $1,696.67 (Non-Resident)","$20,000 stipend plus tuition (FLAS Fellowship)",,"Merit-based, Fellowships (FLAS), Teaching Assistantships, Research Assistantships",2 years,"$12,256.88/Year (Resident); $26,521.20/Year (Non-Resident)",Master of Arts in Asian Languages and Cultures,The official website for the University of Wisconsin–Madison is [wisc.edu](https://www.wisc.edu).
116,College of Letters & Science,,4.0,3.0,,Fall,,December 15,"$12,290.48/Year (Resident), $26,410.32/Year (Non-Resident)",,"$682.80 (Resident), $1,467.24 (Non-Resident)",,,"Multi-year funding packages (Fellowships, Teaching Assistantships, Project Assistantships)",5-7 years,"$12,290.48/Year (Resident), $26,410.32/Year (Non-Resident)",PhD in Asian Languages and Cultures,The official website for the University of Wisconsin–Madison is [wisc.edu](https://www.wisc.edu).
116,College of Letters & Science,,4.0,3.0,,Fall,,January 1,25825,,1523.58,,,"Fellowships, Research Assistantships, Teaching Assistantships",2 years,"$25,825.26/Year",Master of Science in Astronomy,The official website for the University of Wisconsin–Madison is [wisc.edu](https://www.wisc.edu).
116,College of Letters & Science,,4.0,3.0,,Fall,September 2025,"December 15, 2025","$25,540/Year",,,Full tuition waiver and stipend,100%,"Research Assistantships, Teaching Assistantships, and Fellowships",5-7 years,"$25,540/Year",PhD in Astronomy,The official website for the University of Wisconsin–Madison is [wisc.edu](https://www.wisc.edu).
