Resume,StatementOfPurpose,Requirements,WritingSample,IsAnalyticalNotRequired,IsAnalyticalOptional,IsRecommendationSystemOpted,IsStemProgram,IsACTRequired,IsSATRequired,MinimumACTScore,MinimumSATScore,extraction_level,Program name,Program Page url
Required,Required,"Admission to the MAcc program is competitive. Successful applicants generally meet or exceed the following qualifications: A GMAT score of 580 or higher. A minimum GPA of 3.25 in the last 60 hours of coursework. The GMAT may be waived if the student earns a 3.5 GPA in the last 60 hours of their undergraduate curriculum and a 3.5 GPA in upper-level (300-level and above) accounting coursework. The application process requires the online application, application fee, transcripts, GMAT or GRE scores, a Statement of Objectives, contact information for three references, and a resume. English proficiency scores may also be required.",Not Required,,,True,False,False,False,,,program,Accounting,https://cba.k-state.edu/academics/accounting/macc/
Required,Required,"Applications are accepted throughout the year on a rolling basis. When all your application materials are received, your application will be reviewed by faculty. Required documents for all degree programs (M.S., Ph.D., Ed.D.) include: Graduate School application and fee, official transcript(s) showing a 3.0 or higher GPA on the last 60 hours of credit for the bachelor's degree, a Statement of Goals and Professional Experience (one to two pages, double-spaced), a Résumé or Curriculum Vitae, and three letters of recommendation. Doctoral (Ph.D. and Ed.D.) applicants are also required to submit a Writing Sample.",Required,,,True,,,,,,program,Adult Learning and Leadership,https://coe.k-state.edu/academics/graduate/adult-learning-and-leadership/
Required,Required,"To be considered for admission into the Master of Agribusiness program, you must have: A bachelor's degree from an accredited university with a cumulative GPA of 3.0 or higher on a 4.0 scale for the last 60 hours of credit. Two or more years of professional experience in an agribusiness-related field is preferred but not required. The following application materials are needed to complete your application file: An online application, Official transcripts from each college or university attended, Statement of purpose, Three letters of reference, Resume or curriculum vita.",Not Required,True,False,True,False,False,False,,,program,Agribusiness,https://mab.k-state.edu/
Required,Required,"Application requirements include a minimum 3.0 grade point average on the last 60 hours of undergraduate coursework, and a bachelor's degree.",,,,True,,,,,,program,Agricultural and Extension Education and Communication,https://www.cals.k-state.edu/academics/ageduc/graduate/certificates/agricultural-education.html
,Required,"A four-year bachelor's degree.
An undergraduate GPA of 3.0 or higher on a 4.0 scale.
Graduate Record Examination (GRE) is NOT required for M.S. or Ph.D. applicants.
Three letters of reference from individuals who can assess your academic potential.
Statement of Objectives.
Official transcripts from each college or university attended.
Evidence of English proficiency (for non-native English speakers).",,True,False,True,True,,,,,program,Agricultural Economics,https://www.ageconomics.k-state.edu/academics/graduate/
Required,Required,"In addition to the Graduate School's application requirements, the following are required by this program: Three letters of recommendation; Statement of objectives; A graduate faculty member must agree to serve as the student's major professor before the student can be admitted to the graduate program.",Required,True,,True,,,,,,program,Agricultural Education and Communication,https://www.k-state.edu/grad/academics/degree-programs/ag-ed-comm/
Required,Required,"A minimum 3.0 GPA on a 4.0 scale in the B.S. degree is required. Students with a GPA between 2.65 and 3.0 will be considered for probationary admission. Students entering the graduate program in Agronomy are expected to have a B.S. or M.S. degree in Agronomy or a closely related discipline. Students with deficiencies in their academic background may be admitted on a provisional basis and may be required to take additional coursework without graduate credit. Required documents include: a statement of objectives (1-2 pages), a resume or curriculum vitae, one official transcript from each college or university attended, and three letters of reference. GRE scores are not required. For international students, minimum English language proficiency scores are required: TOEFL (iBT) 79, PTE 58, or IELTS 6.5.",Not Required,True,False,True,True,False,False,,,program,Agronomy,https://www.agronomy.k-state.edu/academics/graduate/
Required,Required,"Applicants must have a D.V.M. (or equivalent) or a B.S. degree from an accredited institution. An undergraduate GPA of 3.0 on a 4.0 scale is required. Application packets should include: Graduate School application form, Official transcripts from all institutions attended, Three letters of recommendation, A statement of objectives, A curriculum vitae (resume). International students whose native language is not English must score at least 550 on the paper-based TOEFL, 213 on the computer-based test or 79 on the internet-based test. The TSE test is also recommended.",,,,True,True,False,False,,,program,Anatomy and Physiology,https://www.vet.k-state.edu/academics/ap/graduate/
Required,Required,"A bachelor's degree from an accredited institution with a grade point average (GPA) of 3.0 or higher on a 4.0 scale for the last 60 hours of credit. The following must be uploaded with your online application: Statement of purpose/letter of intent stating your career goals and research interest area. Please indicate the faculty member(s) whose research program is of most interest; Resume or curriculum vitae; Three letters of reference; Official transcripts from each college or university attended. Official GRE scores are not required for admission to our graduate program. Students whose native language is not English must score a 550 or higher on the paper-based TOEFL, 213 on the computer-based test, or 79 on the internet-based test.",Not Required,True,,True,True,False,False,,,program,Animal Sciences and Industry,https://www.asi.k-state.edu/academics/graduate-program/index.html
Not Required,Required,"To apply, please complete the online application through the K-State Graduate School. You will need to upload the following materials:

A statement of purpose describing your interest in the K-State M.A. program in anthropology. Tell us about your intellectual and professional goals, and how you see our program contributing to them.

A writing sample, such as a paper submitted for a course, that demonstrates your writing and critical thinking skills. We do not have a specific length requirement.

A list of three references. The online application system will ask you for their contact information, and they will be sent a request to submit a letter of recommendation for you. Please choose people who know you well and can speak to your potential for success in a graduate program.

Transcripts from all colleges or universities you have attended. Unofficial transcripts are sufficient for the review process; official transcripts are required upon admission.

GRE scores are not required, but you may submit them if you wish.

TOEFL or IELTS scores (for non-native speakers of English). See the Graduate School's website for minimum score requirements.",Required,True,True,True,,False,False,,,program,Anthropology,https://www.k-state.edu/sasw/anth/ma/
