Concentration name,description,program website url,Accreditation status,Level,Program name,Program Page url
,"The Department of History's Master of Arts in Applied History and Public Humanities is an innovative program that offers graduate training in history within a publicly-engaged framework. The program balances rigorous academic training in history with practical applications in the broad field of public humanities, including public history, museums, archives, digital humanities and civic engagement. In addition to a core curriculum in history and public humanities, students gain professional experience through internships and build an online portfolio of their work. The program is ideal for students who wish to pursue a career in the public humanities or a related field, as well as for those who wish to pursue a Ph.D. in history but also want skills and experience that will prepare them for a wider range of professions.",https://www.uakron.edu/history/academics/graduate/,,Master of Arts,Master of Arts in Applied History and Public Humanities,https://www.uakron.edu/academics_majors/graduate_programs/
,The Certificate in Applied Politics is a valuable credential that gives you the knowledge and skills needed to become a leader in political and civic life. The certificate program will allow you to deepen your knowledge of American politics and gain insights into political behavior and processes. You can use the certificate to work toward a full Master of Applied Politics degree. You can earn the certificate as a stand-alone credential or in addition to another graduate degree.,https://www.uakron.edu/bliss/academics/graduate/applied-politics-certificate,,Certificate,Certificate in Applied Politics,https://www.uakron.edu/academics_majors/graduate_programs/
,"Our Master of Arts in Arts Administration (MAAA) program is designed to develop the next generation of creative and innovative leaders in the nonprofit arts sector. Courses are taught by a blend of full-time faculty and community-based practitioners, bringing both academic and real-world experience to the classroom. The program focuses on hands-on application of concepts learned in the classroom, offering multiple opportunities for field-based learning. The capstone experience is an immersive internship that launches students into their professional careers. The MAAA degree provides a rich academic curriculum that partners with the College of Business to address critical topics such as management, marketing, fundraising, finance, entrepreneurship, and board development. We also work with other campus partners to offer additional electives in areas such as social media, event planning and higher education administration.",https://www.uakron.edu/dtaa/artsadmin/,,Master of Arts,Master of Arts in Arts Administration,https://www.uakron.edu/dtaa/artsadmin/
Composition,"The Master of Arts in English at The University of Akron provides students with a strong foundation in literary study and composition. The M.A. program in English has two concentrations: one in Composition and one in Literature. Students work with distinguished faculty who publish and present their research nationally and internationally and who bring their excitement about literature and writing into the classroom. The M.A. in English at UA offers excellent preparation for students interested in Ph.D. programs and in teaching at the secondary or post-secondary levels. Our graduates have also gone on to successful careers in a variety of fields, including editing, marketing, technical writing, and business.",https://www.uakron.edu/english/academics/ma/,,Master of Arts,Master of Arts in English: Composition,https://www.uakron.edu/academics_majors/graduate_programs/
Literature,"The Master of Arts in English at The University of Akron provides students with an intellectually stimulating and collegial environment to develop a broad knowledge of literary and cultural traditions, to refine their analytical skills, and to develop their abilities as writers, scholars, and teachers. The M.A. in English has long provided an excellent foundation for students who plan to continue their work at the doctoral level, as well as for those who wish to pursue careers in such fields as teaching, writing, editing, and public relations. Our graduates have pursued doctoral study at institutions such as The Ohio State University, the University of Virginia, the University of Texas-Austin, the University of Southern California, the University of North Carolina, the University of Georgia, Pennsylvania State University, Kent State University, and Case Western Reserve University.",https://www.uakron.edu/english/academics/graduate/ma-english.dot,,,Master of Arts in English: Literature,https://english.osu.edu/
,The Master of Science in Geology program is designed to provide graduate education for students who wish to pursue a professional career in geology or continue with a doctoral degree and for those individuals already employed in the geological or environmental fields who desire to expand their knowledge of the geosciences. The program provides an opportunity for students to do independent research in an area of their own choosing under the supervision of a a faculty member. The department offers a thesis and a non-thesis option for the M.S. degree. Students should consult with their advisor on which of the two options is best suited for their academic and career goals.,https://bulletin.uakron.edu/graduate/colleges-programs/arts-sciences/geosciences/geology-ms/,,,Master of Science in Geology,https://bulletin.uakron.edu/graduate/colleges-programs/arts-sciences/geosciences/geology-ms/
,"The Integrated Bioscience Ph.D. Program at The University of Akron provides students with a broad background in the life sciences, an intensive research experience in a specialized area, and a curriculum focused on the professional skills required for successful careers. This interdisciplinary program has its administrative home in the Department of Biology but includes faculty from the departments of Biomedical Engineering, Chemistry, Geosciences and Polymer Science. The University of Akron is home to a world-renowned program in polymer science and a rapidly growing program in biomedical engineering. The University's Biomimicry Research and Innovation Center is the only one of its kind in the United States. In addition, the University has partnerships with the Cleveland Clinic Foundation, area hospitals, and is a member of the Northeastern Ohio Medical University (NEOMED). The Integrated Bioscience Program is also part of The University of Akron's new EX[L] Center for Experiential Learning and Civic Engagement. This allows us to provide our graduate students with unique opportunities to integrate research and classroom learning with professional experience through internships and teaching opportunities.",https://www.uakron.edu/biology/grad/phd-in-integrated-bioscience,,PhD,PhD in Integrated Bioscience,https://www.uakron.edu/academics_majors/graduate_programs/
,,,,,Master of Science in Mathematics: Applied Mathematics,https://science.indianapolis.iu.edu/academics/degrees-and-programs/_degrees/mathematics-ms-iupui-mathms.html
Applied Politics,"The M.A. in Applied Politics at The University of Akron focuses on politics in the real world. This degree option can equip students to go on for further graduate work in political science and/or to be better informed and engaged citizens. Most students, however, will be interested in a career in politics. Our applied politics program is specifically designed to prepare students for such careers, as campaign managers, fundraisers, political consultants, lobbyists, legislative staff, and in other positions at the local, state, or federal level. The University of Akron’s location provides students with a variety of opportunities. Summit County and neighboring counties have provided UA students with internships in local political parties, numerous campaigns, government offices in Akron, and the county courthouse. Our proximity to the state capital in Columbus has also led to student internships with the Ohio Legislature and the governor’s office. Some of our students have even interned in Washington, D.C.",https://www.uakron.edu/polisci/academics/graduate/ma-applied-politics,,Master of Arts,Master of Arts in Political Science: Applied Politics,https://www.uakron.edu/academics_majors/graduate_programs/
,"The University of Akron's Master of Science (M.S.) in Polymer Engineering program provides students with a thorough understanding of the engineering principles and practices in the polymer industry. The Polymer Engineering M.S. degree is a non-thesis degree that is course-work intensive. Students in this program strengthen their marketability by taking a variety of courses including polymer processing, rheology, composites, thermodynamics, and transport phenomena, among others. The Polymer Engineering M.S. can also be a stepping stone towards a Ph.D. in Polymer Engineering.",https://www.uakron.edu/polymer/programs/ms-polymer-engineering,,,Master of Science in Polymer Engineering,https://www.uakron.edu/polymer/programs/ms-polymer-engineering
,"The University of Akron’s Doctor of Philosophy (Ph.D.) in Polymer Science provides a comprehensive curriculum and diverse research opportunities for students to prepare them to be the next generation of scientists. Our graduates emerge with the skills necessary to lead major research programs in industry, academia and national laboratories. The Ph.D. in Polymer Science program focuses on an interdisciplinary approach that applies the tools of physics, chemistry and engineering to polymer materials.
The UA Polymer Science program is recognized as one of the best in the world. As a result, this program attracts a diverse student body from all over the world. Our research facilities are world class and provide an opportunity for students to experience the full scope of polymer research, from design and synthesis to characterization, processing, and modeling.",https://www.uakron.edu/polymer/programs/phd-polymer-science,,,PhD in Polymer Science,https://www.uakron.edu/polymer/programs/phd-polymer-science
Industrial/Organizational,"The Industrial/Organizational (I/O) Psychology program at The University of Akron is a top-ranked program dedicated to the scientific study of the workplace. We adhere to the scientist-practitioner model of I/O psychology in which science and practice are viewed as interdependent and mutually beneficial. Through our research and applied projects, we generate and distribute knowledge about people at work to academics, organizations, and the working population. The University of Akron’s I/O Psychology program is a vibrant, research-active, and collaborative community of students and faculty. We offer both the M.A. and Ph.D. degrees in I/O Psychology. Students are admitted to the Ph.D. program and earn their M.A. on the way to the doctorate. We currently have five core faculty members with a wide range of research and applied interests. Our graduates go on to successful careers in both academic and applied settings.",https://www.uakron.edu/psychology/academics/graduate/io/,,PhD,PhD in Psychology: Industrial/Organizational,https://www.uakron.edu/academics_majors/graduate_programs/
Industrial/Organizational,"The Industrial/Organizational (I/O) Psychology program at The University of Akron is dedicated to the scientific study of the workplace and the application of psychological principles to workplace issues. We have a long and distinguished history as one of the nation's top-ranked I/O psychology graduate programs. Our program follows the scientist-practitioner model, which emphasizes the connection between theory and application. Our M.A. program provides students with a solid foundation in the core areas of I/O psychology. Students are trained to use appropriate research methods and statistical techniques to solve real-world problems. Most of our M.A. students are employed full time in business, industry, and government organizations.",https://www.uakron.edu/psychology/graduate/i-o/,,,Master of Arts in Psychology: Industrial/Organizational,https://psychology.rice.edu/graduate/miop
,"The Master of Arts (M.A.) education program in speech-language pathology at The University of Akron is designed to provide students with the academic and clinical experiences necessary to become a competent, compassionate, and reflective speech-language pathologist. Our master's program can be completed in five semesters of full-time study. Part-time options are also available. Students in the program develop a strong foundation in the scientific bases of human communication sciences and disorders, as well as the theoretical principles of assessment and intervention. We believe in providing students with a rich and robust clinical experience that spans the full scope of speech-language pathology practice. We embrace an evidence-based practice framework that integrates foundational knowledge, clinical expertise, and client values. Students who complete the master's program will be prepared to work as a speech-language pathologist across a variety of clinical and educational settings.",https://www.uakron.edu/sslpa/academics/ma-slp,"The Master of Arts (M.A.) education program in speech-language pathology (residential) at The University of Akron is accredited by the Council on Academic Accreditation in Audiology and Speech-Language Pathology (CAA) of the American Speech-Language-Hearing Association, 2200 Research Boulevard, #310, Rockville, MD 20850, 800-498-2071 or 301-296-5700.",,Master of Arts in Speech-Language Pathology,https://hesp.umd.edu/undergraduate/program-highlights-master-arts-program-speech-language-pathology-%28spla%29
,"The Master of Science (M.S.) in Statistics program at The University of Akron provides students with a solid foundation in statistical theory, methodology, and applications. The program will equip students with the skills they need to pursue a career in industry, government or a Ph.D. program in statistics or a related field. The M.S. degree has thesis and non-thesis options. Graduates find success in a number of fields, including bioinformatics, biostatistics, economics, epidemiology, finance, marketing, public policy, psychology, and sociology.",https://www.uakron.edu/statistics/academics/ms-in-statistics,,,Master of Science in Statistics,https://www.uakron.edu/academics_majors/graduate_programs/
,"The Doctor of Audiology (Au.D.) program at The University of Akron is a four-year, post-baccalaureate degree. We prepare students to become audiologists by developing competencies in the areas of prevention, identification, assessment, and (re)habilitation of hearing, auditory function, balance, and other related systems. Our program provides a wide variety of clinical experiences, both on and off campus, under the direct supervision of audiologists who hold certification from the American Speech-Language-Hearing Association and/or are fellows of the American Academy of Audiology. Graduates of the Au.D. program are eligible for state licensure in audiology, certification from the American Speech-Language-Hearing Association (CCC-A), and board certification from the American Board of Audiology.",https://www.uakron.edu/s-lpa/aud/,"The Doctor of Audiology (Au.D.) residential program at The University of Akron is accredited by the Council on Academic Accreditation in Audiology and Speech-Language Pathology of the American Speech-Language-Hearing Association, 2200 Research Boulevard, #310, Rockville, MD 20850, 800-498-2071 or 301-296-5700.",Doctoral,Doctor of Audiology (Au.D.),https://www.uakron.edu/academics_majors/graduate_programs/
"Ecology and Evolutionary Biology, Physiology, Molecular/Cellular Biology","The graduate programs in Biology are designed to provide students with advanced training in modern biological principles and research methods. The department offers M.S. and Ph.D. degrees with specializations in ecology and evolutionary biology, physiology, and molecular/cellular biology. The department has a close working relationship with area institutions and agencies including the Cleveland Metroparks Zoo, Cleveland Museum of Natural History, Cuyahoga Valley National Park, and the University of Akron Field Station. This collaboration provides students with a diversity of research opportunities. The M.S. degree is excellent preparation for careers in government, industry, and education, or as preparation for further graduate work.",https://bulletin.uakron.edu/graduate/colleges-programs/arts-sciences/biology/biology-ms/,,,Master of Science in Biology,https://bulletin.uakron.edu/graduate/colleges-programs/arts-sciences/biology/biology-ms/
