Program name,Program Page url
Master of Business Administration (MBA),https://degrees.midway.edu/grad-program-landing-page.html
Master of Education (M. Ed.),https://www.midway.edu/graduate/med-2/
Master of Science in Nursing (MSN),https://degrees.midway.edu/grad-program-landing-page.html
Master of Social Work (MSW),https://degrees.midway.edu/grad-program-landing-page.html
Master of Art in Teaching (MAT),https://www.midway.edu/academics/majors-and-programs/mat.html
Master of Science in Management Information Systems (MMIS),https://degrees.midway.edu/grad-program-landing-page.html
Online Master of Science in Nursing-Master of Business Administration dual degree (online MSN-MBA dual degree),https://www.midway.edu/academics/majors-and-programs/msn-mba-dual-degree.html
Master of Healthcare Administration (MHA),https://degrees.midway.edu/grad-program-landing-page.html
Concentration in Human Resource Management (MBA),https://degrees.midway.edu/grad-program-landing-page.html
Concentration in Management Information Systems (MBA),https://degrees.midway.edu/grad-program-landing-page.html
Concentration in Sport Management (MBA),https://www.midway.edu/academics/majors-and-programs/mba-sport-management.html
Concentration in Tourism and Event Management (MBA),https://degrees.midway.edu/grad-program-landing-page.html
Concentration in Health Care Administration (MBA),https://www.midway.edu/academics/majors-and-programs/mba-health-care-adm.html
Concentration in Equine Studies (MBA),https://www.midway.edu/academics/majors-and-programs/mba-equine.html
Concentration in Administration (MSN),https://degrees.midway.edu/grad-program-landing-page.html
Concentration in Education (MSN),https://degrees.midway.edu/grad-program-landing-page.html
