Id,ProgramName,ProgramCode,Status,CreatedDate,UpdatedDate,Level,Term,TermCode,LiveDate,DeadlineDate,Resume,StatementOfPurpose,GreOrGmat,EnglishScore,Requirements,WritingSample,CollegeId,IsAnalyticalNotRequired,IsAnalyticalOptional,IsDuoLingoRequired,IsELSRequired,IsGMATOrGreRequired,IsGMATRequired,IsGreRequired,IsIELTSRequired,IsLSATRequired,IsMATRequired,IsMCATRequired,IsPTERequired,IsTOEFLIBRequired,IsTOEFLPBTRequired,IsEnglishNotRequired,IsEnglishOptional,AcademicYear,AlternateProgram,ApplicationType,Department,Fees,IsAvailable,ProgramType,AdmissionDepartmentId,CreatedBy,UpdatedBy,Concentration,Description,OtherConcentrations,ProgramWebsiteURL,Accredidation,AverageScholarshipAmount,CostPerCredit,IsRecommendationSystemOpted,IsStemProgram,MaxFails,MaxGPA,MinGPA,PreviousYearAcceptanceRates,QsWorldRanking,TotalAccepetedApplications,TotalCredits,TotalDeniedApplications,TotalI20sIssued,TotalScholarshipsAwarded,TotalSubmittedApplications,TotalVisasSecured,UsNewsRanking,CollegeApplicationFee,IsCollegePaying,MEContractNegotiatedFee,MyGradAppFee,ProgramCategory,IsCollegeApplicationFree,IsCouponAllowed,IsACTRequired,IsSATRequired,SftpDestinationId,MinimumACTScore,MinimumDuoLingoScore,MinimumELSScore,MinimumGMATScore,MinimumGreScore,MinimumIELTSScore,MinimumMATScore,MinimumMCATScore,MinimumPTEScore,MinimumSATScore,MinimumTOEFLScore,MLModelName,MinimumAnalyticalScore,MinimumEnglishScore,MinimumExperience,MinimumSopRating,WeightAnalytical,WeightEnglish,WeightExperience,WeightGPA,WeightSop,ScholarshipAmount,ScholarshipPercentage,ScholarshipType,IsNewlyLaunched,BatchId,IsImported,IsImportVerified,Is_Recommendation_Sponser,AnalyticalScore,MinimumLSATScore
,Master of Business Administration (MBA),,,,,,"Fall, Spring, Summer",,,,Optional,Optional,Not Required,"Students from non-English speaking countries must submit one of the following to prove English proficiency: TOEFL (Test of English as a Foreign Language) score of 500 on the paper-based test (PBT), 173 on the computer-based test (CBT), or 61 on the internet-based test (iBT); IELTS (International English Language Testing System) score of 6.0; Pearson Test of English Academic (PTE) score of 44; or Duolingo English Test score of 95.","Completed Midway University graduate application (no application fee)
Official transcript(s) from a regionally accredited college or university showing a bachelor’s degree was conferred with a minimum 2.5 cumulative GPA on a 4.0 scale. If your undergraduate GPA is less than 2.5, you may be granted provisional admission. Contact an admissions counselor to learn more. NOTE: For students with an undergraduate GPA between 2.25 – 2.49 a statement of purpose and resume will be required for admission review.
Students for whom English is not their primary language must have an official Test of English as a Foreign Language (TOEFL) score of 79 on the internet-based test (iBT). An official International English Language Testing System (IELTS) score of 6.5 may be submitted in lieu of TOEFL.",Not Required,,True,False,True,False,False,False,False,True,False,False,False,True,True,True,False,False,,,,"School of Business, Equine & Sport Studies",17550,,,,,,"['Equine Management', 'Health Care Administration', 'Human Resource Management', 'Sport Management', 'Tourism and Event Management']","Midway University’s Master of Business Administration (MBA) degree program is designed to prepare students for leadership roles in today’s rapidly-changing, technology-driven global marketplace. The program provides the foundational business administration knowledge all leaders need. Our unique delivery model allows students to choose their area of concentration so they can customize their degree and meet their career goals. Courses are delivered in a unique 8-week format that allows a student to focus on just two courses at a time. The program is offered 100% online making it convenient for working professionals to earn their degree. Students can complete their degree in just 15 months.",,https://degrees.midway.edu/grad-program-landing-page.html,"The MBA program at Midway University has received specialized accreditation for its business programs through the International Accreditation Council for Business Education (IACBE) located at 11960 Quivira Road, Suite 300 in Overland Park, Kansas, USA.",,585,False,False,,4.0,2.5,,,,,,,,,,,17550,,,,,,,False,False,,,95.0,,,,6.0,,,44.0,,61.0,,,,,,,,,,,,,,,,,,,,
,Master of Education (M. Ed.),,,,,,"January, March, May, August, October",,,,,Required,Optional,"For international graduate students, a minimum TOEFL score of 550 on the paper-based test or 79 on the internet-based (iBT), a minimum IELTS score of 6.0, or a minimum Duolingo score of 105 is required.","Completed graduate application. An official undergraduate transcript from an accredited college/university with a minimum cumulative 2.5 GPA, or a 3.0 on the last 60 hours of coursework. Copy of teaching certificate (initial certification). Two letters of recommendation. Written statement of professional goals. An interview with the Program Coordinator. Teacher Leader Program Additional Requirement: One of the letters of recommendation must be from the applicant’s current building principal or district-level administrator.",Not Required,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,"School of Arts, Education & Social Sciences",15450,,,,,,"Initial Certification, Additional Certification, Teacher Leader Master of Education, Instructional Coach Endorsement, Literacy Specialist Endorsement (P-12)",Midway University’s Master of Education (M.Ed.) program is a 100% online program designed for individuals who have a bachelor’s degree and want to become a teacher or for current teachers who want to enhance their skills. The M.Ed. has two tracks for students – Initial Certification or an Additional Certification. Midway’s M.Ed. program is built upon the framework of the Kentucky Teacher Standards. The Initial Certification track is for individuals who have a bachelor’s degree in a field other than education and would like to become a certified teacher in Kentucky. The Additional Certification track is for certified teachers who wish to add to their teaching certificate. The Additional Certification track includes the Teacher Leader M.Ed. and various endorsements.,,https://www.midway.edu/graduate/med-2/,Midway University is accredited by the Southern Association of Colleges and Schools Commission on Colleges (SACSCOC). The Teacher Education programs are accredited by the Council for the Accreditation of Educator Preparation (CAEP) and the Kentucky Education Professional Standards Board (EPSB).,,515,False,False,,4.0,2.5,,,,,,,,,,,15450,,,,,,,False,False,,,105.0,,,A minimum combined score of 286 on the verbal and quantitative sections and a minimum of 3.0 on the analytical writing section,6.0,389.0,,,,79.0,,,,,,,,,,,,,,,,,,,,
,Master of Science in Nursing (MSN),,,,,,"Fall, Spring, Summer",,,,Required,Required,Not Required,,"Completed online application; Official transcripts from all institutions attended; Cumulative undergraduate GPA of 3.0 on a 4.0 scale; BSN from an accredited institution; Active, unencumbered RN license in Kentucky or compact state; Resume/CV; Written statement of purpose; Three professional references; Personal interview with nursing faculty; Background check, drug screening, and immunizations after conditional acceptance",Not Required,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,School of Health Sciences,17850,,,,,,"Nursing Administration, Nursing Education","Midway University's Master of Science in Nursing (MSN) degree program is designed to prepare innovative, collaborative nursing leaders. Midway's MSN program can open the door to advanced positions in nursing administration or nursing education. The program is offered in a 100% online format. Midway's MSN program is accredited by the Accreditation Commission for Education in Nursing (ACEN). Students can choose from two specialized tracks – Nursing Administration or Nursing Education.",,https://degrees.midway.edu/grad-program-landing-page.html,"The master’s nursing program at Midway University located in Midway, KY is accredited by the: Accreditation Commission for Education in Nursing (ACEN) 3390 Peachtree Road NE, Suite 1400 Atlanta, GA 30326 (404) 975-5000. The most recent accreditation decision made by the ACEN Board of Commissioners for the master’s nursing program is Continuing Accreditation.",,595,True,False,1.0,4.0,3.0,,,,,,,,,,,17850,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Master of Social Work (MSW),,,,,Master,"Fall, Spring",,,,Required,Required,Not Required,Proof of English Proficiency - an official TOEFL score report with a minimum score of 550 on the paper-based test or 79 on the internet-based test (iBT). An IELTS score of 6.0 or higher is also acceptable. The TOEFL/IELTS may be waived for applicants who graduate from a U.S. college or university.,"To be considered for admission to the Master of Social Work program, all applicants must submit the following items:

1. Online Application for Admission: No fee required.
2. Official transcripts from all previously attended institutions. Applicants must hold a bachelor’s degree from a regionally accredited institution with a minimum cumulative undergraduate GPA of 3.0 on a 4.0 scale for unconditional admission. Applicants with a cumulative GPA between 2.50 and 2.99 may be admitted on a conditional basis.
3. Statement of Purpose: Submit a 3-5 page typed essay, double-spaced with 12 point font that addresses all of the following questions: (a) Why are you choosing social work as a profession? (b) What are your career goals? (c) Why is Midway University’s MSW program a good fit for you? (d) Describe your experiences working with diverse populations (e.g. race, ethnicity, socioeconomic class, sexual orientation, gender identity, religion, ability). (e) Discuss a social problem and how you see social workers addressing it. (f) The MSW program is rigorous. How have you prepared for the academic challenges of a graduate program? (g) Is there anything else you would like the admissions committee to know?
4. Three Letters of Recommendation: The letters should be submitted directly by the references through the online application portal. Two of the three references must be academic or professional (i.e. employer).
5. Resume: Submit a resume that details your educational, volunteer, and employment history.",Not Required,,True,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,,,,"School of Arts, Social Sciences & Humanities",35700,,,,,,,"Midway University’s Master of Social Work (MSW) degree program is designed to prepare students for advanced social work practice. The program emphasizes the values and ethics of the social work profession and prepares graduates to work with individuals, families, groups, organizations, and communities. The mission of the Midway University MSW Program is to prepare graduate students for excellence in advanced social work practice through an innovative curriculum that embodies the values and ethics of the profession. The MSW Program will meet the needs of the community and the Commonwealth of Kentucky by developing leaders who are committed to social and economic justice and the well-being of all persons. The MSW program is offered 100% online.",,https://degrees.midway.edu/grad-program-landing-page.html,The Midway University Master of Social Work program is accredited by the Council on Social Work Education’s Board of Accreditation.,,595,False,False,1.0,4.0,2.75,,,,,,,,,,,37200,,,,,,,False,False,,,,,,,6.0,,,,,79.0,,,,,,,,,,,,,,,,,,,,
,Master of Art in Teaching (MAT),,,,,Master,"Fall, Spring, Summer",,,,Required,Required,Not Required,,"Completed online application. Official transcript(s) of all previous college work showing a minimum 2.75 cumulative GPA, or a 3.0 GPA in the last 30 hours of credit completed. Two letters of recommendation. Passing scores on the PRAXIS Core Academic Skills for Educators (CASE) exams: Reading (156), Writing (162), and Mathematics (150). Applicants who have an ACT composite score of 22, an SAT combined score of 1100 (math + verbal after 3/1/16), or a GRE score of 1000 (math + verbal) or higher will be exempt from PRAXIS CASE. An applicant with a master’s degree from a regionally accredited institution is also exempt from PRAXIS CASE. A personal statement regarding the applicant’s professional goals and dispositions for teaching. A professional resume that summarizes the applicant’s educational and professional experiences. A signed statement that the applicant has read and will adhere to the Professional Code of Ethics for Kentucky School Personnel and the Midway University School of Education Character and Fitness requirements. An interview with the Program Coordinator.",Not Required,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,School of Arts & Sciences,15450,,,,,,"Middle School English, Middle School Math, Middle School Science, Middle School Social Studies, Secondary English, Secondary Math, Secondary Social Studies, P-12 Art, P-12 Music, P-12 Physical Education and Health, P-12 Spanish","The Master of Art in Teaching (MAT) program is an alternate route to teacher certification in Kentucky. The program is specifically designed for those individuals who have a bachelor’s degree in a field other than education and want to become a teacher. Through our MAT program, students can complete the requirements for a master’s degree and initial teacher certification at the same time.

Our MAT program is a 30-36 credit hour program that includes 16 weeks of student teaching in a classroom. We focus on classroom management, planning and assessment, diverse and exceptional learners, and literacy and technology to ensure our candidates are prepared for today’s classrooms. Throughout the program, our students have multiple opportunities to be in a variety of school settings to gain the experience they need.",,https://www.midway.edu/academics/majors-and-programs/mat.html,Midway University’s teacher education programs are accredited by the Council for the Accreditation of Educator Preparation (CAEP) and approved by the Kentucky Education Professional Standards Board (EPSB).,,515,False,False,,4.0,2.75,,,,,,,,,,,15450,,,,,,,False,False,,22.0,,,,,,,,,1100.0,,,,,,,,,,,,,,,,,,,,,
,Master of Science in Management Information Systems (MMIS),,,,,,"Fall 1, Fall 2, Spring 1, Spring 2, Summer",,,,Required,Required,Not Required,"International graduate students must show proof of English proficiency by one of the following methods: TOEFL: 79 internet based, IELTS: 6.0, Duolingo: 105, or ELS: level 112.","Completed graduate application.
Official transcript(s) from a regionally accredited college or university showing a bachelor’s degree was awarded.
Minimum 2.5 cumulative GPA for all college work.
Two letters of recommendation.
Resume.
Personal statement.
International students have additional admissions requirements.",Not Required,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,"School of Business, Equine and Sport Studies",16350,,,,,,,"Midway’s Master of Science in Management Information Systems (MMIS) program provides an in-depth understanding of the critical role that information systems play in modern organizations. Students will gain the skills and knowledge needed to manage and leverage information technology to achieve business goals and objectives. The program emphasizes the development of technical and analytical skills, as well as the ability to effectively communicate and collaborate with stakeholders at all levels of an organization. This degree is 100% online.",,https://degrees.midway.edu/grad-program-landing-page.html,,,545,False,True,,4.0,2.5,,,,,,,,,,,16350,,,,,,,False,False,,,105.0,112.0,,,6.0,,,,,79.0,,,,,,,,,,,,,,,,,,,,
,Online Master of Science in Nursing-Master of Business Administration dual degree (online MSN-MBA dual degree),,,,,,"Fall, Spring, Summer",,,,Required,Required,Not Required,,"To be considered for admission and matriculation into Midway University’s MSN-MBA Dual Degree program, students must present the following: A Bachelor of Science in Nursing (BSN) degree from a regionally accredited institution and a nationally accredited nursing program (ACEN or CCNE). A cumulative GPA of 3.0 on a 4.0 scale for all previous coursework is required. Submission of an application for admission. Submission of a curriculum vita or resume. Submission of a personal statement. Evidence of a current, unencumbered RN license from Kentucky or the state in which the student plans to complete the practicum requirements. Official transcripts of all previous undergraduate and graduate coursework. Three (3) letters of reference that speak to the applicant’s capacity for graduate-level work and for advanced practice nursing roles. Completion of an undergraduate or graduate statistics course with a grade of “C” or better within the past 5 years.",,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,"School of Health Sciences and School of Business, Equine and Sport Studies",28560,,,,,,Administration,"This dual master’s degree is designed for nurses who want to pursue leadership roles in healthcare organizations. In the business world, a Master of Business Administration (MBA) is the gold standard for those who want to lead and manage. The healthcare industry is in need of leaders with business acumen and advanced nursing training. This dual degree combines our MBA program with our Master of Science in Nursing (MSN) with a concentration in Administration. This program can be completed in just two years and is offered 100% online. Graduates are prepared for a variety of nursing leadership positions in a wide range of healthcare settings.",,https://www.midway.edu/academics/majors-and-programs/msn-mba-dual-degree.html,The master’s degree program in nursing at Midway University are accredited by the Accreditation Commission for Education in Nursing (ACEN). The most recent accreditation decision made by the ACEN Board of Commissioners for the master’s degree program in nursing is Continuing Accreditation. The MBA program at Midway University is accredited through the International Accreditation Council for Business Education (IACBE).,,595,False,False,,4.0,3.0,,,,,,,,,,,28560,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Master of Healthcare Administration (MHA),,,,,,"Fall, Spring, Summer",,,,Required,Required,Not Required,"For international students, English proficiency can be demonstrated by one of the following: TOEFL iBT score of 61 or above, TOEFL PBT score of 500 or above, IELTS score of 6.0 or above, Pearson Test of English Academic (PTE) of 44 or above, Duolingo English Test score of 90 or above, or successful completion of ELS Language Center’s Level 109 English for Academic Purposes Program.","To be considered for admission to the MHA program, students must meet these requirements:
1. Complete an application online at www.midway.edu/apply.
2. Submit a non-refundable $40 application fee.
3. Provide an official transcript from all colleges/universities attended.
4. Minimum cumulative GPA of 2.5 (on a 4.0 scale). Conditional admission may be available for a lower GPA.
5. A current resume.
6. Two letters of recommendation.
7. A statement of purpose about why you want to earn your MHA at Midway University.",Not Required,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,School of Health Sciences,17985,,,,,,,"The Master of Healthcare Administration (MHA) degree program at Midway University is designed to prepare individuals for careers in the healthcare industry. Our online format allows working professionals to earn their degree while maintaining their current employment. This 33 credit hour program can be completed in just 15 months. The MHA program provides students with the skills and knowledge needed to become effective healthcare administrators. Students will study topics such as healthcare finance, healthcare law and ethics, healthcare information systems, healthcare quality management, and healthcare strategic planning. The program will prepare students to be leaders and managers in hospitals, clinics, long-term care facilities, and other healthcare organizations. With a Master of Healthcare Administration degree, students will be prepared to make a positive impact on the lives of others. All graduate courses are taught in an accelerated format. The 16-week semester is broken down into two, 8-week terms. All graduate courses are 3 credit hours and taken one at a time.",,https://degrees.midway.edu/grad-program-landing-page.html,,,545,,False,,4.0,2.5,,,,,,,,,,,17985,,,,,,,False,False,,,90.0,,,,6.0,,,44.0,,61.0,,,,,,,,,,,,,,,,,,,,
,Concentration in Human Resource Management (MBA),,,,,,"Fall, Spring, Summer",,,,Required,Required,Not Required,"All graduate international students must present a minimum TOEFL score of 550 (paper) or 213 (computer) or 79 (internet-based), an IELTS score of 6.0, or a Duolingo score of 105 to be considered for full admission to the University.","Completed graduate application (no application fee). Official transcripts from all colleges/universities attended. Transcripts must show a conferred bachelor's degree from a regionally accredited institution with a minimum cumulative GPA of 2.5 on a 4.0 scale or a GPA of 2.75 in the last 60 hours. Applicants with an undergraduate GPA of less than 2.5 may be considered for provisional admission. A resume or CV. Two letters of recommendation. A brief, one-page essay on career goals and how a Midway MBA will help in achieving them.",Not Required,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,"School of Business, Equine and Sport Studies",17850,,,,,,Human Resource Management,"The Human Resource Management concentration is designed for those seeking to enhance their knowledge of strategic staffing, compensation and benefits, and employee and labor relations within organizations. Course work prepares students for the Society for Human Resource Management Certified Professional (SHRM-CP) exam.",,https://degrees.midway.edu/grad-program-landing-page.html,"The business programs at Midway University have received specialized accreditation through the International Accreditation Council for Business Education (IACBE) located at 11960 Quivira Road in Overland Park, Kansas, USA.",,595,,False,,4.0,2.5,,,,,,,,,,,17850,,,,,,,False,False,,,105.0,,,,6.0,,,,,79.0,,,,,,,,,,,,,,,,,,,,
,Concentration in Management Information Systems (MBA),,,,,MBA,"Fall, Spring, Summer",,,,Required,Required,Not Required,"Midway University requires a minimum score on one of the following exams for international admissions: TOEFL iBT: 61, IELTS: 6.0, PTE: 50, Duolingo: 90, or ELS: 109.","Complete the graduate application
Official transcripts from all institutions attended
Bachelor’s degree from a regionally accredited institution with a minimum 2.5 GPA (or a 2.75 GPA in the last 60 hours of coursework). Students who do not meet the minimum GPA requirements may be admitted on a conditional basis.
Resume
Statement of goals
Two letters of recommendation",Not Required,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,"School of Business, Equine and Sport Studies",20955,,,,,,Management Information Systems,"Midway’s Master of Business Administration (MBA) program is designed to prepare students for leadership roles in today’s rapidly-changing, global marketplace. The program addresses the needs of individuals with business or non-business undergraduate degrees. Offered 100% online, our MBA is affordable and flexible for working professionals who wish to advance their careers. The core curriculum provides students with a strong foundation in all business areas including leadership, management, accounting, finance, marketing, and strategy. Students can choose to further specialize their degree with a concentration. The Management Information Systems concentration is designed for students who want to become leaders in the technology field. Coursework addresses key areas of information systems management including information security, project management, business intelligence, and IT infrastructure. This degree is ideal for those individuals wanting to learn how to leverage technology to help an organization achieve its strategic goals.",,https://degrees.midway.edu/grad-program-landing-page.html,"The MBA, as well as the undergraduate business programs, at Midway University are accredited by the Accreditation Council for Business Schools and Programs (ACBSP).",,635,,False,,4.0,2.5,,,,,,,,,,,20955,,,,,,,False,False,,,90.0,109.0,,,6.0,,,50.0,,61.0,,,,,,,,,,,,,,,,,,,,
