QsWorldRanking,School,MaxFails,MaxGPA,MinGPA,PreviousYearAcceptanceRates,Term,LiveDate,DeadlineDate,Fees,AverageScholarshipAmount,CostPerCredit,ScholarshipAmount,ScholarshipPercentage,ScholarshipType,Program duration,Tuition fee,Program name,Program Page url
,"School of Business, Equine & Sport Studies",,4.0,2.5,,"Fall, Spring, Summer",,,17550,,585,,,,12-15 months,17550,Master of Business Administration (MBA),https://degrees.midway.edu/grad-program-landing-page.html
,"School of Arts, Education & Social Sciences",,4.0,2.5,,"January, March, May, August, October",,,15450,,515,,,,12-18 months,15450,Master of Education (M. Ed.),https://www.midway.edu/graduate/med-2/
,School of Health Sciences,1.0,4.0,3.0,,"Fall, Spring, Summer",,,17850,,595,,,,15 months,17850,Master of Science in Nursing (MSN),https://degrees.midway.edu/grad-program-landing-page.html
,"School of Arts, Social Sciences & Humanities",1.0,4.0,2.75,,"Fall, Spring",,,37200,,595,,,,1-2 years,35700,Master of Social Work (MSW),https://degrees.midway.edu/grad-program-landing-page.html
,School of Arts & Sciences,,4.0,2.75,,"Fall, Spring, Summer",,,15450,,515,,,,12-18 months,15450,Master of Art in Teaching (MAT),https://www.midway.edu/academics/majors-and-programs/mat.html
,"School of Business, Equine and Sport Studies",,4.0,2.5,,"Fall 1, Fall 2, Spring 1, Spring 2, Summer",,,16350,,545,,,,12 months,16350,Master of Science in Management Information Systems (MMIS),https://degrees.midway.edu/grad-program-landing-page.html
,"School of Health Sciences and School of Business, Equine and Sport Studies",,4.0,3.0,,"Fall, Spring, Summer",,,28560,,595,,,,,28560,Online Master of Science in Nursing-Master of Business Administration dual degree (online MSN-MBA dual degree),https://www.midway.edu/academics/majors-and-programs/msn-mba-dual-degree.html
,School of Health Sciences,,4.0,2.5,,"Fall, Spring, Summer",,,17985,,545,,,,15 months,17985,Master of Healthcare Administration (MHA),https://degrees.midway.edu/grad-program-landing-page.html
,"School of Business, Equine and Sport Studies",,4.0,2.5,,"Fall, Spring, Summer",,,17850,,595,,,,As little as 12 months,17850,Concentration in Human Resource Management (MBA),https://degrees.midway.edu/grad-program-landing-page.html
,"School of Business, Equine and Sport Studies",,4.0,2.5,,"Fall, Spring, Summer",,,20955,,635,,,,15 months,20955,Concentration in Management Information Systems (MBA),https://degrees.midway.edu/grad-program-landing-page.html
,"School of Business, Equine and Sport Studies",2.0,4.0,2.5,,"January, March, May, August, October",,,16350,,545,,,,15-18 months,16350,Concentration in Sport Management (MBA),https://www.midway.edu/academics/majors-and-programs/mba-sport-management.html
,"School of Business, Equine and Sport Studies",2.0,4.0,2.5,,"Fall, Spring, Summer",,,17850,,595,,,,12-15 months,17850,Concentration in Tourism and Event Management (MBA),https://degrees.midway.edu/grad-program-landing-page.html
,"School of Business, Equine & Sport Studies",,4.0,2.5,,Multiple start dates,,,16800,,545,,,,15 months,16350,Concentration in Health Care Administration (MBA),https://www.midway.edu/academics/majors-and-programs/mba-health-care-adm.html
,"School of Business, Communication & Leadership",,4.0,2.5,,Multiple start dates throughout the year,,,18150,,605,,,,12-15 months,18150,Concentration in Equine Studies (MBA),https://www.midway.edu/academics/majors-and-programs/mba-equine.html
,School of Health Sciences,0.0,4.0,3.0,,"Fall, Spring",,,19050,,635,,,,As few as 1.5 years,19050,Concentration in Administration (MSN),https://degrees.midway.edu/grad-program-landing-page.html
,School of Health Sciences,1.0,4.0,3.0,,"Fall, Spring, Summer",,,21780,,605,,,,5 terms,21780,Concentration in Education (MSN),https://degrees.midway.edu/grad-program-landing-page.html
