Id,ProgramName,ProgramCode,Status,CreatedDate,UpdatedDate,Level,Term,TermCode,LiveDate,DeadlineDate,Resume,StatementOfPurpose,GreOrGmat,EnglishScore,Requirements,WritingSample,CollegeId,IsAnalyticalNotRequired,IsAnalyticalOptional,IsDuoLingoRequired,IsELSRequired,IsGMATOrGreRequired,IsGMATRequired,IsGreRequired,IsIELTSRequired,IsLSATRequired,IsMATRequired,IsMCATRequired,IsPTERequired,IsTOEFLIBRequired,IsTOEFLPBTRequired,IsEnglishNotRequired,IsEnglishOptional,AcademicYear,AlternateProgram,ApplicationType,Department,Fees,Fees.1,IsAvailable,ProgramType,AdmissionDepartmentId,CreatedBy,UpdatedBy,Concentration,Description,OtherConcentrations,ProgramWebsiteURL,Accredidation,AverageScholarshipAmount,CostPerCredit,IsRecommendationSystemOpted,IsStemProgram,MaxFails,MaxGPA,MinGPA,PreviousYearAcceptanceRates,QsWorldRanking,TotalAccepetedApplications,TotalCredits,TotalDeniedApplications,TotalI20sIssued,TotalScholarshipsAwarded,TotalSubmittedApplications,TotalVisasSecured,UsNewsRanking,CollegeApplicationFee,IsCollegePaying,MEContractNegotiatedFee,MyGradAppFee,ProgramCategory,IsCollegeApplicationFree,IsCouponAllowed,IsACTRequired,IsSATRequired,SftpDestinationId,MinimumACTScore,MinimumDuoLingoScore,MinimumELSScore,MinimumGMATScore,MinimumGreScore,MinimumIELTSScore,MinimumMATScore,MinimumMCATScore,MinimumPTEScore,MinimumSATScore,MinimumTOEFLScore,MLModelName,MinimumAnalyticalScore,MinimumEnglishScore,MinimumExperience,MinimumSopRating,WeightAnalytical,WeightEnglish,WeightExperience,WeightGPA,WeightSop,ScholarshipAmount,ScholarshipPercentage,ScholarshipType,IsNewlyLaunched,BatchId,IsImported,IsImportVerified,Is_Recommendation_Sponser,AnalyticalScore,MinimumLSATScore,IsGRERequired
,Master of Science in Advanced Manufacturing,,,,,Graduate,Fall 2026,,,,Required,Required,Optional,REQUIRED,Illinois Tech requires a four-year bachelor's degree* that is conferred with a minimum cumulative undergraduate grade-point average of 3.0 on a 4.0 scale (or its equivalent) from an accredited institution for regular admission. [4],,,True,True,True,False,False,False,,True,False,False,False,False,True,True,False,False,,,,Armour College of Engineering,,,,,,,,,"To excel in today's competitive business market, students will explore the latest manufacturing technologies in addition to learning more traditional, hardware-based methodologies. [6] Our graduates will understand the fundamentals and applications of modern manufacturing processes, be able to identify challenges with modern manufacturing processes, be skilled at analyzing data for manufacturing processes, and more. [6] Core program requirements cover computer-integrated manufacturing, design optimization cycles, advanced machining, and quality control. [6] The Master of Science in Advanced Manufacturing provides students with the opportunity to explore the latest technologies, such as digital manufacturing and additive manufacturing, as well as learn more traditional, hardware-based methodologies. [6] Students choose between the coursework only option and the thesis option. [6]",,https://catalog.iit.edu/graduate/graduate-education/academic-programs/,,,,FALSE,True,,4.0,,,,,,,,,,,,,,,,Manufacturing Engineering,,,False,False,,,115.0,,,,6.5,,,,,80,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,
,Master of Science in Analytical Chemistry,,,,,Graduate,Fall 2026,,,,,,Not Required,REQUIRED,"To earn the M.S. in Analytical Chemistry degree, you must complete a minimum of 32 credit hours from the list of approved courses while maintaining a minimum grade point average of 3.0/4.0 (B average). No courses with a failing grade (E) will be counted towards the degree. You are also required to pass the final oral exam. [6]",,,True,False,True,True,False,False,,True,False,False,False,False,True,False,False,False,,,,,,,,,,,,,"The Master of Science in Analytical Chemistry program page on the Illinois Institute of Technology website does not provide a detailed narrative description. It does, however, list the required and elective courses. Required courses include Advanced Analytical Chemistry, Capstone Project, Spectroscopic Methods I and II, Analytical Methods Development, Physical Methods of Characterization, Gas Chromatography, and Liquid Chromatography. [11] Elective courses can be chosen from a list that includes Polymer Characterization and Analysis, Analytical Chemistry in Pharmaceutical Laboratories, and Colloids and Colloid Analysis, among others. [11]",,https://catalog.iit.edu/graduate/graduate-education/academic-programs/,,,,FALSE,False,,,,,,,,,,,,,,,,,,Chemistry,,,False,False,,,115.0,112,,,6.5,,,,,80,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,
,Master of Science in Applied Cybersecurity and Digital Forensics,,,,,Graduate,Fall 2026,,,,Required,Required,GRE,REQUIRED,Applicants for admission to a master of science degree should hold a four-year bachelor's degree in a computing or computing-related engineering discipline from an accredited institution with a minimum cumulative undergraduate GPA of 3.0/4.0. [2] Previous coursework or experience in technology is helpful but not required. [6] Additional coursework may be required for those with no previous background in information technology. [6],Not Required,,True,True,False,False,True,False,,False,False,False,False,False,True,False,False,False,,,,"College of Computing, Information Technology and Management. [57]",,,,,,,,,"The aaster Science Applied bersecurity and Digital Forensics prepares professionals for the rapidly growing fields of cybersecurity, forensics, and information assurance. Upskill for leadership roles in business, law enforcement, military, government, and other organizations.. [4] At the conclusion of their studies, graduates of the Master of Science in Applied Cybersecurity and Digital Forensics degree should be able to: Design and implement a comprehensive enterprise security program using both policy and technology to implement technical, operational, and managerial controls; Comprehensively investigate information security incidents and violation of law using computer resources in a manner such that all evidence is admissible in a court of law; Technically secure enterprise information assets and resources to deter, detect, and prevent the success of attacks and intrusions; Conduct and report on significant research in the areas of cybersecurity and/or digital forensics. [3]",,https://catalog.iit.edu/graduate/graduate-education/academic-programs/,Illinois Institute of Technology has been designated as a National Center of Academic Excellence in Cyber Defense Education by the National Security Agency and the Cybersecurity and Infrastructure Security Agency. [3],,,FALSE,True,,4.0,3.0,,,,,,,,,,,,,,,Cybersecurity,,,False,False,,,,,,"305 (combined quantitative and verbal), 151 quantitative, and 3.0 analytical writing",,,,,,,,,,,,,,,,,"Up to $5,000 for students who begin their master's degree within three years of earning a TechPro certificate. [53]",35% cost reduction on the TechPro certificate in Data Management and Analytics which can lead to the Master of Science in Applied Cybersecurity and Digital Forensics. [53],Students are eligible for the Department of Defense Cyber Scholarship Program and the Federal Cyber Corps® Scholarship for Service Program. [57] Scholarships are also available for students who continue from a TechPro certificate program. [53],FALSE,,,FALSE,FALSE,,,
,Master of Science in Applied Mathematics,,,,,Graduate,Fall 2026,,,,Required,Required,GRE,REQUIRED,"The program normally requires a bachelor's degree in mathematics or applied mathematics. Candidates whose degree is in another field (for example, computer science, physics, or an engineering discipline) and whose background in mathematics is strong are also eligible for admission and are encouraged to apply. Applicants should have a bachelor's degree from an accredited university with a minimum cumulative GPA of 3.0/4.0. A combined verbal and quantitative GRE examination score of at least 304 and an analytic writing score of at least 2.5 are required. A professional statement of goals/objectives (two pages) and a curriculum vitae must be submitted. Two letters of recommendation are required. [13]",Not Required,,False,False,False,False,True,False,,False,False,False,False,False,True,True,False,False,,,,College of Computing,,,,,,,,"['Computational Statistics for Data Science', 'Discrete Computation and Optimization', 'Industrial Mathematics', 'Quantitative Risk Management', 'Stochastic Computation']","The Master of Science in Applied Mathematics program at Illinois Tech is a modern graduate program tailored to serve students based on their academic background and future career goals. For students who wish to pursue a doctoral degr ee inthe m athematicalsciences,it providesa strongacademic foundation that prepares the student for the challenge of Ph.D. coursework and research.For students who wish to pursue careers in industry, Illinois Tech trains students in state-of-the-art advanced mathematical techniques and models that are appealing to future employers. These options are possible due to the remarkably flexible structure of the program that allows students to craft their own coursework to meet their career goals by choosing one of the three options of study: Coursework only option; Completing an industry-based project; Writing an M.S. thesis. In addition, students can choose a specialization from a wide range of contemporary areas of applied mathematics.",,https://catalog.iit.edu/graduate/graduate-education/academic-programs/,,,,FALSE,True,,,,,,,,,,,,,,,,,,Applied Mathematics,,,False,False,,,,,,A combined verbal and quantitative GRE examination score of at least 304 and an analytic writing score of at least 2.5,,,,,,80,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,
,Master of Science in Architectural Engineering,,,,,Graduate,Fall 2026,,,,Required,Required,GRE,REQUIRED,"Applicants must have earned a bachelor's degree from a regionally accredited institution. A minimum undergraduate GPA of 3.0 on a 4.0 scale is required for admission. The GRE is required for all Armour College of Engineering Ph.D. applicants and M.S. applicants in Mechanical and Aerospace Engineering. For all other master's programs, the GRE is not required. International applicants must meet English proficiency requirements.",,,False,False,True,True,True,False,,True,False,False,False,False,True,False,False,False,,,,Armour College of Engineering,,"The tuition for the 2025-2026 academic year is $1,851 per credit hour. [47] The Master of Science in Architectural Engineering program requires a minimum of 32 credit hours. [36]",,,,,,,,,https://catalog.iit.edu/graduate/graduate-education/academic-programs/,,,"$1,851 per credit hour",FALSE,True,,4.0,3.0,,,,,,,,,,,,,,,Architectural Engineering,,,False,False,,,115.0,112,,292 (quantitative + verbal),6.5,,,,,80,,,,,,,,,,,,,"Merit-based, Need-based",FALSE,,,FALSE,FALSE,,,
,Master of Science in Architecture,,,,,Graduate,Fall 2026,,,,Required,Required,,,"The Master of Science in Architecture is a research-oriented post-professional degree program that allows students to pursue advanced individual studies that bridge design and research. The program is open to applicants holding an accredited professional degree in architecture, landscape architecture, urban design, or allied field. Applicants with a degree earned outside the U.S. must have the equivalent to a first professional degree and be eligible for licensure in their home country. The Master of Science in Architecture is a three semester program (this may include one summer semester). The program of study requires a minimum of 32 credit hours, selected from advanced studios, lectures, and seminars. [55]",Required,,False,True,False,False,False,False,,False,False,False,False,False,False,False,False,False,,,,College of Architecture,,,,,,,,"['Design and energy conservation', 'Emerging building technologies', 'Health and the built environment', 'Heritage conservation', 'Sustainable market transformation', 'Urban design']","The Master of Science in Architecture is a STEM-designated graduate degree devoted to fundamental and applied research in the built environment with a flexible curriculum of three semesters. [7] The program positions its investigations in the space between emerging forms of urbanization and existing concepts of architecture, landscape, and cities. [6] Its goal is to develop new and better models for shaping socially, culturally, and ecologically sustainable environments. [6]",,https://catalog.iit.edu/graduate/graduate-education/academic-programs/,"The Illinois Institute of Technology website states that the Bachelor of Architecture and Master of Architecture are accredited by the National Architectural Accrediting Board (NAAB). [5] It does not mention NAAB accreditation for the Master of Science in Architecture program. [3, 5]",,,FALSE,True,,4.0,3,,,,,,,,,,,,,,,Architecture,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,
,Master of Science in Autonomous Systems and Robotics,,,,,Graduate,Fall 2026,,,,Required,,GRE,REQUIRED,"The master of science degree program advances knowledge through post-baccalaureate coursework. The program requires 32 credit hours. Students have the option of completing a thesis based on up to eight credit hours of research (MMAE 591) with the approval of a thesis adviser, or completing the program with courses, which may include up to six credit hours of projects (MMAE 594 or MMAE 597). [4] Admissions Requirements: GPA 3.0, GRE 300, TOEFL - according to university minimum standards and B.S. Degree in Mechanical Engineering, Aerospace Engineering, Electrical Engineering, Physics, Industrial Engineering, Computer Science or Mathematics. [4]",Not Required,,False,False,True,True,True,False,,True,False,False,False,False,True,False,False,False,,,,"Department of Mechanical, Materials, and Aerospace Engineering",,,,,,,,,"The M.S. in Autonomous Systems and Robotics focuses on physical systems and the internal algorithms by which they are controlled and monitored for real-time operations, environmental awareness, and decision-making. Graduates of this program will be leaders in the innovation and development of self-guided platforms needing limited intervention, including vehicles, robots, and collaborative physical systems. [3]",,https://catalog.iit.edu/graduate/graduate-education/academic-programs/,,,,FALSE,True,,4.0,3.0,,,,,,,,,,,,,,,Automation,,,False,False,,,115.0,112,,300,6.5,,,,,80,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,
,Master of Science in Biological Engineering,,,,,Graduate,Fall 2026,,,,Required,Required,Not Required,REQUIRED,"The objectives of this degree program are to prepare students for professional practice in any field of an engineering involving biological processes and to provide a foundation in the fundamental knowledge of biological engineering. Candidates are required to take a total of 30 credit hours: nine credit hours of core courses, six credit hours of required biology courses, three credit hours of a required professional course, and 12 credit hours of electives. [16]",Not Required,,True,True,True,False,False,False,,True,False,False,False,False,True,False,False,False,,,,Armour College of Engineering,,,,,,,,,"The objectives of this degree program are to prepare students for professional practice in any field of engineering involving biological processes and to provide a foundation in the fundamental knowledge of biological engineering. Candidates are required to take a total of 30 credit hours: nine credit hours of core courses, six credit hours of required biology courses, three credit hours of a required professional course, and 12 credit hours of electives. [11]",,https://catalog.iit.edu/graduate/graduate-education/academic-programs/,,,,FALSE,True,,4.0,3.0,,,,,,,,,,,,,,,Bioengineering,,,False,False,,,115.0,,,,6.5,,,,,70,,,,,,,,,,,"The ACE Award covers the cost of three credit hours per semester for two semesters. A guaranteed admission program for some transfer students offers a $25,000 scholarship. Other scholarships for engineering students include a $10,000 Heald Scholarship for freshmen and a $10,000 Transfer Student Award. [133, 134, 131]",,Merit-based,FALSE,,,FALSE,FALSE,,,
,Master of Science in Biology,,,,,Graduate,Fall 2026,,,,,,Optional,REQUIRED,Illinois Tech requires a four-year bachelor's degree* conferred with a minimum cumulative undergraduate grade-point average of 3.0/4.0 (or its equivalent) from an accredited institution for regular admission. [10],,,False,True,True,True,False,False,,True,True,False,False,False,True,False,False,False,,,,Lewis College of Science and Letters,,,,,,,,"['Pre-professional', 'Microbiology', 'Cellular, Developmental, & Molecular Biology', 'Ecology and Evolutionary Biology', 'Neurobiology', 'Bioinformatics', 'Practice of Biology']","The Master of Science in Biology consists of advanced coursework directed towards molecular, cellular and systems principles that apply to microbial, plant and animal contexts. You will choose between the thesis and non-thesis options. We offer non-thesis and thesis Master of Science degrees in Biology that are tailored to the student's individual career goals. The small, caring faculty gives personal attention to shape a degree suited for different needs, opening career possibilities in industry, business, law, policy, administration, or research. [3, 4]",,https://catalog.iit.edu/graduate/graduate-education/academic-programs/,"Illinois Institute of Technology is accredited by the Higher Learning Commission. [14] Specific program accreditation for the Master of Science in Biology is not mentioned. [14, 16]",,,FALSE,True,,,,,,,,,,,,,,,,,,Biology,,,False,False,,,115.0,112,,"292 (quantitative + verbal) for master's applicants, 298 (quantitative + verbal) for doctoral applicants",6.5,,,,,80,,,,,,,,,,,,,Teaching Assistantships,FALSE,,,FALSE,FALSE,,,
,Master of Science in Biomedical Engineering,,,,,Graduate,Fall 2026,,,,Required,Required,Not Required,REQUIRED,"The Master of Science in Biomedical Engineering degree requires the time and resources of a faculty mentor in order to adequately execute the research component of the degree. As a result, the department will admit candidates who have not only the credentials suitable for this degree but also for which a department faculty member consents to serve as the candidate's research mentor. [2] A four-year bachelor's degree with a minimum cumulative undergraduate grade-point average of 3.0 on a 4.0 scale (or its equivalent) from an accredited institution is required for regular admission. [6]",Not Required,,False,True,True,False,False,False,,True,False,False,False,False,True,False,False,False,,,,Armour College of Engineering,"The 2025–2026 tuition rate is $1,851/credit hour. Estimated fees for one full year are $2,050 for domestic students and $4,336 for international students, in addition to tuition. [130]","$1,851/credit hour for the 2025-2026 academic year. [130]",,,,,,,,,https://catalog.iit.edu/graduate/graduate-education/academic-programs/,,,1851,FALSE,True,,4.0,3,,,,,,,,,,,,,,,Biomedical Engineering,,,False,False,,,115.0,,,,6.5,,,,,80,,,,,,,,,,,The ACE Award is a partial-tuition scholarship that covers the cost of three credit hours per semester for a total of two semesters. [158],,"Merit-based scholarships, Graduate Pathway Scholarship, ACE Award. [129, 158]",FALSE,,,FALSE,FALSE,,,
