QsWorldRanking,School,MaxFails,MaxGPA,MinGPA,PreviousYearAcceptanceRates,Term,LiveDate,DeadlineDate,Fees,AverageScholarshipAmount,CostPerCredit,ScholarshipAmount,ScholarshipPercentage,ScholarshipType,Program duration,Tuition fee,Program name,Program Page url
,W. P. Carey School of Business,,4.0,3.0,,Fall 2026,"July 1, 2025","November 1, 2025","$35,628/Year",,"$1,379/Credit",,,Merit-based,4 years,"$35,628/Year","Accountancy, BS",https://degrees.apps.asu.edu/bachelors/major-list/letter/all?init=false&nopassive=true
,School of Mathematical and Statistical Sciences,,4.0,3.0,,Fall 2026,,,,,,,,,4 years,,"Actuarial Science, BS",https://degrees.apps.asu.edu/bachelors/major-list/letter/all?init=false&nopassive=true
179,Ira A. Fulton Schools of Engineering,,4.0,3.0,90.4%,Fall 2026,"July 1, 2025","February 15, 2026","$34,888/Year",,1403.17,"$2,000 to $15,500 per year",,"Merit-based, Need-based",4 years,33676,"Aeronautical Management Technology (Air Traffic Management), BS",https://degrees.apps.asu.edu/bachelors/major-list/letter/all?init=false&nopassive=true
,Ira A. Fulton Schools of Engineering,,4.0,3.0,88.4% (Fall 2022),Fall 2026,,,,,"$1,446 per credit hour","$9,000 - $15,500 per year",,Merit-based,4 years,"$34,428/Year","Aeronautical Management Technology (Air Transportation Management), BS",https://degrees.apps.asu.edu/bachelors/major-list/letter/all?init=false&nopassive=true
,Ira A. Fulton Schools of Engineering,,4.0,3.0,,,,,"$12,000/Semester",,,"$3,000–$16,000",,Merit-based,4 years,"$11,034/Year","Aeronautical Management Technology (Professional Flight), BS",https://degrees.apps.asu.edu/bachelors/major-list/letter/all?init=false&nopassive=true
219,The Ira A. Fulton Schools of Engineering,,4.0,3.0,,,,,13166,,"Resident: $1,250/credit hour; Non-resident: $1,676/credit hour","Amounts range from $500 to $16,000",,"Merit-based, need-based, major-specific, residency-based",8 semesters,"Resident: $13,166/year; Non-resident: $34,414/year","Aeronautical Management Technology (Unmanned Aerial Systems), BS",https://degrees.apps.asu.edu/bachelors/major-list/letter/all?init=false&nopassive=true
,Ira A. Fulton Schools of Engineering,,4.0,3.0,,Fall 2026,,,,,"$914/credit hour (resident); $1,478/credit hour (non-resident)","$3,000 to $16,000 per year",,"Merit-based, Need-based",4 years,"$13,756/year (resident); $35,988/year (non-resident)","Aerospace Engineering (Aeronautics), BSE",https://degrees.apps.asu.edu/bachelors/major-list/letter/all?init=false&nopassive=true
,"School for Engineering of Matter, Transport and Energy",,4.0,3.0,,,,,"$38,091/Year",,,"$3,000–$16,000",,Merit-based,4 years,"$38,091/Year","Aerospace Engineering (Astronautics), BSE",https://degrees.apps.asu.edu/bachelors/major-list/letter/all?init=false&nopassive=true
,Ira A. Fulton Schools of Engineering,,4.0,3.0,,Fall 2026,,,36788,,"$1,493 per credit hour (non-resident)","$3,000 - $16,000 per year",,"Merit-based, Need-based, Criteria-based",4 years,"$36,788 per year (non-resident)","Aerospace Engineering (Autonomous Vehicle Systems), BSE",https://degrees.apps.asu.edu/bachelors/major-list/letter/all?init=false&nopassive=true
179,The College of Liberal Arts and Sciences,,4.0,3.0,,Fall 2026,,,,,1599,"Varies, e.g., New American University Scholarship for non-residents ranges from $3,000 to $16,000",,"Merit-based, need-based",,35096,"African and African American Studies, BA",https://degrees.apps.asu.edu/bachelors/major-list/letter/all?init=false&nopassive=true
,College of Health Solutions,,4.0,3.0,,,,,36258,,2056,"10,000 - 16,000 per year",,"Merit-based, Need-based",4 years,"$36,258/Year","Aging, BS",https://degrees.apps.asu.edu/bachelors/major-list/letter/all?init=false&nopassive=true
,W. P. Carey School of Business,,4.0,3.0,,Fall 2026,"July 1, 2025","February 1, 2026",34320,,1478,,,"New American University merit-based scholarships, need-based aid, private donor scholarships and external scholarships",4 years,"$34,320/Year (non-resident)","Agribusiness, BS",https://degrees.apps.asu.edu/bachelors/major-list/letter/all?init=false&nopassive=true
,"Morrison School of Agribusiness, W. P. Carey School of Business",,4.0,3.0,,Fall 2026,,"May 1, 2026","$15,120/Year",,"$1,402/Credit Hour","$3,000 - $16,000",,Merit-based,4 years,"$15,120/Year",Agricultural Business and Management,https://degrees.apps.asu.edu/bachelors/major-list/letter/all?init=false&nopassive=true
179,The Polytechnic School,,4.0,3.0,,Fall 2026,,,"$35,906/Year",,"$1,119.93/credit hour","$3,000 to $16,000 per year",,Merit-based,4 years,"$35,906/Year","Air Traffic Management, BS",https://degrees.apps.asu.edu/bachelors/major-list/letter/all?init=false&nopassive=true
,The College of Liberal Arts and Sciences,,4.0,3.0,,Fall 2026,,,,,,,,,4 years,,"American Indian Studies, BS",https://degrees.apps.asu.edu/bachelors/major-list/letter/all?init=false&nopassive=true
156,New College of Interdisciplinary Arts and Sciences,,4.0,3.0,,Fall 2026,,,,,"Arizona resident: $933; Nonresident: $1,478 (for 2024-2025 academic year)",,,Merit-based,4 years,"Arizona resident: $13,448/year; Nonresident: $33,670/year (for 2024-2025 academic year)","American Studies, BA",https://degrees.apps.asu.edu/bachelors/major-list/letter/all?init=false&nopassive=true
,New College of Interdisciplinary Arts and Sciences,,4.0,3.0,,Fall 2026,,,,,1262,,,Merit-based,4 years,31705,Animal Behavior,https://degrees.apps.asu.edu/bachelors/major-list/letter/all?init=false&nopassive=true
206,College of Integrative Sciences and Arts,,4.0,3.0,,,,,"$35,562/Year",,"$1,436/Credit Hour",,,"Academic achievement, financial need or chosen major",8 semesters,"$35,562/Year",Animal Health,https://degrees.apps.asu.edu/bachelors/major-list/letter/all?init=false&nopassive=true
192,School of Human Evolution and Social Change,,4.0,3.0,,Fall 2026,,,"$13,844/Year",,1374,"$3,000 to $16,000",,"Merit-based, Need-based",4 years,"$13,844/Year","Anthropology, BA",https://degrees.apps.asu.edu/bachelors/major-list/letter/all?init=false&nopassive=true
119,School of Human Evolution and Social Change,,4.0,3.0,,Fall 2026,"July 1, 2025","January 15, 2026","$34,446/Year",,"$1,463",,,Merit-based,4 years,"$34,446/Year","Anthropology, BS",https://degrees.apps.asu.edu/bachelors/major-list/letter/all?init=false&nopassive=true
179,The Design School,,4.0,3.0,89.8%,,,,"$14,642/Year",,$902/Credit,,,"Merit-based, Need-based, Private",2 years,"$14,642/Year","Apparel Technical Design, AA",https://degrees.apps.asu.edu/bachelors/major-list/letter/all?init=false&nopassive=true
182,College of Integrative Sciences and Arts,,4.0,3.0,,Fall 2026,,,32148,,"$1,469 per credit hour","Up to $16,000 per year",,"Merit-based, Need-based",4 years,32148,"Applied Biological Sciences (Natural Resource Ecology), BS",https://degrees.apps.asu.edu/bachelors/major-list/letter/all?init=false&nopassive=true
,College of Integrative Sciences and Arts,,4.0,3.0,,Fall 2026,2025-07-01,2026-01-15,"Arizona resident: $13,448/year; Non-resident: $34,398/year (based on 2024-2025 rates).",,"Non-resident: $1,478 per credit hour for 1-6 credits; a comprehensive tuition rate applies for 7 or more credits.","Merit-based scholarships for non-residents range from $9,000 to $16,000 per year.",,"Merit-based, Need-based",4 years,"Arizona resident: $13,448/year; Non-resident: $34,398/year (based on 2024-2025 rates).","Applied Biological Sciences (Pre-Dental), BS",https://degrees.apps.asu.edu/bachelors/major-list/letter/all?init=false&nopassive=true
179,College of Integrative Sciences and Arts,,4.0,3.0,90.2%,Fall 2026,,,"$32,790/Year",,"$1,373",,,Merit-based and need-based,4 years,"$32,790/Year","Applied Biological Sciences (Preveterinary Medicine), BS",https://degrees.apps.asu.edu/bachelors/major-list/letter/all?init=false&nopassive=true
,College of Integrative Sciences and Arts,,4.0,3.0,,,,,"$12,570/Year",,,"$3,000 - $16,000 per year",,"Merit-based, Need-based",4 years / 8 semesters,"$12,570/Year","Applied Biological Sciences (Secondary Education in Biology), BS",https://degrees.apps.asu.edu/bachelors/major-list/letter/all?init=false&nopassive=true
179,College of Integrative Sciences and Arts,,4.0,3.0,,Fall 2026,"July 1, 2025","May 1, 2026","$31,232/Year",,"$1,302/credit hour",,,"Merit-based, Need-based",4 years,"$31,232/Year","Applied Biological Sciences (Sustainable Horticulture), BS",https://degrees.apps.asu.edu/bachelors/major-list/letter/all?init=false&nopassive=true
,College of Integrative Sciences and Arts,,4.0,2.0,,Fall 2026,,,,,,,,,4 years,,"Applied Biological Sciences, BS",https://degrees.apps.asu.edu/bachelors/major-list/letter/all?init=false&nopassive=true
,W. P. Carey School of Business,,4.0,3.0,,Fall 2026,,,"$12,708/Year",,"$1,471/Credit",,,"Merit-based, Need-based",8 semesters,"$12,708/Year","Applied Business and Technology Solutions, BA",https://degrees.apps.asu.edu/bachelors/major-list/letter/all?init=false&nopassive=true
